,Correct,Error,Error but other statement was identified,Modified by curator,Not curated,Total
ADAMTS1,3.0,1.0,,6.0,55.0,65
AGO2,18.0,6.0,5.0,36.0,99.0,164
ALOX5,3.0,,,7.0,77.0,87
ANXA1,3.0,4.0,,4.0,72.0,83
APBA1,3.0,3.0,,5.0,,11
APBA2,5.0,1.0,,2.0,1.0,9
APBA3,6.0,1.0,,3.0,9.0,19
APBB1,4.0,1.0,,5.0,29.0,39
APBB2,6.0,,,3.0,,9
APLP1,3.0,4.0,,8.0,10.0,25
ARG1,21.0,,19.0,16.0,4.0,60
AXL,13.0,,22.0,17.0,499.0,551
BACE1,4.0,,,6.0,41.0,51
BLMH,,8.0,,3.0,72.0,83
CADPS2,,,,6.0,,6
CASP1,16.0,2.0,10.0,21.0,1905.0,1954
CASP2,4.0,1.0,,5.0,76.0,86
CASP4,4.0,2.0,,4.0,54.0,64
CASP9,4.0,,,6.0,78.0,88
CASR,5.0,,,5.0,71.0,81
CD274,4.0,14.0,9.0,42.0,201.0,270
CHI3L2,5.0,1.0,4.0,2.0,1.0,13
CHRM3,3.0,,,1.0,,4
CKB,2.0,,,12.0,37.0,51
COL3A1,4.0,,,7.0,14.0,25
CRHR1,116.0,10.0,,149.0,2.0,277
CSF1,3.0,2.0,,11.0,63.0,79
CTTN,4.0,2.0,4.0,44.0,,54
DAB2,5.0,1.0,,5.0,63.0,74
DDIT3,6.0,1.0,,10.0,67.0,84
DDX39B,4.0,4.0,,3.0,,11
DEFB1,38.0,5.0,22.0,25.0,26.0,116
DHCR24,5.0,,,8.0,21.0,34
FPR1,7.0,6.0,,9.0,67.0,89
FPR2,6.0,3.0,,8.0,53.0,70
FRMD4A,6.0,,,4.0,3.0,13
GABBR1,2.0,31.0,,13.0,,46
GABRE,1.0,2.0,,,,3
GABRG1,,1.0,,,1.0,2
GABRG2,3.0,5.0,,2.0,8.0,18
GABRG3,1.0,,,,1.0,2
GABRP,5.0,,,,1.0,6
GABRQ,1.0,1.0,,,1.0,3
GATA6,6.0,3.0,,1.0,80.0,90
GFAP,5.0,5.0,,,72.0,82
GRB2,6.0,5.0,,,78.0,89
GRK2,15.0,4.0,,41.0,341.0,401
GSK3B,1241.0,303.0,38.0,494.0,403.0,2479
HAMP,5.0,5.0,,1.0,69.0,80
HDLBP,4.0,1.0,2.0,5.0,,12
HLA-DQB1,1.0,3.0,,,,4
HSD17B10,5.0,5.0,,1.0,10.0,21
IGFL1,4.0,1.0,,,1.0,6
IKBKG,5.0,6.0,,,64.0,75
IL23A,9.0,2.0,,,51.0,62
IL2RA,14.0,5.0,4.0,41.0,423.0,487
IL4R,50.0,44.0,12.0,35.0,1.0,142
INA,6.0,26.0,1.0,8.0,,41
IRAK2,8.0,1.0,,2.0,40.0,51
KCNB1,5.0,5.0,,,11.0,21
KEAP1,18.0,3.0,2.0,40.0,210.0,273
LAMB2,4.0,2.0,,,1.0,7
LAMC2,3.0,4.0,,2.0,22.0,31
LAMP1,3.0,5.0,,,55.0,63
LAMTOR1,3.0,1.0,3.0,14.0,,21
LRP1,4.0,4.0,,,69.0,77
LRP8,5.0,4.0,,,44.0,53
MAPK8IP1,6.0,3.0,,,32.0,41
MAPT,742.0,474.0,332.0,1553.0,528.0,3629
MIF,26.0,3.0,1.0,21.0,1277.0,1328
MIR155,5.0,3.0,,1.0,74.0,83
MRC1,5.0,51.0,1.0,3.0,109.0,169
MYH9,2.0,7.0,,,20.0,29
NAE1,5.0,5.0,,,24.0,34
NDUFV2,2.0,2.0,,,1.0,5
NECAB3,5.0,5.0,,1.0,2.0,13
NEUROG3,5.0,2.0,,4.0,57.0,68
NFE2L1,15.0,16.0,5.0,29.0,138.0,203
NGFR,3.0,3.0,,4.0,46.0,56
NLRP3,11.0,5.0,2.0,25.0,2580.0,2623
NOD2,,5.0,,5.0,73.0,83
NRGN,,8.0,,2.0,64.0,74
NTRK1,4.0,3.0,,3.0,75.0,85
NUMB,16.0,17.0,1.0,36.0,98.0,168
PIGR,1.0,8.0,,1.0,54.0,64
PLA2G4A,7.0,2.0,,1.0,62.0,72
PLA2G7,1.0,2.0,,7.0,44.0,54
PLSCR1,3.0,4.0,,5.0,38.0,50
PPARA,4.0,,,6.0,69.0,79
PTGER2,1.0,,2.0,5.0,,8
PTGS1,4.0,1.0,,5.0,72.0,82
PTX3,2.0,1.0,,7.0,75.0,85
PYCARD,7.0,40.0,1.0,3.0,43.0,94
SCARB1,2.0,5.0,,3.0,64.0,74
SHC1,2.0,3.0,,5.0,72.0,82
SLC1A2,2.0,2.0,,6.0,61.0,71
SLC39A1,6.0,8.0,,4.0,2.0,20
SLC5A7,,9.0,,1.0,48.0,58
SORL1,3.0,2.0,,5.0,34.0,44
SPP1,20.0,15.0,3.0,34.0,735.0,807
STMN1,3.0,2.0,,5.0,79.0,89
THBS3,,,,1.0,,1
TIMP1,,5.0,,5.0,74.0,84
TMSB4X,57.0,40.0,74.0,67.0,,238
TNF,7.0,1.0,,2.0,67.0,77
TNFRSF1A,13.0,8.0,9.0,19.0,636.0,685
TNFRSF1B,19.0,3.0,,22.0,475.0,519
TPM1,8.0,10.0,,12.0,,30
TRAF6,15.0,11.0,,43.0,,69
TREM1,3.0,2.0,,5.0,53.0,63
TRPV1,4.0,4.0,,2.0,70.0,80
TXNIP,2.0,1.0,,7.0,78.0,88
TYRO3,20.0,14.0,10.0,8.0,102.0,154
USF2,29.0,15.0,5.0,42.0,2.0,93
VIM,18.0,5.0,,36.0,953.0,1012
