,Correct,Error,Error but other statement was identified,Modified by curator,Not curated,Total
ADAMTS1,0,0,0,2,16,18
AGO2,14,6,2,21,77,120
ALOX5,0,0,0,1,0,1
ANXA1,0,0,0,2,0,2
APBA1,1,0,0,1,0,2
APBA2,2,0,0,1,0,3
APBA3,0,0,0,0,8,8
APBB2,3,0,0,0,0,3
APLP1,1,0,0,1,10,12
ARG1,7,0,8,6,0,21
AXL,1,0,12,2,112,127
BACE1,0,0,0,1,0,1
CASP1,5,0,1,0,493,499
CASP2,0,0,0,1,0,1
CASP4,0,0,0,1,5,6
CASP9,0,0,0,3,0,3
CASR,0,0,0,2,0,2
CD274,0,8,9,26,48,91
CHI3L2,0,0,1,0,1,2
CHRM3,1,0,0,0,0,1
CKB,0,0,0,0,16,16
COL3A1,0,0,0,0,6,6
CRHR1,18,2,0,39,0,59
CSF1,0,0,0,1,0,1
CTTN,3,0,0,5,0,8
DAB2,0,0,0,2,1,3
DDIT3,0,0,0,1,0,1
DEFB1,17,2,5,8,7,39
DHCR24,0,0,0,5,1,6
FPR1,0,0,0,5,0,5
FRMD4A,1,0,0,1,3,5
GABBR1,1,4,0,2,0,7
GABRG2,0,0,0,0,5,5
GABRG3,1,0,0,0,0,1
GABRP,2,0,0,0,0,2
GABRQ,1,0,0,0,0,1
GRK2,5,1,0,17,103,126
HAMP,0,0,0,1,0,1
HDLBP,3,1,0,5,0,9
HLA-DQB1,0,1,0,0,0,1
HSD17B10,0,0,0,1,3,4
IGFL1,1,1,0,0,0,2
IL23A,0,0,0,0,12,12
IL2RA,4,2,0,8,135,149
IL4R,8,11,0,6,0,25
INA,4,16,1,3,0,24
IRAK2,0,0,0,2,20,22
KCNB1,2,2,0,0,10,14
KEAP1,9,0,1,14,99,123
LAMB2,2,1,0,0,0,3
LAMC2,0,0,0,2,8,10
LAMTOR1,0,1,2,6,0,9
MIF,7,0,0,4,399,410
MRC1,0,18,1,0,20,39
MYH9,0,0,0,0,6,6
NAE1,0,0,0,0,10,10
NDUFV2,1,1,0,0,0,2
NECAB3,3,1,0,0,1,5
NEUROG3,0,0,0,1,2,3
NFE2L1,7,2,0,12,45,66
NGFR,0,0,0,0,3,3
NLRP3,5,0,1,2,752,760
NOD2,0,0,0,2,0,2
NRGN,0,0,0,1,0,1
NUMB,1,7,0,17,45,70
PLA2G4A,0,0,0,0,3,3
PLA2G7,0,0,0,0,3,3
PLSCR1,0,0,0,0,9,9
PPARA,0,0,0,1,0,1
PTGER2,0,0,0,2,0,2
PYCARD,0,7,0,0,19,26
SCARB1,0,0,0,1,0,1
SHC1,0,0,0,0,3,3
SLC1A2,0,0,0,2,22,24
SLC39A1,4,2,0,3,0,9
SLC5A7,0,0,0,0,19,19
SORL1,0,0,0,0,7,7
SPP1,2,1,1,6,222,232
STMN1,0,0,0,1,0,1
TIMP1,0,0,0,1,0,1
TMSB4X,11,17,18,21,0,67
TNFRSF1A,0,1,3,1,174,179
TNFRSF1B,2,1,0,3,115,121
TPM1,4,7,0,4,0,15
TRAF6,1,1,0,11,0,13
TREM1,0,0,0,0,17,17
TXNIP,0,0,0,1,0,1
TYRO3,10,10,6,2,37,65
USF2,11,6,2,11,0,30
VIM,0,1,0,2,362,365
