INDRA UUID	Confidence	Citation Source	Citation Reference	Evidence	Subject	Predicate	Object
8865b71b-a627-4342-acad-01cb924b4c81	1.0	PubMed	20711410	The regulation of arginase expression following androgen stimulation was dependent on the androgen receptor (AR), as a siRNA treatment targeting the AR inhibited both ARG1 and ARG2 overexpression.	act(p(HGNC:AR), ma(tscript))	directlyIncreases	p(HGNC:ARG1)
befa3b72-3b62-4531-aeb4-7a56bf1310f7	1.0	PubMed	23038613	"Finally, PEDF stimulated the expression of iNOS, IL12 and TNFalpha; and inhibited IL10 and arginase 1 in mouse and human macrophages confirming a M1-type differentiation."	p(FPLX:IL12)	directlyDecreases	act(p(HGNC:ARG1))
05616633-a49b-4f92-bc36-4c04341d3f2f	1.0	PubMed	22840692	The ability of monocytes and macrophages to produce arginase-1, an enzyme involved in the production of collagen, and the anti-inflammatory cytokines TGF-beta and IL-10, contributes to their capacity to resolve inflammation.	p(FPLX:TGFB)	directlyIncreases	act(p(HGNC:ARG1))
03f4c807-99c7-4b46-96f4-fc984896cefc	1.0	PubMed	26471500	We found that during M. tb infection, a deficiency of TF in myeloid cells was associated with reduced inducible nitric oxide synthase (iNOS) expression, enhanced arginase 1 (Arg1) expression, enhanced IL-10 production and reduced apoptosis in infected macrophages, which augmented M. tb growth.	p(HGNC:ARG1)	directlyDecreases	"act(bp(GO:""GO:0006915""))"
2ba8f062-52f5-41e7-b615-d0bb14f7f07d	1.0	PubMed	21330347	Exocytosis of azurophil and arginase 1 containing granules by activated polymorphonuclear neutrophils is required to inhibit T lymphocyte proliferation.	p(HGNC:ARG1)	directlyDecreases	"act(bp(GO:""GO:0008283""))"
df2edf8b-e5bb-4d7e-ad4a-1c0e6cf6d748	1.0	PubMed	23850196	MDSC can block anti-tumor responses by secreting cytokines, like IFN-gamma, TGF-beta, and IL-10 and by the production of reactive oxygen species (ROS), inducible NO synthase (iNOS), nitric oxide (NO), and arginase-1 (Arg 1).	p(HGNC:ARG1)	directlyDecreases	act(p(FPLX:TGFB))
076edbff-dd57-4910-9be4-220e0aa2da8f	1.0	PubMed	26762170	1,25 (OH) 2 D stimulated Arginase-1 expression and inhibited FGF-23 stimulation of TNF-alpha.	p(HGNC:ARG1)	directlyDecreases	act(p(HGNC:FGF23))
88913d19-5516-4633-bc60-7220aa36b3a3	1.0	PubMed	23850196	MDSC can block anti-tumor responses by secreting cytokines, like IFN-gamma, TGF-beta, and IL-10 and by the production of reactive oxygen species (ROS), inducible NO synthase (iNOS), nitric oxide (NO), and arginase-1 (Arg 1).	p(HGNC:ARG1)	directlyDecreases	act(p(HGNC:IFNG))
43346f02-30b2-45d1-8953-125a34372948	1.0	PubMed	23850196	MDSC can block anti-tumor responses by secreting cytokines, like IFN-gamma, TGF-beta, and IL-10 and by the production of reactive oxygen species (ROS), inducible NO synthase (iNOS), nitric oxide (NO), and arginase-1 (Arg 1).	p(HGNC:ARG1)	directlyDecreases	act(p(HGNC:IL10))
013e6cb9-fddb-42ac-a845-bfb29500d677	1.0	PubMed	26762170	1,25 (OH) 2 D stimulated Arginase-1 expression and inhibited FGF-23 stimulation of TNF-alpha.	p(HGNC:ARG1)	directlyDecreases	act(p(HGNC:TNF))
