INDRA UUID	Confidence	Citation Source	Citation Reference	Evidence	Subject	Predicate	Object
53f0aadc-1720-4c64-a9ba-1fc383a25729	1.0	PubMed	11084024	CD44 interaction with c-Src kinase promotes cortactin mediated cytoskeleton function and hyaluronic acid dependent ovarian tumor cell migration.	complex(p(HGNC:CD44), p(HGNC:CSK))	directlyIncreases	act(p(HGNC:CTTN))
bdbdeabb-84b2-42fa-a791-c4cf8602411f	1.0	PubMed	15242766	Similarly, recombinant cortactin protein CortDelta (1-23) inhibited wild-type cortactin and Arp2/3 complex mediated actin polymerization in vitro in a dose dependent manner.	complex(p(HGNC:CTTN))	directlyDecreases	act(p(FPLX:Actin))
2ba2bf5e-bef1-4248-bf95-75fccef77fe6	1.0	PubMed	17949983	Fluorescent microscopic studies suggest that Tuba, N-WASP, WIP, TOCA-1 and cortactin might form a complex that contributes to dorsal-membrane ruffling, endocytosis and cellular invasion.	complex(p(HGNC:CTTN))	directlyIncreases	"act(bp(GO:""GO:0006897""))"
d5f53047-058f-4d4a-b118-99b4245adf26	1.0	PubMed	22050448	It has been recently reported that silent mating type information regulation 2 homolog 1 interacts with cortactin and promotes cell migration.	complex(p(HGNC:CTTN))	directlyIncreases	"act(bp(GO:""GO:0016477""))"
036b22c5-e79d-4a9d-b8b7-a7bc037231c3	1.0	PubMed	24265417	We identified another critical function of GIT1-SHD, which associates with cortactin to promote cortactin activation and localization to the leading edge during angiogenesis.	complex(p(HGNC:CTTN))	directlyIncreases	"act(bp(GO:""GO:0051179""))"
799563ac-547b-46e4-a718-930edf3eeed1	1.0	PubMed	17949983	Fluorescent microscopic studies suggest that Tuba, N-WASP, WIP, TOCA-1 and cortactin might form a complex that contributes to dorsal-membrane ruffling, endocytosis and cellular invasion.	complex(p(HGNC:CTTN))	directlyIncreases	act(bp(MESH:D009361))
d14b086e-2e55-4d03-b5aa-c389de1a6a07	1.0	PubMed	15688017	Recombinant full-length MIM promotes markedly cortactin and Arp2/3 complex mediated actin polymerization in an SH3 dependent manner.	complex(p(HGNC:CTTN))	directlyIncreases	act(p(FPLX:Actin))
976de13a-0140-4811-a3b9-f29c482a0ed2	1.0	PubMed	24265417	We identified another critical function of GIT1-SHD, which associates with cortactin to promote cortactin activation and localization to the leading edge during angiogenesis.	complex(p(HGNC:CTTN))	directlyIncreases	act(p(HGNC:CTTN))
ed2c6e87-bc8c-44df-95a5-c716b489ae8b	1.0	PubMed	24962474	ABL also interacts with cortactin, a lamellipodially concentrated protein that activates both actin nucleation and F-actin branch juncture stabilization by binding to the ARP2/3 protein complex.	complex(p(HGNC:CTTN), p(HGNC:ABL1))	directlyIncreases	"act(p(FPLX:""F_actin""))"
7ab01308-807c-4b31-913d-bbc5c8126bc2	1.0	PubMed	24962474	ABL also interacts with cortactin, a lamellipodially concentrated protein that activates both actin nucleation and F-actin branch juncture stabilization by binding to the ARP2/3 protein complex.	complex(p(HGNC:CTTN), p(HGNC:ABL1))	directlyIncreases	act(p(FPLX:Actin))
