INDRA UUID	Confidence	Citation Source	Citation Reference	Evidence	Subject	Predicate	Object
d2b449fd-9040-4789-b73d-57df25271983	1.0	PubMed	23317504	Presumably, while active in binding acetylated chromatin as an independent module, BD1 and BD2 in the native protein could bind cooperatively to multiple Kac sites residing on nucleosomal histones and increase overall binding affinity and specificity of Brd4 for its target chromatin.	complex(p(HGNC:DEFB1))	directlyIncreases	act(p(HGNC:BRD4))
94335929-e891-4726-872e-a31487a73aa2	1.0	PubMed	20022113	HBD1 and 2 interact with CCR6 to induce cell migration but with less affinity than hBD3.	complex(p(HGNC:DEFB1), p(HGNC:CCRL2))	directlyIncreases	"act(bp(GO:""GO:0016477""))"
fb89670b-07cb-4097-8613-9f7e3522ca87	1.0	PubMed	23185513	Inhibition of the class I HDACs, HDACs 1-3, increases DEFB1 gene expression in A549 cells.	"p(FPLX:""HDAC_I"")"	directlyDecreases	p(HGNC:DEFB1)
78d581da-5400-40f4-ace5-1b0eb68fd53e	1.0	PubMed	PMC6679356	According to our previous experiments, Ph(+) chronic myeloid leukemia (CML) cell line K562 cells have defects in beta 1 integrin activation.	p(FPLX:Integrins)	directlyIncreases	act(p(HGNC:DEFB1))
77d1cd5b-c0a7-41d9-9bb6-959bab3039c6	1.0	PubMed	21551252	PDC and monocytes increased production of hBD-1 peptide and mRNA as early as 2 h following infection of purified cells and PBMCs with PR8, HSV-1, and Sendai virus.	p(FPLX:PDC)	directlyIncreases	act(p(HGNC:DEFB1))
578a28ab-8325-47d6-be0a-d82706673e40	1.0	PubMed	PMC3223734	It also was shown that the composition of N-linked glycans of hCG-p beta 1 did not change protein folding, since hCG-beta substrates with high mannose oligosacharides folded as efficiently as beta-substrates containing sialylated complex oligosaccharides.	p(FPLX:hCG)	directlyIncreases	p(HGNC:DEFB1, pmod(Ph))
3d1f0bbe-d310-4ff7-9c87-db65a3702e0e	1.0	PubMed	26568662	However, upon stimulation with cigarette smoke extract (CSE) beta-defensin-1 production was reduced by a mean of 2.8-fold in healthy control pBECs, whereas COPD pBECs continued to produce the same level of beta-defensin-1 (mean -2.8-fold versus 0.1-fold, p = 0.003).	p(HGNC:ARCN1)	directlyIncreases	p(HGNC:DEFB1)
08ac4e5c-7ff2-48f6-87ce-a4edfcbcf8ae	1.0	PubMed	18433872	We tested whether CLOCK : BMAL1 activates hBD-1 promoter using transient transfections into HEK-293 cells.	p(HGNC:ARNTL)	directlyIncreases	act(p(HGNC:DEFB1))
d0686013-459a-4131-9ef4-c3cb17f7a9d1	1.0	PubMed	4875291	Others have shown that this elevated ASF salt concentration can inactivate human beta-defensin-1, an antimicrobial peptide secreted by respiratory epithelia.	p(HGNC:ARSF)	directlyDecreases	act(p(HGNC:DEFB1))
495c5634-4008-45a0-9a28-adc03a451675	1.0	PubMed	PMC4338555	These results are consistent with a role for agonist-induced phosphorylation and desensitization of cardiac beta 1-ARs by beta ARK1 in single myocytes and highlight the potential functional importance of beta ARK1 as a critical determinant of the cardiac beta 1-AR contractile response.	p(HGNC:AURKA)	directlyIncreases	p(HGNC:DEFB1, pmod(Ph))
