INDRA UUID	Confidence	Citation Source	Citation Reference	Evidence	Subject	Predicate	Object
97b1efe4-7f27-435b-8b6b-caae886c82b5	1.0	PubMed	23467820	Interestingly, we found an ERK-dependence to the Hsp90 binding of GRK2 as PD98059 treatment decreased the amount of wild-type GRK2 bound (XREF_FIG), which parallels the PD induced reduction of GRK2 in mitochondrial fractions after chelerythrine above (XREF_FIG).	bp(MESH:D010300)	directlyDecreases	act(p(HGNC:GRK2))
3918b37c-a342-4b45-b4db-4cd5e6465ffa	1.0	PubMed	16725308	Here, we show that c-Src-mediated tyrosine phosphorylation of GRK2 increases the interaction between Galphaq and GRK2, and potentiates GRK2 mediated inhibition of Galphaq signaling.The cDNAs encoding wild type pp60, the active mutant not susceptible to CSK mediated inactivation, Y527F pp60 (Src), and the catalytically inactive K295R pp60 (SrcDN) mutant were generously provided by Dr. S. Gutkind (NIH, Bethesda, MD, USA).	complex(p(FPLX:"G_q_alpha"), p(HGNC:GRK2))	directlyDecreases	act(p(HGNC:GRK2))
fd1fbe7b-33ee-4880-a22d-14f363958356	1.0	PubMed	21473908	assays in which purified GRK2 was added to purified p38 have confirmed that GRK2 directly binds p38 and thereby inhibits activation of p38 ().	complex(p(HGNC:GRK2))	directlyDecreases	act(p(FPLX:p38))
c35927bf-4143-4ae3-934b-1bd19ccfaf05	1.0	PubMed	20627936	Binding of GRK2 to Galphaq/11 impairs insulin stimulated glucose uptake in 3T3L1 preadipocytes (XREF_BIBR), and enhanced GRK2 levels favor insulin resistance induced by endothelin-1 in 3T3L1 cells (XREF_BIBR) or by chronic beta-adrenergic receptor stimulation in HEK-293 cells (XREF_BIBR).	complex(p(HGNC:GRK2))	directlyDecreases	act(p(HGNC:INS))
48c62546-c3c7-42a0-991e-a82f931a2ca3	1.0	PubMed	20627936	Binding of GRK2 to Galphaq/11 impairs insulin stimulated glucose uptake in 3T3L1 preadipocytes (XREF_BIBR), and enhanced GRK2 levels favor insulin resistance induced by endothelin-1 in 3T3L1 cells (XREF_BIBR) or by chronic beta-adrenergic receptor stimulation in HEK-293 cells (XREF_BIBR).	complex(p(HGNC:GRK2))	directlyIncreases	act(p(HGNC:INS))
b7f4947c-165b-4945-927f-5b43eb2df5f6	1.0	PubMed	18691971	These disparate effects appear to be mediated by discrete pools of eNOS, which associate with both dynamin and beta-arrestin but require the participation of additional elements to target GRK2 ().	complex(p(HGNC:NOS3))	directlyIncreases	act(p(HGNC:GRK2))
9974bd02-3b37-430d-8510-0eba6ae5a0e8	1.0	PubMed	25982117	These evidences include demonstration of the physical association of Gbeta2 with DDB1-CRL4A and the regulation of this association by a betaAR agonist and cAMP-PKA pathway, invivo and invitro ubiquitylation of GRK2 by the CRL4A E3 ligases, and Grk2 accumulation in -null male mice.	p(FPLX:"E3_Ub_ligase")	directlyIncreases	p(HGNC:GRK2, pmod(Ub))
dc935103-52c1-46da-a887-77a17381be2c	1.0	PubMed	6706142	JNK activation was also inhibited by expression of the G alpha (12)/G alpha (13)-specific inhibitor regulator of G protein signaling (RGS) domain of p115RhoGEF and the G alpha (q)-specific inhibitor RGS domain of the G protein coupled receptor kinase 2 (GRK2-RGS).	p(FPLX:"G_alpha")	directlyDecreases	act(p(HGNC:GRK2))
49a20a9d-07b3-4301-b778-3ef39e1f9d50	1.0	PubMed	6706142	JNK activation was also inhibited by expression of the G alpha (12)/G alpha (13)-specific inhibitor regulator of G protein signaling (RGS) domain of p115RhoGEF and the G alpha (q)-specific inhibitor RGS domain of the G protein coupled receptor kinase 2 (GRK2-RGS).	p(FPLX:"G_alpha")	directlyIncreases	act(p(HGNC:GRK2))
8a062479-1a65-4f2d-b6d9-d1d3a74a727c	1.0	PubMed	PMC4385978	These results indicate that Ca2+-calmodulin does not directly interact with the catalytic site of GRK2 but inhibits the kinase activity of GRK2 by interfering with the activation of GRK2 by agonist-bound m2 receptors and G protein betagamma subunits.	p(FPLX:"G_protein")	directlyIncreases	act(p(HGNC:GRK2))
240da1e5-315f-433f-bcfd-8456b6e2e9db	1.0	PubMed	16725308	Our results suggest that stimulation of Galphaq coupled GPCR would promote both rapid Galphaq phosphorylation on tyrosine residues, that would favour a more efficient receptor mediated Galphaq activation, and, sequentially, c-Src-mediated phosphorylation of GRK2, resulting in increased catalytic activity towards the GPCR and enhanced interaction of its RH domain with Galphaq, thus leading to a rapid uncoupling of receptors and decreased Galphaq signaling to PLCbeta.	p(FPLX:"G_q_alpha")	directlyIncreases	p(HGNC:GRK2, pmod(Ph, Tyr))
fbc5b150-3a0e-4d3c-9aa1-5726138241ce	1.0	PubMed	18395423	So, we can speculate that the basal activity of adenylate cyclase would allow the GRK2 phosphorylation and that H89 pretreatment would activate this kinase leading to partial opioid receptor desensitization.	p(FPLX:ADCY)	directlyIncreases	p(HGNC:GRK2, pmod(Ph))
e04e6884-dc2e-4139-a853-b1415e46728e	1.0	PubMed	22179058	This idea is, indeed, corroborated by the fact that disruption of G i signaling fully, rather than partially, restores the nonselective betaAR agonist, ISO, induced positive inotropic effect in transgenic mice overexpressing cardiac GRK2 (XREF_FIG).	p(FPLX:ADRB)	directlyIncreases	act(p(HGNC:GRK2))
c00b4e1b-b10e-416a-a67b-3960e898b57d	1.0	PubMed	4891292	This report demonstrates, for the first time, that betaAR stimulation can significantly increase the expression of betaARK1, whereas beta-blockade decreases expression.	p(FPLX:ADRB)	directlyIncreases	p(HGNC:GRK2)
98b2f680-1968-4351-ab6e-0dc5287ddfa6	1.0	PubMed	PMC4231031	We found that Gbetagamma-activated GRK2 and GRK3 were inhibited by CaM to similar extents (IC50 approximately 2 microM), while a 50-fold more potent inhibitory effect was observed on GRK5 (IC50 = 40 nM).	p(FPLX:CALM)	directlyDecreases	act(p(HGNC:GRK2))
ddf2028f-d9f0-4edc-a289-611ca545fc56	1.0	PubMed	11042191	We show here that this increase in activity may be caused by relieving a tonic inhibition of GRK2 by calmodulin.	p(FPLX:CALM)	directlyIncreases	act(p(HGNC:GRK2))
d6b81abe-8eb9-4432-8c7d-610c64a7c56f	1.0	PubMed	5330904	Inhibition of ERK activity in HEK293 cells potentiates GRK2 activity, whereas, conversely, ERK activation inhibits GRK2 activity.	p(FPLX:ERK)	directlyDecreases	act(p(HGNC:GRK2))
52bfe68d-2367-4d7a-83e5-5373cd321b8a	1.0	PubMed	5330904	Inhibition of ERK activity in HEK293 cells potentiates GRK2 activity, whereas, conversely, ERK activation inhibits GRK2 activity.	p(FPLX:ERK)	directlyIncreases	act(p(HGNC:GRK2))
