INDRA UUID	Confidence	Citation Source	Citation Reference	Evidence	Subject	Predicate	Object
87094fa1-da34-41c7-b694-b7a6f1942bc3	1.0	PubMed	7862168	The interleukin 2 receptor alpha-chain (IL-2R alpha) gene is rapidly and potently induced in T cells in response to mitogenic stimuli. Previously, an inducible enhancer between nucleotides -299 and -228 that contains NF-kappa B and CArG motifs was identified. We now report the characterization of a second essential positive regulatory element located between nucleotides -137 and -64 that binds Elf-1 and HMG-I(Y). Transcription from the IL-2R alpha promoter was inhibited when either the Elf-1 or the HMG-I(Y) binding site was mutated. Coexpression of both proteins activated transcription of the -137 to -64 element in COS-7 cells.	act(p(HGNC:ELF1), ma(tscript))	directlyIncreases	p(HGNC:IL2RA)
192627a7-2092-4768-9a91-d33ba5ab8625	1.0	PubMed	7862168	The interleukin 2 receptor alpha-chain (IL-2R alpha) gene is rapidly and potently induced in T cells in response to mitogenic stimuli. Previously, an inducible enhancer between nucleotides -299 and -228 that contains NF-kappa B and CArG motifs was identified. We now report the characterization of a second essential positive regulatory element located between nucleotides -137 and -64 that binds Elf-1 and HMG-I(Y). Transcription from the IL-2R alpha promoter was inhibited when either the Elf-1 or the HMG-I(Y) binding site was mutated. Coexpression of both proteins activated transcription of the -137 to -64 element in COS-7 cells.	act(p(HGNC:HMGB1), ma(tscript))	directlyIncreases	p(HGNC:IL2RA)
cabf1905-9668-4174-bd51-a0c2b18054c7	1.0	PubMed	10933396	Activation of notch1 signaling in dp thymocytes and thymoma cell lines results in the upregulation of cd25 and cd44 expression.	act(p(HGNC:NOTCH1), ma(tscript))	directlyIncreases	p(HGNC:IL2RA)
8ab2807e-5fa9-4713-b128-39436589a6db	1.0	PubMed	19155494	While CD8 + CD25 - RC proliferation is suppressed by Fas and FasL mediated apoptosis, suppression of CD4 + CD25 - RC by Treg is Fas independent and involves cell death mediated by granzyme B/perforin, as recently described by us (L. Strauss, C. Bergmann, H. Rabinowich, and T. L. Whiteside, submitted for publication) and others (XREF_BIBR, XREF_BIBR, XREF_BIBR).	bp(GO:"GO:0006915")	directlyDecreases	act(p(HGNC:IL2RA))
b7fa6cb0-23c9-47da-bebd-dce289ce4e61	1.0	PubMed	23144749	We also found that the occupancy of both FOXP3 binding sites in conjunction with RelA bound to a kappaB binding site promotes the transcriptional activation of Cd25 gene.	complex(p(HGNC:FOXP3))	directlyIncreases	act(p(HGNC:IL2RA))
1e9f20c4-27d4-4a79-b8c8-2cacc334c49e	1.0	PubMed	16477002	Il-2 is a cytokine that functions as a growth factor and central regulator in the immune system and mediates its effects through ligand-induced hetero-trimerization of the receptor subunits il-2r alpha, il-2r beta, and gamma(c).	complex(p(HGNC:IL2RA), p(HGNC:IL2))	directlyIncreases	act(p(HGNC:IL2RA))
8a2fc21a-730d-4502-ac7b-c922c2abd894	1.0	PubMed	12588990	The N-terminal 24 amino acids of the p55 gamma regulatory subunit of phosphoinositide 3-kinase binds Rb and induces cell cycle arrest.	complex(p(HGNC:IL2RA), p(HGNC:RB1))	directlyIncreases	act(bp(GO:"GO:0007049"))
08cb689e-06d6-452d-b8ff-5fced4a6218d	1.0	PubMed	19141859	Furthermore, activin-A directly regulates NK cell functions by (1) down-regulating the T-box transcription factor T-bet and interferon gamma (IFN-gamma) but not perforin or granzyme mRNA; (2) suppressing NK-cell IFN-gamma production as potently as TGF-beta; and (3) suppressing NK-cell CD25 expression and proliferation and sculpting NK-cell cytokine and chemokine profiles.	p(FPLX:"Activin_A")	directlyDecreases	p(HGNC:IL2RA)
f4225967-8ae0-43e1-9e2d-712b0699d1e5	1.0	PubMed	4607326	In addition, AII increased p85 serine phosphorylation, inhibited the total pool of p85 associated PI 3-kinase activity, and decreased levels of the p50 and p55 regulatory subunit of PI 3-kinase.	p(FPLX:"PI3K_p85")	directlyDecreases	act(p(HGNC:IL2RA))
1f404822-b12c-4f81-b1f8-e8ef41c0b2d2	1.0	PubMed	3600592	Also, PTX inhibited IL-2-triggered upregulation of the expression of CD69, CD25, ICAM-1, and p75TNF-R on the cell surface.	p(FPLX:"Pertussis_toxin")	directlyDecreases	p(HGNC:IL2RA)
