INDRA UUID	Confidence	Citation Source	Citation Reference	Evidence	Subject	Predicate	Object
131bb74a-3377-4e91-b41a-04b4730d9986	1.0	PubMed	19187526	Based on the results from yeast two-hybrid and immunoprecipitation assays presented here, we believe MCRS2 interacted with Nrf1 and suppressed Nrf1 mediated transcriptional activity.	complex(p(HGNC:MCRS1), p(HGNC:NFE2L1))	directlyDecreases	act(p(HGNC:NFE2L1))
b1d817f8-8a0d-4044-8170-8afd39ef7ca8	1.0	PubMed	27416755	It has been identified that the beta-TrCP-based E3 ubiquitin ligase causes proteasomal degradation of Nrf1 in the nucleus.	p(FPLX:"E3_Ub_ligase")	directlyDecreases	act(p(HGNC:NFE2L1))
e7166da3-81e1-4983-8997-f309830f99a4	1.0	PubMed	25965299	Exposure of MCF-7 cells to E2 not only upregulated NRF-1 expression but it also induced phosphorylation of NRF-1 by AKT kinase in a redox dependent manner.	p(FPLX:AKT)	directlyIncreases	p(HGNC:NFE2L1, pmod(Ph))
f9898203-49fc-45ac-9c6b-4829da0bae5a	1.0	PubMed	27878239	For example, in HeLa cervical carcinoma cells, AMPK phosphorylation by AICAR increases the levels of PGC-1alpha, NRF-1 and TFAM mRNAs, resulting in upregulation of mtDNA replication and transcription (XREF_BIBR).	p(FPLX:AMPK)	directlyIncreases	act(p(HGNC:NFE2L1))
1a69fbe0-44df-4897-9cbf-90b548606c75	1.0	PubMed	23816881	We identify CK2 as an Nrf1 binding protein and find that the knockdown of CK2 enhances the Nrf1 dependent expression of the proteasome subunit genes.	p(FPLX:CK2)	directlyDecreases	p(HGNC:NFE2L1)
39b78c8f-5742-42d0-8953-80f293360daf	1.0	PubMed	26254094	Prieschl and others first reported on the prediction of putative phosphorylation sites for casein kinase 2 They further demonstrated regulation by CK2 using in vitro CK2 phosphorylation of bacterially expressed Nrf1 and DNA binding (electrophoretic mobility shift) assays.	p(FPLX:CK2)	directlyIncreases	p(HGNC:NFE2L1, pmod(Ph))
2762be52-5e3a-480d-b40a-4ce357f86d15	1.0	PubMed	25940700	Cyclin D1/CDK4/6 phosphorylates the retinoblastoma protein (pRb) to advance the G 1 S and phosphorylates NRF-1 to inhibit mitochondrial biogenesis thereby coordinating nuclear and mitochondrial functions [XREF_BIBR - XREF_BIBR].	p(FPLX:Cyclin)	directlyIncreases	p(HGNC:NFE2L1, pmod(Ph))
fa1def81-e14e-4d31-ab01-41ed99139960	1.0	PubMed	25965299	Activated AKT and ERK1/2 phosphorylate NRF-1 leading to the translocation of NRF-1 to the nucleus, where it activates the transcription of cell cycle genes that control E2 mediated anchorage independent growth of MCF-7 cancer cells.	p(FPLX:ERK)	directlyIncreases	p(HGNC:NFE2L1, pmod(Ph))
a94bf45b-882e-4918-aa18-ad2770af3329	1.0	PubMed	23623971	We show that GSK3 negatively regulates Nrf1 in an Fbw7 dependent manner, and negatively impacts Nrf1 's anti-apoptotic function in neuronal tissues in response to endoplasmic reticulum (ER) stress induction.	p(FPLX:GSK3)	directlyDecreases	act(p(HGNC:NFE2L1))
f58e2d8e-5b58-4d9b-970b-e1f56e13b3f0	1.0	PubMed	23623971	We report here that Nrf1 expression is negatively regulated by glycogen synthase kinase 3 (GSK3) in Fbw7 dependent manner.	p(FPLX:GSK3)	directlyDecreases	p(HGNC:NFE2L1)
01e169ed-a757-4e25-b1a6-9e6b0305f96d	1.0	PubMed	23623971	These results suggest GSK3 promotes destabilization of Nrf1.	p(FPLX:GSK3)	directlyIncreases	act(p(HGNC:NFE2L1))
8a606e97-5b2f-422c-ac00-9915939f81d2	1.0	PubMed	23623971	GSK3 modulates Nrf1 expression.	p(FPLX:GSK3)	directlyIncreases	p(HGNC:NFE2L1)
b1270b16-4231-4eee-bc9d-af4751d22536	1.0	PubMed	23623971	To demonstrate that GSK3 directly phosphorylates the CPD domain of Nrf1, in-vitro kinase assays were performed on GST fusion proteins.	p(FPLX:GSK3)	directlyIncreases	p(HGNC:NFE2L1, pmod(Ph))
b808aaa2-0dac-48fe-bdcc-87e664a0dd30	1.0	PubMed	23623971	These results demonstrate that GSK3 promotes ubiquitination of Nrf1.	p(FPLX:GSK3)	directlyIncreases	p(HGNC:NFE2L1, pmod(Ub))
d04dbc97-e285-4736-95b2-dbb6c1121a0e	1.0	PubMed	23623971	Glycogen synthase kinase 3 regulates expression of nuclear factor-erythroid-2 related transcription factor-1 (Nrf1) and inhibits pro survival function of Nrf1.	p(FPLX:GYS)	directlyDecreases	act(p(HGNC:NFE2L1))
cc270324-995b-4510-84a6-c1d3d6786a0a	1.0	PubMed	23623971	We report here that Nrf1 expression is negatively regulated by glycogen synthase kinase 3 (GSK3) in Fbw7 dependent manner.	p(FPLX:GYS)	directlyDecreases	p(HGNC:NFE2L1)
b55b0612-5a4c-4030-ac3a-c0105c70b02c	1.0	PubMed	20656065	The PGC-1alpha - NRF-1 signaling pathway could be activated by protein kinase A (PKA), and cAMP response element binding (CREB), by calcium activated calcium/calmodulin dependent protein kinase type IV (CaMKIV), by activation of AMPA (alpha-amino-3-hydroxyl-5-methyl-4-isoxazole-propionate) receptor or by cGMP (XREF_BIBR).	p(FPLX:PKA)	directlyIncreases	act(p(HGNC:NFE2L1))
