INDRA UUID	Confidence	Citation Source	Citation Reference	Evidence	Subject	Predicate	Object
d6104d46-c76c-478f-8332-0f6583a8243b	1.0	PubMed	26805581	We demonstrated here that cigaret smoke extract induces cell shrinking and detachment as a consequence of F-actin cytoskeleton degradation in H1299 cells not overexpressing tropomyosin-1.	p(FPLX:"F_actin")	directlyDecreases	act(p(HGNC:TPM1))
66396898-c1c6-4f35-bbc2-ad0dae1fa9ee	1.0	PubMed	12686598	Extracellular signal regulated kinase mediates phosphorylation of tropomyosin-1 to promote cytoskeleton remodeling in response to oxidative stress : impact on membrane blebbing.	p(FPLX:ERK)	directlyIncreases	p(HGNC:TPM1, pmod(Ph))
97d81228-b434-451f-a201-715111db7dd1	1.0	PubMed	12787118	Recently, TGF-beta has been shown to control the differentiation of vascular smooth muscle cells, and reduces the ratio of smooth muscle specific alternative splicing of the alpha-tropomyosin gene in these cells ().	p(FPLX:TGFB)	directlyDecreases	act(p(HGNC:TPM1))
5c84ea91-6145-4c53-b350-29df20f11a03	1.0	PubMed	24816588	In untreated fibroblasts, the TGF-beta receptor I blocker LY364947, but not TGF-beta neutralizing antibodies, attenuated the expression of transgelin and tropomyosin-1 well below control levels (XREF_FIG).	p(FPLX:TGFB)	directlyDecreases	p(HGNC:TPM1)
b4673f93-d7c0-40ab-85b7-9c63f6958ce0	1.0	PubMed	15897890	Importantly, 5-aza-dC treatment of MDA-MB-231 cells restored TGF-beta induction of TPM1 and formation of stress fibers.	p(FPLX:TGFB)	directlyIncreases	act(p(HGNC:TPM1))
f0961a5e-bc73-4946-b6f9-e1917dda8a99	1.0	PubMed	17616673	We observed that endothelin receptor type B (EDNRB) activation inhibited cell rounding by tenascin-C and induced spreading by restoring expression and function of focal adhesion kinase (FAK), paxillin, RhoA, and tropomyosin-1 (TM1) via activation of epidermal growth factor receptor, phospholipase C, c-Jun NH (2)-terminal kinase, and the phosphatidylinositol 3-kinase pathway.	p(HGNC:EDNRB)	directlyDecreases	p(HGNC:TPM1)
70e3e663-eb64-4d27-ac79-261021510ddf	1.0	PubMed	21629665	As illustrated in XREF_FIG, GATA6 knock-down by specific RNA silencing strongly reduced the TGFbeta dependent enhancement of TPM1 mRNA and completely blocked that of the other key myogenic marker CNN1.	p(HGNC:GATA6)	directlyDecreases	act(p(HGNC:TPM1))
fefc370b-cef0-44d8-887d-319151dc66bf	1.0	PubMed	17895359	DAP kinase mediates the phosphorylation of tropomyosin-1 downstream of the ERK pathway, which regulates the formation of stress fibers in response to oxidative stress.	p(HGNC:IAPP)	directlyIncreases	p(HGNC:TPM1, pmod(Ph))
5cbf6f3c-c1a4-434e-9d12-ddbc280f959b	1.0	PubMed	24373687	Therefore, while MBNL1 and PTB cooperate to repress Tpm1 splicing, MBNL1 acts independently to activate Vldlr splicing, and PTB binding to Vldlr appears to be non functional.	p(HGNC:MBNL1)	directlyDecreases	act(p(HGNC:TPM1))
fe99a79e-9019-4ddd-a885-6a307ab5afe7	1.0	PubMed	24373687	As shown earlier, overexpression of MBNL1 promoted skipping of Tpm1 exon 3 but inclusion of the Vldlr exon.	p(HGNC:MBNL1)	directlyIncreases	act(p(HGNC:TPM1))
