INDRA UUID	Confidence	Citation Source	Citation Reference	Evidence	Subject	Predicate	Object
509d31a7-cce6-4f82-bc1b-69be54c99d94	1.0	PubMed	11467950	we have focused on element F of the NMHC-A gene. We have identified and characterized the factors which are capable of binding to element F. The basic helix_loop_helix leucine zipper (bHLH-LZ) proteins, TFEC-l and -s, which are alternatively spliced isoforms, TFE3, USF1, and USF2 have all been found to bind to element F with different binding activities and with different transcriptional activation potencies.	act(p(HGNC:USF2), ma(tscript))	directlyIncreases	p(HGNC:MYH9)
1b7f65d7-6c75-4ade-8021-42cfa16a7012	1.0	PubMed	23754954	It was reported that USF1 and USF2 heterodimers interact with the HoxB4 promoter and activate hematopoietic expression of the HoxB4 gene in response to cytokine mediated self-renewal and expansion of HSCs XREF_BIBR, XREF_BIBR.	complex(p(HGNC:USF2), p(HGNC:USF1))	directlyIncreases	act(p(HGNC:HOXB4))
59e27080-688b-449d-8913-253a2af1f260	1.0	PubMed	23991099	Interestingly, activation of HIF1 target gene reporters by HIF1alpha was enhanced by co-transfection of STAT3C (XREF_FIG < 0.05 vs HIF1alpha only), but reduced by co-transfected USF2 (XREF_FIG < 0.05 vs HIF1alpha only).	p(FPLX:HIF1)	directlyDecreases	act(p(HGNC:USF2))
5d92dbc7-06a6-49e1-90cb-93f4c28b3e9d	1.0	PubMed	23991099	We speculate that since either HIF1 or USF2 activates the -506/+25 STAT3 and USF2 reporter, HIF1 and USF2 might activate reporter gene expression independent of each other 's function in initiating transcription (4).	p(FPLX:HIF1)	directlyIncreases	act(p(HGNC:USF2))
5674a4fc-74d2-4f5f-961a-13f01a37bcda	1.0	PubMed	4671755	Moreover, protein kinase C (PKC) inhibitors prevented both the induction of USF2 protein synthesis and the increase in USF2 translational efficiency in IL-3-activated mast cells.	p(FPLX:PKC)	directlyIncreases	act(p(HGNC:USF2))
c2f293d6-6814-450e-abf0-e66f6cc9d74a	1.0	PubMed	21921026	On the other hand, TGF-beta upregulates USF2, increasing BAX (proapoptotic gene) levels and apoptosis rates.	p(FPLX:TGFB)	directlyIncreases	act(p(HGNC:USF2))
de90eab6-ec7a-4028-a467-ea3c1c47a02b	1.0	PubMed	6698433	Furthermore, cotransfection assays demonstrated that COUP-TFII and ARP -1 inhibits the USF2 mediated activation of the wild-type ATPA gene promoter but not a mutant promoter that is defective in COUP-TFII and ARP-1-binding.	p(HGNC:AKR1B10)	directlyDecreases	act(p(HGNC:USF2))
c5ebe739-e47a-4d7f-a903-fe3fcb9b73aa	1.0	PubMed	23383084	To confirm the gel shift experiment, we performed a transactivation assay in which the wild type (-365 hP2) construct was co-transfected with plasmid overexpressing Sp1, Sp3, USF1 or USF2, and the luciferase activities were measured.	p(HGNC:DEFA1)	directlyIncreases	act(p(HGNC:USF2))
5069f70c-968b-40ff-9055-a37452ee9e7c	1.0	PubMed	5216822	Collectively, our results indicate that the USF2 dependent transcriptional activation of the ATPA initiator element is mediated by p300.	p(HGNC:EP300)	directlyIncreases	act(p(HGNC:USF2))
06217773-3d90-4a36-ba0a-af236a2a5940	1.0	PubMed	4862869	These results suggest that the ER targeting of USF-1 and USF-2 is a critical step in hormone activation of CD gene transcription in human breast cancer cells.	p(HGNC:ESR1)	directlyIncreases	act(p(HGNC:USF2))
