INDRA UUID	Confidence	PMID	Evidence	Subject	Predicate	Object
3351a112-3029-4e1d-8e21-4add7a1aa35c	1.0	26563155	These data suggest that the increased expression of ADAMTS1 protein in macrophages and neutrophils that infiltrated aortic tissues may promote the progression of AAD by degrading versican.	p(HGNC:ADAMTS1)	directlyIncreases	act(a(PUBCHEM:469))
48034931-ad4e-4c95-9618-3f5aba1b2548	1.0	11108860	Does ADAMTS-1 activate cathepsin L or vice versa?	p(HGNC:ADAMTS1)	directlyIncreases	act(p(HGNC:CTSL))
d2a22991-8170-46cf-b632-323d427bdf9a	1.0	20840749	We confirmed that ADAMTS1 enhanced FPS cell invasion using recombinant ADAMTS1 protein.	p(HGNC:ADAMTS1)	directlyIncreases	act(p(HGNC:FES))
19b2e06d-f615-43c2-a238-ac6c205783f7	1.0	11108860	Thus, ADAMTS-1 and cathepsin L appear to be specific mediators of LH and progesterone action during ovulation.Although a role for cAMP has also been documented to enhance PR induction in other tissues [ref.	p(HGNC:ADAMTS1)	directlyIncreases	act(p(HGNC:PGR))
71d0e0ee-f94e-4e1b-bbac-ecc6cfe45914	1.0	23289900	Taken together, these results suggest that ADAMTS-1 knockdown decreased the presence of this protease in the conditioned medium of MDA-MB-231 cells, thus preventing the sequestration of VEGF and rendering this growth factor available to exert its cellular effects, including migration and angiogenesis [XREF_BIBR, XREF_BIBR, XREF_BIBR, XREF_BIBR].	p(HGNC:ADAMTS1)	directlyIncreases	act(p(FPLX:Protease))
7443c955-820e-4a95-8258-81cb048f556f	1.0	16314835	We have now demonstrated that overexpression of ADAMTS-1 promotes pulmonary metastasis of TA3 mammary carcinoma and Lewis lung carcinoma cells and that a proteinase dead mutant of ADAMTS-1 (ADAMTS-1E/Q) inhibits their metastasis, indicating that the prometastatic activity of ADAMTS-1 requires its metalloproteinase activity.	p(HGNC:ADAMTS1)	directlyIncreases	act(p(HGNC:TAAR9))
d777cc98-76cf-4b19-aebd-94509cb3c887	1.0	20546609	Decreased expression of the angiogenesis inhibitor ADAMTS1 (ADAM metallopeptidase with thrombospondin type 1 motif, 1) has previously been reported during prostate cancer progression.	p(HGNC:ADAMTS1)	directlyIncreases	act(bp(GO:"GO:0001525"))
63ae1b5a-2771-47a1-9c95-4588d0270a79	1.0	24631293	Moreover, we recently demonstrated that ADAMTS1 induced endothelial cell apoptosis and inhibited tumor angiogenesis, resulting in the suppression of tumor growth, and that the induction of endothelial cell apoptosis by ADAMTS1 occurred independently of protease activity.	p(HGNC:ADAMTS1)	directlyIncreases	act(bp(GO:"GO:0006915"))
9f3a2431-fba5-4b56-9c38-68193ab81c71	1.0	25285958	From the 13 genes targeted by the selected shRNAs, we found that knockdown of RPL31, ADAMTS1, and HIST1H2BD significantly inhibited proliferation of BicR prostate cancer cells.	p(HGNC:ADAMTS1)	directlyIncreases	act(p(UP:P28246))
47d68c13-15cd-4434-a6ea-a4b128b5e2d0	1.0	19915008	The cleavage of semaphorin 3C induced by ADAMTS1 promotes cell migration.	p(HGNC:ADAMTS1)	directlyIncreases	act(bp(GO:"GO:0016477"))
6424987b-2620-46e2-b66c-74602fec178b	1.0	26916548	Also, full length ADAMTS 1 increases tumor cell proliferation rates and accelerates tumor development through the activity of its metalloproteinase domain [XREF_BIBR].	p(HGNC:ADAMTS1)	directlyIncreases	act(bp(GO:"GO:0008283"))
64d8a472-a24c-48c5-8f94-65a08dc085db	1.0	20840749	We have shown with both treatments that invasion of FPS cells through the ECM is mediated by ADAMTS1.	p(HGNC:ADAMTS1)	directlyIncreases	act(bp(MESH:D009361))
b6313be0-e26b-41e8-9ad5-117c6f564cac	1.0	22675530	Overexpression of ADAMTS-1 promotes pulmonary metastasis of Lewis lung carcinoma cells and a proteinase inactivated mutant of ADAMTS-1 inhibited their metastasis, indicating that the prometastatic activity of ADAMTS-1 requires its metalloproteinase activity XREF_BIBR.	p(HGNC:ADAMTS1)	directlyIncreases	act(bp(MESH:D009362))
33a32ae0-dd0e-474c-b74a-b1ebfc163544	1.0	20619343	Conversely, IL-1alpha reduced mRNA and protein expression of ADAMTS1, a metalloproteinase that suppresses neovascularization.	p(HGNC:ADAMTS1)	directlyIncreases	act(bp(GO:"GO:0001525"))
deee2067-1516-41b0-9618-30a691ad6a42	1.0	25285958	From the 13 genes targeted by the selected shRNAs, we found that knockdown of RPL31, ADAMTS1, and HIST1H2BD significantly inhibited proliferation of BicR prostate cancer cells.	p(HGNC:ADAMTS1)	directlyIncreases	act(bp(GO:"GO:0008283"))
41709a16-59c3-404c-be78-73e29bdea661	1.0	15661359	Taken together, we have shown the manifold increase of metalloproteinase ADAMTS-1 but not ADAMTS-5, both encoded on chromosome 21, in brain of patients with neurodegeneration.	p(HGNC:ADAMTS5)	directlyIncreases	act(p(HGNC:ADAMTS1))
689b3fc5-d525-4e55-8e2c-650f60092567	1.0	19527685	ADAMTS1 and ADAMTS4, both of which belong to soluble ADAMs as described above and are reported to cleave aggrecan, were not induced by ATRA (data not shown).	a(CHEBI:15367)	directlyIncreases	act(p(HGNC:ADAMTS1))
c3d4c927-0559-4e5b-ba40-fe442ca4b4cc	1.0	26675551	Here we showed that two specific metalloproteases, ADAMTS1 and 9 were up-regulated by CD147 and contributed to KSHV induced cell invasiveness.	p(HGNC:BSG)	directlyIncreases	act(p(HGNC:ADAMTS1))
6b43e07a-e3ec-4e46-8ec3-ab31535cf1e9	1.0	15967414	It should be noted however, that cAMP was recorded to upregulate ADAMTS1 in rodent pre-ovulatory follicles.	a(CHEBI:17489)	directlyIncreases	act(p(HGNC:ADAMTS1))
373f634a-e854-4924-9a72-239467e469db	1.0	19349275	CoCl2, a transition metal that mimics hypoxia, induced ADAMTS1 in HUVEC.	a(PUBCHEM:3032536)	directlyIncreases	act(p(HGNC:ADAMTS1))
22e70239-4df8-4e41-ac64-8a315b56e554	1.0	20840749	Furthermore, upregulation of ADAMTS1 by ETS transcription factor gene (ERG) has been shown to contribute to an invasive phenotype in prostate cancer [XREF_BIBR].	p(FPLX:ETS)	directlyIncreases	act(p(HGNC:ADAMTS1))
2469ebfb-95dd-4ff2-a570-54093cc0de67	1.0	27363273	Conclusion Emodin can block pulmonary fibroblast proliferation and differentiation into myofibroblasts, and reduce the synthesis of Col1 and Col3 by inhibiting TGF-beta1 and ADAMTS-1 signaling pathway.	a(PUBCHEM:25201450)	directlyIncreases	act(p(HGNC:ADAMTS1))
5aeb736d-e37b-402d-92f7-53b7e8ee7f0e	1.0	16061471	Furthermore, fibulin-1 was found to enhance the capacity of ADAMTS-1 to cleave aggrecan, a proteoglycan known to bind to fibulin-1.	p(HGNC:FBLN1)	directlyIncreases	act(p(HGNC:ADAMTS1))
16e45ee0-489e-4543-b053-0eaa8d994328	1.0	6920835	ADAMTS-1 mRNA is induced in granulosa cells of periovulatory follicles by the luteinizing hormone surge through a progesterone receptor dependent mechanism.	p(FPLX:LH)	directlyIncreases	act(p(HGNC:ADAMTS1))
4aaf1a19-2552-4d3b-b967-7827edd7c671	1.0	14996435	The induction of ADAMTS-1 by LPS and TNFalpha is in agreement with a proposed proatherogenic role of LPS and TNFalpha in arterial diseases ().	a(CHEBI:16412)	directlyIncreases	act(p(HGNC:ADAMTS1))
fae24d7c-1e3e-4300-8e6e-4ac6ffba94d9	1.0	20840749	Taken together our data highlight a mechanism whereby ADAMTS1, induced by PGF 2alpha -FP signalling, regulates tumour cell invasion and endothelial cell proliferation in endometrial adenocarcinoma.	p(HGNC:PGF)	directlyIncreases	act(p(HGNC:ADAMTS1))
0166e83a-ccbf-4a96-9ce9-4e1964034d92	1.0	20087433	These results suggest that PGR mediated induction of Adamts1 regulates ovulatory events, a finding substantiated by the subfertile phenotype of Adamts1 null mice, which release, on average, only 12 oocytes compared to 41 from heterozygote littermates after controlled gonadotropin stimulation [XREF_BIBR].	p(HGNC:PGR)	directlyIncreases	act(p(HGNC:ADAMTS1))
3767e567-a47d-45a6-8d9b-6540f195f31e	1.0	5740698	Taken together, these results demonstrate that ADAMTS-1 is specifically up-regulated in bone and osteoblasts by the osteotropic agents PTH, PTHrP, and PGE2 possibly via the cAMP and PKA pathway.	p(HGNC:PTGER4)	directlyIncreases	act(p(HGNC:ADAMTS1))
336b4fb8-aa11-4d74-ad58-9cbae8c69073	1.0	5740698	Taken together, these results demonstrate that ADAMTS-1 is specifically up-regulated in bone and osteoblasts by the osteotropic agents PTH, PTHrP, and PGE2 possibly via the cAMP and PKA pathway.	p(HGNC:PTHLH)	directlyIncreases	act(p(HGNC:ADAMTS1))
35cb2332-23fb-4b3b-bf57-33c26eb399d2	1.0	5740698	Taken together, these results demonstrate that ADAMTS-1 is specifically up-regulated in bone and osteoblasts by the osteotropic agents PTH, PTHrP, and PGE2 possibly via the cAMP and PKA pathway.	p(HGNC:PTH)	directlyIncreases	act(p(HGNC:ADAMTS1))
a515e9f6-e6ac-4fc6-a6ce-8e08725add25	1.0	26299656	For the determination of the effect of SP1 on the mRNA and protein expression of the ADAMTS1, cells were treated with SP1 expression plasmid for 24, 48 and 72h in normoxic and hypoxic conditions as described in B. Overexpression of SP1 was validated by real-time PCR reaction.	p(HGNC:SP1)	directlyIncreases	act(p(HGNC:ADAMTS1))
1f2bdde8-546b-4f6c-8061-245821630a13	1.0	18192475	The TPR and sequence similarity 48 member A (ie, transcription factor) are novel, and their role in hemodialysis vascular graft failure or vascular disease has not been determined.The novel approach described in this article allowed us to identify ADAMTS-1 in thrombosed hemodialysis vascular access.	p(HGNC:TPR)	directlyIncreases	act(p(HGNC:ADAMTS1))
1bb96701-5c0b-4746-a20a-b02ba9bd6a38	1.0	26299656	Bovine ADAMTS1 promoter was reported that USF1 and USF2 proteins upregulate bovine ADAMTS1 promoter by interacting with E-box elements within the ADAMTS1 promoter ().	p(HGNC:USF1)	directlyIncreases	act(p(HGNC:ADAMTS1))
43a0aa9e-cce6-4e11-8bb4-761a5e9dd5e5	1.0	26299656	Bovine ADAMTS1 promoter was reported that USF1 and USF2 proteins upregulate bovine ADAMTS1 promoter by interacting with E-box elements within the ADAMTS1 promoter ().	p(HGNC:USF2)	directlyIncreases	act(p(HGNC:ADAMTS1))
d8ddf377-5ca4-476b-a3a2-ba345725ecc7	1.0	20087433	Echinomycin treatment in vivo also blocked the hCG stimulated induction of PGR-target genes Adamts1 and endothelin-2, but not Hif1alpha or Adam8 [XREF_BIBR], suggesting that HIF transcription factors are also essential mediators of expression for a subset of PGR regulated genes (XREF_FIG).	p(FPLX:hCG)	directlyIncreases	act(p(HGNC:ADAMTS1))
45e4ef6f-bea0-44fb-8973-492cd502d825	1.0	2875820	Delayed administration of levamisole at day 8,9 and 10 was less effective than the earlier administration, but still produced a 17% cure of Meth 1 bearing animals when combined with ConA bound Meth 1 vaccine.	a(PUBCHEM:26879)	directlyIncreases	act(p(HGNC:ADAMTS1))
d892b15a-dbaa-4214-856f-e8e69ff0436d	1.0	8995297	Moreover, intravenous administration of lipopolysaccharide in mice selectively induced ADAMTS-1 mRNA in kidney and heart.	a(CHEBI:16412)	directlyIncreases	act(p(HGNC:ADAMTS1))
17c78bd5-dd9d-4e5e-b7b2-e3e9be3f0175	1.0	26916548	We conclude that progesterone acts via the progesterone receptor to modulate ADAMTS 1 and 4 levels in ovarian cancer cell lines.	a(CHEBI:17026)	directlyIncreases	act(p(HGNC:ADAMTS1))
621e5197-fcd5-447b-8259-a0f5d7dd9d62	1.0	15967414	Most dramatically, Fk highly suppressed ADAMTS1 expression compared to control, non treated cultures.	p(UP:Q9LDR4)	directlyDecreases	p(HGNC:ADAMTS1)
7b2aa1ac-2a22-4570-bfd5-1a76e42832ac	1.0	15967414	H89, a specific inhibitor of PKA in mammalian granulosa cells, further suppressed ADAMTS1 expression in Fk treated cells while it did not show any pronounced effect on control, FSH or LH treated cells.	a(PUBCHEM:3541)	directlyDecreases	p(HGNC:ADAMTS1)
9e8d7d46-97d9-4802-b184-5bac648ff322	1.0	19007777	HDAC inhibition upregulates the expression of angiostatic ADAMTS1.	p(FPLX:HDAC)	directlyDecreases	p(HGNC:ADAMTS1)
28f7411d-a4f7-49cf-b535-81eb81157524	1.0	14996435	The present work showing for the first time that HDL decreases the ADAMTS-1 expression induced by LPS and TNFalpha, suggests a new mechanism by which HDL could have a protective effect on endothelial cell and vascular wall function.	p(FPLX:HDL)	directlyDecreases	p(HGNC:ADAMTS1)
da501cf1-7321-4fbf-b662-1e264dfc8b69	1.0	23859810	IFN-gamma was shown to attenuate ADAMTS-1 expression, but it had no effect on the expression of ADAMTS-4 or -5 (XREF_FIG).	p(HGNC:IFNG)	directlyDecreases	p(HGNC:ADAMTS1)
8a566783-d115-413a-a79d-d6ea3a6d682a	1.0	20619343	Conversely, IL-1alpha reduced mRNA and protein expression of ADAMTS1, a metalloproteinase that suppresses neovascularization.	p(HGNC:IL1A)	directlyDecreases	p(HGNC:ADAMTS1)
07db815a-b4bc-4b1d-b631-bd6da5dfbbc7	1.0	20619343	In chondrosarcoma cells, hypoxia has no modulatory effect, whereas IL-1 reduces ADAMTS1 expression (XREF_BIBR); findings in agreement with our results in CMF.	p(FPLX:IL1)	directlyDecreases	p(HGNC:ADAMTS1)
ff7c2ae8-f8b0-4294-988d-d7a956d80e02	1.0	15967414	We found that LH considerably reduced ADAMTS1 expression but was more modestly repressed after FSH stimulation.	p(FPLX:LH)	directlyDecreases	p(HGNC:ADAMTS1)
878f114e-e355-4a7d-89b1-ff2e2fbff2ce	1.0	19349275	The phosphatidylinositol 3-kinase inhibitor LY294002 dose-dependently inhibited the increase of ADAMTS1 mRNA expression in hypoxia.	a(PUBCHEM:3973)	directlyDecreases	p(HGNC:ADAMTS1)
b8d1cc3b-5e5c-495b-a040-220627801ebb	1.0	19007777	Among various HDAC inhibitors, we demonstrate that TSA and SAHA upregulated the expression of angiostatic ADAMTS1 in A549 cells.	a(CHEBI:46024)	directlyDecreases	p(HGNC:ADAMTS1)
14b788b7-8a23-4cdb-bbc7-1ade3d6cea9b	1.0	19007777	Among various HDAC inhibitors, we demonstrate that TSA and SAHA upregulated the expression of angiostatic ADAMTS1 in A549 cells.	a(CHEBI:45716)	directlyDecreases	p(HGNC:ADAMTS1)
1c8673b8-9dbc-4848-bbd2-fc6f11ca95cb	1.0	20619343	ADAMTS1 expression was significantly reduced by SB203580 and BIRB-0796 treatment, both in the absence and presence of IL-1alpha stimulation, suggesting that ADAMTS1 expression is positively regulated by p38 MAPK, but negatively regulated by IL-1alpha, presumably via a p38 independent mechanism.	a(CHEBI:90705)	directlyDecreases	p(HGNC:ADAMTS1)
97875f8f-8b1b-440a-81df-8c049bbad7dc	1.0	26299656	Real-Time PCR analysis indicated that ADAMTS1 mRNA level was reduced by SP1 under normoxic conditions, but ADAMTS1 mRNA level was increased by SP1 in hypoxic conditions at 24h (B and D).	p(HGNC:SP1)	directlyDecreases	p(HGNC:ADAMTS1)
be32bd0c-4a6b-4178-b748-5704ef0db890	1.0	23859810	3.2 TGF-beta attenuated the expression of ADAMTS-4 and increased the expression of ADAMTS-1 and -5 in human macrophages.	p(FPLX:TGFB)	directlyDecreases	p(HGNC:ADAMTS1)
0043e6f5-193e-4007-b11f-2e5be2674cc3	1.0	26299656	ADAMTS1 mRNA level was also reduced by USF in normoxic conditions at 48 and 72h (B-C).	p(HGNC:USF1)	directlyDecreases	p(HGNC:ADAMTS1)
2ebebd54-3681-48ee-a3e1-3627796491e7	1.0	6778637	In the present study, we demonstrate that ADAMTS1 significantly blocks VEGFR2 phosphorylation with consequent suppression of endothelial cell proliferation.	p(HGNC:ADAMTS1)	directlyDecreases	p(HGNC:KDR, pmod(Ph))
0b88dc7c-acb9-4457-817c-8adee2194b08	1.0	20546609	ADAMTS1 was downregulated by shRNA technology in the human prostate cancer cell line LNCaP (androgen dependent), originally expressing ADAMTS1, and was upregulated by transfection in its subline LNCaP-19 (androgen independent), expressing low levels of ADAMTS1.	p(HGNC:ADAMTS1)	directlyIncreases	p(HGNC:ADAMTS1)
0b88dc7c-acb9-4457-817c-8adee2194b08	1.0	20546609	ADAMTS1 was downregulated by shRNA technology in the human prostate cancer cell line LNCaP (androgen dependent), originally expressing ADAMTS1, and was upregulated by transfection in its subline LNCaP-19 (androgen independent), expressing low levels of ADAMTS1.	p(HGNC:ADAMTS1)	directlyIncreases	p(HGNC:ADAMTS1)
f97c3f0c-e136-479a-9cdc-dc78bedfb9c7	1.0	15967414	On the contrary, cAMP moderately elevates the expression of ADAMTS1 and ADAM12.	a(CHEBI:17489)	directlyIncreases	p(HGNC:ADAMTS1)
0cc59982-63a5-4d4b-ac43-0e22b3efc1fc	1.0	19396168	ADAMTS1 and CXCR4, two candidate genes strongly associated with cell migration, were upregulated in the presence of ERG overexpression.	act(p(HGNC:ERG), ma(tscript))	directlyIncreases	p(HGNC:ADAMTS1)
10f6df10-2321-4857-8d1f-db7180356141	1.0	20840749	Furthermore, we found that endothelial cell expression of ADAMTS1 was also rapidly induced by conditioned medium from PGF 2alpha -treated FPS cells in a biphasic manner, which was reciprocal to the expression pattern of the pro angiogenic fibroblast growth factor 2 reported in our previous study [XREF_BIBR].	p(HGNC:FES)	directlyIncreases	p(HGNC:ADAMTS1)
1ccd05fc-d084-4aae-8b4e-0544a8f96a28	1.0	23859810	3.4 TL1A and IL-17A together, but not alone, induce the expression of ADAMTS-1, -4 and -5 in human macrophages.	p(HGNC:IL17A)	directlyIncreases	p(HGNC:ADAMTS1)
37fb66ee-874f-47c4-869a-5033ad507a83	1.0	20619343	We therefore performed Western blotting experiments to determine whether IL-1alpha could also modulate ADAMTS1 expression at the protein level.	p(HGNC:IL1A)	directlyIncreases	p(HGNC:ADAMTS1)
be4f7a4d-2632-4ed2-8953-171805855668	1.0	22735305	IL-1beta and IL-6 treatments significantly modulated ADAMTS-1 mRNA expression and IL-1beta treatment ADAMTS-4 mRNA expression in HepG2 cells.	p(HGNC:IL1B)	directlyIncreases	p(HGNC:ADAMTS1)
1c6298cc-5388-4999-ac86-a8083a1fb237	1.0	22735305	IL-1beta and IL-6 treatments significantly modulated ADAMTS-1 mRNA expression and IL-1beta treatment ADAMTS-4 mRNA expression in HepG2 cells.	p(HGNC:IL6)	directlyIncreases	p(HGNC:ADAMTS1)
be2bfb62-2c7d-44a6-903f-2442f1301eb8	1.0	15967414	This would suggest that Ep expression is only partially dependent on PKA activity.It is known that members of ADAM metalloproteinases may cleave Ar and Ep to produce active mitogenic growth factors that could bind to the EGF receptor and that ovarian ADAMTS1 expression could be modulated by LH in ovarian follicular cells.	p(FPLX:LH)	directlyIncreases	p(HGNC:ADAMTS1)
f924577f-542c-4d99-8e76-268d7a52487b	1.0	14996435	The induction of ADAMTS-1 mRNA expression by LPS was maximal after 3 h, sustained for 6 h and decreased after 18 h (c).	a(CHEBI:16412)	directlyIncreases	p(HGNC:ADAMTS1)
