INDRA UUID	Confidence	PMID	Evidence	Subject	Predicate	Object
98e429c6-0de0-4963-aab4-7a312ef6ffff	1.0	22542696	The anti-inflammatory effects of resolvins and protectins have been demonstrated in several animal models of sepsis, peritonitis, colitis, and periodontitis, and their productions have been reported to be mediated sequentially by aspirin acetylated COX-2 and 5-lipoxygenase in the presence of omega-3 fatty acids or by lipoxygenases, such as, 15-lipoxygenase and 5-lipoxygenase.	a(PUBCHEM:2244)	directlyIncreases	p(HGNC:ALOX5, pmod(Ac))
cebd9c37-a38d-49c8-9c12-627bdae30edd	1.0	3719607	These findings suggest that AA-861 reduced liver allograft rejection by suppressing the elevation of 5-lipoxygenase products and increasing PGE2 production in the early stage of rejection.	a(PUBCHEM:1967)	directlyIncreases	act(p(HGNC:ALOX5))
4b8e102f-1a9f-4277-8cca-c2879ba2b46c	1.0	3944261	In this model, ionophore stimulation resulted in transcellular eicosanoid synthesis via the bidirectional transfer of free AA, with AM synthesizing their exclusive 5-lipoxygenase products leukotriene B4 and 5-hydroxyeicosatetraenoic from AEC derived AA, and AEC synthesizing their exclusive cyclooxygenase metabolites prostaglandin E2 and prostacyclin from AM derived AA.	bp(MESH:D000650)	directlyIncreases	act(p(HGNC:ALOX5))
01032953-1537-4792-8a51-4e4ffb59b9d1	1.0	26329759	Here we found that class I HDAC inhibitors abrogate the AF4 dependent activation of 5-LO transcript elongation by calcitriol and TGFbeta in the respective reporter gene assays, as well as 5-LO mRNA and protein expression and cellular enzyme activity in Mono Mac 6 cells.	p(HGNC:AFF1)	directlyIncreases	act(p(HGNC:ALOX5))
f04fa519-c901-4ffa-b383-5a9027282252	1.0	26327594	Thus, we demonstrate that FLAP promotes the LTA synthase activity of 5-LO and thereby 5-LO provides more substrate for LTCS.	p(HGNC:ALOX5AP)	directlyIncreases	act(p(HGNC:ALOX5))
f11b9c99-0315-4a7b-8e31-9393c01f80a4	1.0	5905294	These data suggest that 5-lipoxygenase metabolites, particularly cysteinyl leukotrienes, contribute to the exaggerated vasoconstrictor responses to angiotensin II but not to endothelin-1.	p(HGNC:ALOX5)	directlyIncreases	act(p(HGNC:AGT))
7064e8e6-dfec-4aa5-aafe-dae083309af1	1.0	3184822	These findings suggest that neutrophil elastase is involved in antigen induced bronchoconstriction and AHR mediated by neutrophil accumulation and 5-lipoxygenase products in allergic sheep.	p(HGNC:ALOX5)	directlyIncreases	act(p(HGNC:AHR))
0cf92441-9c45-4d82-b7ed-1be63ed4b7d2	1.0	20435026	Among them, the 5-lipoxygenase activating protein gene (ALOX5AP, mapped to 13q12-13) and phosphodiesterase 4D gene (PDE4D, mapped to 5q12) were first reported as candidate genes in an Icelandic population.	p(HGNC:ALOX5)	directlyIncreases	act(p(HGNC:ALOX5AP))
261889bd-cbb7-48ea-8f82-615eee0f86ea	1.0	5566834	It was therefore logical to assume that an inhibitor of 5-lipoxygenase (5-LO), such as zileuton, given before and during oral challenges with ASA, might prevent ASA induced respiratory reactions.	p(HGNC:ALOX5)	directlyIncreases	act(p(HGNC:ARSA))
cfc6a6b2-0f64-4cf2-84a2-72ef3557e06c	1.0	3813821	Inhibition of 5-lipoxygenase also reduced the severity of vascular inflammation and endothelial injury in allografts, and profoundly inhibited expression of donor MHC class II Ag on kidney cells.	p(HGNC:ALOX5)	directlyIncreases	act(a(PUBCHEM:104755))
f31f217b-8201-46ef-b86e-0971d5a4929a	1.0	5994848	Apoptosis induced in the IL3 dependent murine pro B lymphocytic (FL5.12) cell line by the 5-lipoxygenase activating protein inhibitor MK886 is accompanied by the rapid loss of the anti-apoptotic bcl-x (L) and bcl-2, but not the proapoptotic bax proteins (Datta et al., J. Biol.	p(HGNC:ALOX5)	directlyIncreases	act(bp(GO:"GO:0006915"))
c4b586e6-f37c-4bde-8315-0d625c7e41f4	1.0	6016631	Application of 5-LO or 5-LO activating protein directed inhibitors, but not a cyclooxygenase inhibitor, reduced growth, increased apoptosis, down-regulated bcl-2, up-regulated bax, and increased G1 arrest.	p(HGNC:ALOX5)	directlyIncreases	act(p(HGNC:BCL2))
