INDRA UUID	Confidence	PMID	Evidence	Subject	Predicate	Object
f11d8a24-1fea-4ca4-b06b-921348aa1877	1.0	27012521	As shown in A-B, 100mug/ml apo AI increased ANXA1 expression by112.95 +/-43.38% (< 0.001).	a(PUBCHEM:71581110)	directlyIncreases	act(p(HGNC:ANXA1))
ab6087b7-8126-4af2-b52f-d2ba53df606e	1.0	4189437	No signs of apoptosis were observed in Trichoplusia ni TN-368 cells transfected with ie-1, a result which is consistent with the observation that p35 mutants of AcMNPV do not induce apoptosis in this cell line.	p(HGNC:ANXA1, var("p.?"))	directlyIncreases	act(bp(GO:"GO:0006915"))
000a910c-56a1-4c88-ab6a-969e5a68c2bf	1.0	24497843	The first type of model takes advantage of the fact that another caspase inhibitor, the P35 protein from Baculovirus, specifically inhibits the effector caspases DrICE and Dcp-1, but not the initiator caspase Dronc XREF_BIBR, XREF_BIBR, XREF_BIBR.	p(HGNC:ANXA1)	directlyIncreases	act(p(HGNC:ACE))
7df78cb7-02bb-4985-8834-aaf099bf1cf2	1.0	7027418	When transfected into human colon carcinoma cells, P35 was able to enhance the activity of E-cadherin and beta-actin promoters by about a factor of two as measured by luciferase reporter assay.	p(HGNC:ANXA1)	directlyIncreases	act(p(HGNC:ACTB))
a197ffdd-b3c4-4072-837a-aafac2606f00	1.0	26760764	Via chromatin immunoprecipitation (ChIP) we analyzed activating chromatin marks, pan acetylation of histone H4 and tri methylation of lysine 4 of histone H3 (H3K4) at the ANXA1 promoter of AGS SCR and HIF-cells.	p(HGNC:ANXA1)	directlyIncreases	act(a(PUBCHEM:135103))
be5f8712-ee4c-4485-a441-bdccbe118a86	1.0	20821804	The observed upregulation of E-cadherin repressors (exept twist2) supports our conclusion that AnxA1 knockdown indeed induces EMT, but is not directly caused by loss of AnxA1 since these repressors were not upregulated by AnxA1 knockdown in a transient transfection approach (48 h) analyzed via chip analysis (data not shown).	p(HGNC:ANXA1)	directlyIncreases	act(p(HGNC:ANXA1))
be5f8712-ee4c-4485-a441-bdccbe118a86	1.0	20821804	The observed upregulation of E-cadherin repressors (exept twist2) supports our conclusion that AnxA1 knockdown indeed induces EMT, but is not directly caused by loss of AnxA1 since these repressors were not upregulated by AnxA1 knockdown in a transient transfection approach (48 h) analyzed via chip analysis (data not shown).	p(HGNC:ANXA1)	directlyIncreases	act(p(HGNC:ANXA1))
c1f99321-f4a4-4ecb-b7b1-c9deb2db2fa8	1.0	19548013	This was surprising, considering the prominent, widespread accumulation of Abeta and increased levels of BACE1 and p35 and p25.	p(HGNC:ANXA1)	directlyIncreases	act(p(HGNC:APP))
29c2785e-e001-4214-b3c6-7b98740fc490	1.0	24591769	McArthur et al. [XREF_BIBR] showed that ANXA1 exerts an autocrine-paracrine action leading to Rho kinase (ROCK) activation and actin polymerization.	p(HGNC:ANXA1)	directlyIncreases	act(p(FPLX:Actin))
700a14d2-3f32-4665-8872-855826a2ae81	1.0	23267026	In contact hypersensitivity, collagen induced arthritis, and inflammation induced by OT-II TCR transgenic T cells responding to OVA, AnxA1 deficiency significantly increased Ag induced T cell proliferation and the resultant level of inflammation.	p(HGNC:ANXA1)	directlyIncreases	act(a(PUBCHEM:104755))
3b1d05ad-3a53-4ee1-b196-715784a7cec4	1.0	26885535	AnxA1 Induces Neutrophil Apoptosis.	p(HGNC:ANXA1)	directlyIncreases	act(bp(GO:"GO:0006915"))
80f88d93-8ce7-4409-a9f6-b3a6d3a32751	1.0	18438930	Thus, MAPK and ERK dependent p35 up-regulation and MAPK and ERK dependent and PI3K and Akt dependent Bcl2 up-regulation contribute to BDNF stimulated neural differentiation and to the survival of differentiated cells.	p(HGNC:ANXA1)	directlyIncreases	act(p(HGNC:BDNF))
300397f7-b619-4787-84a2-843b57f3a468	1.0	17112319	The dE2F1 dependent phenotype was strongly suppressed by coexpression of the caspase inhibitors baculovirus p35 or Drosophila thread and inhibitor of apoptosis protein-1 (dIAP1) (XREF_FIG F and XREF_FIG G).	p(HGNC:ANXA1)	directlyIncreases	act(p(HGNC:BIRC3))
4ae4762e-5378-4a22-bb9f-5fb986d2ecd4	1.0	4535611	Both annexin II and annexin I also induced the Ca2 +-dependent aggregation of liposomes via junctions that lack the central (p11) 2 moiety and present only six high-density stripes.	p(HGNC:ANXA1)	directlyIncreases	act(p(HGNC:CA2))
7b3ffb41-be47-4aed-bb9b-145c86f09a64	1.0	17897354	Using an in vitro model of HIV neurotoxicity, in which primary rat cortical cultures are exposed to supernatants from primary human HIV infected macrophages, we have observed increased calpain dependent cleavage of the CDK5 regulatory subunit, p35, to the constitutively active isoform, p25.	p(HGNC:ANXA1)	directlyIncreases	act(p(FPLX:CAPN))
540e51e3-ff2e-457b-815c-5bc6035b4f3e	1.0	24606760	Once caspase-3 is activated by p35 containing apoptosome, it mediates another cleavage of caspase-9 at Asp 330, which produces p37 to amplify the apoptotic signal via positive feedback on the remaining procaspase-9 [XREF_BIBR, XREF_BIBR, XREF_BIBR, XREF_BIBR].	p(HGNC:ANXA1)	directlyIncreases	act(p(HGNC:CASP3))
739a4f91-e111-4045-971e-07e741062346	1.0	19851330	Ad-IRF-1 results in IRF-1 induction (XREF_FIG) by 12 h with induction of caspase-3 cleavage by 24 h, which is increased at 30 h. Caspase-8 cleavage products were seen at 24 h and increased at 30 h, with decreased procaspase-8 at 30 h. However, the active caspase-9 product p35 was seen as early as 12 h, and increased at 24 and 30 h.	p(HGNC:ANXA1)	directlyIncreases	act(p(HGNC:CASP9))
170fb541-d68f-4ad6-8795-840c2bf63f94	1.0	18566442	By Western blotting analysis and observation of the CD4 positive T cell responses in bronchoalveolar lavage samples, the N-terminal portion of annexin 1 was cleaved and found to induce marked proliferative responses of CD4 positive T cells in three patients.	p(HGNC:ANXA1)	directlyIncreases	act(p(HGNC:CD4))
6713cbae-68db-4c8e-abbc-8c29afcd86e1	1.0	18325333	We also found that p35 co-expression can target E-cadherin to lysosomes and that p35 triggered disappearance of E-cadherin precursor can be blocked specifically by lysosomal protease inhibitors, indicating that p35 induces endocytosis and subsequent degradation of precursor E-cadherin.	p(HGNC:ANXA1)	directlyIncreases	act(p(HGNC:CDH1))
5b439832-f746-44c2-b3a6-0b0db53bb913	1.0	5534586	Recently, it was shown that conversion of cdk5 activator protein p35 to a C-terminal fragment p25 promotes a deregulation of cdk5 activity, which may contribute to neurodegeneration in Alzheimer 's disease.	p(HGNC:ANXA1)	directlyIncreases	act(p(HGNC:CDK5))
d44a16a6-80b3-4611-835a-3f3199a34acf	1.0	23431236	Then, AnxA1 upregulates p21, which has antiproliferative properties, and reduces the proliferation caused by the activation of ERK1/2 by estrogen.	p(HGNC:ANXA1)	directlyIncreases	act(p(HGNC:CDKN1A))
d44ee2b9-2edb-409d-8e14-6a80e2048df9	1.0	PMC4340738	In contrast to the activation of typical CDKs by cyclin subunits, p35.	p(HGNC:ANXA1)	directlyIncreases	act(p(FPLX:CDK))
cf31cc6e-86a6-49f0-916e-23c424d27fdb	1.0	5014265	Finally, the P35 encoding gene was modified by in vitro mutagenesis to allow the production and purification of a recombinant protein (rP35delta0) in Escherichia coil.	p(HGNC:ANXA1)	directlyIncreases	act(p(HGNC:COIL))
5e6cc381-395c-4a80-b313-b227686a56e0	1.0	3295466	Introduction of the CED-3 cleavage site in p35 into the cowpox virus protein crmA, which inhibits mammalian apoptosis but not programmed cell death in C. elegans, caused crmA to block CED-3-mediated cell death.	p(HGNC:ANXA1)	directlyIncreases	act(p(UP:P07385))
ff9539c1-c573-48a4-b45c-d551eb7e6b6f	1.0	25866182	This suggests that high levels of ANXA1 may induce a sustained ERK activation in response to CXCL12.	p(HGNC:ANXA1)	directlyIncreases	act(p(HGNC:CXCL12))
74114455-1f0e-4aee-9013-51a3dab5f06b	1.0	22056994	Both anti-human ANXA1 antibodies and anti-human ANXA4 ones increased IL-8 production during coculturing of macrophages with late apoptotic human neutrophils.	p(HGNC:ANXA1)	directlyIncreases	act(p(HGNC:CXCL8))
1dace9df-cba2-4e39-bbe8-fd8268bd8bb2	1.0	22640735	A recent report indicated that ANXA1 enhances activation of NF-kappaB through its interaction with the IkappaB kinase (IKK) complex, and subsequently induces C-X-C chemokine receptor type 4 (CXCR4)-mediated migration of breast cancer cell lines in response to C-X-C chemokine ligand 12 (CXCL12).	p(HGNC:ANXA1)	directlyIncreases	act(p(HGNC:CXCR4))
88bea632-97d6-464a-b957-4731a6daf8a4	1.0	18652801	Moreover, LXA and ANXA1 have been found to increase cytosolic Ca concentrations in many different cell types.	p(HGNC:ANXA1)	directlyIncreases	act(a(CHEBI:29108))
4a7c0b96-55dd-402c-9f62-f1a99ff36a3b	1.0	6509472	Here we report that baculovirus P49, a homolog of pancaspase inhibitor P35, prevents apoptosis in invertebrates by inhibiting an initiator caspase that is P35 insensitive.	p(HGNC:ANXA1)	directlyIncreases	act(p(FPLX:Caspase))
f9098934-c78f-466a-9cf2-58c8a2140966	1.0	26966064	In contrast with roles of Cdk2 and Cdk4, our data clearly showed that Cdk5 and its non cyclin activator p35 were required for TGF-beta1-induced cell cycle arrest at G1 phase.	p(HGNC:ANXA1)	directlyIncreases	act(p(FPLX:Cyclin))
