INDRA UUID	Confidence	PMID	Evidence	Subject	Predicate	Object
e7ad324d-edde-43c2-ae13-12f4b7269fc9	1.0	26166158	Together with the binding analyses, the data demonstrate that Fe65 promotes cortactin acetylation through the recruitment of Tip60 to cortactin.	p(HGNC:APBB1)	directlyIncreases	p(HGNC:CTTN, pmod(Ac))
af078eec-ec0d-4f82-ac12-33b7f22291df	1.0	15031292	The c-abl tyrosine kinase phosphorylates the fe65 adaptor protein to stimulate fe65/amyloid precursor protein nuclear signaling. Here, we show that active c-abl stimulates app/fe65-mediated gene transcription and that this effect is mediated by phosphorylation of fe65 on tyrosine 547 within its second ptb domain.	p(HGNC:ABL1)	directlyIncreases	act(p(HGNC:APBB1))
f759488d-55b9-436c-a26b-fe857d2b4039	1.0	26188042	As shown in XREF_FIG A), overexpression of FE65 and FE65 S610A enhances gamma-secretase-mediated APP processing, whereas FE65 S610D is unable to stimulate APP cleavage.	p(HGNC:APBB1, var("p.Ser610Ala"))	directlyIncreases	act(p(HGNC:APP))
ad447003-ee65-4f35-92f8-77f296d346b5	1.0	26188042	As FE65 S610A but not FE65 S610D was found to promote APP beta- and gamma-cleavage, we investigated whether Abeta liberation was affected by FE65 Ser 610 phosphorylation.	p(HGNC:APBB1, var("p.Ser610Asp"))	directlyIncreases	act(p(HGNC:APP))
4a6d7517-31c4-4a63-b593-a873399437b5	1.0	12150951	In addition, Fe65 is retained in the cytoplasm by uncleaved APP while gamma-cleavage of APP releases AID and may allow AID and Fe65 to translocate to the nucleus.	p(HGNC:APBB1)	directlyIncreases	act(p(HGNC:AICDA))
d5844932-1bed-4176-8440-00f0781d6d86	1.0	26276215	To determine whether Tip60 is involved in negatively regulating AP1 mediated JICD transactivation by Fe65, we conducted a reporter assay with HEK293 and NIH3T3 cells using a luciferase reporter gene.	p(HGNC:APBB1)	directlyIncreases	act(p(FPLX:AP1))
cb1adcd0-b3a0-4588-8207-7355f19e7b9c	1.0	21952790	Interestingly, Fe65 co-expression with APP and APLPs promotes cell surface localization of APP (Sabo et al..	p(HGNC:APBB1)	directlyIncreases	act(p(HGNC:APP))
f99d05e0-8062-4b5b-b2b7-dc518a894d2b	1.0	24056087	Interestingly, FE65 stimulates the activation of both ARF6 and its downstream GTPase Rac1, a regulator of actin dynamics, and functions in growth cones to stimulate neurite outgrowth.	p(HGNC:APBB1)	directlyIncreases	act(p(HGNC:ARF6))
1acab3d8-e38b-412f-b38a-e65c6670ba1f	1.0	24056087	Interestingly, FE65 stimulates the activation of both ARF6 and its downstream GTPase Rac1, a regulator of actin dynamics, and functions in growth cones to stimulate neurite outgrowth.	p(HGNC:APBB1)	directlyIncreases	act(p(FPLX:Actin))
da9ea30f-f4c1-4f78-86f0-f4eb0f381c16	1.0	14527950	Increased beta-amyloid (A beta) generation was also observed in cells showing the FE65 dependent increase in APPs alpha.	p(HGNC:APBB1)	directlyIncreases	act(p(HGNC:CTSB))
7dcfff9d-37fa-42ab-b1e3-ce94569fac18	1.0	21803450	To further dissect the molecular mechanisms of the potentiating effect of AICD on ER stress triggered cell death, we analyzed whether concomitant induction of AICD and Fe65 modulated the expression of the 2 unfolded protein response (UPR) target genes Bip and Grp78 and CHOP and GADD153 ().	p(HGNC:APBB1)	directlyIncreases	act(p(HGNC:DDIT3))
8261192e-d421-469d-bd42-d608c5e706ad	1.0	24619425	Ectopic Fe65 increased the transcriptional activity of the ERalpha in a PTB2 dependent manner in reporter assays.	p(HGNC:APBB1)	directlyIncreases	act(p(HGNC:ESR1))
21be10d2-d7c9-44e8-959f-e9a2612204ae	1.0	21803450	To further dissect the molecular mechanisms of the potentiating effect of AICD on ER stress triggered cell death, we analyzed whether concomitant induction of AICD and Fe65 modulated the expression of the 2 unfolded protein response (UPR) target genes Bip and Grp78 and CHOP and GADD153 ().	p(HGNC:APBB1)	directlyIncreases	act(p(HGNC:HSPA5))
5ea34ad6-92b4-4d82-8f0c-e7b9f00536c0	1.0	26276215	We found that MG132 restores the Fe65 mediated down-regulation of transcriptional activation of Jagged1 (A).	p(HGNC:APBB1)	directlyIncreases	act(p(HGNC:JAG1))
73126810-c8d0-4732-9298-6714d440f928	1.0	26166158	Doxycycline treatment, which clearly decreased the expression of endogenous Fe65, diminished the positive effect of ectopic Tip60 on cortactin acetylation.	p(HGNC:APBB1)	directlyIncreases	act(p(HGNC:KAT5))
d355e3dc-f898-4eed-b09a-007e25e2c83b	1.0	23167255	Fe65 mediates transactivation of LRP1 analogously [XREF_BIBR, XREF_BIBR].	p(HGNC:APBB1)	directlyIncreases	act(p(HGNC:LRP1))
234ef153-7003-4bae-9501-78d98335b824	1.0	24056087	Interestingly, FE65 stimulates the activation of both ARF6 and its downstream GTPase Rac1, a regulator of actin dynamics, and functions in growth cones to stimulate neurite outgrowth.	p(HGNC:APBB1)	directlyIncreases	act(p(HGNC:RAC1))
c12a7297-cf4f-48d4-b10a-67b7805bdcba	1.0	26276215	In addition to this, we found that Fe65 forms a trimeric complex with Jagged1 and Neurl1, and increases ubiquitin dependent proteolysis of Jagged1 ().	p(HGNC:APBB1)	directlyIncreases	act(p(FPLX:Ubiquitin))
1a7c2dfa-0f10-4e5b-845a-9ff9320d17f8	1.0	25342469	Here, the nuclear localization of Fe65 together with its interaction partner RNA binding protein SART3 (squamous cell carcinoma antigen recognized by T cells 3 or Tip110) is crucial to trigger apoptosis.	p(HGNC:APBB1)	directlyIncreases	act(bp(GO:"GO:0006915"))
de69ef33-90c9-43e7-a774-76909a6de24a	1.0	23028730	An additional report shows that Fe65 can either activate or repress target genes, and promote cell death by controlling expression of caspase 4 XREF_BIBR.	p(HGNC:APBB1)	directlyIncreases	act(bp(GO:"GO:0008219"))
689e01e1-ea8e-48da-9ee3-0d8950cad0ce	1.0	26166158	The Fe65 dependent effect of Tip60 on cortactin binding and acetylation raises the possibility for Tip60 to regulate cell migration and invasion through Fe65.	p(HGNC:APBB1)	directlyIncreases	act(bp(GO:"GO:0016477"))
