INDRA UUID	Confidence	PMID	Evidence	Subject	Predicate	Object
3e3cb7db-d2d2-4807-8eb6-2bcfdb069900	1.0	21459473	Interestingly, co-expression of APLP1 with one of the other family proteins led to a partial retention of APLP1 in intracellular compartments, indicating heterophilic interactions occur.	p(HGNC:APLP1)	directlyIncreases	act(p(HGNC:APLP1))
3e3cb7db-d2d2-4807-8eb6-2bcfdb069900	1.0	21459473	Interestingly, co-expression of APLP1 with one of the other family proteins led to a partial retention of APLP1 in intracellular compartments, indicating heterophilic interactions occur.	p(HGNC:APLP1)	directlyIncreases	act(p(HGNC:APLP1))
6b0d929c-2ce3-44f9-8de6-5669dec570ed	1.0	16344553	In human embryonic kidney 293 cells expression of APLP1 strongly activated APP shedding by alpha-secretase and slightly reduced beta-secretase cleavage.	p(HGNC:APLP1)	directlyIncreases	act(p(HGNC:APP))
8ff79b41-549e-4054-9c05-c72a05f70a23	1.0	16531006	However, cAMP synthesis in our experiments was not significantly altered in cells expressing APLP1 alone when compared with cells transfected with empty control plasmid although APP and APLP1 may differ in their potential to modulate cAMP synthesis.The exact functions of the APP family members are still unknown, but they have been implicated in synaptogenesis and maintenance of synaptic function and knock-out mice revealed that APP, APLP1 and APLP2 are functionally redundant.	p(HGNC:APLP1)	directlyIncreases	act(a(CHEBI:17489))
037503c6-98b9-49dd-b8cf-b5ecaae46289	1.0	4404012	In this paper we show that APLP1 and APLP2 mRNA expression is upregulated during RA induced differentiation of human SH-SY5Y neuroblastoma cells.	p(HGNC:APLP1)	directlyIncreases	act(bp(GO:"GO:0030154"))
d37ccf84-88b0-49c7-ade3-7b847cb9ebe4	1.0	23872404	Hence, the indication of a cis binding between Cntn5 and APLP1 at presynaptic terminals led to the speculation that Cntn5 affects dimerization of APLP1, which in turn influences synaptogenesis ().	complex(p(HGNC:APLP1), p(HGNC:CNTN5))	directlyIncreases	act(p(HGNC:APLP1))
d37ccf84-88b0-49c7-ade3-7b847cb9ebe4	1.0	23872404	Hence, the indication of a cis binding between Cntn5 and APLP1 at presynaptic terminals led to the speculation that Cntn5 affects dimerization of APLP1, which in turn influences synaptogenesis ().	complex(p(HGNC:APLP1), p(HGNC:CNTN5))	directlyIncreases	act(p(HGNC:APLP1))
79c56f87-fec7-4c6e-bfaa-58adb1163add	1.0	23874953	To investigate this possibility, HEK cells were transfected with APP, APLP1 or the chimeric APP and APLP1 proteins and treated with the gamma-secretase inhibitor DAPT (XREF_FIG).	a(PUBCHEM:5311272)	directlyIncreases	act(p(HGNC:APLP1))
2e168104-11fa-401b-8fe2-b661e450150b	1.0	24740518	This study indicates that DS causes previously unknown specific alterations of APP and APLP1 metabolism.	p(HGNC:DHPS)	directlyIncreases	act(p(HGNC:APLP1))
6fef48f0-de9f-404f-9e3b-3e291c03f278	1.0	21878106	As we can not exclude a potential functional redundancy between sAPPalpha and sAPLP2alpha, we avoid a potential compensatory effect of sAPLPalpha in the present study by using the GM6001 MMP inhibitor that inhibits APLP1,2 cleavage by alpha-secretase as well.	a(PUBCHEM:132519)	directlyIncreases	act(p(HGNC:APLP1))
