INDRA UUID	Confidence	PMID	Evidence	Subject	Predicate	Object
870342cf-ab9e-4834-90f1-5e5df1292657	1.0	15657060	Moreover, inhibition of c-Abl with STI571 blocked DNA damage induced autoprocessing of caspase-9 to the p35 subunit and activation of caspase-3.	p(HGNC:ABL1)	directlyIncreases	act(p(HGNC:CASP9))
0b5c4f13-ea6e-4f3b-bec9-cc1cf63c3754	1.0	24523919	Other groups and ours observed that ABT-737 alone can activate caspase-9 and caspase-3, as well as caspase-8 XREF_BIBR, XREF_BIBR, XREF_BIBR, with limited efficacy.	a(PUBCHEM:11228183)	directlyIncreases	act(p(HGNC:CASP9))
2009f90e-e668-4065-8217-471c92389fcb	1.0	19524665	Mitochondria targeted aconitase overexpression prevents oxidant induced DNA fragmentation and caspase-9 activation.	p(HGNC:ACO1)	directlyIncreases	act(p(HGNC:CASP9))
9ba06f5b-2936-4add-8f8a-626d6d96c7ff	1.0	17942194	To sum up our data, the familial AD linked PS1 mutation accelerates the cleavage of caspase-4 under the ER stress and results in the activation of caspase-9 and caspase-3, apoptosis signal, without releasing cytochrome-c.	p(PFAM:PF09793)	directlyIncreases	act(p(HGNC:CASP9))
61576ccd-b99f-497c-93f1-750939517023	1.0	17513605	AICAR cotreatment with either TRAIL or TNFalpha enhances activities of caspase-8, caspase-9, and caspase-3; down-regulates the antiapoptotic protein Bcl-2; increases the cleavage of Bid and results in the decrease of mitochondrial membrane potential; potentiates activation of p38 and c-Jun NH (2)-terminal kinase; and inhibits nuclear factor-kappaB activity.	a(CHEBI:18406)	directlyIncreases	act(p(HGNC:CASP9))
3f55b922-f318-40db-8e9e-272a4cbad85b	1.0	21778226	AITC induced mitochondrion mediated apoptosis, as shown by cytochrome c release from mitochondria to cytoplasm, activation of caspase-9 and caspase-3, and formation of TUNEL positive cells.	a(PUBCHEM:5971)	directlyIncreases	act(p(HGNC:CASP9))
f8025138-0347-4f41-b83c-eb0fae9b9633	1.0	21655183	Downregulation of p-AKT induced activation of caspase-9 in sensitive COC1 cells.	p(FPLX:AKT, pmod(Ph))	directlyIncreases	act(p(HGNC:CASP9))
7354d0ba-cab9-42fb-800e-2b679bef5620	1.0	19738422	AKT promotes cell survival by controlling the activities of caspase-9, Bax, and the mTOR pathway and protecting XIAP from degradation.	p(FPLX:AKT)	directlyIncreases	act(p(HGNC:CASP9))
73371b54-ce13-424f-93ed-7dbf55c70c08	1.0	24287696	Several inhibitors of apoptosis (IAP) E3 ligases, XIAP and cIAP1/2, inhibit caspase-9, -7, and -3 activation through direct interaction XREF_BIBR, XREF_BIBR, XREF_BIBR and ubiquitination.	p(HGNC:ALPI)	directlyIncreases	act(p(HGNC:CASP9))
083aa3af-9930-446d-adb2-5954d7336602	1.0	22683311	Indeed, in contrast to wild-type CSR1, induction of CSR1 expression did not increase the protease activity of caspase-9 or -3 (, B and C).	p(UP:P17597)	directlyIncreases	act(p(HGNC:CASP9))
739a4f91-e111-4045-971e-07e741062346	1.0	19851330	Ad-IRF-1 results in IRF-1 induction (XREF_FIG) by 12 h with induction of caspase-3 cleavage by 24 h, which is increased at 30 h. Caspase-8 cleavage products were seen at 24 h and increased at 30 h, with decreased procaspase-8 at 30 h. However, the active caspase-9 product p35 was seen as early as 12 h, and increased at 24 and 30 h.	p(HGNC:ANXA1)	directlyIncreases	act(p(HGNC:CASP9))
7cd6ea9d-9849-4ba1-86df-0c5497882774	1.0	23640736	AXIIR also down-regulates BCL2, BCL-XL, and activates Caspase-9, which finally activates Caspase-3/7 as well.	p(HGNC:ANXA2R)	directlyIncreases	act(p(HGNC:CASP9))
