INDRA UUID	Confidence	PMID	Evidence	Subject	Predicate	Object
f2b0f0da-1d07-4ad4-87c8-fdf7e038d9d2	1.0	24691920	In Coga1A cells (XREF_FIG a), we observed a significant upregulation of CaSR mRNA expression in the groups that were treated with DAC and DAC and TSA compared with the vehicle control (p < 0.01 and p < 0.001).	p(HGNC:AADAC)	directlyIncreases	act(p(HGNC:CASR))
cca47b2e-d2d2-4298-8556-fa78d2c4e396	1.0	19035514	The receptor activation assays revealed that apoE as well as betaamyloid activated the CASR and that the level of activation appeared to be isoform dependent for apoE.	p(HGNC:APOE)	directlyIncreases	act(p(HGNC:CASR))
b56c2bab-6322-422c-9e20-a2dca811a19b	1.0	12545170	These findings demonstrate that loss of ATM kinase function deregulates the extracellular calcium sensing receptor (CaR).	p(HGNC:ATM)	directlyIncreases	act(p(HGNC:CASR))
b21b993d-11d3-4147-a5fc-76d99ec75182	1.0	21296416	We recently reported that activation of CaSR, in either estrogen receptor positive or estrogen receptor negative human breast cancer cells, down-modulates their malignant cell properties, the expression of survivin and induces cellular sensitivity to paclitaxel.	p(HGNC:BIRC5)	directlyIncreases	act(p(HGNC:CASR))
ba33494e-a792-48c5-bc5b-92617f3ebae3	1.0	21296416	BRCA1 could stimulate the transcriptional activities of the CaSR gene and shRNA targeting CaSR circumvented the action of BRCA1.	p(HGNC:BRCA1)	directlyIncreases	act(p(HGNC:CASR))
7c1bd944-7b88-4d0b-83a0-ffb1c987a6d5	1.0	23300272	In normal PASMC, overexpression of CaSR markedly enhanced the protein level of CaSR (XREF_FIG) and significantly enhanced the nifedipine mediated increase in [Ca 2+] cyt in comparison to normal cells transiently transfected with an empty vector (XREF_FIG).	p(HGNC:CASR)	directlyIncreases	act(a(CHEBI:29108))
442e8d71-b66a-4d23-9508-62a38661b722	1.0	23300272	In normal PASMC, overexpression of CaSR markedly enhanced the protein level of CaSR (XREF_FIG) and significantly enhanced the nifedipine mediated increase in [Ca 2+] cyt in comparison to normal cells transiently transfected with an empty vector (XREF_FIG).	p(HGNC:CASR)	directlyIncreases	act(a(PUBCHEM:4485))
7180a6cc-c126-46a0-b6d7-2ab46be6dbca	1.0	19621386	Ectopic expression of wild-type CaSR in colon carcinoma cells also inhibited the expression of TS and survivin and enhanced cellular sensitivity to 5-FU.	p(HGNC:CASR)	directlyIncreases	act(a(PUBCHEM:304590))
b349d0d6-957a-401f-bca3-f237454827ac	1.0	24244430	While the N124K CaSR mutations causing ADH in humans is located in the extracellular domain, the intracellular tail of the receptor has one non conservative polymorphism, R990G, which also confers a gain-of-function to the receptor (lower external calcium EC 50) and in humans is associated with primary hypercalciuria in patients XREF_BIBR, XREF_BIBR, XREF_BIBR.	p(HGNC:CASR, var("p.Asn124Lys"))	directlyIncreases	act(p(FPLX:ADH))
67d35b48-36b0-4375-a836-a8380a902082	1.0	17463182	Dominant negative CaSR (R185Q) or siRNA blocked the high Ca (2+)-mediated inhibition of the beta-catenin reporter TOPflash.	p(HGNC:CASR, var("p.Arg185Gln"))	directlyIncreases	act(a(CHEBI:29108))
43f8cd36-ee23-4f17-8b0f-3731c3ff6776	1.0	26994139	ADH is also genetically heterogeneous and caused by germline gain-of-function mutations of the CASR and GNA11 genes, which lead to ADH types 1 (ADH1, OMIM # 601198) and 2 (ADH2, OMIM # 615361), respectively (XREF_BIBR, XREF_BIBR XREF_BIBR XREF_BIBR).	p(HGNC:CASR, var("p.?"))	directlyIncreases	act(p(FPLX:ADH))
7da12197-a0bf-4a53-bdce-9aad3e656e13	1.0	23856265	CaSR autoantibodies that activate the receptor may also cause ADH.	p(HGNC:CASR)	directlyIncreases	act(p(FPLX:ADH))
89b7250e-a42a-493e-8963-4b2309903d75	1.0	23300272	In addition to increasing [Ca 2+] cyt via ROCE and SOCE, the extracellular Ca 2+ -induced activation of CaSR also activates other signal transduction pathways (e.g., Akt and mTOR and MAPK and ERK) to induce cell proliferation.	p(HGNC:CASR)	directlyIncreases	act(p(FPLX:AKT))
61644df3-bda1-49c3-947d-ec6d579e7b2f	1.0	25705702	Activation of the renal CaSR promoted H + -ATPase mediated H + excretion and downregulation of aquaporin 2 (AQP 2), leading to urinary acidification and polyuria, respectively.	p(HGNC:CASR)	directlyIncreases	act(p(HGNC:AQP2))
263ce211-1a83-4805-8d51-5d0092b0a63b	1.0	17138967	Upregulation of BMP-2 transcript and secretion occurring within 3 h of CaSR activation was prevented by actinomycin D. CaSR mediated BMP-2 synthesis and secretion required phosphatidylinositol 3-kinase activation (as assessed by phospho-Akt generation).	p(HGNC:CASR)	directlyIncreases	act(p(HGNC:BMP2))
094adf07-bbbd-4685-9405-0abb0ce791c6	1.0	21296416	Thus, CaSR can rescue BRCA1 defective cells from the deleterious effects of loss of BRCA1 function.	p(HGNC:CASR)	directlyIncreases	act(p(HGNC:BRCA1))
1763d2d2-dbaa-4d3a-806f-e344d45ced69	1.0	26436544	However, CaSR knockdown abolished the Gd (p = 0.0005) and Gd+ Ca2 (p = 0.013) associated reduction in ALP activity.	p(HGNC:CASR)	directlyIncreases	act(p(HGNC:CA2))
59a76c08-10d2-4b82-ab6b-88acc4c74308	1.0	22730443	CaSR activates the mitogen activated protein kinase (MAPK) cascade, e.g. extracellular signal regulated kinase 1/2 (ERK1/2), p38, and c-jun N-terminal kinase (JNK), potentially through the interaction with filamin A scaffolding protein and caveolin-1 in cholesterol rich invaginations in the plasma membrane known as caveolae XREF_BIBR, XREF_BIBR, XREF_BIBR - XREF_BIBR.	p(HGNC:CASR)	directlyIncreases	act(p(HGNC:CAV1))
e8bb9579-a215-4c5d-8fbc-8dd949b39682	1.0	22449852	Our observations after preincubating the cells with the NFkappaB nuclear translocation inhibitor SN50, allow us to suggest that the CaSR dependent elevation of IL6 and CCL2 in preadipose and adipose cells is in part (60-70% for IL6 and 30-40% for CCL2) mediated by NFkappaB.	p(HGNC:CASR)	directlyIncreases	act(p(HGNC:CCL2))
dda1dc83-05e9-48af-a75e-6d02f4795afc	1.0	27050483	These results strongly suggest that CaSR driven signals promote activation of Rac1 and/or Cdc42.	p(HGNC:CASR)	directlyIncreases	act(p(HGNC:CDC42))
fafaf2de-11e5-4591-b862-956c6ebc22f7	1.0	25331955	Taken together, CaSR activation triggers Ca (2+)-dependent DBS, likely through the ROC, intermediate conductance Ca (2+)-activated K (+) channels, and CFTR channels.	p(HGNC:CASR)	directlyIncreases	act(p(HGNC:CFTR))
54e3a3a9-bc79-4867-8b19-2b8270c89e67	1.0	27965733	We hypothesized that high CaSR expression could enhance COM crystal adhesion to the cell surface, thus playing a significant role in this phenomenon.	p(HGNC:CASR)	directlyIncreases	act(a(PUBCHEM:598))
183752e6-190a-4387-a67d-ce812b0a6605	1.0	22094462	Here, we examined the role of the extracellular Ca (2+)-sensing receptor (CaSR) in the control of colonic epithelial cell proliferation in vivo and changes in beta-catenin triggered by CaSR stimulation in human colonic epithelial cells in vitro.	p(HGNC:CASR)	directlyIncreases	act(p(HGNC:CTNNB1))
683c45a4-d542-4955-80b9-e03f3a89c352	1.0	17962359	CaSR stimulation by extracellular calcium or agonists, such as spermine or Mg (2+), caused ERK1 and 2 activation, intracellular calcium concentration ([Ca (2+)] (i)) mobilization (as assessed by microspecfluorometry using Fluo-4), and secretion of the multifunctional cytokine IL-8 (CX-CL8).	p(HGNC:CASR)	directlyIncreases	act(p(HGNC:CXCL8))
d634168f-4d6c-4051-9f72-548bb433f6cc	1.0	17962359	An inhibitor of phosphatidylinositol specific phospholipase C (PI-PLC) (U73122) blocked CaSR stimulated [Ca (2+)] (i) release.	p(HGNC:CASR)	directlyIncreases	act(a(CHEBI:29108))
52898534-5ce1-42f5-9f4f-e7a8656f4522	1.0	25758239	In contrast, the dominant negative CaSR inhibited Caspase 3/7 activity, suggesting that the CaSR has an important role in regulating apoptosis ().	p(HGNC:CASR)	directlyIncreases	act(p(FPLX:Caspase))
d25b8e76-3e62-489b-87e6-dcc1dd9638e0	1.0	26911344	We have also shown previously that, in intact mouse pseudoglandular lungs, CaSR activation leads to Cl - -driven fluid secretion by unknown mechanisms XREF_BIBR.	p(HGNC:CASR)	directlyIncreases	act(a(PUBCHEM:313))
4998877f-0174-4bee-971c-62560778fbaf	1.0	17482347	CaSR induced cyclin D1 changes were dramatically different, depending on the experimental conditions.	p(HGNC:CASR)	directlyIncreases	act(p(FPLX:Cyclin))
3869f5a8-9381-4185-bf72-fae826bac686	1.0	18534616	Together these data suggested to us that CaSR activation in these cells increased the production of CHOP.	p(HGNC:CASR)	directlyIncreases	act(p(HGNC:DDIT3))
1ad56d05-523c-46f8-87cb-2657282442ed	1.0	25986659	In addition, metalloproteinase dependent release of EGFR ligands from cell membranes has been described to mediate CaSR induced EGFR transactivation ().	p(HGNC:CASR)	directlyIncreases	act(p(HGNC:EGFR))
296857e3-434f-4c13-aa12-fec69516086e	1.0	22730443	CaSR activates the mitogen activated protein kinase (MAPK) cascade, e.g. extracellular signal regulated kinase 1/2 (ERK1/2), p38, and c-jun N-terminal kinase (JNK), potentially through the interaction with filamin A scaffolding protein and caveolin-1 in cholesterol rich invaginations in the plasma membrane known as caveolae XREF_BIBR, XREF_BIBR, XREF_BIBR - XREF_BIBR.	p(HGNC:CASR)	directlyIncreases	act(p(FPLX:ERK))
1cdd6c5f-4b94-4e29-ba1f-9dccb3b2575a	1.0	15879434	In cotranslational processing assays, which test the functionality of the signal peptide in the early secretory pathway, the wild-type CASR and mutant T14A nascent polypeptides were targeted to microsomal vesicles, representing the ER, translocated into the vesicular lumen and underwent core N glycosylation.	p(HGNC:CASR)	directlyIncreases	act(p(HGNC:ESR1))
03716450-627b-42b5-91b0-d5995c73a069	1.0	23269116	Previously we have shown that knockdown of the CaSR in esophageal epithelial cells prevented the stimulation of FGF-9 secretion by an MBP peptide (XREF_BIBR).	p(HGNC:CASR)	directlyIncreases	act(p(HGNC:FGF9))
ee88b8cf-5464-4701-a048-3773e036938a	1.0	15613438	Because the activation of CaSR by oral calcium and peptones directly induces gastrin release, the higher gastrin responses to these stimuli suggest an increased sensitivity of gastrin secreting cells CaSR in patients with AH.	p(HGNC:CASR)	directlyIncreases	act(p(HGNC:GAST))
798c4b95-dd99-4741-9c11-d431e22d7a21	1.0	5200828	CaSR agonists did not increase resting GH secretion in any GH secreting adenomas, but amplified the GH response to GHRH.	p(HGNC:CASR)	directlyIncreases	act(p(HGNC:GH1))
24830ab2-6cc8-42de-8c90-09ba80b6e6de	1.0	PMC6467633	Coexpression of either the dominant negative Galphaq(305-359) minigene, regulators of G protein signaling (RGS)2 or RGS4, inhibited CasR-stimulated SRE activity, consistent with CasR activation of Galphaq.	p(HGNC:CASR)	directlyIncreases	act(p(FPLX:"G_q_alpha"))
60f871f2-27d5-4fb2-aa66-4f2bcc11c8a4	1.0	23103379	These data provided the evidence that release of IL-6 and TNF-beta from T lymphocytes induced by CaSR activation was closely related to the MAPks and NF-kappaB pathways, in other words, CaSR may exhibit its immunomodulatory effects by regulating intracellular signaling as well as cytokine production in T lymphocytes.In conclusion, these results demonstrated that CaSR was functionally expressed in the T lymphocytes and the activation of CaSR could promote the secretions of IL-6 and TNF-beta from the T lymphocytes through MAPKs and NF-kappaB pathways.	p(HGNC:CASR)	directlyIncreases	act(p(HGNC:IL6))
61d5afee-b0fc-4b30-834c-57448cef2f9c	1.0	6297262	The kinetics of the CasR mediated increases in Ins (1,4,5) P3 and [Ca +2] i and the sensitivity of the Ca (e)-stimulated elevation in [Ca +2] i to U73122 (a PLC inhibitor) together suggest that the osteoblast CasR is coupled via Gq to PLC-beta.	p(HGNC:CASR)	directlyIncreases	act(p(FPLX:INS))
4019642e-671d-48cf-b707-a79b937adf31	1.0	25090635	Furthermore, Squires et al. have shown that the CaSR negatively modulates secretion of insulin in the pancreas XREF_BIBR.	p(HGNC:CASR)	directlyIncreases	act(p(HGNC:INS))
bc33a76a-9c58-4430-8d58-5749dd235454	1.0	22730443	CaSR activates the mitogen activated protein kinase (MAPK) cascade, e.g. extracellular signal regulated kinase 1/2 (ERK1/2), p38, and c-jun N-terminal kinase (JNK), potentially through the interaction with filamin A scaffolding protein and caveolin-1 in cholesterol rich invaginations in the plasma membrane known as caveolae XREF_BIBR, XREF_BIBR, XREF_BIBR - XREF_BIBR.	p(HGNC:CASR)	directlyIncreases	act(p(FPLX:JNK))
e62a7f33-1a31-41a6-ab9a-e8a908ac7dce	1.0	26688334	In light of two recent review articles that provide comprehensive updates on general systemic and local actions of the CaSR and PTH on bone and mineral metabolism, this review emphasizes the interplay between the CaSR and PTH1R signaling in chondrocytes, OBs, and OCLs and proposes novel regimens exploiting this receptor interaction to enhance osteoanabolism for treatment of skeletal disease.In vertebrates, all weight bearing axial and appendicular skeletons are formed by endochondral bone formation that begins in early embryos.	p(HGNC:CASR)	directlyIncreases	act(p(HGNC:LEP))
e58afedc-fce1-4f28-ac6b-f1a3eb3517bc	1.0	26911344	Therefore, CaSR activation, which yields an increase in Ca 2+ i, would be expected to activate AC1, an effect which would result in opening of CFTR.	p(HGNC:CASR)	directlyIncreases	act(p(HGNC:LINC01587))
61ff136e-9420-4c26-bc60-51e8a2200544	1.0	23103379	These data provided the evidence that release of IL-6 and TNF-beta from T lymphocytes induced by CaSR activation was closely related to the MAPks and NF-kappaB pathways, in other words, CaSR may exhibit its immunomodulatory effects by regulating intracellular signaling as well as cytokine production in T lymphocytes.In conclusion, these results demonstrated that CaSR was functionally expressed in the T lymphocytes and the activation of CaSR could promote the secretions of IL-6 and TNF-beta from the T lymphocytes through MAPKs and NF-kappaB pathways.	p(HGNC:CASR)	directlyIncreases	act(p(HGNC:LTA))
9ac3aaec-e534-42a5-8d43-e9be78a2b913	1.0	17962359	CaSR stimulation by extracellular calcium or agonists, such as spermine or Mg (2+), caused ERK1 and 2 activation, intracellular calcium concentration ([Ca (2+)] (i)) mobilization (as assessed by microspecfluorometry using Fluo-4), and secretion of the multifunctional cytokine IL-8 (CX-CL8).	p(HGNC:CASR)	directlyIncreases	act(p(HGNC:MAPK3))
6bea4c82-bc35-45bf-9d30-06d8be2324fe	1.0	18328986	The CaSR, through Galpha or Galpha, activates phospholipase A2 (PLA), phospholipase D (PLD), phospholipase C (PLC), protein kinase (PKC), phosphoinositide-3-kinase (PI3K) and mitogen activated protein kinases like extracellular signal related kinases 1/2 (ERK-1/2), but the critical pathway (s) through which the CaSR mediates its biological effects is (are) yet to be identified.	p(HGNC:CASR)	directlyIncreases	act(p(FPLX:MAPK))
