INDRA UUID	Confidence	PMID	Evidence	Subject	Predicate	Object
b643b3b3-bbcb-4e1b-b78b-82aaff8eeebb	1.0	2649924	Reactivation of serum creatine kinase isoenzyme BB (CK-BB) with 2-mercaptoethanol and EDTA increased the electrophoretic detection rate of CK-BB from 34% to 78% in 58 hospitalized patients with various malignancies.	a(PUBCHEM:159881)	directlyIncreases	act(p(HGNC:CKB))
a3c9064b-b6f8-4f8e-9172-4cc3bbc5fe93	1.0	5830146	Cord blood pH (cutoff value, < 6.9) and cord blood base deficit (cutoff value,> 17 mM) increase the predictive values of protein S-100 and CK-BB.	p(HGNC:BPIFA4P)	directlyIncreases	act(p(HGNC:CKB))
8ba9f588-0644-4cfa-8dcd-a256add9361d	1.0	11583808	Furthermore, cyclocreatine, which reduces ATP production induced by B-CK, also limits thrombin activation of the GTP binding protein RhoA, which is required for cytoskeletal reorganization.	p(HGNC:CKB)	directlyIncreases	act(a(CHEBI:15422))
b477d57c-6efb-4bd6-b883-1164bc746b71	1.0	25601461	CKB Promotes Colorectal Cancer Cell Survival during Acute Intrahepatic Hypoxia through Modulation of the Phosphocreatine and ATP shuttle.	p(HGNC:CKB)	directlyIncreases	act(bp(MESH:D002470))
e26867fa-ada4-467d-b84b-3222d7dab460	1.0	25601461	CKB is Secreted by Colorectal Cancer Cells and Promotes Malignant Conversion of Extracellular ATP and Creatine to Phosphocreatine.	p(HGNC:CKB)	directlyIncreases	act(a(PUBCHEM:586))
eeb3d034-cef2-4980-8f94-b7fc55e3bdba	1.0	25601461	The Creatine Transporter, SLC6a8 modulates CKB mediated Colorectal Cancer Metastasis.	p(HGNC:CKB)	directlyIncreases	act(bp(MESH:D009362))
e2d121fe-5633-4ef3-864a-b758643f1e2d	1.0	25601461	CKB is Secreted by Colorectal Cancer Cells and Promotes Malignant Conversion of Extracellular ATP and Creatine to Phosphocreatine.	p(HGNC:CKB)	directlyIncreases	act(a(PUBCHEM:9548602))
6ac084b8-623a-43fc-9f45-39b3acd4e460	1.0	21308735	These data indicate that increased mTOR activity in empty vector transfected Caco-2 cells compared to WT-CKB-transfected cells may partially explain the expression of beta-catenin responsive genes but does not explain the cell cycle changes caused by overexpression of CKB (XREF_FIG).	p(HGNC:CKB)	directlyIncreases	act(bp(GO:"GO:0007049"))
2b2921a8-c4d0-447b-bfc1-babcd23588d5	1.0	26460485	However, CKB methylation might contribute to GC cell migration and invasion.	p(HGNC:CKB)	directlyIncreases	act(bp(GO:"GO:0016477"))
bdaf3dc0-1aa2-40f1-9470-fcd42cf359fa	1.0	5137204	Also, the level of induced transcription of the chloramphenicol acetyl transferase (CAT) reporter gene driven by the 2.9 kb CKB promoter was the same as with the 0.2 kb CKB promoter.	p(HGNC:CKB)	directlyIncreases	act(a(PUBCHEM:5959))
