INDRA UUID	Confidence	PMID	Evidence	Subject	Predicate	Object
e2a79491-a2b4-47c2-8475-7d05fc0a5ff1	1.0	25101858	Recent study suggested that CD44, in the stimulation with HA, caused FRMD4A nuclear depletion and YAP nuclear accumulation.	p(HGNC:CD44)	directlyIncreases	act(p(HGNC:FRMD4A))
fe43dbbd-cf58-48d6-88f9-07d220d8e781	1.0	22564525	FRMD4A silencing decreased growth and metastasis of human SCC xenografts in skin and tongue, reduced SCC proliferation and intercellular adhesion, and stimulated caspase-3 activity and expression of terminal differentiation markers.	p(HGNC:FRMD4A)	directlyIncreases	act(bp(GO:"GO:0007155"))
d86eb207-0090-46ba-bb6b-13bd7125c5f8	1.0	27666346	Silencing of the FRMD4A gene in CAL27 cells inhibited cell proliferation, led to cell cycle arrest in the G1 phase and reduced the migration and invasion capacity of CAL27 cells in vitro.	p(HGNC:FRMD4A)	directlyIncreases	act(bp(GO:"GO:0008283"))
59c539a8-cc3a-4400-afc4-92a35bd6ec17	1.0	27666346	Silencing FRMD4A decreases migration and invasion of CAL27 cells.	p(HGNC:FRMD4A)	directlyIncreases	act(bp(MESH:D009361))
ff1059d2-3b2e-465d-98a2-c783f43bc788	1.0	22564525	FRMD4A upregulation in human squamous cell carcinoma promotes tumor growth and metastasis and is associated with poor prognosis.	p(HGNC:FRMD4A)	directlyIncreases	act(bp(MESH:D009362))
a573c814-7b54-4d59-b465-1c95b23db911	1.0	22564525	FRMD4A silencing decreased growth and metastasis of human SCC xenografts in skin and tongue, reduced SCC proliferation and intercellular adhesion, and stimulated caspase-3 activity and expression of terminal differentiation markers.	p(HGNC:FRMD4A)	directlyIncreases	act(bp(GO:"GO:0008283"))
7e316c7e-3085-4fc9-b373-e10072f30a30	1.0	24964093	XREF_BIBR Our observation of increased DNA methylation in FRMD4A in whole blood samples from children exposed to maternal smoking is consistent with an experimental study showing hypermethylated FRMD4A in MCF-7 cells treated with benzo (a) pyrene (BaP), a common polycyclic aromatic hydrocarbon that is a constituent of cigarette smoke.	a(PUBCHEM:2336)	directlyIncreases	act(p(HGNC:FRMD4A, pmod(Me)))
45837d58-99c7-4838-abfe-abab36700c08	1.0	27666346	Transient silencing of the FRMD4A gene for 24 and 48 h significantly decreased the mRNA and protein expression of FRMD4A, respctively.	p(HGNC:FRMD4A)	directlyIncreases	p(HGNC:FRMD4A)
45837d58-99c7-4838-abfe-abab36700c08	1.0	27666346	Transient silencing of the FRMD4A gene for 24 and 48 h significantly decreased the mRNA and protein expression of FRMD4A, respctively.	p(HGNC:FRMD4A)	directlyIncreases	p(HGNC:FRMD4A)
fb08e5f8-27c1-45cf-beeb-b38cc85895e3	1.0	22564525	FRMD4A silencing decreased growth and metastasis of human SCC xenografts in skin and tongue, reduced SCC proliferation and intercellular adhesion, and stimulated caspase-3 activity and expression of terminal differentiation markers.	p(HGNC:FRMD4A)	directlyDecreases	act(p(HGNC:CASP3))
ab34225c-8244-4a77-8cf9-c02b073eb172	1.0	27666346	FACS analysis revealed that a higher percentage of the cell population was residing in the G1 phase after transfection with FRMD4A-siRNA, indicating that cell cycle progression from the G1 phase to the G2+ S phase was impeded by FRMD4A (XREF_FIG).	p(HGNC:FRMD4A)	directlyDecreases	act(bp(GO:"GO:0007049"))
a70ba3ec-b9a2-4a28-90bb-625bfdc87bb5	1.0	22564525	FRMD4A silencing decreased growth and metastasis of human SCC xenografts in skin and tongue, reduced SCC proliferation and intercellular adhesion, and stimulated caspase-3 activity and expression of terminal differentiation markers.	p(HGNC:FRMD4A)	directlyDecreases	act(bp(GO:"GO:0030154"))
80abf3cb-2913-410e-8db9-62410bda6701	1.0	27666346	The invasion capacity of CAL27 cells (P CAL27 = 0.01) was reduced by FRMD4A siRNA treatment.	p(HGNC:FRMD4A)	directlyDecreases	act(bp(MESH:D009361))
