INDRA UUID	Confidence	PMID	Evidence	Subject	Predicate	Object
f26bdc62-c059-4924-868c-127f85b52f51	1.0	PMC4070510	GTP[S] can activate both heterotrimeric and low-molecular-mass G-proteins, whereas AlF4- activates only heterotrimeric G-proteins.	p(UP:Q84VX3)	directlyIncreases	act(p(HGNC:GABBR1))
1107f083-672d-4015-a810-28be07067c56	1.0	PMC4572631	The present study extends previous reports on opioid and ORL1 receptor localization by anatomically demonstrating functional activity produced by mu, delta, and kappa opioid and ORL1 receptor activation of G-proteins.	p(HGNC:BLOC1S5)	directlyIncreases	act(p(HGNC:GABBR1))
d8e73a5d-2b5d-4e46-a029-c07cf0782acf	1.0	PMC3552438	Our data suggest that fMLP, C5a and LTB4 effectively activate the G-proteins, Gi2 and Gi3, in HL-60 cells and that fMLP may additionally activate PTX-insensitive G-proteins.	p(HGNC:C5)	directlyIncreases	act(p(HGNC:GABBR1))
547268b0-b8ab-442d-8769-fb6f0904d0d3	1.0	PMC5044786	Taken together, the results of the present study indicate that, in the caudate-putamen, repeated administration with Delta9-tetrahydrocannabinol produces a time-related increase in proenkephalin gene expression and mu-opioid receptor activation of G-proteins, and a time-related decrease in CB1 cannabinoid receptor gene expression and reduction in CB1 cannabinoid receptor activation of G-proteins.	p(HGNC:CNR1)	directlyIncreases	act(p(HGNC:GABBR1))
e037145f-791d-4061-9e5f-a486b4a2fe73	1.0	PMC3647050	The drugs used were okadaic acid, which inhibits the phosphatases 1 and 2A, pertussis toxin, which ADP-rybosylates the Gi-protein, cholera toxin, which ADP-rybosylates the Gs-protein, NaF which non-specifically activates G-proteins, and the phorbol esther 12-O-tetradecanoylphorbol 13-acetate (TPA) which specifically activates protein kinase C. The effect of TPA is a two-fold stimulation of the activity of the antiporter.	p(HGNC:CXCL8)	directlyIncreases	act(p(HGNC:GABBR1))
1ae057f0-8db9-44f8-83fb-795ce3b19c6e	1.0	PMC4572631	The present study extends previous reports on opioid and ORL1 receptor localization by anatomically demonstrating functional activity produced by mu, delta, and kappa opioid and ORL1 receptor activation of G-proteins.	p(HGNC:DLL1)	directlyIncreases	act(p(HGNC:GABBR1))
1d87d7d5-9efe-43d6-8d84-96fd4a8eeeed	1.0	10939334	We now report that ER retention of GB1 is due to the RSRR motif in its C terminus, a sequence related to the RKR ER retention and retrieval motif in K channel subunits.	p(HGNC:ESR1)	directlyIncreases	act(p(HGNC:GABBR1))
f0916dad-e8b1-4d67-bf5b-0577ed7428a9	1.0	PMC3950239	Stimulation of human platelet membranes with ADP resulted in an increase in 4-azidoanilido-[alpha-32P]GTP incorporation into the immunoprecipitates of G alpha i but not of G alpha q proteins, whereas stimulation with the thromboxane analogue U46619 resulted in an increase in 4-azidoanilido-[alpha-32P]GTP incorporation into the immunoprecipitates of G alpha q but not of G alpha i proteins, and thrombin activated both G-proteins.	p(HGNC:F2)	directlyIncreases	act(p(HGNC:GABBR1))
5623890a-c10b-4e49-a677-8c18ff022412	1.0	PMC3552438	Our data suggest that fMLP, C5a and LTB4 effectively activate the G-proteins, Gi2 and Gi3, in HL-60 cells and that fMLP may additionally activate PTX-insensitive G-proteins.	p(HGNC:FPR1)	directlyIncreases	act(p(HGNC:GABBR1))
25ab1875-ae0d-4437-bbde-be4189c03d25	1.0	10939334	Thus, it seemed possible that the interaction of GB1 and GB2 coiled-coil alpha helices shielded the retention signal in GB1, allowing the ER exit of assembled complexes.	p(HGNC:GABBR1)	directlyIncreases	act(p(HGNC:ESR1))
edbd2263-8b41-4265-b2f4-0d88046da26d	1.0	10727622	Coexpression of gb1 with gb2 results in the targeting of gb1 to the cell surface in the form of a functional gb1 and gb2 heteromer.	p(HGNC:GABBR1)	directlyIncreases	act(p(HGNC:GABBR1))
edbd2263-8b41-4265-b2f4-0d88046da26d	1.0	10727622	Coexpression of gb1 with gb2 results in the targeting of gb1 to the cell surface in the form of a functional gb1 and gb2 heteromer.	p(HGNC:GABBR1)	directlyIncreases	act(p(HGNC:GABBR1))
