INDRA UUID	Confidence	PMID	Evidence	Subject	Predicate	Object
e878b856-268f-436b-b30f-bf649a7066d5	1.0	12606287	BMP-4 and its receptors also play key inductive roles in lung morphogenesis (reviewed in; given the results of this study and the reported requirement for GATA-6 for lung morphogenesis, it is tempting to speculate that altered BMP-4 signaling may underlie the requirement of GATA-6 in lung development.Little is known about the transcription factors involved in early induction of BMP-4.	p(HGNC:BMP4)	directlyIncreases	act(p(HGNC:GATA6))
1cadc95c-4568-4425-bd05-a091eca60b6f	1.0	15913546	Potential inhibitors for A-kinase, K252a and H-89, inhibited the degradation of GATA-6 (Delta50) induced by cAMP, while a C-kinase inhibitor, calphostine C, had no effect (A-C), although K252a and H-89 could also inhibit C-kinase.	a(CHEBI:17489)	directlyIncreases	act(p(HGNC:GATA6))
7ed30346-a166-411e-abaf-5c95f81ad63a	1.0	19666519	Here we show that mutations in the gene encoding the transcription factor GATA6 cause CHD characteristic of a severe form of cardiac outflow tract (OFT) defect, namely persistent truncus arteriosus (PTA).	p(HGNC:CHDH)	directlyIncreases	act(p(HGNC:GATA6))
a2ced71e-c299-4cf7-9ef5-5e7c8399c7fa	1.0	5460792	Taken together, these data demonstrate that the mitogen responsive phosphoprotein Dab2 is a downstream target of GATA-6 in the visceral endoderm.	p(HGNC:DAB2)	directlyIncreases	act(p(HGNC:GATA6))
de0126ce-3517-4fb5-9a42-64a6c879df18	1.0	21811562	To determine if DKK1 is a direct target of GATA6, we searched the DKK1 promoter for GATA6 consensus binding sequences.	p(HGNC:DKK1)	directlyIncreases	act(p(HGNC:GATA6))
0f5fd8e6-31d6-4728-9b8a-5091ae8a52d2	1.0	19581290	We further discovered that loss of the nuclear envelope protein emerin may mediate the consequences of GATA6 suppression.	p(HGNC:EMD)	directlyIncreases	act(p(HGNC:GATA6))
07d208b4-24ff-4f52-9015-e832e0033c3a	1.0	16293227	p300 was able to increase GATA-6 transactivation of the SM-MHC promoter by approximately 50% when transfected in a 1:1 ratio by mass with GATA-6.	p(HGNC:EP300)	directlyIncreases	act(p(HGNC:GATA6))
d1df76ba-12fc-44dd-a512-a87d41a578fb	1.0	26301867	Also, the mechanism by which ERK activates GATA-6 is currently unclear, however binding of ERK is required for GATA-6 activation [XREF_BIBR].	p(FPLX:ERK)	directlyIncreases	act(p(HGNC:GATA6))
da22b639-5d45-471d-91d3-d0e3ae78bafa	1.0	25969542	Expression of the GATA-6 S290D mutant in hCASMCs increased the abundance of smooth muscle differentiation specific contractile proteins, including SM-MHC, SM-alpha-actin, and SM-calponin by 1.5-2.0-fold compared to untransfected hCASMCs (XREF_FIG).	p(HGNC:GATA6, var("p.Ser290Asp"))	directlyIncreases	act(bp(GO:"GO:0030154"))
8f381e52-b78b-4cf0-a7d1-38eb0a774522	1.0	27756709	Using wild-type and mutant GATA6 constructs driving atrial natriuretic peptide promoter reporter, we found that 3 of the 4 variants had a marked upregulation of luciferase activity (R585L : 4.1-fold, P <.0001; P91S : 2.5-fold, P =.0002; A177T; 1.7-fold, P =.03).	p(HGNC:GATA6, var("p.?"))	directlyIncreases	act(p(HGNC:NPPA))
