INDRA UUID	Confidence	PMID	Evidence	Subject	Predicate	Object
e37955c8-b191-441c-8421-b3d78026dd92	1.0	6192060	Ang II also increased the association of the adaptor protein Grb2 with the EGF-R.	p(HGNC:AGT)	directlyIncreases	act(p(HGNC:GRB2))
9a58e93a-53fd-4734-9d77-90f3ea4e96b4	1.0	23700486	In cells co-expressing HER3 and Rluc8, Grb2 and Venus and EGFR, 1 microM of AG-1478 completely blocked EGF- (XREF_FIG) and HRG- (XREF_FIG) induced BRET and strongly decreased the constitutive BRET signal between HER3 and Rluc8 and Grb2 and Venus within the EGFR-HER3 heteromers.	a(PUBCHEM:2051)	directlyIncreases	act(p(HGNC:GRB2))
f922006d-6a48-4eba-ab96-26d31c1ef4f9	1.0	25535246	Finally, the THEMIS : GRB2 : SHP complex was captured on beads, treated with alkaline phosphatase (AP), which reduced Tyr564 phosphorylation by 90% and washed before elution (Fig XREF_FIG E).	a(PUBCHEM:83525)	directlyIncreases	act(p(HGNC:GRB2))
b9153084-b2ed-42d8-8689-336d109e0309	1.0	5260927	Coexpression of Cas with v-Src enhanced the association of Grb2 with the adapter protein Shc and the protein tyrosine phosphatase Shp-2; coexpression of Shc or Shp-2 mutants significantly reduced SRE activation by Cas and v-Src.	p(HGNC:BCAR1)	directlyIncreases	act(p(HGNC:GRB2))
f105337d-431f-48e4-88da-e5d55572b93e	1.0	8402896	BCR-ABL-induced oncogenesis is mediated by direct interaction with the SH2 domain of the GRB-2 adaptor protein. Mutation of Y177 to phenylalanine (Y177F) abolishes GRB-2 binding and abrogates BCR-ABL-induced Ras activation	p(UP:A9UF07)	directlyIncreases	act(p(HGNC:GRB2))
31753eb5-829a-4398-8a60-d989afedbbfd	1.0	3977900	In order to reveal additional BCR induced signaling events involving the Grb2 adaptor, we undertook the isolation of Grb2 binding proteins.	p(HGNC:BCR)	directlyIncreases	act(p(HGNC:GRB2))
3119e70b-66d7-42bf-b9b3-8ac2d3414834	1.0	21278786	There was a dose dependent increase in the binding between HER2 and GRB2 in MCF-7HER2 cells treated with BEZ235 (XREF_FIG, upper panel).	a(CHEBI:71952)	directlyIncreases	act(p(HGNC:GRB2))
a8a90727-de36-4749-b8a4-8cd8cc582905	1.0	8626404	Here we show that in unstimulated Jurkat cells Cbl is co-immunoprecipitated with monoclonal antibody against Grb2.	p(HGNC:CBLB)	directlyIncreases	act(p(HGNC:GRB2))
97729537-12f9-4160-93c1-6f6bb614b37e	1.0	24098653	Binding of the py site in cd28 (py-m-n-m) by pi3k and grb2 through their sh2 domains is a key step that triggers the cd28 signal transduction for t cell activation and differentiation	p(HGNC:CD28)	directlyIncreases	act(p(HGNC:GRB2))
40af77a7-5ec3-4cb9-8935-3f0a99226133	1.0	22912825	In XREF_FIG we can show that the wild type parental cell line responded nicely to the CD3 stimulation and we could evidence, as expected, a good co precipitation of three major CD3 mediated signaling molecules, namely SLP76, Grb2 and PLCgamma1.	p(FPLX:CD3)	directlyIncreases	act(p(HGNC:GRB2))
73710303-063f-48f8-bd8f-7d13c9271f36	1.0	6791495	A transient-transfection approach was employed to show that p27 can inhibit Ras activation by targeting GRB2 and further revealed that the CDK and GRB2 inhibitory functions of p27 are separable and distinct.	p(HGNC:CDKN1B)	directlyIncreases	act(p(HGNC:GRB2))
a1438d83-4433-41df-8870-d3ff3a1cfcd8	1.0	16168623	Here, we show that exogenous expression of CHK induced an aggregation of Grb2 and SHP-2 (A and C), which together form a complex known to positively regulate Ras activity.	p(HGNC:CHKA)	directlyIncreases	act(p(HGNC:GRB2))
41c95c02-ae14-417e-8b90-ea73a69c19f0	1.0	26099526	There may be other factors that are not yet clear that also contribute to the amelioration of liver injury in E8w +1 B mice by GW9662 treatment.Genetic deletion of the hepatic gene markedly ameliorated chronic-plus-binge ethanol induced liver injury but not chronic ethanol induced liver injury, suggesting that FSP27 promotes ASH, induced by chronic-plus-binge ethanol feeding but not by chronic ethanol feeding.	p(HGNC:CIDEC)	directlyIncreases	act(p(HGNC:GRB2))
2b3f3167-5a24-4460-9c8e-7ee43d7851df	1.0	3267549	In the present studies using human monocytes, we show that M-CSF induces interaction of the Grb2 adaptor protein with the focal adhesion kinase pp125FAK.	p(HGNC:CSF1)	directlyIncreases	act(p(HGNC:GRB2))
01ec3e1b-58d0-4912-ba33-b5a0266e8251	1.0	3023099	CdCl2 inducing no mutagenic effect in the DLM test, increased the ASH frequency too.	a(PUBCHEM:24947)	directlyIncreases	act(p(HGNC:GRB2))
88ed8c91-f18a-4795-8e08-1a7033f6f9d3	1.0	16076471	Moreover, ADAM9 may be activated by protein kinase C and ADAM12 has an SH3 binding site that can recruit Src kinases and Grb-2, both of which are activated by ErbB1.	p(HGNC:EGFR)	directlyIncreases	act(p(HGNC:GRB2))
da775191-7182-46e2-9616-bbd08c8e78db	1.0	19798056	An earlier study has shown that Grb2 can interact with EGFR indirectly through Shc (XREF_BIBR; XREF_BIBR), enabling the SH2 domain of Grb2 to interact with other proteins.	complex(p(HGNC:EGFR), p(HGNC:GRB2))	directlyIncreases	act(p(HGNC:GRB2))
99407e55-418f-4072-b551-f00326520b7c	1.0	21185312	Each population was allowed to transiently express tmdPheRS, suppressor tRNA, GRB2 mutant, and EGFR, and was treated with EGF.	p(HGNC:EGF)	directlyIncreases	act(p(HGNC:GRB2, var("p.?")))
9fd74417-00fe-4eb8-8508-5c9264669fb5	1.0	21356361	In all of the cell types tested, Grb2 was associated with EGFR when cells were treated with EGF but was only present at lower levels in response to injury or 25-mumol/L UTP.	p(HGNC:EGF)	directlyIncreases	act(p(HGNC:GRB2))
4cd4b3c5-8c34-4b03-bdfc-dcfa1718c977	1.0	15953601	EPO can activate Ras by recruiting Grb2 to the EPO-R either directly or indirectly through Shp2.	p(HGNC:EPO)	directlyIncreases	act(p(HGNC:GRB2))
