INDRA UUID	Confidence	PMID	Evidence	Subject	Predicate	Object
b9e340cb-b424-48cd-953f-b167e137d165	1.0	23846698	This effect could be mediated by the ability of alpha2M or alpha2M-MA to retard kidney filtration of bound hepcidin, increasing its half-life.	p(HGNC:A2M)	directlyIncreases	act(p(HGNC:HAMP))
e4d5aee4-ff9b-4e19-9e95-ec2810653cda	1.0	25445031	As shown in A, the increase in early hEPC proliferation induced by apoA-I 50mug/mL was completely abolished in the presence of these inhibitors, demonstrating that the effect of apoA-I is strictly dependent on SATP activity.	p(HGNC:APOA1)	directlyIncreases	act(p(HGNC:HAMP))
aad1f47f-4a0f-4166-88bf-067d7c2ea9f5	1.0	26752519	Such iron deposition may also be consistent with recent reports of anemia being associated with poor clinical and functional outcomes in COPD XREF_BIBR - XREF_BIBR and with reports that systemic inflammation in COPD up-regulates serum hepcidin 57.	p(HGNC:ARCN1)	directlyIncreases	act(p(HGNC:HAMP))
e49cdb62-70a2-4e85-941f-cc0349eed9e1	1.0	26981017	Immunologically, hepcidin is consistent with type II acute phase proteins and three inflammatory mediators are needed for its induction in hepatocytes - IL-6, BMP6 and activin B. Immunological activation of hepcidin gene (HAMP - hepcidin antimicrobial peptide) transcription was first discovered in hepatocytes as a reaction to pro inflammatory IL-6, but similar activation was detected in monocytes.	p(FPLX:Activin)	directlyIncreases	act(p(HGNC:HAMP))
6bf328b3-73c4-4561-996c-5e757a6c5673	1.0	20679527	In anemia of multiple myeloma, hepcidin is induced by increased bone morphogenetic protein 2.	p(HGNC:BMP2)	directlyIncreases	act(p(HGNC:HAMP))
59f710e8-3a13-4a61-b9fd-f5ac36dd65f5	1.0	21873546	Like IL-6, IL-22 caused phosphorylation of STAT3 and synergized with BMP6 potentiating hepcidin induction.	p(HGNC:BMP6)	directlyIncreases	act(p(HGNC:HAMP))
81394d85-787f-4d50-9bc5-651d72bc166a	1.0	26981017	Similar approaches have been tried with injections of dorsomorphin and its derivate LDN-193189, which bind to BMP-R and act as inhibitors of BMP mediated hepcidin transcription pathway (XREF_BIBR, XREF_BIBR).	p(FPLX:BMP)	directlyIncreases	act(p(HGNC:HAMP))
eb0e2cee-7052-4eff-a698-e9df9e0289cd	1.0	19672300	C/EBPalpha and CHOP mediate the early down-modulation of hepcidin upon UPR induction.	p(HGNC:CEBPA)	directlyIncreases	act(p(HGNC:HAMP))
bb3ffc10-ddfc-4745-9e51-ae78633f22b0	1.0	19672300	Differential C/EBPalpha binding to hepcidin promoter mediates the late up-regulation of hepcidin by the UPR.	complex(p(HGNC:CEBPA), p(HGNC:HAMP))	directlyIncreases	act(p(HGNC:HAMP))
fad07ffc-edcd-412f-9eca-0cee534fb516	1.0	19679815	In 3T3 fibroblastic cells, which lack CREBH, exogenously expressed active CREBH increased HAMP promoter activity by 20-fold, as shown in HepG2 cells (XREF_SUPPLEMENTARY).	p(HGNC:CREB3L3)	directlyIncreases	act(p(HGNC:HAMP))
