INDRA UUID	Confidence	PMID	Evidence	Subject	Predicate	Object
d4cd342a-67b3-4027-aeaf-a653876fcfc2	1.0	22925925	H3 and H4 acetylation of the IL-12p40, IL-23p19 and iNOS promoters upon LPS treatment was substantially higher in SOCS3 deficient macrophages compared to WT macrophages (XREF_FIG).	p(FPLX:"Histone_H3")	directlyIncreases	p(HGNC:IL23A, pmod(Ac))
a72b7e3b-bd3e-4ec0-b17d-fe7c70c6ea3c	1.0	25024136	Stimulation of these human MNP subsets with LPS or flagellin revealed increased IL-23p19 mRNA and IL-1beta protein produced by the CD14 + cells compared with the CD103 + cells (XREF_FIG).	p(HGNC:CD14)	directlyIncreases	act(p(HGNC:IL23A))
2e3e690d-54e4-43f1-b67e-d4393b0e7b6a	1.0	23028973	In vivo DNA binding assays and reporter assays showed that CEBPD up-regulated CCL20, CXCL1, IL23A and TNFAIP6 transcripts through direct binding to their promoter regions.	p(HGNC:CEBPD)	directlyIncreases	act(p(HGNC:IL23A))
24fb7837-26be-4f2e-acd9-1cab7199a09a	1.0	21283787	(XREF_FIG) and strongly suggesting that dectin-2 triggering specifically induces IL-1beta and IL-23p19.	p(HGNC:CLEC6A)	directlyIncreases	act(p(HGNC:IL23A))
32ad8445-e6b6-44a1-8c61-82b756db1f47	1.0	23337716	Predictably (based on the protein data), the EP antagonist inhibited PGE induced IL-23p19 and IL-12p40 inhibition (b).	p(HGNC:DBI)	directlyIncreases	act(p(HGNC:IL23A))
e98d36cf-5327-4eae-8dc8-43f5bceb011b	1.0	17919942	In addition, and in agreement with the expectation, MDP dependent upregulation of IL-23p19 mRNA (B), IL-1alpha, and IL-1beta (C) was abrogated in DCs from mutant CD patients in this experimental set-up.	p(HGNC:DPEP1)	directlyIncreases	act(p(HGNC:IL23A))
8cc091b2-efa6-453c-87b5-4cff2cf4dd4d	1.0	19714651	Taken together these results suggest that ER stress caused by HLA-B27 misfolding is sufficient to augment the induction of IL-23p19.	p(HGNC:ESR1)	directlyIncreases	act(p(HGNC:IL23A))
a3a6b58d-9e2c-4366-a98e-4c76a191569a	1.0	23679818	Our results show that IFN-gamma induced the production of IL-12/23p40 and IL-23p19 mRNA as well as IL-12p40 and IL-23 proteins in primary human monocytes isolated by positive selection through anti-CD14 microbeads.	p(HGNC:IFNG)	directlyIncreases	act(p(HGNC:IL23A))
5c204a6e-5663-45b4-9dda-9328c9957737	1.0	21145111	To further determine the signalling pathways mediating the up-regulation of IL-23 p19 expresion by IL-17, we employed various pharmaceutical inhibitors.	p(HGNC:IL17A)	directlyIncreases	act(p(HGNC:IL23A))
325401d8-3b49-4e0c-9d6f-4f448aeb9f24	1.0	19201028	These results suggest that while the IL-1beta mediated IL-23 p19 inductive effect may specifically targets cells in the joint, the synergistic combination of TNFalpha and IL-17 may have the capacity to activate a more systemic response, given the high prevalence of dermal fibroblasts as compared to the FLS.We next determined whether this induced mRNA p19 expression resulted in the secretion of IL-23.	p(HGNC:IL1B)	directlyIncreases	act(p(HGNC:IL23A))
65b70438-61f5-4666-97d5-2823cbdc62e1	1.0	25474109	IkappaB-zeta enhances the human IL23A promoter activity induced by IL-1.	p(FPLX:IL1)	directlyIncreases	act(p(HGNC:IL23A))
08b5fb4d-e05c-4434-bb46-b96e34b6c321	1.0	18588867	However, the underlying mechanisms behind the differential regulation of IL-17 production by IL-12 and IL-23 remained unanswered.In contrast to above mentioned study, our results demonstrated the lack of any difference in the gene expression of IL-23 p19 between gingivitis and periodontitis whereas up-regulation of IL-12 p35 in periodontitis.	p(HGNC:IL23A)	directlyIncreases	act(p(HGNC:ANXA1))
142e9b3d-098d-41aa-a79f-e57565ebba60	1.0	27400195	Our previous study has shown that IL-23p19 and Epstein-Barr virus induced 3 (Ebi3) form a new IL-12 family heterodimer, IL-23p19 and Ebi3, termed IL-39, and knock-down of p19 or Ebi3 reduced diseases by transferred GL7 (+) B cells in lupus-prone mice.	p(HGNC:IL23A)	directlyIncreases	act(p(HGNC:EBI3))
049a6f06-ce73-4649-a5a4-75fdea057a6b	1.0	21641076	Whereas the IL-12-specific subunit p35 was increased 2.6 fold, the IL-12 and IL-23 common p40 subunit and the IL-23p19 subunit were comparably increased by a factor of 4.7 and 5.2, respectively, suggesting that gene expression of IL-23 is more pronouncedly induced in HS than IL-12.	p(HGNC:IL23A)	directlyIncreases	act(a(PUBCHEM:6992830))
6face3fc-4164-422b-9d90-4d503f87ce27	1.0	26980441	We found that intercellular IL-23p19 increased the cell surface abundances of intercellular adhesion molecule-1 (ICAM-1) and vascular cell adhesion molecule-1 (VCAM-1) on endothelial cells, which enhanced the attachment of leukocytes and increased their transendothelial migration.	p(HGNC:IL23A)	directlyIncreases	act(p(HGNC:ICAM1))
a2fb12ba-1851-4e6b-b5ca-532c6297fe26	1.0	12023369	Like il-12, il-23 binds to the il-12r subunit il-12rbeta1.	p(HGNC:IL23A)	directlyIncreases	act(p(HGNC:IL12RB1))
3bf2229b-682c-4b12-8ff0-2263a0d155f1	1.0	27010479	Of note, IL23A dimerizes with IL12B to activate IL12 signaling, which does appear to play a role in experimental BA [XREF_BIBR].	p(HGNC:IL23A)	directlyIncreases	act(p(FPLX:IL12))
0f721320-4f05-4f54-b2b7-94c52621f68c	1.0	17919942	Further control experiments showed that MDP failed to enhance the PAM3CSK4 induced expression of IL-23p19 mRNA (A) in these NOD2 knockdown DCs and the ability of these cells to promote IL-17 production in memory T cells (B).	p(HGNC:IL23A)	directlyIncreases	act(p(HGNC:IL17A))
9fc619ca-1c5b-46ad-8393-0045b386d8d1	1.0	12023369	We identify a novel member of the hemopoietin receptor family as a subunit of the receptor for il-23, il-23r.	p(HGNC:IL23A)	directlyIncreases	act(p(HGNC:IL23R))
cdfcd241-094e-4555-9e64-8344f0069cd0	1.0	25684095	Adding B2C6 or polyclonal antibodies did not augment IL-12 p35 nor suppress IL-23 p19 production in LPS and/or R848 stimulated MoDCs as shown in XREF_FIG and XREF_FIG, respectively.	p(HGNC:IL23A)	directlyIncreases	act(a(CHEBI:16412))
dcd1bd39-3b4c-440f-978e-1ca0d1b196f3	1.0	19322214	Early studies showed that expression of IL-23p19 in multiple tissues of transgenic mice induced systemic inflammation, runting, infertility, and premature death ().	p(HGNC:IL23A)	directlyIncreases	act(bp(GO:"GO:0008219"))
e512f79f-bb72-4909-9c82-fa005c60a27b	1.0	19071955	The most highly expressed cytokine after DSS treatment in Gli1 +/lacZ animals was IL-23p19, a molecule that drives differentiation of T H 17 lymphocytes, key mediators of inflammation in several systems, including IBD [XREF_BIBR, XREF_BIBR].	p(HGNC:IL23A)	directlyIncreases	act(bp(GO:"GO:0030154"))
5ed5450c-0335-49c3-9a8c-aa05ecd9565e	1.0	19322214	Early studies showed that expression of IL-23p19 in multiple tissues of transgenic mice induced systemic inflammation, runting, infertility, and premature death ().	p(HGNC:IL23A)	directlyIncreases	act(bp(GO:"GO:0006954"))
e0ae377e-94ce-48a1-8b00-9fa249402f68	1.0	23028973	CCL20, IL23A, CXCL1 and TNFAIP6 contributed to the migration and proliferation of synoviocytes, and the latter two proteins were involved in tube formation of endothelial cells.	p(HGNC:IL23A)	directlyIncreases	act(bp(GO:"GO:0008283"))
3c2b049f-2cad-4131-bd1b-219e22e4c865	1.0	25684095	Addition of neutralizing antibodies against Gal-3, or recombinant Gal-3 did not differentially modulate IL-23 p19 versus IL-12 p35.	p(HGNC:LGALS3)	directlyIncreases	act(p(HGNC:IL23A))
8f706b9a-848c-402b-a95c-31e06236561d	1.0	23967307	In contrast, silencing Gal-9 expression enhances Tim-3 and IL-23p19, diminishes IL-12p35, but does not alter IL-12 and IL-23p40 promoter activities, when compared with their controls (XREF_FIG left panel).	p(HGNC:LGALS9)	directlyIncreases	act(p(HGNC:IL23A))
98228e6a-462c-42c6-a830-235af6dd9aa3	1.0	16982892	We defined the distinct signaling mechanisms that regulate the LPS mediated induction of IL-23 p19 and p40 in human macrophages and dendritic cells.	a(CHEBI:16412)	directlyIncreases	act(p(HGNC:IL23A))
dbdf8b54-dbbb-4415-a5ee-2fc3e3c6ab54	1.0	23137879	In addition, it was found that -LPS was able to induce IL23p19 production by macrophage like cells and recruit Th17 cells to the inflammatory infiltrate associated with CP.	p(UP:Q947C4)	directlyIncreases	act(p(HGNC:IL23A))
609d48ca-b18d-463c-afce-962f0f049f57	1.0	21145111	Less reduction of IL-23 p19 was found in hPDLFs treated with Akt inhibitor (LY294002), p38 MAPK inhibitor (SB203580), and ERK inhibitor (PD98059), at 58 +/-14% (< 0.05), 35 +/-17% (< 0.01), and 40 +/-9% (< 0.01), respectively (A).	a(PUBCHEM:3973)	directlyIncreases	act(p(HGNC:IL23A))
47d2ed02-704a-480e-88dd-5306172c1e2b	1.0	23932568	Furthermore, Dectin-1 and Dectin-2 stimulation induces the activation of the NF-kappaB subunit cRel by Malt1, promoting the production of IL-1beta and IL-23 (IL23A and IL12A), essential cytokines priming Th17 differentiation ().	p(HGNC:MALT1)	directlyIncreases	act(p(HGNC:IL23A))
0df0f102-1673-42d2-91bc-85790b25b449	1.0	25474109	IkappaB-zeta enhances the human IL23A promoter activity induced by IL-1.	p(HGNC:NFKBIZ)	directlyIncreases	act(p(HGNC:IL23A))
c9f4a0bf-6da5-4452-846d-0ff06f801473	1.0	23932568	NF-kappaB and cRel activation causes specifically IL-1beta and IL-23p19 production, skewing the adaptive immune response towards a Th17 profile, revealing a specific role of Dectin-2 in antifungal immunity.Most PRRs demonstrate some degree of redundancy in certain roles.	p(FPLX:NFkappaB)	directlyIncreases	act(p(HGNC:IL23A))
14f27ad1-2f52-490e-87d3-f56086e4dc8a	1.0	23886693	Data showed that IL-1beta, IL-10, IL-23p19 and TNF-alpha were also activated in a time dependent manner by RC but not KC stimulation (D and E).	p(HGNC:RGN)	directlyIncreases	act(p(HGNC:IL23A))
a410eb6b-5e7a-4d95-84c0-4772de301577	1.0	25008775	As in the case of TNF-alpha, expression of exogenous RUNX3, but not RUNX3 R178Q, greatly enhanced the induction of IL23A in response to H. pylori infection (XREF_FIG, top panel).	p(HGNC:RUNX3)	directlyIncreases	act(p(HGNC:IL23A))
86a44515-bc86-4aa0-a319-adea5ac5747a	1.0	19714651	Our results suggest a novel mechanism linking HLA-B27 misfolding and the generation of ER stress to augmented TLR4 mediated induction of IL-23p19 via activation of the UPR.	p(HGNC:TLR4)	directlyIncreases	act(p(HGNC:IL23A))
242bd6e8-7acf-4345-a3b8-e891c793bc4a	1.0	23967307	As shown in XREF_FIG, TLR stimulation reduces Tim-3 and activates IL-12p35, IL-23p19, and IL-12 and IL-23p40 transcriptional activities in THP-1 cells transfected with Gal-9 or control plasmids in the presence of the STAT-3 inhibitor.	p(FPLX:TLR)	directlyIncreases	act(p(HGNC:IL23A))
fb263532-1466-4af4-b483-a73a8244c6b8	1.0	25008775	The ectopic expression of RUNX3, but not RUNX3 R178Q, markedly augmented TNF-alpha induction of IL23A mRNA and protein (XREF_FIG).	p(HGNC:TNF)	directlyIncreases	act(p(HGNC:IL23A))
daf229cb-d4e3-478a-a4d0-0f57f7b89961	1.0	25008775	To ascertain the physiological significance of the induction of IL23A by iE-DAP (XREF_FIG), AGS cells were infected with H. pylori at increasing multiplicity of infection (MOI).	a(PUBCHEM:45480617)	directlyIncreases	act(p(HGNC:IL23A))
c80a4757-9d5b-4ec4-babf-200b2a4a9bf8	1.0	25008775	Comparable results were obtained in HFE-145, an untransformed gastric epithelial line, as well as in THP-1, a myeloid cell line in which IL23A could be strongly induced by lipopolysaccharide (LPS) (XREF_SUPPLEMENTARY).	a(CHEBI:16412)	directlyIncreases	act(p(HGNC:IL23A))
231db3b1-0034-4076-9bd1-c93a882819eb	1.0	23337716	Indeed it has been recently shown that PGE increases IL-23p19 and inhibits IL-12p40 in human monocytes ().	p(UP:O42809)	directlyIncreases	act(p(HGNC:IL23A))
32f9f02a-a824-4148-85ae-c96f9447708f	1.0	26416282	Notably, AHR depletion reduced the expression of IL23A and IL12B transcripts, which encode subunits of IL-23, a macrophage cytokine that stimulates production of IL-22 by innate lymphoid cells.	p(HGNC:AHR)	directlyDecreases	p(HGNC:IL23A)
40a4410e-5399-4297-b0aa-0da46a3c6f88	1.0	21283787	Expression of IL-1beta, IL-23p19, IL-6, IL-12p35 and IL-12p40 mRNA was completely abrogated by Syk, CARD9 as well as Bcl10 silencing (XREF_FIG).	p(HGNC:CARD9)	directlyDecreases	p(HGNC:IL23A)
1b645f19-7694-4688-89b5-09686364e497	1.0	25474109	In fact, the expression of IL23A was dependent on IkappaB-zeta and blocked by both IL-1RA and IFN-gamma, whereas the expression of IL12A was IkappaB-zeta-independent and induced by IFN-gamma.	p(HGNC:IFNG)	directlyDecreases	p(HGNC:IL23A)
10832f05-ac59-4a33-912b-32b5171e40da	1.0	25474109	In fact, the expression of IL23A was dependent on IkappaB-zeta and blocked by both IL-1RA and IFN-gamma, whereas the expression of IL12A was IkappaB-zeta-independent and induced by IFN-gamma.	p(HGNC:IL1R1)	directlyDecreases	p(HGNC:IL23A)
c9896c08-32ed-4f72-8e8d-8f67c69200c5	1.0	25253467	Studies revealed that mice deficient in IL-23p19 have reduced IL-17 expression, establishing a link between IL-23 and IL-17 [XREF_BIBR, XREF_BIBR].	p(HGNC:IL23A)	directlyDecreases	p(HGNC:IL17A)
606fd83d-615c-43e6-b672-55dafa6144e5	1.0	25684095	Galectin-3 (Gal-3) siRNA downregulates expression of IL-6, IL-1beta and IL-23 p19, while upregulates IL-10 and IL-12 p35 in TLR and NLR stimulated human MoDCs.	p(HGNC:LGALS3)	directlyDecreases	p(HGNC:IL23A)
e895afb4-ab5d-4353-93d7-1f9e303eaf59	1.0	22925925	Deletion of SOCS3 had a modest enhancing effect on Pam2CSK4 induced NF-kappaB p65 and ERK1/2 activation (XREF_FIG), but did not affect Pam2CSK4 induced mRNA expression of IL-1beta, IL-6, IL-12p40, IL-23p19 or iNOS (XREF_FIG).	a(PUBCHEM:9989023)	directlyDecreases	p(HGNC:IL23A)
fa318185-9feb-44cc-b028-2f262836a45e	1.0	20591185	These results suggest that resistin suppresses the expression of IL-12p40, IL-23p19 and IL-6 through the regulation of IRF-1 induction in DCs.	p(HGNC:RETN)	directlyDecreases	p(HGNC:IL23A)
b49fe796-f17f-4cc2-8342-47b282f64366	1.0	18054783	Although SP600125, a specific inhibitor of the JNK signal pathway, slightly decreased mRNA expression of IL-23p19 (15%), there was no significant difference in protein level.	a(CHEBI:90695)	directlyDecreases	p(HGNC:IL23A)
a7a127d0-48b6-43ed-b6fd-b06a4415d910	1.0	21283787	Expression of IL-1beta, IL-23p19, IL-6, IL-12p35 and IL-12p40 mRNA was completely abrogated by Syk, CARD9 as well as Bcl10 silencing (XREF_FIG).	p(HGNC:SYK)	directlyDecreases	p(HGNC:IL23A)
27d1d52d-2ada-4961-b7fa-71b5bdccd726	1.0	23028973	However, silencing CEBPD expression using lentiviral shCEBPD attenuated the TNFalpha induced CCL20, CXCL1, IL23A and TNFAIP6 mRNA levels (XREF_FIG).	p(HGNC:TNF)	directlyDecreases	p(HGNC:IL23A)
ab172d8d-4419-41fb-94a4-d29f333c1972	1.0	21145111	Our results further showed that pretreatment with SP600125 significantly attenuated IL-17-stimulated cellular accumulation of AP-1, suggesting that the emerging JNK/AP -1 axis with JNK as the upstream arbitrator negatively regulated IL-17-stimulated IL-23 p19 expression.Although previous studies have reported that inhibition of p38 MAPK enhanced the expression of IL-23 p19 in PMA treated human monocytic THP-1 cells and Theiler 's murine encephalomyelitis virus (TMEV)-infected macrophages (), several studies in different model systems have shown results consistent with our observations.	p(FPLX:p38)	directlyDecreases	p(HGNC:IL23A)
d6053801-4233-420d-be0a-dcdfba46180f	1.0	26416282	AHR directly induced IL23A transcription in human and mouse macrophages through near-upstream enhancer regions.	p(HGNC:AHR)	directlyIncreases	p(HGNC:IL23A)
