INDRA UUID	Confidence	PMID	Evidence	Subject	Predicate	Object
b7f449c4-aa38-4be2-92ed-24599ab3ee0e	1.0	12063167	MyD88 in turn recruits two serine threonine kinases, namely IL-1 receptor activated kinase (IRAK) and IRAK2, into the receptor complex.	p(FPLX:IL1)	directlyIncreases	act(p(HGNC:IRAK2))
b319b8b5-44e4-41f0-9805-d9a0637ee502	1.0	23478027	IRAK4 is recruited first, becomes activated and phosphorylates IRAK-1, which activates IRAK-2.	p(HGNC:IRAK1)	directlyIncreases	act(p(HGNC:IRAK2))
6fb1dd1d-f548-47f5-b5c9-94fb2dca9356	1.0	5542614	The inhibition of NF-kappaB activation by antisense IRAK-2 ODN or antisense p110 PI 3-kinase ODN and the inhibition of AP-1 activation by antisense IRAK-2 ODN were incomplete, whereas AP-1 activation could be inhibited by antisense p110 PI 3-kinase ODN completely.	p(HGNC:IRAK2)	directlyIncreases	act(p(FPLX:AP1))
45ae8e81-05cb-489e-a6dc-462dcad094cb	1.0	23724040	IRAK2 Identified in siRNA kinome Library Screen for Suppressors of ER-stress Induced Cell Death.	p(HGNC:IRAK2)	directlyIncreases	act(bp(GO:"GO:0008219"))
a4d641bc-2f4b-4342-b885-6570ed154f7e	1.0	23724040	Thus, IRAK2 appears to selectively modulate the IRE1 pathway among UPR signaling events.	p(HGNC:IRAK2)	directlyIncreases	act(p(HGNC:ERN1))
ebadee7e-ab8f-4f9e-8c66-0e97d18786ac	1.0	6282738	This suggests, that Yersinia induced apoptosis involves a proapoptotic signal relay through MyD88 and IRAK2, which potentially targets the Fas associated death domain protein and caspase -8 apoptotic pathway, whereas IRAK1 and TRAF6 counteract the bacteria induced cytotoxic response by signaling macrophage survival.	p(HGNC:IRAK2)	directlyIncreases	act(p(HGNC:FADD))
d8f22b4c-e4c6-48df-929c-5944da90b39d	1.0	6921091	Accordingly, IRAK2 failed to trigger inducible nitric oxide synthase and IL-1beta production in cells expressing dominant negative Akt.	p(HGNC:IRAK2)	directlyIncreases	act(p(HGNC:IL1B))
d5638d17-9685-4ddc-b059-2a3599192d63	1.0	20081374	TRAF6 is a RING domain containing E3 ligase that is recruited to the receptor upon lipopolysaccharide (LPS) or IL-1 stimulation where it can be activated by IRAK4 (IL-1 receptor associated kinase 4), IRAK1, and IRAK2 complex by inducing its oligomeraization and K63 linked ubiquitination.	p(HGNC:IRAK2)	directlyIncreases	act(p(FPLX:IL1))
7b2a4853-8b4b-4079-b2a1-67d7aa5f5cbc	1.0	23685241	One group reported that IRAK1 and IRAK2 enhance IFN production in mouse macrophages infected by VSV, while other groups showed that IRAK1 and IRAK2 suppress IFN-beta production in HEK293 cells and TLR7- or TLR9- mediated IFN-alpha production in plasmacytoid DCs.	p(HGNC:IRAK2)	directlyIncreases	act(p(FPLX:Interferon))
e5550161-d185-42dc-8059-8865c34c2540	1.0	24662294	Further study demonstrated that elevated NF-kappaB activation mediated by the IRAK2 variant was due to increased TRAF6 ubiquitination and faster IkappaBalpha degradation.	p(HGNC:IRAK2)	directlyIncreases	act(p(FPLX:NFkappaB))
b2ca383e-bfce-45bc-a2c8-762bf638ab22	1.0	PMC5868465	The levels of NF-kappa B were assayed by sandwich ELISA. (1) Treatment of HEK 293 cells with IL-1 enhanced NF-kappa B level in nuclei by 518.5% +/- 2.1%. (2) Antisense IRAK-2 ODN inhibited IL-1-induced NF-kappa B activation in a concentration (1-8 micrograms)- and time (5-24 h)-dependent manner.	p(HGNC:IRAK2)	directlyIncreases	act(p(HGNC:SLC22A18AS))
ec740549-86d3-4154-965f-2d277f0b8a01	1.0	23724040	IRAK2 and IRAK3 have been shown to modulate TLR signaling XREF_BIBR, XREF_BIBR, however, their mechanisms of action remain elusive as these proteins apparently lack intrinsic kinase activity.	p(HGNC:IRAK2)	directlyIncreases	act(p(FPLX:TLR))
78ababf9-2eb1-499a-a634-c626f529c677	1.0	26768118	IRAK2 kinase has recently implicated to mediate long-term induction of TNFalpha downstream of TLR signaling.	p(HGNC:IRAK2)	directlyIncreases	act(p(HGNC:TNF))
