INDRA UUID	Confidence	PMID	Evidence	Subject	Predicate	Object
7c55a3e3-ce37-47f8-a604-21b6318e491e	1.0	18669583	However, the effect we observed here for the model LAMC2 and COL4A1 was driven by COL4A1, suggesting COL4A1 up-regulation occurs earlier than LAMC2 up-regulation in oral carcinogenesis (data not shown).	p(HGNC:COL4A1)	directlyIncreases	act(p(HGNC:LAMC2))
03e89a81-a1d2-4957-a60a-5d279b6704c5	1.0	24170107	Interestingly, cetuximab (an EGFR blocking antibody) or EGFR small interfering RNA additively enhanced the antiproliferative activity of the LAMC2 knockdown ATC cells compared with the control cells.	p(HGNC:EGFR)	directlyIncreases	act(p(HGNC:LAMC2))
36b94db2-15bf-427c-90ec-9fc37a4515d1	1.0	12519076	The purpose of the present work was to investigate whether TGF-beta 1 and HGF, known to stimulate the LAMC2 gene encoding the laminin gamma 2 chain, might synergize to activate the LAMC2 promoter, and to identify the promoter elements involved.	p(HGNC:HGF)	directlyIncreases	act(p(HGNC:LAMC2))
c7a441c2-9bd0-4796-98ee-e5997600fc68	1.0	22614017	LAMB3, ABL2, SNA1 and LAMC2 were induced by HOTAIR overexpression in MDA-MB-231 cells; 20 however, none of these genes were repressed by siHOTAIR in either Panc1 or L3.6 pL cells (XREF_FIG), and two of the four genes (ABL2 and SNA1) were induced in both cell lines.	p(HGNC:HOTAIR)	directlyIncreases	act(p(HGNC:LAMC2))
c2a366d7-6710-4441-bf92-67f8cfc4c2be	1.0	18664273	Uncoupled regulation, namely induction of the LAMC2 but not the LAMA3 gene in response to signals derived from the tumor stroma at the invasive front of tumors is an important issue in tumor biology.	p(HGNC:LAMA3)	directlyIncreases	act(p(HGNC:LAMC2))
26916ff9-4a2e-4efb-8ea8-101753cd513d	1.0	24658684	As beta-catenin induces transcription of the FRA1 gene in CRC cells, FRA1 and beta-catenin cooperativity may play an important role in controlling localized transcription of pro invasive genes in colorectal tumors, a notion supported by our finding that FRA1 directly binds and regulates several pro invasive beta-catenin targets, including MMP14, LAMC2, VIM and ZEB1 XREF_BIBR, XREF_BIBR - XREF_BIBR.	p(HGNC:LAMC2)	directlyIncreases	act(p(HGNC:CTNNB1))
7204e2c0-679e-4e94-af84-c9d2ee5bb206	1.0	26387539	A key Wnt target is the transcription factor ZEB1 whose expression by cancer cells promotes tumor invasiveness by repressing the expression of epithelial specification markers and activating mesenchymal genes, including a number of Wnt targets such as LAMC2 and uPA.	p(HGNC:LAMC2)	directlyIncreases	act(p(FPLX:Wnt))
d9ab400c-16d2-404e-bb6b-49326711210d	1.0	24170107	Silencing LAMC2 by shRNA in ATC cells moderately inhibited cell growth in liquid culture and dramatically decreased growth in soft agar and in xenografts growing in immunodeficient mice.	p(HGNC:LAMC2)	directlyIncreases	act(bp(GO:"GO:0016049"))
8c2220e5-c470-49ac-83ee-99276e6f8c7d	1.0	24091622	Silencing of LAMC2 and ITGA6 genes significantly inhibited cell migration and invasion in cancer cells.	p(HGNC:LAMC2)	directlyIncreases	act(bp(GO:"GO:0016477"))
26e02499-7f3c-486e-95f1-9a2d0221a200	1.0	24170107	Silencing LAMC2 caused cell cycle arrest and significantly suppressed the migration, invasion, and wound healing of ATC cells.	p(HGNC:LAMC2)	directlyIncreases	act(bp(MESH:D009361))
25dd0e7a-1b1d-4733-a4cc-76978cce63bf	1.0	24091622	Numerous clinical studies indicated that overexpression of LAMC2 was positively correlated with invasiveness and poor survival in several types of cancer (XREF_BIBR), suggesting that LAMC2 functions as an oncogene and deeply contributes to cancer metastasis.	p(HGNC:LAMC2)	directlyIncreases	act(bp(MESH:D009362))
aa700224-70cd-424c-8b36-51c8c082ae38	1.0	24503541	Gal-1 reduced COL3A1 (COL-3) and COL5A1 (COL-5) mRNA expression levels but increased FN1 (FN) and LAMC2 (LM-gamma2) mRNA expression levels (XREF_FIG).	p(HGNC:LGALS1)	directlyIncreases	act(p(HGNC:LAMC2))
746df58e-82d9-4261-877d-298f90986f93	1.0	9211848	Induction of Cell Migration by Matrix Metalloprotease-2 Cleavage of Laminin-5|MMP2 cleaved the Ln-5 gamma2 subunit at residue 587, exposing a putative cryptic promigratory site on Ln-5 that triggers cell motility. This altered form of Ln-5 is found in tumors and in tissues undergoing remodeling, but not in quiescent tissues. Cleavage of Ln-5 by MMP2 and the resulting activation of the Ln-5 cryptic site may provide new targets for modulation of tumor cell invasion and tissue remodeling.	p(HGNC:MMP2)	directlyIncreases	act(p(HGNC:LAMC2))
30edf7db-5115-411b-941d-70c8c82b0cf7	1.0	23958557	We also observed alterations in mRNAs encoding cytoskeletal regulators (upregulation of IQGAP1 and downregulation of IQGAP2) and ECM components (upregulation of LAMB1 and LAMC2) in K19 positive tumours.	bp(GO:"GO:0031012")	directlyIncreases	act(p(HGNC:LAMC2))
380222f2-0b82-4343-b1df-ed53841f9e8d	1.0	12519076	The purpose of the present work was to investigate whether TGF-beta 1 and HGF, known to stimulate the LAMC2 gene encoding the laminin gamma 2 chain, might synergize to activate the LAMC2 promoter, and to identify the promoter elements involved.	p(HGNC:TGFB1)	directlyIncreases	act(p(HGNC:LAMC2))
1e4b1649-0ad2-4de1-8719-0c34a5b94c2f	1.0	20307265	AP1 sites previously implicated in TGFbeta induction of LAMB3 and LAMC2 are also involved in TNFalpha induction of these genes in Smad4 positive and in Smad4 negative cells (Additional file XREF_SUPPLEMENTARY).	p(FPLX:TGFB)	directlyIncreases	act(p(HGNC:LAMC2))
