INDRA UUID	Confidence	PMID	Evidence	Subject	Predicate	Object
d3b42978-f74f-48b0-9f1d-0b8bf2a4d9f4	1.0	24096484	Silencing c-Abl also did not affect LAMP1 (lysosome) distribution, but significantly reduced LAMP1 staining intensity, indicating that there are likely fewer lysosomes present (XREF_FIG and XREF_SUPPLEMENTARY -bottom).	p(HGNC:ABL1)	directlyIncreases	act(p(HGNC:LAMP1))
074540f9-dccd-4329-9b7e-df74f689dc49	1.0	12967569	In HeLa cells, overexpression of AGAP1 increased the internalization of an antibody to LAMP1.	p(HGNC:AGAP1)	directlyIncreases	act(p(HGNC:LAMP1))
5e5756de-4bdf-4214-a4d0-879a54b96d42	1.0	23757022	AKT1 promotes the localization of CD89 targeted antigen to the lysosome associated membrane protein 1 (LAMP1)-containing vesicles (XREF_BIBR, XREF_BIBR).	p(HGNC:AKT1)	directlyIncreases	act(p(HGNC:LAMP1))
21c503aa-3b15-4a91-970d-af20ca98d031	1.0	21525240	Finally, we found that Gadkin knockdown (XREF_FIG), much like mu1 knockdown (XREF_FIG), inhibited the appearance of Lamp1 on the cell surface after ionomycin stimulation.	p(HGNC:AP1AR)	directlyIncreases	act(p(HGNC:LAMP1))
965efd9a-2756-4fac-ac8d-1fd9df4328b1	1.0	21802320	Conversely, overexpression of Arl8b led to a dramatic recruitment of VPS41 to Arl8b + LAMP1 + lysosomes (XREF_FIG E, third row).	p(HGNC:ARL8B)	directlyIncreases	act(p(HGNC:LAMP1))
9a420156-68ec-4b66-a5c5-b62a4452d8b3	1.0	23144738	As in cells depleted of rabip4s, knock-down of AP-3 (XREF_FIG and XREF_FIG) caused CD63 (XREF_FIG) and LAMP-1 (not shown) clustering at the tips of cellular protrusions.	p(FPLX:"Adaptor_protein_III")	directlyIncreases	act(p(HGNC:LAMP1))
4c16e748-005a-4fd6-b26f-ec6994262eb7	1.0	25697727	These data indicate that the E3 ligase c-Cbl contributes to suppression of CFTR upon cigarette smoke exposure.Lysosome-associated membrane protein 1 (LAMP-1) is a marker of the lysosomes and was used to determine the intracellular localization of CFTR.	p(FPLX:"E3_Ub_ligase")	directlyIncreases	act(p(HGNC:LAMP1))
e80d934b-d1c8-4c11-ad7a-568a02117be0	1.0	19632321	A parallel analysis of EGFR co-localization with Lamp1 lysosomes in siRNA transfectants treated with EGF for 30min, demonstrated a significant decrease in EGFR and Lamp1 co-localization in CIP4 depleted cells compared to control cells (C; panels e-g; see D for quantification of EGFR and Lamp1 co-localization).	p(HGNC:EGF)	directlyIncreases	act(p(HGNC:LAMP1))
243d5b1b-ff6a-4ff2-80b6-a5711b63050b	1.0	17210246	However, the suppression of ERK phosphorylation did not prevent the accumulation of LAMP1 positive vacuoles in the cells expressing H-Ras (G12V) (b).	p(FPLX:ERK)	directlyIncreases	act(p(HGNC:LAMP1))
0d3df134-5dc9-41fa-a5e7-c9a2a840bdb7	1.0	19054391	GST-STAM1 and GST fusion proteins immobilized on glutathione-Sepharose were incubated with lysates of HeLa cells overexpressing CFP-Sec31A, Sec13-YFP, GFP-LAMP1, or epsilonCOP-YFP.	p(FPLX:GST)	directlyIncreases	act(p(HGNC:LAMP1))
f4c4b28a-85df-405c-8ed3-cf65c039d559	1.0	PMC5704251	The obtained lysosomal and mitochondrial factors activated caspase-3 in different manners; caspase-3 activation by lysosomal and mitochondrial factors was specifically suppressed by E-64, a cysteine protease inhibitor, and caspase-9 inhibitor, respectively.	p(HGNC:LAMP1)	directlyIncreases	act(p(HGNC:CASP3))
21fc9b98-3fba-48ca-a8bf-61501822e5b6	1.0	25589622	We administered C57BL/6 mice with vaccinia virus encoding the E7 antigen of human papillomavirus type-16 linked to the sorting signal of Lamp-1 (Vac-SEL) to elicit CD8 + CTLs against E7 (XREF_BIBR).	p(HGNC:LAMP1)	directlyIncreases	act(p(FPLX:CD8))
4177ea80-bf12-4d10-8726-9cc62749eb88	1.0	5772161	Three different constructs were created to target E7 antigen to different cellular localizations : (1) E7, a cytosolic and nuclear protein; (2) Sig/E7, a secretory protein; (3) Sig/E7/LAMP-1, in which we linked the transmembrane and cytoplasmic regions of the lysosome associated membrane protein 1 (LAMP-1) to E7 protein to target E7 to the endosomal/lysosomal compartment.	p(HGNC:LAMP1)	directlyIncreases	act(p(UP:P03129))
7d61f174-4305-4f12-a1b3-6d6ba3100e90	1.0	25679217	The highest LAMP1 signal in Pg381 and FimA + Pg infected MoDCs was observed at 12 hours, yet there was no increase in LAMP1 signal within Mfa1 + Pg infected MoDCs (XREF_FIG).	p(HGNC:LAMP1)	directlyIncreases	act(p(PFAM:PF16970))
8a83bd82-794e-41da-830f-7729685b68ba	1.0	25730904	Moreover, the cell surface EGFR continues to decrease while EGFR co-localization with LAMP1 increases in GALNT1 knockdown HA22T and PLC5 cells compared with control and results in an overall reduction of total EGFR at 30 min.	p(HGNC:LAMP1)	directlyIncreases	act(p(HGNC:GALNT1))
045fbd74-737f-4d8c-9a52-58df478848d0	1.0	PMC2899551	Our findings suggest that the previously reported impairment in the clearing of degeneration debris in the aged animal is mediated by reduced glial induction and delayed glial lysosomal activation.	p(HGNC:LAMP1)	directlyIncreases	act(p(HGNC:GFAP))
3ad364c7-dbd3-41de-b44b-4268a1f85a0d	1.0	26849049	It is tempting to hypothesize that LAMP1 promotes detachment of GP1 from GP2 but the role of LAMP1 in promoting LASV fusion still remains unclear.	p(HGNC:LAMP1)	directlyIncreases	act(p(HGNC:GTPBP1))
a6ccd213-773d-4288-8389-bc8e63c98098	1.0	24932692	The increased LAMP and Gag expression is mediated by LAMP-1 luminal domain.	p(HGNC:LAMP1)	directlyIncreases	act(p(HGNC:LSAMP))
e7152566-88df-476f-8d70-dfd22cfc568b	1.0	18606142	Given the direct correlation between increased LAMP-1 at the PM and enhanced lysosomal exocytosis, we asked whether overexpression of LAMP-1 in WT macrophages would induce a similar phenotype, albeit without the additional effect of oversialylation occurring in Neu1 deficient cells.	p(HGNC:LAMP1)	directlyIncreases	act(p(HGNC:NEU1))
4e6d0a78-cb40-43a6-95eb-8336df9c1cc9	1.0	25679217	The highest LAMP1 signal in Pg381 and FimA + Pg infected MoDCs was observed at 12 hours, yet there was no increase in LAMP1 signal within Mfa1 + Pg infected MoDCs (XREF_FIG).	p(HGNC:LAMP1)	directlyIncreases	act(a(PUBCHEM:6426709))
