INDRA UUID	Confidence	PMID	Evidence	Subject	Predicate	Object
86bcba1c-5260-4c52-b395-ead7bb1b6b1b	1.0	25261908	miR-155, U6 snRNA, and U47 specific probes were synthesized by ABI.	p(PFAM:PF02517)	directlyIncreases	act(p(HGNC:MIR155))
e5f8ae16-0043-42e3-a3f3-8d3db6db38f2	1.0	20209161	Here, we showed that Foxp3 and miR-155 are induced by the AC agonist PGE2, and that VacA and GGT could induce expression of miR-155.	p(HGNC:ADCY1)	directlyIncreases	act(p(HGNC:MIR155))
b446f2d2-d0d8-4673-8d79-f9cd7f6eb88f	1.0	23693020	Exogenous S100P induced miR-155 expression, but blockage of the RAGE with anti-RAGE antibody suppressed the induction of miR-155 by exogenous S100P.	p(HGNC:AGER)	directlyIncreases	act(p(HGNC:MIR155))
ebcb4848-fd13-4234-820f-c5d431adb876	1.0	25339368	A luciferase reporter assay indicated that ANX7 was a target of miR-155, which suggested that miRNA-155 promoted the proliferation of prostate cancer cells by regulating ANX7 expression levels.	p(HGNC:ANXA7)	directlyIncreases	act(p(HGNC:MIR155))
bebe0f44-1061-41ae-b88a-db8620f6184e	1.0	19900593	Further promoter analysis supported AP1 mediated transcriptional activation of miR-155, and the use of the JNK inhibitor SP600125 implicated JNK as a necessary upstream regulator.	p(FPLX:AP1)	directlyIncreases	act(p(HGNC:MIR155))
394aa69d-4424-45d9-a838-8f924e28c80d	1.0	23018130	Transfection of miRNA mimics inhibitors and site specific mutagenesis of their 3 ' untranslated region binding sites indicated that BCL6, DUSP10 and SOCS1 are direct targets of miR-30b, mir-21 and miR-155.	p(HGNC:BCL6)	directlyIncreases	act(p(HGNC:MIR155))
d8562d51-36cf-4e09-a218-b920dda3512d	1.0	20041145	Downstream of MyD88 activation we found that ERK and JNK were partly required for miR-155 induction, which supports the finding by Yiu et al that found ERK- and JNK dependent BCR induction of miR-155.	p(HGNC:BCR)	directlyIncreases	act(p(HGNC:MIR155))
672df309-406d-42f4-a7a3-0a6916febfbe	1.0	22634176	To determine whether miR-155 could be induced by BMP-2 in our culture system, MC3T3-E1 cells were treated with, or without, BMP-2 for 48 h.	p(HGNC:BMP2)	directlyIncreases	act(p(HGNC:MIR155))
b869fffd-e747-49da-bed4-f95e6bc34111	1.0	20947507	Additionally, miR-155 is induced by LPS treatment or expression of the CARD11 mutant in BJAB cells.	p(HGNC:CARD11, var("p.?"))	directlyIncreases	act(p(HGNC:MIR155))
0318f8f8-893d-4cf0-b6a8-a4a2954fe462	1.0	26899994	To further examine whether CARHSP1 is a functional target of miR-155 during foam cell formation, THP-1 cells were transfected with miR-155 mimic, CARHSP1 siRNA, or a CARHSP1 overexpression vector, and it was found that overexpression of CARHSP1 increased the protein level of TNF-alpha and lipid uptake in oxLDL induced foam cells (XREF_FIG H and XREF_FIG F), while knockdown of CARHSP1 significantly decreased the protein level of TNF-alpha and strongly prevented lipid uptake, as shown by Oil Red O staining (XREF_FIG D and XREF_FIG G).	p(HGNC:CARHSP1)	directlyIncreases	act(p(HGNC:MIR155))
00d9066d-1c85-4b97-939d-93175c3768f5	1.0	22511990	CBL which is involved in cancer initiation and progression and is believed to form a multi protein complex with BCR-ABL XREF_BIBR, XREF_BIBR is a putative targets of miRs-31 and miR-155.	p(HGNC:CBL)	directlyIncreases	act(p(HGNC:MIR155))
31a10c55-4830-4be4-9e0f-e48477e87947	1.0	26594049	It has been demonstrated that miR-155 greatly involved in the immune mechanism mediated by CD4 + T cells.	p(HGNC:CD4)	directlyIncreases	act(p(HGNC:MIR155))
a1881433-af10-45dc-81fc-1e42c3247aed	1.0	21355095	Kip1 ubiquitination promoting complex 1, suppressor of cytokine signaling 1, and CD115 (M-CSFR) were functional targets of miR-155.	p(HGNC:CDKN1B)	directlyIncreases	act(p(HGNC:MIR155))
1362409e-4c4a-44de-951a-edaa34494aa8	1.0	19887047	Bioinformatic analysis revealed that C/EBPbeta is a potential target of miR-155 and luciferase assay confirmed that C/EBPbeta translation is suppressed by miR-155 through interaction with the 3 ' UTR of C/EBPbeta mRNA.	p(HGNC:CEBPB)	directlyIncreases	act(p(HGNC:MIR155))
f6494760-e620-4e32-a77e-cd02bebd5f5c	1.0	25965824	Similar to the restoring miR-155 expression, knockdown of DMTF1 promoted cell growth and cell cycle progression, whereas DMTF1 over-expression rescued the effect of miR-155.	p(HGNC:DMTF1)	directlyIncreases	act(p(HGNC:MIR155))
c19b82a0-b4c2-486e-b1a5-0744a1b34974	1.0	23018130	Transfection of miRNA mimics inhibitors and site specific mutagenesis of their 3 ' untranslated region binding sites indicated that BCL6, DUSP10 and SOCS1 are direct targets of miR-30b, mir-21 and miR-155.	p(HGNC:DUSP10)	directlyIncreases	act(p(HGNC:MIR155))
2180a73f-5473-41b5-ac0d-f64f337a61a0	1.0	25283550	RAD001 treatment of SCID and CB17 mice inhibited E2 induced tumorigenesis of the MCF7 miR-155 overexpressing cell line.	p(UP:P27958)	directlyIncreases	act(p(HGNC:MIR155))
ca02bfdc-4084-4650-8db0-6fe8b608345f	1.0	27110708	Therefore, EBNA3C mediated miR-155 activation likely occurs through another promoter element.	p(UP:I1YP21)	directlyIncreases	act(p(HGNC:MIR155))
d360d1df-596e-4b7c-8aaf-d4021e64432e	1.0	20041145	Downstream of MyD88 activation we found that ERK and JNK were partly required for miR-155 induction, which supports the finding by Yiu et al that found ERK- and JNK dependent BCR induction of miR-155.	p(FPLX:ERK)	directlyIncreases	act(p(HGNC:MIR155))
f8397bf8-359b-4f37-a629-56fdd4f1e914	1.0	21310411	As Ets-1 is a target of both miR-155 and miR-221/222, we presume that miR-155 and miR-221/222 might regulate the expression of these genes.	p(HGNC:ETS1)	directlyIncreases	act(p(HGNC:MIR155))
ff660813-5e03-423a-81b6-b12c206df05d	1.0	19701459	Indeed, using KGF 3 '-UTR luciferase constructs, we have demonstrated that KGF was a direct target of miR-155.	p(HGNC:FGF7)	directlyIncreases	act(p(HGNC:MIR155))
ed0483f4-6e2c-4892-af19-52f9e336eca5	1.0	21304824	FOXO3a is a direct target of miR-155.	p(HGNC:FOXO3)	directlyIncreases	act(p(HGNC:MIR155))
f62cde37-da68-4296-a388-23f86a899277	1.0	20950585	Here, we show that miR-155 is predominantly targeted for regulation by the inflammatory cytokines in HRPE cells.	p(PFAM:PF06188)	directlyIncreases	act(p(HGNC:MIR155))
453e40f4-e6a1-4998-a2a8-929be7eb1af6	1.0	20948191	The expression of miR-155 in cultured normal human mesangial cells treated with interferon-gamma (IFN-gamma) and/or tumor-necrosis factor-alpha (TNF-alpha) was examined.	p(HGNC:IFNG)	directlyIncreases	act(p(HGNC:MIR155))
a22cc975-450e-4c13-a051-113126549b1e	1.0	24151514	These results strongly suggested that IKBKE was the direct target of miR-155 in RA-FLS.	p(HGNC:IKBKE)	directlyIncreases	act(p(HGNC:MIR155))
c8e0573a-ee4a-4fda-8e5a-3ef0b810c050	1.0	25853464	In the cell lines that show upregulation of miR-155 by IL-1beta our results suggest that both reduced mRNA transcription and mRNA destabilization occur (XREF_SUPPLEMENTARY).	p(HGNC:IL1B)	directlyIncreases	act(p(HGNC:MIR155))
cd94c30a-a095-436b-9e0b-04cb5266f450	1.0	26055806	Induction of miR-155 by IL-21 was investigated by stimulating purified CD4+ T cells with IL-21 and measuring miR-155 expression levels.	p(HGNC:IL21)	directlyIncreases	act(p(HGNC:MIR155))
3fbe9535-979d-40c9-9939-669423b06ffd	1.0	21703910	Recently, O'Connell et al. showed that SHIP1 is a direct target of miR-155 in hematopoietic system.	p(HGNC:INPP5D)	directlyIncreases	act(p(HGNC:MIR155))
55fc5fa6-7116-40e6-a96e-c0d78d190bd3	1.0	23028330	We found that miR-155 was consistently induced in MDMs from multiple donors by poly (I : C) and LPS but not by Imiquimod, and that the induction through TLR3 was significantly stronger than through TLR4.	a(PUBCHEM:57469)	directlyIncreases	act(p(HGNC:MIR155))
66f7bc5b-8659-4956-a68a-184b8db564c0	1.0	19701459	It has been shown that miR-155 is induced by lipopolysaccharide (LPS), interferon (IFN), polyriboinosinic-polyribocytidylic acid (poly IC) or TNF-alpha in monocytes, macrophages and dendritic cells XREF_BIBR - XREF_BIBR, XREF_BIBR.	p(FPLX:Interferon)	directlyIncreases	act(p(HGNC:MIR155))
757085d2-780a-43ec-a7be-36519e868b6d	1.0	24657879	Jarid2 mediates the function of miR-155 in cardiomyocytes.	p(HGNC:JARID2)	directlyIncreases	act(p(HGNC:MIR155))
f4ffff5f-9551-4e53-8f58-e0f4e51617e4	1.0	20041145	Downstream of MyD88 activation we found that ERK and JNK were partly required for miR-155 induction, which supports the finding by Yiu et al that found ERK- and JNK dependent BCR induction of miR-155.	p(FPLX:JNK)	directlyIncreases	act(p(HGNC:MIR155))
c082615a-2ad0-4ae5-8b15-e6d4e34a0156	1.0	22508041	Luciferase reporter assays indicated that c-Jun is a direct target of miR-155 in HEK293A cells.	p(HGNC:JUN)	directlyIncreases	act(p(HGNC:MIR155))
f924614c-82ee-4329-beb2-9bd03ad4d9a0	1.0	21541331	This is the first report that JMJD1A is a direct target of miR-155.	p(HGNC:KDM3A)	directlyIncreases	act(p(HGNC:MIR155))
1916ed70-b8d4-4a2d-a8ad-7b77c7a930dc	1.0	23524258	Studies from Gherzi and colleagues have shown that the extracellular inflammatory stimulus, bacterial lipopolysaccharide (LPS), induces KSRP mediated enhanced processing of miR-155 in mouse macrophages.	p(HGNC:KHSRP)	directlyIncreases	act(p(HGNC:MIR155))
