INDRA UUID	Confidence	PMID	Evidence	Subject	Predicate	Object
b338394d-73c2-40fb-a251-5963883ce105	1.0	21380797	We demonstrate in vitro that plasmapheresis effluent from our patient rapidly decreased cultured podocyte levels of the phosphorylated myosin light chain (MLC) that mediates NMMHC-IIA binding to actin and induced dispersion of NMMHC-IIA from its usual position along actin stress fibers.	complex(p(FPLX:Actin), p(HGNC:MYH9))	directlyIncreases	act(p(HGNC:MYH9))
e378276e-732d-4682-afcb-8b454ee2ba1b	1.0	18971378	In egf-stimulated cells, the myosin-iia heavy chain is phosphorylated on the casein kinase 2 site (s1943)	p(HGNC:CSNK2A1)	directlyIncreases	act(p(HGNC:MYH9))
791f227b-a122-4f72-883c-0a4190e895bd	1.0	25038455	All these results indicate that MRTF-A and STAT3 synergistically increased MDA-MB-231 cell migration.The cytoskeletal components Myh-9 (NMHC-IIA) and Myl-9 (MLC2), which are components of the actomyosin contractile apparatus, have been implicated previously in invasive behavior in tumor cells.	p(HGNC:MKL1)	directlyIncreases	act(p(HGNC:MYH9))
e7e4d877-4cc3-476f-8160-c0acc3e67c30	1.0	26499037	We propose a mechanism in which the ROS mediated -glutathionylation of MVP promotes the binding of myosin-9, interfering with the ability of myosin-9 to promote cell death signaling.	p(HGNC:MVP)	directlyIncreases	act(p(HGNC:MYH9))
4ffad7fd-953b-4ad1-91ac-7d513513fa8b	1.0	16186248	The CK2 inhibitor 5,6-dichloro-1-beta-d-ribofuranosylbenzimidazole attenuated the phosphorylation of ACE and MYH9, disrupted their association, and enhanced the cleavage and secretion of ACE from the plasma membrane.	p(HGNC:MYH9)	directlyIncreases	act(p(HGNC:ACE))
cae65b4d-f441-4120-84a1-d503d3bf2bdf	1.0	18195072	MyH9 mediates LFA-1 de-adhesion at the uropod.	p(HGNC:MYH9)	directlyIncreases	act(p(UP:P24063))
cc71c0ea-1365-44d9-86b7-89d6be95839c	1.0	16806139	The mechanism of the discrepancy is not clear.We also confirmed that there is an overexpression of NMMHC-A in neutrophils from affected MYH9 related disease subjects than normal controls.	p(HGNC:MYH9)	directlyIncreases	act(p(HGNC:MYH9))
cc71c0ea-1365-44d9-86b7-89d6be95839c	1.0	16806139	The mechanism of the discrepancy is not clear.We also confirmed that there is an overexpression of NMMHC-A in neutrophils from affected MYH9 related disease subjects than normal controls.	p(HGNC:MYH9)	directlyIncreases	act(p(HGNC:MYH9))
60560d99-3155-40b0-b5b3-967554e4f4de	1.0	22898599	Finally, we demonstrate that MYH9 is a direct target of RUNX1 by chromatin immunoprecipitation and luciferase assays and we identified new RUNX1 binding sites in the MYL9 promoter region.	p(HGNC:MYH9)	directlyIncreases	act(p(HGNC:RUNX1))
d5bd06b3-185f-4638-9afc-b169c1204a63	1.0	26499037	Interestingly, the role of myosin-9 to promote cell death appears to be specific to heating induced effects, since myosin-9 knockdown did not inhibit, rather potentiated, cell death as well as p62 downregulation induced by hydrogen peroxide (Supplemental Fig.	p(HGNC:MYH9)	directlyIncreases	act(p(HGNC:SQSTM1))
e44f2764-1e31-4e87-ae13-65f6941094ca	1.0	25826333	Because MYH9 contributes to cell polarity, adhesion, division, and migration [XREF_BIBR, XREF_BIBR], several studies have indicated that MYH9 plays a key role in cancer cell migration, invasion, and metastasis [XREF_BIBR, XREF_BIBR].	p(HGNC:MYH9)	directlyIncreases	act(bp(GO:"GO:0007155"))
dd42c924-5aca-4dfe-8307-105eb39d0352	1.0	26499037	Interestingly, the role of myosin-9 to promote cell death appears to be specific to heating induced effects, since myosin-9 knockdown did not inhibit, rather potentiated, cell death as well as p62 downregulation induced by hydrogen peroxide (Supplemental Fig.	p(HGNC:MYH9)	directlyIncreases	act(bp(GO:"GO:0008219"))
768de183-b95d-4e58-a2f8-f2161ec4e814	1.0	25826333	MYH9 contributes to cell migration which is required for invasion of the local microenvironment.	p(HGNC:MYH9)	directlyIncreases	act(bp(GO:"GO:0016477"))
fb3de0eb-628a-4fb0-b4cd-6aeb2ecc61bc	1.0	25826333	Because MYH9 contributes to cell polarity, adhesion, division, and migration [XREF_BIBR, XREF_BIBR], several studies have indicated that MYH9 plays a key role in cancer cell migration, invasion, and metastasis [XREF_BIBR, XREF_BIBR].	p(HGNC:MYH9)	directlyIncreases	act(bp(MESH:D016764))
