INDRA UUID	Confidence	PMID	Evidence	Subject	Predicate	Object
7ee23bd7-f799-4283-a7a4-36e917eb6ece	1.0	6452381	Together, our results demonstrate that cAMP induces dual signaling in PC12 cells : transactivation of the EGF receptor triggering the ERK1/2 pathway and neurite outgrowth; and transactivation of the NGF receptor promoting Akt activation and thereby modulating ERK1/2 activation and neurite outgrowth.	a(CHEBI:17489)	directlyIncreases	act(p(HGNC:NGFR))
16335626-6da4-4990-83f3-66740f75b842	1.0	26812016	Thus, silencing of DRP1 could conceivably impair NGF receptor internalization, and signaling, and lay the path for NGF independence and neuronal de-differentiation in nascent neuroblastoma cells.Previous reports demonstrate that DRP1 activity is controlled by phosphorylation on Ser637 by PKA.	p(HGNC:DNM1L)	directlyIncreases	act(p(HGNC:NGFR))
6af3e4a7-9e1c-44a2-abab-fe67c618427b	1.0	5513711	IFN-gamma could induce the functional NGF receptor even in the aggressive phenotype of NB.	p(HGNC:IFNG)	directlyIncreases	act(p(HGNC:NGFR))
752cb319-5a53-4545-bb8c-5ad057aadd0b	1.0	26278479	Moreover, a study has also shown that among apolipoprotein E (ApoE) epsilon4 allele non carriers, the NGFR polymorphism increases the risk of AD, which is affected by the presence of type 2 diabetes mellitus XREF_BIBR.	p(HGNC:NGFR)	directlyIncreases	act(p(PFAM:PF09793))
6a26f536-2d77-4c75-a7a4-cfd6a9cffe10	1.0	6452381	Together, our results demonstrate that cAMP induces dual signaling in PC12 cells : transactivation of the EGF receptor triggering the ERK1/2 pathway and neurite outgrowth; and transactivation of the NGF receptor promoting Akt activation and thereby modulating ERK1/2 activation and neurite outgrowth.	p(HGNC:NGFR)	directlyIncreases	act(p(FPLX:AKT))
80b40a81-c010-4c87-ac65-4adf969ecc21	1.0	24180625	The expression of the NGF receptor (NGFR) TrkA enhanced the tumorigenic potential of BRCA in an animal model [XREF_BIBR].	p(HGNC:NGFR)	directlyIncreases	act(p(FPLX:BRCA))
2a660b54-d7aa-429f-b1d6-9a3afb70a523	1.0	PMC4457017	Together, these results suggest that NGF receptor tyrosine kinase activation of p21-ras is likely to be involved in the tonic regulation of VDCCs in DRG neurons.	p(HGNC:NGFR)	directlyIncreases	act(p(HGNC:CDKN1A))
c39b4fbb-75e5-419b-84ba-d388c2c028b5	1.0	4771437	In transactivation assays, C/EBPbeta activity was stimulated by NGF receptor signaling.	p(HGNC:NGFR)	directlyIncreases	act(p(HGNC:CEBPB))
4863e2a8-6412-4597-a2f1-22e0b76d5ae2	1.0	4457017	Together, these results suggest that NGF receptor tyrosine kinase activation of p21-ras is likely to be involved in the tonic regulation of VDCCs in DRG neurons.	p(HGNC:NGFR)	directlyIncreases	act(p(HGNC:HRAS))
3715fbc0-cf8b-44e8-9467-83d9fbe55012	1.0	19038341	HSAN IV is caused by mutations in the NGF receptor TrkA.	p(HGNC:NGFR)	directlyIncreases	act(a(PUBCHEM:449407))
