INDRA UUID	Confidence	PMID	Evidence	Subject	Predicate	Object
23dbb444-6f74-4e40-bf75-a3738b378a73	1.0	9883723	Artemin, GDNF, and NTN supported similar numbers of NG neurons, and each factor yielded equal or greater survival promotion than BDNF, similar to previous reports () ().	p(HGNC:ARTN)	directlyIncreases	act(p(HGNC:NRGN))
fd3a4895-683e-4377-a2fe-fd1ea83209ee	1.0	3460985	In the presence of forskolin, NC 1005 and NC 1006 failed to potentiate NG relaxation.	p(HGNC:CHN1)	directlyIncreases	act(p(HGNC:NRGN))
5d85dbea-fc03-438d-b592-18229e73fab4	1.0	19886734	Using primary cultured fibroblasts from hereditary gingival fibromatosis (HGF), normal gingiva (NG), and NG treated with cyclosporin-A (NGc) we show changes in the expression and structural characteristics of GAGs as well as in the expression of enzymes involved in their biosynthesis and degradation.	p(HGNC:CSPG5)	directlyIncreases	act(p(HGNC:NRGN))
ec4c44a0-69c6-40dc-9689-bbb2a63058d8	1.0	3803424	RC3 dependent Cl- currents were also elicited by phorbol ester in Ca (2+)-free media.	a(CHEBI:29108)	directlyIncreases	act(p(HGNC:NRGN))
7149ca21-377a-4fec-a4ca-6ec55d2006f4	1.0	21767656	For example, infusion of recombinant BDNF into the DG stimulates NG and riluzole induced proliferation of granule cells in the DG was blocked by injection of an antibody against BDNF.	a(PUBCHEM:151148)	directlyIncreases	act(p(HGNC:NRGN))
c9199af8-b21c-4d4c-bb71-458ae8a3ffe3	1.0	3008346	Water, corn oil, or DMSO controls produced -3 to -6 NG with less than or equal to 6% of the cells in repair.	a(PUBCHEM:679)	directlyIncreases	act(p(HGNC:NRGN))
3e2f393d-58df-472c-8b79-542baee9b2f7	1.0	7097505	To determine the effect of TGF-beta1 on the proliferation rate of NG fibroblasts under CsA treatment, NG fibroblast cultures were simultaneously treated with CsA and antisense oligonucleotides against the translation-start site of the TGF-beta1 mRNA.	a(CHEBI:4031)	directlyIncreases	act(p(HGNC:NRGN))
01698aa2-63bf-4d5c-bf0f-2995dd20f7a1	1.0	9883723	Artemin, GDNF, and NTN supported similar numbers of NG neurons, and each factor yielded equal or greater survival promotion than BDNF, similar to previous reports () ().	p(HGNC:GDNF)	directlyIncreases	act(p(HGNC:NRGN))
1ac599b5-3598-4dd6-b0fa-0ce101d31c36	1.0	25207880	Consistently, the highest levels of IL-6 were seen in NG 1.1 TECs treated with 50ng/ml of IL-18, and this concentration was used for further studies in NG 1.1 TECs.	p(HGNC:IL18)	directlyIncreases	act(p(HGNC:NRGN))
2a6e3634-b925-473c-b614-815a98b7544d	1.0	12808095	Based upon these results, we propose that IL-2 deprivation raises the level of RC3 and other apoptotic factors, which induce apoptosis by increasing the intracellular Ca (2+) concentration.	p(HGNC:IL2)	directlyIncreases	act(p(HGNC:NRGN))
56963c60-5282-42bb-b5aa-a87f16a087c3	1.0	22253779	Impact of the Genome Wide Supported NRGN Gene on Anterior Cingulate Morphology in Schizophrenia.	p(HGNC:IMPACT)	directlyIncreases	act(p(HGNC:NRGN))
5a66c4e2-9f5c-4325-ad3e-5039409ad504	1.0	4969600	Reversible oxidation and reduction of Ng were also observed in rat brain extracts, in which oxidation was enhanced by Ca2+ and the oxidized Ng could be reduced by NADPH or reduced glutathione.	a(CHEBI:16474)	directlyIncreases	act(p(HGNC:NRGN))
064130a2-798f-4a81-b8ae-e0faf771b2e8	1.0	24098564	NRGN rs12807809 risk allele TT homozygotes had increased neural activity in the ACC during the encoding phase and less deactivation in the left insula during the recognition phase.	p(HGNC:NRGN)	directlyIncreases	act(p(FPLX:ACC))
b597acd2-876b-454d-bce4-fd2566e9bd0a	1.0	26698298	Neurogranin supports the early and differential diagnosis of AD.	p(HGNC:NRGN)	directlyIncreases	act(p(PFAM:PF09793))
