INDRA UUID	Confidence	PMID	Evidence	Subject	Predicate	Object
c79c2cfb-aefa-4aa5-95ac-74927d656a39	1.0	6333646	On the other hand, ATRA induced the differentiation of MmTRA1b transfected NB4 cells more efficiently than that of mock transfected cells.	a(CHEBI:15367)	directlyIncreases	act(p(HGNC:PLSCR1))
02509711-e8eb-4ba4-ae83-cf0fa8907868	1.0	6348942	Consistent with in vitro assays, PLSCR1 (-/-) mice treated with G-CSF showed less than 50% of the granulocytosis observed in identically treated WT mice.	p(HGNC:CSF3)	directlyIncreases	act(p(HGNC:PLSCR1))
8772a255-583d-49dc-9e00-0f8a01f345b4	1.0	12031648	In the bipotential promyelocytic leukemia cell line HL60, MmTRA1b mRNA was significantly up-regulated by granulocytic inducers (ATRA and DMSO) but not by monocyte and macrophage inducers (VD and TPA).	a(PUBCHEM:679)	directlyIncreases	act(p(HGNC:PLSCR1))
ad3de2be-df1e-42a5-ab30-5459d0b6108f	1.0	12009895	Confocal immunofluorescence analysis revealed that EGF initiates rapid internalization of both the EGF receptor and PLSCR1, with trafficking into both distinct and common endosomal pools.	p(HGNC:EGF)	directlyIncreases	act(p(HGNC:PLSCR1))
1ae8c707-4ebf-48bc-a8c4-f6de13d5dc47	1.0	22266210	III-10 could significantly increase PML expression implied that III-10 might influence cancer cells in other aspects associated with PML, which needed further research in future.Another interesting phenomenon was that previous study demonstrated IFNalpha induced PLSCR1 up-regulation required activation of PKCdelta ().	p(FPLX:IFNA)	directlyIncreases	act(p(HGNC:PLSCR1))
76719c09-60da-4a2c-b527-52ad3cf51cb0	1.0	22789739	Because Tax inhibits the IFN signaling pathway in T cells (), the IFN mediated induction of PLSCR1 must be repressed by Tax in K3T cells.	p(FPLX:Interferon)	directlyIncreases	act(p(HGNC:PLSCR1))
b3bb5461-57c2-4027-bffc-4f362a236fe4	1.0	12031648	In the bipotential promyelocytic leukemia cell line HL60, MmTRA1b mRNA was significantly up-regulated by granulocytic inducers (ATRA and DMSO) but not by monocyte and macrophage inducers (VD and TPA).	a(CHEBI:37537)	directlyIncreases	act(p(HGNC:PLSCR1))
0d2ab19a-1b09-4f5a-9867-b9d5ad51c39c	1.0	23426682	To assess whether PLSCR-1 is functionally implicated in PS outward movement during exocytosis, we transfected bovine chromaffin cells with cDNAs encoding either wild-type PLSCR-1 or a calcium-insensitive PLSCR-1 D284A mutant unable to trigger PS redistribution (XREF_BIBR).	p(HGNC:PLSCR1, var("p.Asp284Ala"))	directlyIncreases	act(a(PUBCHEM:7408258))
d3ac74b1-17d5-4230-9ff1-2b48814e49ad	1.0	24648509	Human phospholipid scramblase 1 (hPLSCR1), a type II integral class membrane protein, is known to mediate bidirectional scrambling of phospholipids in a Ca (2+)-dependent manner.	p(HGNC:PLSCR1)	directlyIncreases	act(a(CHEBI:29108))
6a31da5c-575b-4b42-82a4-1fee2f20af76	1.0	12871937	Plasma membrane phospholipid scramblase 1 promotes EGF dependent activation of c-Src through the epidermal growth factor receptor.	p(HGNC:PLSCR1)	directlyIncreases	act(p(HGNC:EGF))
394de9ac-f56a-4703-9747-3db5667d4f58	1.0	22264514	To define how PLSCR1 mediates IFNalpha induced protection from alpha-toxin, we measured eATP release from A549 cells stably expressing NS or PLSCR1 specific shRNA.	p(HGNC:PLSCR1)	directlyIncreases	act(p(FPLX:IFNA))
49d0f871-3b4e-4b6b-8112-32a3f2a1d0f9	1.0	22789739	However, PLSCR1 expression is not significantly induced in Tax producing HTLV-1-infected K3T cells in the presence of IFN ().	p(HGNC:PLSCR1)	directlyIncreases	act(p(FPLX:Interferon))
c1270d5f-fbf0-4250-a7bf-a48af531ec42	1.0	26057829	One must only recall that PLSCR1 incorporated into liposomes mediates PLS but that knockout of its gene does not have clear-cut effects on PLS to appreciate a need for caution (XREF_BIBR; XREF_BIBR; XREF_BIBR; XREF_BIBR).	p(HGNC:PLSCR1)	directlyIncreases	act(p(UP:Q8LLV8))
1ae24a1c-8391-4b03-88f1-99fd07b86132	1.0	14654079	PLSCR1 has been putatively implicated in the movement of phosphatidyl serine (PS) and other aminophospholipids to the plasma membrane outer leaflet after cell injury, and may contribute to cell surface PS exposure during the early stages of programmed cell death.	p(HGNC:PLSCR1)	directlyIncreases	act(a(PUBCHEM:7408258))
7f9f8c85-5eb4-4e77-a63e-828f68b8c2d4	1.0	6872920	Using PLSCR1-/- embryonic fibroblasts and kidney epithelial cells, we now demonstrate that deletion of PLSCR1 from the plasma membrane reduces the activation of c-Src by EGF, implying that PLSCR1 normally facilitates receptor dependent activation of this kinase.	p(HGNC:PLSCR1)	directlyIncreases	act(p(HGNC:SRC))
efd6338a-5550-450a-993a-74bfb9da7365	1.0	23621864	Intriguingly, overexpression of both the wild type and C/A PLSCR1 mutant (which localizes to the nuclear compartment [XREF_BIBR]) in T80 cells led to a marked induction of plasminogen activator inhibitor-1 (PAI-1) expression; these results suggest that PLSCR1 could modulate TGFbeta cellular responses, similar to SnoN [XREF_BIBR].	p(HGNC:PLSCR1)	directlyIncreases	act(p(FPLX:TGFB))
e8663e38-531d-4164-a2fd-cc35b55d1b66	1.0	17567603	Whether or not the ability of PLSCR1 to modulate topo II activity is involved in the cellular activities of interferons, however, remains to be determined.	p(HGNC:PLSCR1)	directlyIncreases	act(p(UP:O16140))
3f31a6f2-682a-493a-8c2d-65a10c41521d	1.0	25365352	These results suggest that the nuclear trafficking of PLSCR1 mediates the antiviral activity and anticarcinogenesis against HBV by regulating HBx stability.	p(HGNC:PLSCR1)	directlyIncreases	act(p(UP:Q157B2))
6bc21f57-2e9c-4fa7-bfe9-aebffeba017c	1.0	22893466	Silencing of PLSCR1 by siRNA inhibits the proliferation, adhesion, migration and invasion of Lovo cells, which suggests that PLSCR1 contributes to the tumorigenesis and tumor progression of CRC.	p(HGNC:PLSCR1)	directlyIncreases	act(bp(GO:"GO:0007155"))
a4d607c4-5464-47ae-87fa-c56ca07d85f3	1.0	22789739	Overexpression of PLSCR1 has been reported to inhibit tumorigenesis, promote apoptosis, and facilitate the differentiation of myeloid cells ().	p(HGNC:PLSCR1)	directlyIncreases	act(bp(GO:"GO:0006915"))
c8493cfd-fe54-4b1c-a841-25dd5775c28c	1.0	14654079	The expression of MmTRA1b mRNA was also induced during the induction of differentiation of Mm subline cells using sodium butyrate.	p(HGNC:PLSCR1)	directlyIncreases	act(a(PUBCHEM:264))
b3504846-184c-45e9-924f-0b891405b468	1.0	23621864	Whether PLSCR1 modulates sensitivity to carboplatin and paclitaxel or whether the effects of As 2 O 3 and TGFbeta are mediated via IFN remain to be investigated.	p(HGNC:PLSCR1)	directlyIncreases	act(a(PUBCHEM:5352133))
89d3d9c9-0322-426e-a579-7595dfae3c89	1.0	26642712	This study suggests that PLSCR1 positively regulates hepatic carcinoma cell proliferation and migration through interacting with MK, thus deepening our understanding on the regulation of midkine during hepatic carcinoma growth and metastasis.	p(HGNC:PLSCR1)	directlyIncreases	act(bp(GO:"GO:0008283"))
a9ecd69b-ce67-454f-a705-6a05b86f352b	1.0	15308560	Finally, decreasing PLSCR1 expression with small interfering RNA inhibits ATRA and PMA induced differentiation.	p(HGNC:PLSCR1)	directlyIncreases	act(bp(GO:"GO:0030154"))
67e85fb3-4d02-4eb5-ae91-ab03b5bb15b4	1.0	22893466	Silencing of PLSCR1 by siRNA inhibits the proliferation, adhesion, migration and invasion of Lovo cells, which suggests that PLSCR1 contributes to the tumorigenesis and tumor progression of CRC.	p(HGNC:PLSCR1)	directlyIncreases	act(bp(MESH:D009361))
6c89dc48-dffd-412a-a8c4-74e05a5a3250	1.0	23501106	These findings indicate that PLSCR1 negatively regulates the Tat dependent transactivation of the HIV-1 LTR during HIV-1 infection by reducing the nuclear localization of Tat.The HIV-1 Tat cDNA encoding pSV2Tat72 and the HIV-1 3 ' LTR encoding pBlue3 ' LTR-Luc were kindly provided by the National Institute of Health AIDS Research and Reference Reagent Program.	p(HGNC:PLSCR1)	directlyIncreases	act(bp(GO:"GO:0051179"))
cbc616e3-5593-423f-a75c-dbf1df48a4ca	1.0	22893466	Silencing of PLSCR1 by siRNA inhibits the proliferation, adhesion, migration and invasion of Lovo cells, which suggests that PLSCR1 contributes to the tumorigenesis and tumor progression of CRC.	p(HGNC:PLSCR1)	directlyIncreases	act(bp(GO:"GO:0008283"))
35dae881-f25f-4534-a4d4-82b5e7e6490d	1.0	14654079	The expression of MmTRA1b mRNA was also induced during the induction of differentiation of Mm subline cells using sodium butyrate.	p(HGNC:PLSCR1)	directlyIncreases	act(a(PUBCHEM:923))
7bbdf2f5-d434-49aa-a2d9-d5fef816beb9	1.0	23501106	These findings indicate that PLSCR1 negatively regulates the Tat dependent transactivation of the HIV-1 LTR during HIV-1 infection by reducing the nuclear localization of Tat.The HIV-1 Tat cDNA encoding pSV2Tat72 and the HIV-1 3 ' LTR encoding pBlue3 ' LTR-Luc were kindly provided by the National Institute of Health AIDS Research and Reference Reagent Program.	p(HGNC:PLSCR1)	directlyIncreases	act(p(UP:P04608))
9b924c3c-aa93-417a-a7d3-66dcfce99e24	1.0	22789739	To confirm this PLSCR1 mediated nuclear stabilization of Tax using subcellular fractionation, Tax and PLSCR1 were expressed in COS-1 cells.	p(HGNC:PLSCR1)	directlyIncreases	act(p(UP:P03409))
794d2858-5b66-4a4a-854d-d73540e76b5e	1.0	17567603	PLSCR1 also increased the decatenation activity of human topo IIalpha.	p(HGNC:PLSCR1)	directlyIncreases	act(p(PFAM:PF01131))
cae50349-0d81-4b28-8b18-0579ae5ed46b	1.0	17567603	Yeast co-transformed with pACT and PLSCR1 and pOBD2 failed to grow on selective plates, demonstrating that transcription was not induced by pACT and PLSCR1 independently of its interaction with the topo II CTDs.	p(HGNC:PLSCR1)	directlyIncreases	act(bp(GO:"GO:0006351"))
a861c2f0-aaa2-4e00-b184-4a90200bbbf3	1.0	24356419	Phospholipid scramblase 1 functionally interacts with angiogenin and regulates angiogenin enhanced rRNA transcription.	complex(p(HGNC:ANG), p(HGNC:PLSCR1))	directlyIncreases	act(bp(GO:"GO:0006351"))
970dc875-d337-448d-aa7b-e7679e5b6f80	1.0	10770950	Following the induction of apoptosis, however, phosphorylation of serine residues decreased and it increased on threonine, consistent with the predicted pkc phosphorylation site at thr-161. Transfection of cho cells with scramblase and pkc_, but not scramblase or pkc_ alone, increased scramblase activity	p(HGNC:PRKCD)	directlyIncreases	act(p(HGNC:PLSCR1))
67d92df8-c711-4ec7-af0d-55b61dd229fc	1.0	12871937	Cell stimulation by egf results in tyr phosphorylation of plscr1, its association with both shc and egf receptors, and rapid cycling of plscr1 between plasma membrane and endosomal compartments.We Now report evidence that upon egf stimulation, plscr1 is phosphorylated by c-src, within the tandem repeat sequence 68vynqpvynqp77. The in vivo interaction between plscr1 and shc requires the src-mediated phosphorylation on tyrosines 69 and 74. Furthermore, our data suggest that deletion of plscr1 from the plasma membrane results in marked reduction in egf-initiated activation of c-src kinase.	p(HGNC:SRC)	directlyIncreases	act(p(HGNC:PLSCR1))
25a0cf94-71c2-4e3f-8c41-630fc497e56f	1.0	12031648	In the bipotential promyelocytic leukemia cell line HL60, MmTRA1b mRNA was significantly up-regulated by granulocytic inducers (ATRA and DMSO) but not by monocyte and macrophage inducers (VD and TPA).	a(PUBCHEM:7009608)	directlyIncreases	act(p(HGNC:PLSCR1))
e1f8a53a-c3cc-4578-bed3-9bc50f9d4b4a	1.0	23426682	Together, these results suggest that calcium induced PLSCR-1 activity and the resulting PS redistribution at the plasma membrane are not required for granule fusion and exocytosis but are critical for secretory granule membrane retrieval.	a(CHEBI:29108)	directlyIncreases	act(p(HGNC:PLSCR1))
6b1deed8-15c9-4800-909d-f2a43a984080	1.0	22789739	Because experiments with the proteasome inhibitor MG132 indicated that PLSCR1 does not affect the stability of Tax (), this PLSCR1 mediated reduction of the cytoplasmic distribution of Tax must not be caused by the degradation of Tax.	p(UP:P03409)	directlyIncreases	act(p(HGNC:PLSCR1))
