INDRA UUID	Confidence	PMID	Evidence	Subject	Predicate	Object
02f6f228-b26d-477b-92d4-c5baa3976225	1.0	22510778	Moreover, shRNA mediated PPARA gene knockdown in primary human hepatocytes decreased expression levels of the PPAR-alpha target ACOX1 and of CYP3A4 by more than 50%.	p(HGNC:ACOX1)	directlyIncreases	act(p(HGNC:PPARA))
78d5a49c-9fa1-42c8-9077-6ccda0d702e2	1.0	4732912	We show here that the expression of ADD1 and SREBP1 specifically increases the activity of PPARgamma but not other isoforms, PPARalpha, or PPARdelta.	p(HGNC:ADD1)	directlyIncreases	act(p(HGNC:PPARA))
ca1f225b-10f7-485d-b80f-c18cc6462825	1.0	19128983	Adiponectin also activates the AMP kinase (AMPK) and peroxisome proliferator activated receptor alpha (PPARalpha) but metformin, which also stimulates AMPK, even reduced activin A release.	p(HGNC:ADIPOQ)	directlyIncreases	act(p(HGNC:PPARA))
605efec8-5ef8-441a-bea5-1f3acf68ce36	1.0	20470935	AdipoR1 activation stimulates the AMP-kinase and enhances catabolism to generate ATP, whereas AdipoR2 is linked to peroxisome proliferator activated receptor alpha (PPARalpha) activation.	p(HGNC:ADIPOR1)	directlyIncreases	act(p(HGNC:PPARA))
2181af05-5b2d-482f-a1df-3b6687eadf7e	1.0	18842004	AdipoR1 and R2 appear to be functionally specialized with respect to these actions, since adenovirus mediated expression of AdipoR1 in the liver of Leptin-receptor null mice preferentially enhances AMPK activation, while expression of AdipoR2 increases PPARalpha signaling.	p(HGNC:ADIPOR2)	directlyIncreases	act(p(HGNC:PPARA))
3f47be1d-05c2-4490-966a-cf2c3e8ae71f	1.0	26872613	Thus, although increased AIP expression may contribute to enhance the cytoplasmic stability of PPARalpha in treated cases, other factors are involved and PPARalpha is unlikely to be a mediator of SSA in somatotropinomas.We subsequently tested the effects of fenofibrate on GH cells.	p(HGNC:AIP)	directlyIncreases	act(p(HGNC:PPARA))
8435c55e-75ba-42db-98ba-7f571d9e7227	1.0	20400503	Subsequent studies show both in vitro and in a murine model of inflammation that 5-lipoxygenase stimulation induces PPAR-alpha signaling and that this results specifically from production of the inflammatory mediator and chemoattractant leukotriene B (4) (LTB (4)).	p(HGNC:ALOX5)	directlyIncreases	act(p(HGNC:PPARA))
e437897f-1498-4648-8f10-25d014bb2143	1.0	26772531	Lastly, Fujita et al. showed that adiponectin protects against Ang-II-induced cardiac fibrosis possibly through an AMPK dependent peroxisome proliferator activated receptor alpha (PPAR-alpha) activation.	p(FPLX:AMPK)	directlyIncreases	act(p(HGNC:PPARA))
388cd567-c2b9-4206-820b-80121838a110	1.0	20580771	Data from animal and human studies indicate adiponectin can enhance insulin sensitivity and reduce the risk of type 2 diabetes, through mechanisms of an enhancement of fatty acid beta oxidation and glucose uptake in skeletal muscle and a suppression of hepatic gluconeogenesis mediated by AMP activated protein kinase and peroxisome proliferator activated receptor alpha ().	a(CHEBI:16027)	directlyIncreases	act(p(HGNC:PPARA))
865e976e-0c06-4f57-b4fe-d4af0c08f457	1.0	24324678	On one hand, ANGPTL4 is a downstream target of the PPARalpha, PPARgamma and PPARdelta and beta, so that its expression is induced by PPAR agonists in several types of cells and animal models XREF_BIBR.	p(HGNC:ANGPTL4)	directlyIncreases	act(p(HGNC:PPARA))
b69191bb-e961-48bc-8fd3-6e766343be81	1.0	25979856	These results strongly suggested that AR induced PPAR-alpha transfer from cytoplasm to nucleus to regulate nuclear gene expressions.Although there are important discoveries revealed by this study, limitations are also there.	p(HGNC:AR)	directlyIncreases	act(p(HGNC:PPARA))
3fb61dba-fec3-4650-a025-f3b674116113	1.0	28422956	Consistent with our previous reports [XREF_BIBR, XREF_BIBR], PPARalpha +/+ mice treated with FB displayed a 70% increase in liver weight (p < 0.01 vs. untreated PPARalpha +/+ mice) but this effect were not detected in PPARalpha -/- mice.	p(HGNC:ATP5S)	directlyIncreases	act(p(HGNC:PPARA))
ef4b6324-47e4-4194-b255-e4cd1f535888	1.0	26387026	9-Oxo-10 (E),12 (Z),15 (Z)-Octadecatrienoic Acid Activates Peroxisome Proliferator Activated Receptor alpha in Hepatocytes.	a(PUBCHEM:444212)	directlyIncreases	act(p(HGNC:PPARA))
3df04f3c-72bb-48ce-a425-81fb94137aab	1.0	24954006	Interestingly, we also found that the elevated C16 :0 LPC and C16 :0/C18 :1 PS also stimulate PPARalpha activity (XREF_SUPPLEMENTARY).	a(PUBCHEM:985)	directlyIncreases	act(p(HGNC:PPARA))
00b4687d-c57a-4c14-85bd-7523a809d8d0	1.0	23029549	However, expression of CD36 was increased (2.32-fold, P < 0.01) in MHC-hAR and Ppara -/- mice and unchanged in MHC-hAR and Ppara -/- mice.	p(HGNC:CD36)	directlyIncreases	act(p(HGNC:PPARA))
7f0ca2df-685d-48b1-9926-eb4fbfe5dc49	1.0	24269473	HepG2 cells treated with oleate for up to 40days showed the same concomitant up-regulation of PPARalpha and gamma, SREBP1, LAP, and LAP, yet C/EBPalpha was up-regulated in parallel with perilipin (data not shown).	p(HGNC:CEBPA)	directlyIncreases	act(p(HGNC:PPARA))
5f0d9f0b-85aa-428e-b292-4c4c91d7ca08	1.0	17616429	Therefore, the down-regulation of PPARalpha gene expression during APR may be largely mediated by LIP up-regulation () and binding to C/EBP site (-97/-84) of PPARalpha promoter.Other than the changes in the relative proportion of C/EBP homodimers and heterodimers, many additional regulatory mechanisms may influence the effect of C/EBPs on PPARalpha promoter.	p(HGNC:CEBPB)	directlyIncreases	act(p(HGNC:PPARA))
cecfa534-a251-4c8c-838f-e742a277fee2	1.0	15051727	The results described here suggest that CIT-ED2 is a coactivator of PPARalpha and that both proteins may participate in signaling cascades of hypoxic response and angiogenesis.	p(HGNC:CITED2)	directlyIncreases	act(p(HGNC:PPARA))
53edfd90-7c65-4a49-9287-c448dd33a14b	1.0	6681430	Etomoxir is an irreversible inhibitor of carnitine palmitoyltransferase I (CPT-I) that activates peroxisome proliferator activated receptor alpha (PPARalpha) and induces cardiac hypertrophy through an unknown mechanism.	p(HGNC:CPT1A)	directlyIncreases	act(p(HGNC:PPARA))
76214ff9-9a35-4bfa-9f35-33b0cfbb47ee	1.0	4868285	Expression of the coactivators SRC-1 and CREB binding protein, which bind to PPAR, also enhanced the responsiveness of the prolactin promoter to PPARalpha.	p(HGNC:CREBBP)	directlyIncreases	act(p(HGNC:PPARA))
78d47979-2d0c-4307-a6be-f4d26ab8e41e	1.0	23476056	Although the expression of PPARalpha was downregulated in response to hypoxia and reoxygenation in control myocytes, it was not downregulated after hypoxia and reoxygenation in myocytes treated with Ad-DN-Nox or Ad-sh-Nox4 plus Ad-sh-Nox2 (XREF_SUPPLEMENTARY), suggesting that suppression of both Nox2 and Nox4 prevents hypoxia and reoxygenation induced downregulation of PPARalpha in a cell autonomous manner.	p(HGNC:CYBB)	directlyIncreases	act(p(HGNC:PPARA))
a00a3635-197b-417a-a81b-2346c00cdcec	1.0	19823578	In conclusion, in vitro CYP2J2 activates PPARalpha without exogenous stimuli.	p(HGNC:CYP2J2)	directlyIncreases	act(p(HGNC:PPARA))
50ca89d4-bcbf-4225-bfe5-f43abf2f8cab	1.0	21912424	[XREF_BIBR, XREF_BIBR] Moreover, while CYP4A11 catalyzes the formation of endogenous PPARalpha ligands, PPARalpha also regulates CYP4A11 expression and this effect is greater in female mice than in male mice.	p(HGNC:CYP4A11)	directlyIncreases	act(p(HGNC:PPARA))
21542841-d32d-420f-b86c-b85c17a7c4d5	1.0	22920733	The authors speculated that PPAR-alpha, a nuclear receptor which regulates the transcription of genes involved in fatty acid oxidation, extracellular lipid metabolism, homeostasis and inflammation () might be involved in disorders in which DA dysfunction plays a prominent role, such as SZ.It is known that D receptors stimulation induces an increased release of AEA, counterbalancing dopamine mediated psychotic symptoms (), but how OEA and PEA are synthesized by DA neurons, and their role in the neurobiology of SZ, are still under investigation.	a(CHEBI:18243)	directlyIncreases	act(p(HGNC:PPARA))
648a6c58-be70-46ec-86fe-c13ece03dd1d	1.0	25327562	In this study, we analyzed the role of PPARalpha in DEN induced carcinogenesis using PPARalpha -/- mice.	a(PUBCHEM:5921)	directlyIncreases	act(p(HGNC:PPARA))
ad3e88fa-71bc-4155-9616-f698e4ef4017	1.0	23814018	However, the nuclear receptor peroxisome proliferator activated receptor alpha (PPARalpha), which regulates fatty acid oxidation, was also increased by DEX, and adipocyte derived lipids, lipoproteins, and propionic acid protected CLL cells from DEX.	p(UP:P48845)	directlyIncreases	act(p(HGNC:PPARA))
078eeb51-dd42-4cbe-9bc4-8da24626b35a	1.0	4935318	Recent studies have shown that DHEA-sulfate (DHEA-S), but not DHEA, activates peroxisome proliferator activated receptor alpha (PPAR alpha) in the liver, an intracellular receptor belonging to the steroid receptor superfamily.	a(PUBCHEM:5283451)	directlyIncreases	act(p(HGNC:PPARA))
f2a7f25a-44d6-4430-b5fb-41919088a48b	1.0	21614002	In particular, DLPC and DUPC failed to activate PPARalpha, which was recently reported to be specifically bound and activated by 1-palmitoyl-2-oleoyl (C16 :0/C18 :1) PC 12, and C16 :0/C18 :1 PC failed to affect LRH-1 transactivation (XREF_SUPPLEMENTARY).	a(PUBCHEM:5288075)	directlyIncreases	act(p(HGNC:PPARA))
a1bec287-712f-4055-82bd-26accbdd5791	1.0	12464261	Dexamethasone has been reported to induce mRNA encoding PPARalpha in rat hepatocytes, and this, in turn, could contribute to an increased expression of CYP4A11 mRNAs following treatment with dexamethasone.	a(PUBCHEM:5743)	directlyIncreases	act(p(HGNC:PPARA))
2896d91a-04d0-4534-a236-e0fa3a304b67	1.0	7052846	It was found that the EA extract of bitter gourd (Momordica charantia), a common oriental vegetable, activated PPARalpha to an extent that was equivalent to or even higher than 10 microM Wy-14643, a known ligand of PPARalpha.	a(PUBCHEM:6992506)	directlyIncreases	act(p(HGNC:PPARA))
c6afce2c-32db-42e5-b800-28dce04f126e	1.0	15196699	As expected, co-transfection of CBP or p300 expression vector enhanced the level of PPARalpha transactivation as shown in.	p(HGNC:EP300)	directlyIncreases	act(p(HGNC:PPARA))
f2a68305-a146-43fb-863f-f62b330eba45	1.0	18078836	1) The sEH is induced by the administration of agonists of peroxisome proliferator activated receptor alpha (PPAR-alpha) in rodents.	p(HGNC:EPHX2)	directlyIncreases	act(p(HGNC:PPARA))
95bddb11-0d54-49e8-ada3-3d1545a39079	1.0	5255699	Previous studies suggest mitogenic growth factors that act through the extracellular signal regulated kinase (ERK) pathway, including insulin and epidermal growth factor (EGF), modulate peroxisome proliferator activated receptor alpha activation as well as the mitogenic activity of peroxisome proliferators.	p(FPLX:ERK)	directlyIncreases	act(p(HGNC:PPARA))
a14c5201-05df-4149-962b-77545a9abf22	1.0	15456881	Estrogen related receptor alpha directs peroxisome proliferator activated receptor alpha signaling in the transcriptional control of energy metabolism in cardiac and skeletal muscle.	p(HGNC:ESRRA)	directlyIncreases	act(p(HGNC:PPARA))
426a6667-5a62-4103-ba80-c715c1990cdc	1.0	24299557	Resolving the molecular basis for this difference is important for future therapeutic studies whereby newer fibrates might be better targeted by L-FABP or T94A variant L-FABP to activate PPARalpha in the nucleus.	p(HGNC:FABP1)	directlyIncreases	act(p(HGNC:PPARA))
fe0f0bc4-480d-4b85-a9f1-dbafa77d0536	1.0	26172294	FF mediated activation of PPARalpha not only notably suppressed NF-kappaB and RelA transcriptional activity but also promoted the separation of NF-kappaB and RelA and HIF1alpha.	p(PFAM:PF01846)	directlyIncreases	act(p(HGNC:PPARA))
b24c9faa-f74d-4f32-923e-92237ad2361a	1.0	26234637	Although the mechanism by which irisin prevents hepatic triglyceride accumulation is not clearly understood, it was hypothesized that irisin may modulate the PPARalpha signaling pathway, a key regulator of lipid metabolism that coordinates fat oxidation through a thermogenesis mechanism and via FGF-21 which is upregulated by PPAR alpha.	p(HGNC:FNDC5)	directlyIncreases	act(p(HGNC:PPARA))
6181d489-5e01-447b-9cbf-23f8f8993b8a	1.0	24204697	Since, Wnt7a and Fzd9 signaling failed to stimulate PPARalpha activity (data not shown), we therefore did not attempt to test the effects of G alpha16 Q212L, G alphaq Q209L on PPARalpha activation.	p(HGNC:FZD9)	directlyIncreases	act(p(HGNC:PPARA))
9e328d64-488f-4479-b134-d60fcd60502d	1.0	6288570	Farnesol and geranylgeraniol that are typical isoprenols in herbs and fruits activated not only PPARgamma but also PPARalpha as determined using the chimera assay system.	a(PUBCHEM:445070)	directlyIncreases	act(p(HGNC:PPARA))
2c433df6-0400-4b27-83b5-82d6af613fe0	1.0	6847093	Fenofibrate increased PPARalpha (62%, P <.05) and LOX-1 (180%, P <.05) mRNA levels; and troglitazone upregulated CPT-I expression (75%, P <.05).	a(PUBCHEM:3339)	directlyIncreases	act(p(HGNC:PPARA))
12c98151-c978-446d-891d-4a72d9f34004	1.0	6452541	In H4IIEC3 cells, PLAB increased the activation of endogenous PPARalpha and the phospholipase C signaling pathway; and stimulated peroxisomal fatty acyl-CoA oxidase activity.	p(HGNC:GDF15)	directlyIncreases	act(p(HGNC:PPARA))
32a1cae5-e900-4122-a9a4-a1d5167f0485	1.0	19628794	In this study, we have characterized a novel mechanism by which laminar shear stress regulates SMC phenotype (from synthetic to contractile state) through PPAR-alpha and delta activations by PGI 2 released from sheared ECs (summarized in XREF_FIG).	p(HGNC:GPI)	directlyIncreases	act(p(HGNC:PPARA))
3350d86e-5248-41b0-a9aa-b216a4721e40	1.0	16517404	The relative contributions of these three potential targets to the hypophagic action of OEA is still to be determined.PSN632408, a selective GPR119 agonist, does not bind to the TRPV1 receptor (or to a panel of other feeding related receptors) and does not activate PPARalpha using a functional assay (see above).	p(HGNC:GPR119)	directlyIncreases	act(p(HGNC:PPARA))
c7d4ae95-4207-4e31-b5a4-65d124795542	1.0	19201410	These findings indicate two possibilities : (1) GW501516 and pioglitazone may activate PPARalpha in addition to their specific respective targets PPARdelta and PPARgamma, respectively; (2) PPARdelta and PPARgamma increase transcription of PPARalpha via LXRalpha to exhibit PPARalpha-dependency as part of their activity.	a(PUBCHEM:9803963)	directlyIncreases	act(p(HGNC:PPARA))
e8bbb1d4-81c1-4087-8840-8bae6e0a9b29	1.0	18003597	Ethanol (20 mM) reduced the potency of the PPARbeta ligand GW0742, evident by a rightward shift in the GW0742 dose response curve, whereas for PPARalpha activation by GW7647, ethanol mediated its effects primarily through reducing efficacy as evidenced by a reduction in maximal response.	a(PUBCHEM:3392731)	directlyIncreases	act(p(HGNC:PPARA))
8c21a2d1-aa23-4c89-89a8-f28601b5b9fc	1.0	15196699	Genistein also induced expression as well as transcriptional activity of PPARalpha.	a(PUBCHEM:5280961)	directlyIncreases	act(p(HGNC:PPARA))
235ff001-8dcf-42f0-b256-5df5b6a6c60d	1.0	19717637	Glyburide also appears to stimulate the apoA-I secretion effects of a more classic PPARalpha agonist, clofibrate (data not shown).	a(PUBCHEM:3488)	directlyIncreases	act(p(HGNC:PPARA))
fd2b8fa1-6eef-410a-bfed-edcd0d0ab365	1.0	17531998	More recently, another mechanism has been proposed in which HDL hydrolysis by endothelial lipase would lead to peroxisome proliferator activated receptor alpha (PPARalpha) activation and consequent impairment of VCAM-1 expression.	p(FPLX:HDL)	directlyIncreases	act(p(HGNC:PPARA))
57e5e57d-85b3-492b-8a62-675f1672c47c	1.0	6359037	The DR1 element was shown to bind the PPARalpha/9-cis-retinoic acid receptor heterodimer, and targeted mutagenesis of the DR1 motif abolished PPARalpha responsiveness.	p(HGNC:"HLA-DRB1")	directlyIncreases	act(p(HGNC:PPARA))
7c882f87-5fdc-41a0-a0d4-d5434d02aa78	1.0	15618017	Although, the molecular mechanisms underlying the 15d-PGJ-induced HO-1 expression were not investigated in this study, the unpublished data suggest that induction of HO-1 expression by 15d-PGJ did not mediate the activation of PPARalpha or PPARgamma.In conclusion, we provide evidence of a unique HSE sequence in the human promoter, which binds HSF-1 and is required for HSF-1-mediated transcriptional repression.	p(HGNC:HMOX1)	directlyIncreases	act(p(HGNC:PPARA))
ef8adfc7-dec5-49d3-8fe1-22cb0a9a72e4	1.0	23372804	Moreover, in the same cellular models, the administration of the TAF supernatant up-regulated PPARalpha (XREF_FIG and +54%, p < 0.05, in MCF7-MS, XREF_SUPPLEMENTARY) and Jagged1 (+283%, p < 0.005, in MCF10-MS; +297%, p < 0.005, in MCF7-MS; +253%, p < 0.05, in N-MS; +266%, p < 0.05 in T-MS, XREF_SUPPLEMENTARY) to a higher extent than the NAF supernatant.	p(HGNC:IGFBP7)	directlyIncreases	act(p(HGNC:PPARA))
8a7e6bf0-eb3a-4bc4-87ef-0e6c4a5718ac	1.0	6264153	Finally, we demonstrate that WY14,643 can modestly augment IL-4 promoter activity in a PPARalpha independent manner.	p(HGNC:IL4)	directlyIncreases	act(p(HGNC:PPARA))
d4bd0f16-107a-46c6-90f8-84abe5217910	1.0	5300373	We conclude that PPARalpha activation by several different PPs leads to dysregulation of hepatic APP gene expression in rats and mice.	p(HGNC:INPP5K)	directlyIncreases	act(p(HGNC:PPARA))
2dbb95bb-a677-4268-bac5-fb28aea86bb4	1.0	5972294	Ibuprofen inhibits the activation of NF-kB and activates PPARa and PPARg.	a(PUBCHEM:3672)	directlyIncreases	act(p(HGNC:PPARA))
