INDRA UUID	Confidence	PMID	Evidence	Subject	Predicate	Object
af336857-0a15-474b-8ee8-7264e7468515	1.0	25797258	In conclusion, PI3K and Akt and NF-kappaB-dependent regulation of AP-1 mediates PTX3 transcriptional responses to EGF.	p(FPLX:AKT)	directlyIncreases	act(p(HGNC:PTX3))
d72f5018-4c5b-44ff-a409-c3187d9599cc	1.0	25797258	In conclusion, PI3K and Akt and NF-kappaB-dependent regulation of AP-1 mediates PTX3 transcriptional responses to EGF.	p(FPLX:AP1)	directlyIncreases	act(p(HGNC:PTX3))
57a0744d-1d4a-41b3-8e71-73e5fde5b86b	1.0	24215445	The current data confirm that ACS enhances circulating PTX3, but they further demonstrate that a negative impact of obesity on plasma PTX3 extends from non ACS to ACS individuals.	p(FPLX:"Acetyl_CoA_synthetase")	directlyIncreases	act(p(HGNC:PTX3))
8b5b0acc-8e8f-41b6-aacc-dddef7088a1c	1.0	23664694	Indeed, double immunostaining for PTX3 and CD68 suggests that besides tumor cells, PTX3 is produced by several CD68 positive cells in high-grade tumors, possibly infiltrating macrophages and activated microglia.	p(HGNC:CD68)	directlyIncreases	act(p(HGNC:PTX3))
f9f9ef84-c3ff-416a-86fb-67d036d8612d	1.0	26124179	CEBPD upregulates PTX3 in M2 macrophages and myofibroblasts and CAFs.	p(HGNC:CEBPD)	directlyIncreases	act(p(HGNC:PTX3))
480e70e4-6938-430c-8094-db3eeb1de4a3	1.0	25855355	Additionally, CFHR5, but not FH, FHL-1, and CFHR1, strongly enhanced binding of PTX3 to both MaxGel and HUVEC derived ECM (XREF_FIG).	p(HGNC:CFHR1)	directlyIncreases	act(p(HGNC:PTX3))
50929c01-01c2-4d9a-93f1-187c5174c82d	1.0	25855355	Additionally, CFHR5, but not FH, FHL-1, and CFHR1, strongly enhanced binding of PTX3 to both MaxGel and HUVEC derived ECM (XREF_FIG).	p(HGNC:CFHR5)	directlyIncreases	act(p(HGNC:PTX3))
415def58-96e4-4060-98b6-1e12eccfcec4	1.0	23690668	Cholesterol accumulation in the intima of the vessels, the major pathological feature of atherosclerosis, is associated with the induction of an immune-inflammatory response resulting in the recruitment of monocyte and macrophages, PMNs and in the activation of ECs, which are all able to produce PTX3 in response to inflammatory stimuli normally associated with atherogenesis.	a(PUBCHEM:247304)	directlyIncreases	act(p(HGNC:PTX3))
cd2f8c17-0b46-413f-95b1-aa8d70d3640d	1.0	25797258	The autocrine production of EGF induced PTX3 altered the expression of metastatic molecules, such as increasing fibronectin and MMP-9, resulting in enhanced tumor metastasis.	p(HGNC:EGF)	directlyIncreases	act(p(HGNC:PTX3))
a77b1f60-7191-4f75-8cb5-7d79a3e8f0fa	1.0	23401658	These data suggest that the ERK and NF-kappaB signaling pathways increase PTX3 production in the presence of IL-1beta and TNF-alpha in human retinal pigment epithelial cells.	p(FPLX:ERK)	directlyIncreases	act(p(HGNC:PTX3))
23ddd80b-df18-4ff5-8428-64894f9d999b	1.0	27980366	These results suggest that tunicamycin induced ER stress can enhance the production of PTX3 in human retinal pigment epithelial cells in both a dose and time dependent manner.	p(HGNC:ESR1)	directlyIncreases	act(p(HGNC:PTX3))
