INDRA UUID	Confidence	PMID	Evidence	Subject	Predicate	Object
3cceb684-a761-4426-a353-05f00ba5ae72	1.0	28423002	The in vivo studies revealing higher SAA induced pro inflammatory responses along with moderate liver damage in hSR-BI- and hSR-BII-transgenic mice further highlight the important role of the class B scavenger receptor family as mediators of PAMP- and DAMP induced inflammation and support SR-BI and BII 's potential contribution to the host immune response.	p(HGNC:ADM)	directlyIncreases	act(p(HGNC:SCARB1))
720c7dfd-e9ce-4eee-84d9-135050a00cf9	1.0	22503545	In addition, IGF-1 may decrease cholesterol efflux through reduction in liver X receptor (LXRalpha), ABCA1 and SR-B1 by the PI3-K and Akt signaling pathway.	p(FPLX:AKT)	directlyIncreases	act(p(HGNC:SCARB1))
d2544fd6-f027-4745-9a62-7f3158704146	1.0	24969774	Thus, performing apoA-I infusion on DKO and SR-BI -/- mice would allow us to investigate the effect of SR-BI on cells.	p(HGNC:APOA1)	directlyIncreases	act(p(HGNC:SCARB1))
4b84f53d-d1db-464c-9b04-7bea06e36fd8	1.0	21944699	Concentrations of S1P and, less so, apoM in total and apoB depleted plasmas are decreased by HDL-cholesterol lowering mutations in the genes of APOA1, ABCA1 or LCAT but not increased by HDL-cholesterol increasing mutations in CETP, SCARB1, LIPC or LIPG.	p(HGNC:APOB)	directlyIncreases	act(p(HGNC:SCARB1))
3656ca94-38d0-49a3-8a03-683fc2152f4f	1.0	21944699	Concentrations of S1P and, less so, apoM in total and apoB depleted plasmas are decreased by HDL-cholesterol lowering mutations in the genes of APOA1, ABCA1 or LCAT but not increased by HDL-cholesterol increasing mutations in CETP, SCARB1, LIPC or LIPG.	p(HGNC:APOM)	directlyIncreases	act(p(HGNC:SCARB1))
a65d8a22-7831-43d0-b4cb-b86e5048f268	1.0	18477479	Results showed that with the intron 11 mutant constructs Delta1-Delta7, overexpression of ASF and SF2 consistently induced a shift from SR-BII to SR-BI in a manner similar to the wild type SR-B minigene (B).	p(HGNC:ARSF)	directlyIncreases	act(p(HGNC:SCARB1))
8c7e40c3-3071-42c5-b571-51b9af843834	1.0	5316114	Consistent with this fact, we have recently shown that steroidogenic factor-1 (SF-1) mediates cAMP activation of the HDL receptor SR-BI gene.	a(CHEBI:17489)	directlyIncreases	act(p(HGNC:SCARB1))
c9874251-44d6-412f-a99e-0056ddd586aa	1.0	16443388	Apparently, the expression of caveolin-1 modulates the activity of SR-BI to favor HDL-CE selective uptake but not LDL-CE selective uptake.	p(HGNC:CAV1)	directlyIncreases	act(p(HGNC:SCARB1))
d67d583d-4078-47de-8795-bdff6b20c04f	1.0	21979047	This parallels the innate immune response to another OSE, the PC headgroup of oxidized phosphatidylcholine, mediated by the macrophage scavenger receptors CD36 and SR-B1, the murine IgM natural antibody EO6 and T15 and the acute phase reactant CRP XREF_BIBR, XREF_BIBR.	p(HGNC:CD36)	directlyIncreases	act(p(HGNC:SCARB1))
13106078-00c9-4ebb-b55e-194813ece4b2	1.0	17055779	We injected Adenovirus-CMV-RAP (AdV-RAP), which can block LRP and LDLR, in both PDZK1O and CETPTg and PDZK1O mice, and found that CETPTg/PDZK1O/RAP had significantly lower HDL-C levels than that of PDZK1O and RAP () (), suggesting that CETP might mediate a SR-BI, LRP and possibly LDLR independent HDL CE delivery pathway.	p(HGNC:CETP)	directlyIncreases	act(p(HGNC:SCARB1))
9e1e3ed3-60dc-4da5-bed5-d16f91b41310	1.0	22442701	These data suggested that CS induced a covalent modification of SR-B1 via Michael addition of HNE.	p(HGNC:CS)	directlyIncreases	act(p(HGNC:SCARB1))
23ba1b62-6c5a-4ade-baa5-31e46b2a03ae	1.0	26511855	Like A375 cells, HMVECs express SR-B1 (XREF_SUPPLEMENTARY) and when treated with DiI labeled A375 exosomes in the presence of HDL NPs, these cells exhibited a decrease in cellular fluorescence suggesting that exosome uptake is, indeed, blocked by HDL NP.	a(PUBCHEM:11968038)	directlyIncreases	act(p(HGNC:SCARB1))
b2ec28f0-0255-4121-8305-ea77ea0e4df6	1.0	23192982	Along with ERs, mixed-lineage leukemia (MLL) histone methylases, especially MLL1 and MLL2, play key roles in E2 mediated SR-B1 activation.	p(UP:P27958)	directlyIncreases	act(p(HGNC:SCARB1))
022668fc-d7f4-40ef-8df2-0c34f89ff7db	1.0	24675235	In addition, overexpression of PTX3 inhibited cholesterol efflux to apoA-I, and this inhibition was at least in part mediated by the ERK1/2 pathway.Several key molecules, including ABCA1, ABCG1, SR-B1, and LXRalpha, mediate cholesterol efflux (), and the classic pathway for maintaining cholesterol homeostasis in macrophages is mediated by the PPARgamma-LXRalpha-ABC transporter pathway ().	p(FPLX:ERK)	directlyIncreases	act(p(HGNC:SCARB1))
10fd1b0c-e6e4-4924-948e-12a586cb5893	1.0	18779054	Our finding is consistent with the previous observation that L-FABP is upregulated in HepG2 cells overexpressing SR-BI ().	p(HGNC:FABP1)	directlyIncreases	act(p(HGNC:SCARB1))
782884b0-cbc8-4ce9-a8dd-8d9431707535	1.0	7196327	Forskolin also elicited SR-BI transcytosis.	a(PUBCHEM:47936)	directlyIncreases	act(p(HGNC:SCARB1))
d2398358-b37c-4ef1-84d3-0615cc9e689c	1.0	25528585	However, gHDL increased surface SR-BI localization as shown in cells treated with HDL for 15min, similar to native HDL treatment for 15min (Figs.	p(FPLX:HDL)	directlyIncreases	act(p(HGNC:SCARB1))
f6a17047-2601-46f3-a25f-148f400e9eae	1.0	12763030	This was expected since 0.3 mug HNF4alpha did not significantly stimulate SR-BI promoter activity in Hepa 1c1c-7 cells (see).	p(HGNC:HNF4A)	directlyIncreases	act(p(HGNC:SCARB1))
15c1a5e0-20b1-4531-b428-6e2a2a061ae0	1.0	25757571	We did perform FACS analysis and immunofluoresence of IFI6 expressing cells and found no change in SR-B1 expression as compared to control cells (data not shown), suggesting that IFI6 does not target SR-B1.	p(HGNC:IFI6)	directlyIncreases	act(p(HGNC:SCARB1))
