INDRA UUID	Confidence	PMID	Evidence	Subject	Predicate	Object
e23211ac-4a89-4805-820c-03e91619263b	1.0	12185581	Anaplastic lymphoma kinase (alk), which turned out to be one of these phosphoproteins, was constitutively activated and associated with the ptb domain of shcc in three neuroblastoma cells. In vitro kinase assay revealed that shcc is a potent substrate of the activated alk kinase. The alk gene locus was significantly amplified in both of these cell lines, suggesting that gene amplification leads to constitutive activation of the alk kinase, which results in hyperphosphorylation of shcc.	p(HGNC:ALK)	directlyIncreases	act(p(HGNC:SHC1))
8c8653e7-50b0-465a-9594-54ca593fad54	1.0	16946010	RET/PTC is tumorigenic in thyroid follicular cells; it transforms thyroid cells in culture and gives rise to thyroid carcinomas in transgenic mice. effects of RET/PTC activation require signaling along the MAPK pathway and, more specifically, the presence of the functional BRAF kinase. all breakpoints in the RET gene occur within intron 11, leaving intact the TK domain of the receptor and enabling the RET/PTC oncoprotein to bind SHC via Y1062 and activate the RAS-RAF-MAPK cascade	p(UP:J7MDF2)	directlyIncreases	act(p(HGNC:SHC1))
9f80e5fc-d8fa-4caf-9157-8fa67351070e	1.0	16186108	Collectively, our findings are consistent with the following mechanism for src-dependent ddr2 activation and signaling: 1) ligand binding promotes phosphorylation of tyr-740 in the ddr2 activation loop by src;2) tyr-740 phosphorylation stimulates intramolecular autophosphorylation of ddr2;3) ddr2 autophosphorylation generates cytosolic domain phosphotyrosines that promote the formation of ddr2 cytosolic domain-shc signaling complexes.	p(HGNC:DDR2)	directlyIncreases	act(p(HGNC:SHC1))
de956238-eaf9-448e-b8cc-0bcdc51e90cc	1.0	7518560	Both competition experiments with synthetic phosphopeptides and dephosphorylation protection analysis demonstrated that y-1173 and y-992 are major and minor binding sites, respectively, for shc on the egfr.	p(HGNC:EGFR)	directlyIncreases	act(p(HGNC:SHC1))
094d1427-ce27-4b3c-97f7-7dd921df485c	1.0	19531499	The binding of SHC1 to WT EGFR was stimulated more than 2-fold by EGF, but for the receptor variants, EGF stimulated SHC1 association was associated with too much variation to be considered significant.	p(HGNC:EGF)	directlyIncreases	act(p(HGNC:SHC1))
c6ed1e46-d129-409e-9929-442a7661f1b3	1.0	16946010	RET/PTC is tumorigenic in thyroid follicular cells; it transforms thyroid cells in culture and gives rise to thyroid carcinomas in transgenic mice. effects of RET/PTC activation require signaling along the MAPK pathway and, more specifically, the presence of the functional BRAF kinase. all breakpoints in the RET gene occur within intron 11, leaving intact the TK domain of the receptor and enabling the RET/PTC oncoprotein to bind SHC via Y1062 and activate the RAS-RAF-MAPK cascade	p(UP:Q99931)	directlyIncreases	act(p(HGNC:SHC1))
c9fa1058-6130-4710-911b-dad215dd2c16	1.0	12400011	We also show that the interaction of epha2 with grb2 is indirect and mediated by shc and that this complex is necessary for epha2-mediated activation of erk kinases.	p(HGNC:EPHA2)	directlyIncreases	act(p(HGNC:SHC1))
9a7c1ed6-7594-4470-b280-0433cd1c0c0f	1.0	10085134	Shc interacts with and is an excellent substrate for erbb2 and appears to play an important role in mitogenic signaling through this receptor tyrosine kinase	p(HGNC:ERBB2)	directlyIncreases	act(p(HGNC:SHC1))
56dbd65d-68f8-4759-b04d-6ddd47a9dc34	1.0	9710204	Syk and zap-70 were able to phosphorylate the y239 and y240 sites, and less efficiently the y317 site. Of the two potential grb2 binding sites (y239 and y317), y239 appears to play a greater role in recruiting sos through grb2.	p(HGNC:FYN)	directlyIncreases	act(p(HGNC:SHC1))
c58af89a-1b03-4ccf-b8f6-eacdbf6d9d72	1.0	11733063	Based on these findings, we explored whether HGF could activate Shc- and PI3K dependent signals with higher efficacy in cells expressing the Met alpha6beta4 complex compared to cells expressing Met alone.	p(HGNC:HGF)	directlyIncreases	act(p(HGNC:SHC1))
6f833838-fcf5-459f-a12a-be822b238121	1.0	24737791	The signaling mechanism utilizes an adaptor protein, shc, which binds to a phosphotyrosine residue on the il-2/15r?, Resulting in activation of grb2 and onto akt via the shc-grb2-gab2-pi3k-akt signaling pathway to increase cell proliferation and/or survival	p(HGNC:IL2RB)	directlyIncreases	act(p(HGNC:SHC1))
02edc99a-8a99-4bcc-bf05-88b9ed58a28b	1.0	9126968	Shc mediates IL-6 signaling by interacting with gp130 and Jak2 kinase.	p(HGNC:IL6ST)	directlyIncreases	act(p(HGNC:SHC1))
0f346380-c367-4191-9eea-422093d3b3ce	1.0	11075717	The npxy motif around 960-tyr residue of the insulin receptor binds to the n-terminal ptb domain of shc.	p(HGNC:INSR)	directlyIncreases	act(p(HGNC:SHC1))
19e87c77-619d-48c8-9324-5337ae4ac383	1.0	9710204	We show that during TCR signaling, the tyrosines Y239, Y240 and Y317 of Shc are the primary sites of tyrosine phosphorylation. CD4/Lck-dependent tyrosine phosphorylation on Shc was markedly diminished when Y317 was mutated, suggesting a preference of Lck for the Y317 site.  tyrosine phosphorylation of Shc may play a key role in T lymphocyte proliferation via interaction of phosphorylated Shc with downstream molecules involved in activation of Ras and Myc proteins	p(HGNC:LCK)	directlyIncreases	act(p(HGNC:SHC1))
a08aea43-2bac-42c1-a4d3-103940d7d0ac	1.0	9223670	Recently, we demonstrated that ltk utilizes shc and irs-1 as two major substrates and while both equally activate the ras pathway, only irs-1 suppresses apoptosis of hematopoietic cells.	p(HGNC:LTK)	directlyIncreases	act(p(HGNC:SHC1))
6468b20b-a0b8-488a-a7ef-3a601a7139eb	1.0	10708759	Autophosphorylated trka binds directly to plc?, Abl, and shc.	p(HGNC:NTRK1)	directlyIncreases	act(p(HGNC:SHC1))
0be68c54-71b2-492a-b056-d7cdcd0ef420	1.0	4349599	In the current study we set out to determine whether the attenuation of the activation of MAPK by the insert was the result of the inability of TrkC to activate the Shc-Ras pathway, PtdIns 3-kinase activation, PLC gamma activation, or a combination thereof.	p(HGNC:NTRK3)	directlyIncreases	act(p(HGNC:SHC1))
24e5d428-882c-451f-9be4-cc8924483a4e	1.0	8195171	In this study, we have characterized the interaction between the pdgf beta-receptor and shc.  multiple autophosphorylation sites in the pdgf beta-receptor are responsible for the binding of shc.	p(HGNC:PDGFRB)	directlyIncreases	act(p(HGNC:SHC1))
0ce3d5a5-422b-42dc-8b33-0ef19ceafe12	1.0	23876235	Consistent with known roles for Ras and MAPK and PI3-kinase signalling in tamoxifen resistance, tyrosine phosphorylated MAPK1, SHC1 and PIK3R2 were elevated in TamR cells.	p(FPLX:PI3K)	directlyIncreases	act(p(HGNC:SHC1))
