INDRA UUID	Confidence	PMID	Evidence	Subject	Predicate	Object
9b346e70-d71b-4ab8-8c13-c9089928e17e	1.0	20797781	The broad DA range enables the investigation of ChT activity as a function of acetylation and envisions a deeper insight into the molecular mechanism of chitinases as shown previously.	a(CHEBI:18243)	directlyIncreases	act(p(HGNC:SLC5A7))
e439db90-d886-41f0-a3d2-1c7240566ab3	1.0	25936590	The survival of the patients with limited disease, KPS> = 80, normal NSE levels, normal serum CEA levels, normal serum LDH levels, or> = 4 cycles of ChT was significantly higher than that for patients with ES disease, KPS < 80, increased NSE levels, increased serum CEA levels, increased serum LDH levels, or < 4 cycles of ChT (values were 0.001, 0.038, 0.001, 0.002, 0.001, and 0.001, respectively; see).	p(HGNC:ENO2)	directlyIncreases	act(p(HGNC:SLC5A7))
7fd4c158-afcb-407d-92b1-3141123d6f75	1.0	4617696	No patient with IIC or IID disease treated with ChT relapsed as compared with 56% of patients treated with RT (0 of 14 v nine of 16, P =.002).	p(HGNC:"ERVK-10")	directlyIncreases	act(p(HGNC:SLC5A7))
588fe324-7bac-4a26-b48e-78d0f0e06120	1.0	17969524	FasL and ICAM-1 expression in the tonsillar HEVs contribute to the CHT and ITH.	p(HGNC:FASLG)	directlyIncreases	act(p(HGNC:SLC5A7))
5af407ce-51d8-4f55-aaad-62ae3073490f	1.0	17969524	FasL and ICAM-1 expression in the tonsillar HEVs contribute to the CHT and ITH.	p(HGNC:ICAM1)	directlyIncreases	act(p(HGNC:SLC5A7))
b6623d7b-a845-4ba6-bcb2-690640d2172d	1.0	26161852	A critical observation is that longer-term (24 h) exposure of cells to insulin reduces the AUC measurement for cell surface CHT fluorescence mediated by acute insulin addition (XREF_FIG), resulting in a significant difference in the response of cells cultured for 24 h in insulin prior to insulin stimulation when compared to cells cultured in control media prior to stimulation (p < 0.05).	p(HGNC:INS)	directlyIncreases	act(p(HGNC:SLC5A7))
2574063e-9eaa-49a1-b51a-9dd7b7bb4d53	1.0	17624316	If the inhibition of hERG current () involves Met oxidation, MSRA may antagonize the inhibitory effect of ChT.	p(HGNC:MSRA)	directlyIncreases	act(p(HGNC:SLC5A7))
15e9d3d5-c4e0-477b-a109-6b6fb01c2f5b	1.0	26624285	Loss of nol9 function reduces the proliferation of HSPCs and disrupts the cellular architecture of the CHT.	p(HGNC:NOL9)	directlyIncreases	act(p(HGNC:SLC5A7))
da384911-5be6-4dfb-abfb-fd51dd6d4bcb	1.0	12628461	Similar to the neurons in which CHT1 has been localized so far, the CHT1 expressing epithelial cells identified in the present study synthesize and release ACh.	p(HGNC:SLC5A7)	directlyIncreases	act(a(PUBCHEM:187))
fd8942f1-2c48-4f0a-a204-eee7b543bd9b	1.0	4454580	We now report that ChT triggers apoptosis as shown by DNA fragmentation and activation of caspases cleaving poly (ADP-ribose) polymerase and lamin B. Apoptosis induced by ChT in a small cell lung cancer cell line is not affected by manipulations of intracellular cAMP through preincubation with isobutylmethylxanthine but can be modestly increased through inhibition of protein kinase C with chelerythrine.	p(HGNC:SLC5A7)	directlyIncreases	act(bp(GO:"GO:0006915"))
2440acd2-2b1c-4e54-b820-0158f1414949	1.0	5510991	A remarkable CBR was obtained in about 20-25% of patients treated with gemcitabine or combined CHT using fluorouracil and cisplatin (FP therapy).	p(HGNC:SLC5A7)	directlyIncreases	act(p(HGNC:CBR1))
1a2c4d77-68a8-4c22-b7f8-0d21c67ba36c	1.0	4001226	In the group of patients who obtain CR, survival was the same for those treated with ChT alone and for those treated with ChT and TRT.	p(HGNC:SLC5A7)	directlyIncreases	act(p(HGNC:CD55))
2351b65e-2f09-4821-816c-071844e46cc1	1.0	25936590	The results showed that serum CEA level and LDH level correlated with treatment response in patients treated with ChT or chemoradiotherapy, but the serum NSE level did not correlate with response.	p(HGNC:SLC5A7)	directlyIncreases	act(p(HGNC:CEACAM5))
f25b169f-8318-4bd7-be03-de9ee608414d	1.0	3223839	Bone marrow cells were harvested after remission induction obtained : (i) in ten APL patients treated with ATRA followed by one chemotherapy cycle (CHT) (3/7 : Daunorubicin+ Ara-C) : group A (' ATRA and CHT '); (ii) eight APL patients treated with one CHT cycle alone (3/7 as above) : group B (' APL-CHT '); (iii) in ten ANLL-non-APL patients after one CHT cycle (3/7 as above) : group C (' ANLL-CHT ').	p(HGNC:SLC5A7)	directlyIncreases	act(p(HGNC:FASLG))
