INDRA UUID	Confidence	PMID	Evidence	Subject	Predicate	Object
8eb10a85-e65b-4960-a73b-960b7c781ffc	1.0	PMC6894748	Here we show that expression of the viral oncoprotein SV40 T antigen increases histone acetylation and global cellular HAT activities.	p(FPLX:Histone)	directlyIncreases	p(HGNC:STMN1, pmod(Ac))
1190ee68-3625-4b30-a1d3-a654220461e8	1.0	26654769	XREF_BIBR Consistently, silencing and inhibition of stathmin leads to increased tubulin acetylation, XREF_BIBR which slows down cell motility, XREF_BIBR while high stathmin protein levels inhibit tubulin acetylation.	p(HGNC:STMN1)	directlyIncreases	p(FPLX:Tubulin, pmod(Ac))
21aad5e5-3d7c-4150-b57f-555d0cd00d98	1.0	23383112	Thus, inhibition of PI3K and Akt could prevent Stathmin inactivation, resulting in Stathmin mediated microtubule destabilization.	p(FPLX:AKT)	directlyIncreases	act(p(HGNC:STMN1))
39c3287b-d5f3-4d83-a4d1-c832f9fb4402	1.0	25523139	In the leukemia cells lacking the wild-type, the effect of SIVA silencing on tumor growth may be related to increased resistance to apoptosis, or also due to Stathmin 1 activation.In conclusion, we observed that ANKHD1 binds to SIVA and leads to Stathmin 1 activation, tubulin depolymerization, increased cell migration and proliferation (D), possibly due to SIVA inhibition.	complex(p(HGNC:ANKHD1), p(HGNC:SIVA1))	directlyIncreases	act(p(HGNC:STMN1))
6456edd3-d166-4cc7-b692-44e4cd44183e	1.0	20657188	Furthermore, we demonstrate that As2O3 induced stathmin downregulation is mediated through the phosphatidylinositol-3-kinase (PI3K) signaling pathway, and that a PI3K inhibitor effectively attenuated stathmin downregulation and cell apoptosis upon As2O3-treatment.	a(PUBCHEM:518605)	directlyIncreases	act(p(HGNC:STMN1))
a78401d6-0c3d-47fc-971a-20ab6dd3529a	1.0	11733543	Indeed, desmin was identified as a PAK substrate (XREF_BIBR), and a yet unidentified PAK mediates Rac and Cdc42 induced inactivation of stathmin (XREF_BIBR).	p(HGNC:CDC42)	directlyIncreases	act(p(HGNC:STMN1))
448ab87f-948d-4301-92c3-0957614e8eef	1.0	19925864	Therefore, EB1 mediated stathmin binding to microtubules that bear the Pak1 and WAVE2 complex via kinesin may suppress microtubule disintegration, thereby facilitating kinesin mediated WAVE2 targeting to the growing ends of microtubules.	p(HGNC:COX7A2L)	directlyIncreases	act(p(HGNC:STMN1))
29683e78-3913-4df1-9fc4-b7a70c290faf	1.0	26220844	Moreover, to date only two studies assessed the association between the mRNA expression of STMN1 gene and disease progression or OS duration in patients treated with CTH.	p(HGNC:CTH)	directlyIncreases	act(p(HGNC:STMN1))
6f718f5f-18c5-4a30-8a58-0c8177f3546e	1.0	22911364	Exogenous expression of E2F1 or both transcription factor DP-1 (TFDP1) and E2F1 genes induced E2F1 and STMN1 mRNA (P <.01).	p(HGNC:E2F1)	directlyIncreases	act(p(HGNC:STMN1))
79f49a32-1705-478e-b7c2-5dfd90373773	1.0	19786090	Together, these results demonstrated that Egr1 binding site in stathmin gene promoter was responsible for that Egr1 mediates stathmin gene.To further verify that stathmin gene is an Egr1 target gene, ChIP and EMSA were performed to examine whether Egr1 directly bound to Egr1 binding site in stathmin gene promoter.	p(HGNC:EGR1)	directlyIncreases	act(p(HGNC:STMN1))
b38fce5a-a0c9-435c-81f8-bb11fae2dbec	1.0	26350217	The selected target genes are known to facilitate cell proliferation via integrin/ERK1/2 signaling (XREF_BIBR) or ERK mediated Op18 and stathmin signaling (XREF_BIBR) and cell invasion via invadopodia formation (XREF_BIBR) or epithelial-mesenchymal transition (XREF_BIBR).	p(FPLX:ERK)	directlyIncreases	act(p(HGNC:STMN1))
