INDRA UUID	Confidence	PMID	Evidence	Subject	Predicate	Object
a03aa3c5-50d6-4002-ac44-37b594a081be	1.0	22291969	These results demonstrate that histone acetylation at the TIMP-1 and TIMP-3 promoters after TSA treatment is associated with increased TIMP-1 and TIMP-3 mRNA expressions Decidualization induced the TIMP-1 and TIMP-3 expressions and histone acetylation at the gene promoter regions.	p(HGNC:TIMP3)	directlyIncreases	p(HGNC:TIMP1, pmod(Ac))
2c3847a6-e02b-45ea-bdd8-a6bdd1a324ef	1.0	28334272	Silencing of ACSL4 eliminated the 17beta-estradiol-induced increase in AA and EPA uptake, as well as the 17beta-estradiol-induced cell migration, proliferation and invasion capacities.	p(HGNC:ACSL4)	directlyIncreases	act(p(HGNC:TIMP1))
5c07596e-ec33-4abe-9a6c-8c5321bb37bd	1.0	23840832	Both PA and EPA are activated by the ACSL subfamily.	p(FPLX:ACSL)	directlyIncreases	act(p(HGNC:TIMP1))
bdaaba3f-6a53-438d-8ff4-b17270c2868e	1.0	21356369	In a time course experiment, we found that Nodal and ALK7-ca increased TIMP-1 secretion 24 and 48 hours after transfection (A).	p(HGNC:ACVR1C)	directlyIncreases	act(p(HGNC:TIMP1))
c5c7cef5-aa2d-4f55-9e4f-a64c6b8d57ee	1.0	26776055	In our work, the restoration of cholesterol efflux capacities from EPA enriched HMDM treated with both the adenylate cyclase activator forskolin and the phosphodiesterase inhibitor IBMX strongly suggests that EPA decreased the ABCA1 mediated cholesterol efflux from HMDM through a PKA dependent pathway.	p(FPLX:ADCY)	directlyIncreases	act(p(HGNC:TIMP1))
95fc0198-fb2b-4566-951f-c2d1f9435f21	1.0	15096450	Adiponectin also augmented TIMP-1 secretion into the media, whereas MMP-9 secretion and activity were unchanged.	p(HGNC:ADIPOQ)	directlyIncreases	act(p(HGNC:TIMP1))
fcbd31b2-c981-4a43-9ba7-45ac3161577e	1.0	6817812	Angiotensin II induced TIMP-1, mRNA, and protein expressions in time- and dose dependent manners, which could be inhibited by the AT1 receptor antagonist valsartan, but not by the AT2 antagonist PD123319.	p(HGNC:AGT)	directlyIncreases	act(p(HGNC:TIMP1))
6306b607-aadd-4c58-bc65-ed257db78897	1.0	15161657	In this regard, it is tempting to hypothesize that TIMP1 production by ALK ALCL cells may explain the distinct sinusoidal infiltration pattern of these tumors, which is one of the distinguishing features of ALCL.	p(HGNC:ALK)	directlyIncreases	act(p(HGNC:TIMP1))
332efdb5-c4a0-49a9-992c-0192d381fa97	1.0	16514055	In this study, ATP caused a rapid release of MMP-9 and a moderate decrease in tissue inhibitor of metalloproteinase 1 (TIMP-1) release from human peripheral-blood mononuclear cells (PBMCs) over a 30-minute time course.	a(CHEBI:15422)	directlyIncreases	act(p(HGNC:TIMP1))
1f67c2d1-2618-4117-8024-88a607429905	1.0	5932070	We demonstrate that either liposomal or free ATRA selectively down-regulates MMP-9 and up-regulates TIMP-1.	a(CHEBI:15367)	directlyIncreases	act(p(HGNC:TIMP1))
8f068982-eefc-469e-a401-f3d3d9e25b17	1.0	4802467	Acetate did not modulate MMPs, TIMP-1, or uPA, but stimulated TIMP-2.	a(PUBCHEM:176)	directlyIncreases	act(p(HGNC:TIMP1))
ec7b3da6-dd7f-4cc9-bbbf-2337dbeb850f	1.0	3455683	The results indicate that increasing dietary alpha-LA will elevate tissue EPA concentrations in a predictable manner.	p(UP:P10277)	directlyIncreases	act(p(HGNC:TIMP1))
81609c95-16b4-467c-9cbf-3db6c17f6036	1.0	26366732	Additionally, we show a co-dependency of TIMP-1 and Bcl-2 RNA and protein levels, such that abrogating Bcl-2 causes a downregulation of TIMP-1 but not TIMP-2.	p(HGNC:BCL2)	directlyIncreases	act(p(HGNC:TIMP1))
d3209362-c188-4617-96f6-b899576f4c94	1.0	5698395	These findings provide the first evidence that BK induces collagen type I and TIMP-1 production via autocrine activation of TGF-beta1 and implicate MAPK pathway as a key player in VSMC fibrosis in response of BK.	a(PUBCHEM:439201)	directlyIncreases	act(p(HGNC:TIMP1))
d1c58065-c8d5-4965-b015-4d5756be16dc	1.0	5419347	Immunohistochemical staining revealed TIMP-1 production in the cartilage defects treated with BMP-2.	p(HGNC:BMP2)	directlyIncreases	act(p(HGNC:TIMP1))
b51f9634-d6d0-4035-9370-06a30637f35b	1.0	21903858	Taken together, our findings demonstrate that BRAF (V600E) causes upregulation of TIMP-1 via NF-kappaB.	p(HGNC:BRAF, var("p.Val600Glu"))	directlyIncreases	act(p(HGNC:TIMP1))
62b2722f-ddd1-4e88-af8d-b829ce2c9f37	1.0	26776055	As previously reported, apo AI induced cAMP production in Std and EPA treated cells.	a(CHEBI:17489)	directlyIncreases	act(p(HGNC:TIMP1))
8534a3b4-ff5b-4f9c-aa3f-057311c37768	1.0	23855590	To further quantify the role of CAPN 7, we examined TIMP-2 expression (endogenous inhibitor of MMP-2) and found that CAPN 7 overexpression increased the expression of TIMP-2 mRNA by 1.5-fold and increased the MMP2 and TIMP -2 ratio in hESC.	p(FPLX:CAPN)	directlyIncreases	act(p(HGNC:TIMP1))
32f1c704-13e3-44d5-9dba-c00c7bb04d15	1.0	22265030	In addition, U0126 could reverse the enhancement of the expression of PCNA, survivin, and MMP2, and abolish the decrease of TIMP1 and TIMP2 induced by CCL2 (<.05 or <.01).	p(HGNC:CCL2)	directlyIncreases	act(p(HGNC:TIMP1))
d158af25-9590-4a44-ac3c-1c755c349ff4	1.0	23522389	They are consistent with the anti-apoptotic activity of TIMP1 mediated by CD63 / beta1-integrins binding.	p(HGNC:CD63)	directlyIncreases	act(p(HGNC:TIMP1))
d8d815d9-5f91-4213-a74f-2dab8947eb3e	1.0	20501643	CD82 has been shown to upregulate TIMP1 in NSCLC, leading to suppression of invasion and metastases by inactivating MMP-9 (XREF_BIBR).	p(HGNC:CD82)	directlyIncreases	act(p(HGNC:TIMP1))
45b16b8b-c3d9-4948-804f-f0336806ea58	1.0	6185111	TIMP-1 overexpression by CD-1 cells was confirmed prior to injection and after necropsy.	p(UP:Q188R7)	directlyIncreases	act(p(HGNC:TIMP1))
9e47fb2b-dff3-4303-b8be-f050b63d24d8	1.0	23457635	Lastly, blocking ERK1/2 activation was shown to block IL-1beta- or C/EBPbeta mediated increases in TIMP-1 promoter activity, suggesting ERK1/2 signals to key transcription factors necessary for C/EBPbeta mediated TIMP-1 promoter regulation.	p(HGNC:CEBPB)	directlyIncreases	act(p(HGNC:TIMP1))
01397844-6d34-4465-8ba2-574caabc1981	1.0	5787079	Furthermore, inhibition of alpha-chymase blocks degranulation induced TIMP-1 processing (absent in alpha-chymase-deficient HMC-1 cells).	p(HGNC:CMA1)	directlyIncreases	act(p(HGNC:TIMP1))
70c02372-ab9f-4fbe-90f0-2bcfb490325f	1.0	5876676	The ability of homodimeric JunD and eb1 to elevate TIMP-1 promoter activity supports a role for JunD homodimers as the major AP-1-dependent transactivators of the TIMP-1 gene.	p(HGNC:COX7A2L)	directlyIncreases	act(p(HGNC:TIMP1))
39187058-8a71-45d4-928b-b739fa443ec5	1.0	6731606	Both inhibition of the COX pathway by indomethacin as well as inhibition of direct lipid peroxidation by antioxidants such as vitamin E and C diminished the anti-proliferative effects of AA as well as EPA.	p(FPLX:COX)	directlyIncreases	act(p(HGNC:TIMP1))
b5ed60ca-a6ef-401c-a929-424ceb862210	1.0	4853969	However, GM-CSF, when added with either TNF-alpha or IL-1 beta, induced MMP-1 and synergistically enhanced MMP-9 and TIMP-1.	p(HGNC:CSF2)	directlyIncreases	act(p(HGNC:TIMP1))
c790d129-0492-4efe-a287-0529d9796896	1.0	6281444	CSM increased MMP-9 and TIMP-1 release from AM of all groups.	p(UP:P83762)	directlyIncreases	act(p(HGNC:TIMP1))
7d043e25-28f3-4af0-bdf7-4143e15d1177	1.0	20126258	More importantly, TIMP1 that is neither targeted by SATB1 nor targeted by beta-catenin is not affected by Wnt3a or Dkk1 treatment of thymocytes, indicating that this effect is specific to SATB1 and Wnt and beta-catenin targets (XREF_FIG).	p(HGNC:CTNNB1)	directlyIncreases	act(p(HGNC:TIMP1))
7782a749-55eb-41f4-a959-aa79cd9b63f5	1.0	16877347	Because IL-2-activated mouse NK cells produce TIMPs, we also tested whether CXCL12 stimulated NK cells produce TIMP-1 and -2.	p(HGNC:CXCL12)	directlyIncreases	act(p(HGNC:TIMP1))
56bda6b4-7753-48e0-93cd-32ba1c8c12b2	1.0	12063180	The intracellular Ca chelator BAPTA greatly decreased TIMP-1 production, which is restored by the Ca ionophore ionomycin concomitantly with calcium concentration.TIMP-1 synthesis and secretion were also shown to be strongly decreased by monensin, a carboxylic ionophore inhibiting protein extracellular secretion.	a(CHEBI:29108)	directlyIncreases	act(p(HGNC:TIMP1))
092348ac-e042-4f82-a88d-2d9bb19ebc90	1.0	5177421	Cholesterol feeding significantly increased secretion of TIMP-1 from arch and middle portions (both 2.6-fold), accompanied by 2.0- and 2.7-fold increases in TIMP-2, respectively.	a(PUBCHEM:11025495)	directlyIncreases	act(p(HGNC:TIMP1))
d58ffc17-a3b0-4c11-85b2-3c7378a61e15	1.0	6889095	TGF-beta secretion assessed by ELISA and bioassay was increased by EPA at 18 h. Coincubation with anti-TGF-beta antibody inhibited the EPA induced suppression of [(3) H]-thymidine incorporation and cyclin D1 expression.	p(FPLX:Cyclin)	directlyIncreases	act(p(HGNC:TIMP1))
5b4aedcf-503a-4933-a512-2a69651f5ceb	1.0	4862201	The fatty acid double bond index (DBI) increased from C to LA and EPA.	p(HGNC:DBI)	directlyIncreases	act(p(HGNC:TIMP1))
32798dbc-91ed-42af-ac35-291badfb288f	1.0	4891534	DCM inhibited the total gelatinolytic activity of CTB but increased trophoblastic MMP-9 and TIMP-1.	p(IP:IPR001525)	directlyIncreases	act(p(HGNC:TIMP1))
9cdbbab0-f83f-4abd-874b-15f6cb62ee62	1.0	4464316	De novo synthesis of TIMP-1 protein was found throughout the estrous cycle and early pregnancy in all functional segments, but protein expression was greater in the I and greatest on Day 2.	a(PUBCHEM:151403)	directlyIncreases	act(p(HGNC:TIMP1))
ab105629-d948-4489-9914-b64eddd5f2cc	1.0	6281444	Dexamethasone prevented the increase in MMP-9 release, and increased TIMP-1 release.	a(PUBCHEM:5743)	directlyIncreases	act(p(HGNC:TIMP1))
31898ee2-5405-4f99-8553-37f752d092fe	1.0	14558091	As well, ET-1 increased the net MMP and TIMP balance and secondarily increased collagen degradation.	p(HGNC:EDN1)	directlyIncreases	act(p(HGNC:TIMP1))
40a07866-6697-42b5-a824-753417d9dbc4	1.0	3270089	Interstitial collagenase, gelatinase B, stromelysin, and TIMP-1 genes were upregulated in many cell lines by phorbol-12-myristate-13-acetate (PMA) and in some cell lines by epidermal growth factor, tumor necrosis factor-alpha, or interleukin-1 beta.	p(HGNC:EGF)	directlyIncreases	act(p(HGNC:TIMP1))
e99cb0d5-336f-4c22-a105-66f7dcd364ae	1.0	20111696	Human neutrophil elastase mediated cleavage sites of MMP-9 and TIMP-1 : implications to cystic fibrosis proteolytic dysfunction.	p(HGNC:ELANE)	directlyIncreases	act(p(HGNC:TIMP1))
e2cbbe76-a9aa-49ed-ae48-810400e1e5d4	1.0	22293571	The null fatty acid findings from our study contrast with the genome-wide scan conducted by Tanaka et al., 4 which reported a suggestive association between an ELOVL2 polymorphism (rs953413), increased plasma EPA in an Italian population and increased plasma DPA as well as decreased DHA in a cohort of Americans of European ancestry.	p(HGNC:ELOVL2)	directlyIncreases	act(p(HGNC:TIMP1))
728eff88-bd2b-4808-b717-305f5d7a6483	1.0	5783427	CsA treated rats also had significantly increased TIMP-1 (7.4-fold, P < 0.001), MMP-2, and PAI-1 (all approximately 2-fold, P < 0.02) and decreased MMP-9 (85% reduction, P < 0.001) as compared with controls.	a(CHEBI:4031)	directlyIncreases	act(p(HGNC:TIMP1))
4d2148d9-4016-469f-9668-6d8616f91734	1.0	23457635	ERK1/2 or p38 kinase (p38K), but not c-jun N-terminal kinase (JNK), are required for oncostatin M induced murine fibroblast TIMP-1 expression XREF_BIBR.	p(FPLX:ERK)	directlyIncreases	act(p(HGNC:TIMP1))
4c32662a-32b2-415e-b1dc-702b14df66b6	1.0	7022982	Although thrombin stimulated TIMP-1 and -2 secretion by PTEC, the stimulatory effect of thrombin on MMP-2 was not statistically significant.	p(HGNC:F2)	directlyIncreases	act(p(HGNC:TIMP1))
e47051b5-a91b-4321-9759-cb1f22f72b29	1.0	5889060	Fetal bovine serum (FBS) did not affect the binding activity of CRTF, whereas FBS induced TIMP-1 synthesis in all cell lines.	p(HGNC:FBRS)	directlyIncreases	act(p(HGNC:TIMP1))
55146279-6e04-4126-9121-2df706af1d43	1.0	4948095	However, the induction of TIMP-1 by bFGF must proceed through a pathway different from the MMP induced pathway, i.e. a pathway unaffected by CAPL.	p(HGNC:FGF2)	directlyIncreases	act(p(HGNC:TIMP1))
f535c822-f57c-4cb6-8e53-66300a8979b7	1.0	4038328	Basic FGF stimulated TIMP-1 production and BGC cell proliferation in a dose dependent manner.	p(FPLX:FGF)	directlyIncreases	act(p(HGNC:TIMP1))
9969c96f-99e7-42d4-8455-843e7f17c251	1.0	21371008	Differentiation on plastic increased mRNA levels of MMP-7, MMP-9, MMP-12 and MMP-14 and TIMP-2 and TIMP-3 independently of COX; fibronectin accelerated MMP but not TIMP up-regulation.	p(HGNC:FN1)	directlyIncreases	act(p(HGNC:TIMP1))
1ba31eaa-32f7-4632-9624-6e0c39d94c75	1.0	5567466	On the other hand, c-fos combined with any of the Jun related proteins failed to stimulate the TIMP-1 promoter, although it was activated by Fra-1 or Fra-2 and Jun related protein heterocomplexes.	p(HGNC:FOS)	directlyIncreases	act(p(HGNC:TIMP1))
93bfb42e-29d5-44ad-ae2f-a650ac2a6523	1.0	4435387	This is the first report of TIMP-1 modulation by FSH in ovarian cells and of an effect by thyroid hormone on TIMP-1 levels.	p(FPLX:FSH)	directlyIncreases	act(p(HGNC:TIMP1))
4bf92393-bd3f-44a8-a2bc-44ad1afaafed	1.0	7110814	The lipophilic antioxidant, vitamin E, completely prevented both the toxicity and lipid peroxidation caused by Fe (PBH) (2) in EPA loaded cells, indicating a causal relationship between oxidative stress and toxicity.	a(PUBCHEM:151134)	directlyIncreases	act(p(HGNC:TIMP1))
847f3542-4176-44e3-bfaf-b7f54e5bac23	1.0	6691517	Forskolin inhibited MMP-9 activity and increased TIMP-1 and progesterone secretion in both groups.	a(PUBCHEM:47936)	directlyIncreases	act(p(HGNC:TIMP1))
4028060d-2e9c-478a-8bd8-b4bea3989ad9	1.0	4354159	Dietary supplementation of EPA and EPA plus GLA increased platelet PL content of EPA, and EPA and DGLA, respectively.	p(HGNC:GLA)	directlyIncreases	act(p(HGNC:TIMP1))
11247bcc-f544-4b4c-8800-1598e262f4cb	1.0	20074375	Recent studies demonstrated that GnRH I and GnRH II promoted the invasive capacity of human trophoblasts by regulating MMP-2, MMP-9 and TIMP-1 and uPA and PAI protease systems [XREF_BIBR, XREF_BIBR, XREF_BIBR].	p(HGNC:GNRH1)	directlyIncreases	act(p(HGNC:TIMP1))
513e347a-8fab-48f7-842f-0baab9289f06	1.0	20074375	Recent studies demonstrated that GnRH I and GnRH II promoted the invasive capacity of human trophoblasts by regulating MMP-2, MMP-9 and TIMP-1 and uPA and PAI protease systems [XREF_BIBR, XREF_BIBR, XREF_BIBR].	p(HGNC:GNRH2)	directlyIncreases	act(p(HGNC:TIMP1))
