INDRA UUID	Confidence	PMID	Evidence	Subject	Predicate	Object
9494e8a2-c865-4cd5-b79c-12d72496861d	1.0	6735298	Furthermore, TRAF6 and c-Src-induced JNK activation was significantly inhibited by PI3-kinase inhibitor or a dominant negative mutant of Akt (Akt DN).	p(FPLX:AKT, var("p.?"))	directlyIncreases	act(p(HGNC:TRAF6))
a72f7680-a49b-452b-88bf-30a16b9e3239	1.0	19713527	We compared Akt ubiquitination and phosphorylation in Traf6 +/+ and Traf6 -/- primary mouse embryonic fibroblasts (MEFs) treated with activators of Akt.	p(FPLX:AKT)	directlyIncreases	act(p(HGNC:TRAF6))
5fcf35c1-6a81-4ded-a356-bed6b7e78436	1.0	25761126	Thus, the model does not include, for example, TRAF6 mediated positive feedback from AMBRA1 to ULK1 [XREF_BIBR], indirect regulation of MTORC1 by AMPK via TSC1/TSC2/RHEB [XREF_BIBR], MTORC1 mediated phosphorylation of components of the ULK1 complex (e.g., ATG13) other than ULK1 [XREF_BIBR, XREF_BIBR], the Ragulator complex or Rag GTPases [XREF_BIBR], or association of MTOR with RICTOR in MTORC2 [XREF_BIBR].	p(FPLX:AMPK)	directlyIncreases	act(p(HGNC:TRAF6))
fee65b5d-42b1-4ef6-b5b6-3410412c4703	1.0	PMC6735298	During the TRAF6 and c-Src-induced AP-1 activation, phosphatidylinositol 3 (PI3)-kinase, its downstream signaling molecule, Akt and c-Jun N-terminal kinase (JNK) were significantly activated and inhibition of these kinase activities down-regulated AP-1 activation through the suppression of c-fos expression.	p(FPLX:AP1)	directlyIncreases	act(p(HGNC:TRAF6))
83edb1b8-7f1d-4468-8527-be5fcbdc1af4	1.0	23017601	To determine how TRAF6 and p62 contributes to the activity of NF-kappaB, HT-22 cells were transfected with WT-TRAF6 and p62 or with TRAF6DeltaR and ASp62 and then treated with Abeta in presence or absence of NGF.	p(HGNC:APP)	directlyIncreases	act(p(HGNC:TRAF6))
bf92826e-0ba7-4afe-a7b7-a0e47271bbd9	1.0	26839314	TRAF6 activity can be impeded by deubiquitinating enzymes like ubiquitin specific protease 20 (USP20), which can reverse TRAF6 autoubiquitination, and by association with the multifunctional adaptor protein beta-arrestin2.	p(HGNC:ARRB2)	directlyIncreases	act(p(HGNC:TRAF6))
e9b044e5-4da2-42be-b5a2-6c4aa798880f	1.0	20932475	Upon translocation to the cytoplasm, activated ATM triggers TRAF6 and Ubc13 mediated formation of K63 linked polyubiquitin.	p(HGNC:ATM)	directlyIncreases	act(p(HGNC:TRAF6))
099cb079-ab26-464c-a554-5f111a76d742	1.0	27501752	BAT3 inhibits the oligomerization of TRAF6 as well as the TRAF6-TAK1 interaction.Given that BAT3 interacts with TRAF6 in macrophages and that this interaction was enhanced by LPS (b), we investigated whether BAT3 could modulate the function of TRAF6.	p(HGNC:BAG6)	directlyIncreases	act(p(HGNC:TRAF6))
750af016-c19a-4835-be44-46eba9d75340	1.0	26633718	As previously reported, Traf6 exerts protective function largely by regulating downstream genes which plays roles in antiapoptosis, such as Bcl2 and Bax; 21 therefore, we also validated the mRNA levels of Bcl2 and Bax in response to overexpression and knockdown of Traf6 gene, and confirmed that Bcl2 and Bax were downstream target of Traf6 (data not shown).	p(HGNC:BAX)	directlyIncreases	act(p(HGNC:TRAF6))
9806de05-0eb8-412c-b55a-bba091f7e3df	1.0	15125833	In contrast, incubation of BCL10 with TRAF6, in the absence of MALT1, did not cause TRAF6 to migrate to the bottom of gradient, consistent with the idea that MALT1 is an intermediary factor that connects BCL10 to TRAF6 activation.	p(HGNC:BCL10)	directlyIncreases	act(p(HGNC:TRAF6))
3e246d88-42ec-47c8-9847-f5881c7419f8	1.0	26633718	As previously reported, Traf6 exerts protective function largely by regulating downstream genes which plays roles in antiapoptosis, such as Bcl2 and Bax; 21 therefore, we also validated the mRNA levels of Bcl2 and Bax in response to overexpression and knockdown of Traf6 gene, and confirmed that Bcl2 and Bax were downstream target of Traf6 (data not shown).	p(HGNC:BCL2)	directlyIncreases	act(p(HGNC:TRAF6))
