INDRA UUID	Confidence	PMID	Evidence	Subject	Predicate	Object
9d312e0f-68df-4d7c-9f11-e65492fec63f	1.0	21659545	In conclusion, our data identify Btk as a positive regulator in the ITAM mediated TREM-1 and DAP12 pathway and suggest its implication in inflammatory processes.	p(PFAM:PF02189)	directlyIncreases	act(p(HGNC:TREM1))
fe1c9fef-53af-4e00-85f2-2e3bc93ee1c7	1.0	17785845	LPS and other microbial products induce up-regulation of cell surface localized TREM-1 and the release of its soluble form, sTREM-1.	a(CHEBI:16412)	directlyIncreases	act(p(HGNC:TREM1))
e89aadad-f595-4073-be0a-0164e7396bb8	1.0	23383108	MMP-1 may contribute by cutting surface TREM-1 into soluble TREM-1.	p(HGNC:MMP1)	directlyIncreases	act(p(HGNC:TREM1))
899752f9-4e21-483c-8c0f-abe1b39065d6	1.0	25448705	To examine the effect of 1,25 (OH) D on the expression of genes and proteins including HIF-1alpha, HIF-2alpha, and TREM-1 in human macrophages, PMA differentiated U937 cells were treated with 20nM 1,25 (OH) D and mRNA and protein expression was measured at 24h or the indicated time after treatment.Peripheral blood mononuclear cells (PBMCs) were obtained from the blood of healthy volunteers as described.	a(PUBCHEM:961)	directlyIncreases	act(p(HGNC:TREM1))
b5da179b-2bfa-4c1f-a02a-1beffd1fbafa	1.0	24842612	We hypothesized that TREM-1 activation in tumor associated macrophages may be induced by PGE 2 generated by cyclo-oxygenase-2 from tumor cells.	a(CHEBI:73965)	directlyIncreases	act(p(HGNC:TREM1))
0294bb1c-2df5-4850-9cc5-2e08e3f3d7ec	1.0	24842612	In order to conclusively define the role of COX-2 induction of TREM-1 we knocked down COX-2 expression in macrophages by employing siCOX-2.	p(HGNC:PTGS2)	directlyIncreases	act(p(HGNC:TREM1))
870aa124-496e-4f13-995d-7e684e7592f7	1.0	24012964	TREM-1 is induced by 1,25 (OH) D in a time dependent manner, with a maximum induction at 24h in human oral keratinocyte cell line OKF6 and TERT and monocytes and macrophages.	p(HGNC:TERT)	directlyIncreases	act(p(HGNC:TREM1))
ca340980-981f-4b3e-8cbd-cbb821369668	1.0	27017522	Therefore, we investigated molecular mechanisms of signaling pathways involved in TNF-alpha mediated activation of TREM-1, MMP-1 and MMP-9 in S plaques.Activation of TREM-1 by TNF-alpha depends on specific signal transduction signaling pathways.	p(HGNC:TNF)	directlyIncreases	act(p(HGNC:TREM1))
b88fb955-7faf-4b48-8e63-53e9bdcf145c	1.0	10799849	Engagement of TREM-1 triggers secretion of IL-8, monocyte chemotactic protein-1, and TNF-alpha and induces neutrophil degranulation.	p(HGNC:TREM1)	directlyIncreases	act(p(HGNC:CCL2))
f639fb86-9e3b-4bfc-8e37-b17902c0bedd	1.0	26852644	TREM-1 stimulation induced inactivation of M-CSF signaling, leading to decreased expression of RANK, and ultimately making human osteoclast precursors refractory to RANKL stimulation.	p(HGNC:TREM1)	directlyIncreases	act(p(HGNC:CSF1))
2d4f80ac-08cf-496f-9105-64a8141db49c	1.0	15351648	Indeed, ligation of TREM-1 triggers the differentiation of primary monocytes into immature dendritic cells by stimulating the production of tumor necrosis factor-alpha and granulocyte and macrophage colony stimulating factor.	p(HGNC:TREM1)	directlyIncreases	act(p(HGNC:CSF2))
e4e312c5-5a2a-4bd9-8ee4-95bbdd02b41a	1.0	25532536	In sepsis the expression of TREM-1 is initially up-regulated by bacterial or fungal products leading to the production of pro inflammatory cytokines, mainly of tumor necrosis factor-alpha and of interleukin-8 [XREF_BIBR].	p(HGNC:TREM1)	directlyIncreases	act(p(HGNC:CXCL8))
db723674-941e-4607-a782-3e15ad9a9d9d	1.0	24281714	Engagement of TREM-1 induces the activation of MAP kinases as well as rapid Ca (2+) mobilization.	p(HGNC:TREM1)	directlyIncreases	act(a(CHEBI:29108))
2f248359-c058-4b4f-9b09-421d8024d057	1.0	PMC6895168	TREM-1 (triggering receptor expressed on myeloid cells), a recently discovered receptor of the immunoglobulin superfamily, activates neutrophils and monocytes/macrophages by signaling through the adapter protein DAP12.	p(HGNC:TREM1)	directlyIncreases	act(p(HGNC:FGR))
c1b89a1f-95c2-4c87-96bb-42092df45657	1.0	15351648	Thus, TREMs may work synergistically with the Toll like receptors to sense and respond to microbial infections.Upon LPS stimulation, TREM-1 activates neutrophils and monocytes and induces the secretion of inflammatory cytokines, adhesion molecules, myeloperoxidase (neutrophils) and monocyte chemoattractant protein (MCP-1, monocytes).	p(HGNC:TREM1)	directlyIncreases	act(p(UP:P0CW71))
40d1f3ac-e657-4cf3-8355-096ad6a56cbf	1.0	23861562	Firstly, TREM-1 induces secretion of tumor necrosis factor (TNF-alpha) and interleukin-1alpha, interleukin-6, which may result in cardiac impairment.	p(HGNC:TREM1)	directlyIncreases	act(p(HGNC:IL1A))
c9d47f46-589f-4518-b33b-e0906893a48a	1.0	25242387	Other studies insisted that TREM-1 blockade with an antagonistic peptide can inhibit the induction of TNF-alpha and IL-1beta when co-treated with the TLR-4 agonist LPS in cultured human monocytes.	p(HGNC:TREM1)	directlyIncreases	act(p(HGNC:IL1B))
b6d1dc99-2a1d-4e91-bedc-05a57b643fb6	1.0	21967868	It was indeed demonstrated that this engagement of TREM-1 further enhanced the production of IL-1beta and IL-6 by the -challenged cells, in line with the previous studies.In a further approach, the synthetic antagonist of TREM-1 LP17 was introduced to the experimental system.	p(HGNC:TREM1)	directlyIncreases	act(p(HGNC:IL6))
a270d127-9969-40b3-84ee-883d960bd54c	1.0	25840803	TREM-1 Mediates Inflammatory Injury and Cardiac Remodeling Following Myocardial Infarction.	p(HGNC:TREM1)	directlyIncreases	act(bp(GO:"GO:0090303"))
f51b29a0-aeac-44dd-9dfa-63d353b4c454	1.0	27743451	Particularly, silencing of TREM-1 expression by siRNA suppressed the inducible effect of LPS on phosphoinositide 3-kinase (PI3K)/Akt, the critical transduction mediator, and HIF-1alpha.	p(HGNC:TREM1)	directlyIncreases	act(a(CHEBI:16412))
a77ee312-8419-4045-809c-324aea73e192	1.0	27017522	The upregulated TREM-1, in turn, activates MMP-1 and MMP-9 leading to collagen degradation resulting in plaque instability.	p(HGNC:TREM1)	directlyIncreases	act(p(HGNC:MMP1))
0fd237e9-2bb8-4029-a741-2e7742843413	1.0	27017522	The upregulated TREM-1, in turn, activates MMP-1 and MMP-9 leading to collagen degradation resulting in plaque instability.	p(HGNC:TREM1)	directlyIncreases	act(p(HGNC:MMP9))
47e6edda-d15f-49c8-8bff-932435401faa	1.0	27017522	The ability TREM-1 to stimulate MMPs depends on the specific signal transduction pathways.	p(HGNC:TREM1)	directlyIncreases	act(p(FPLX:MMP))
20317a74-7d9d-4128-ba60-dcb72202f37e	1.0	15351648	Thus, TREMs may work synergistically with the Toll like receptors to sense and respond to microbial infections.Upon LPS stimulation, TREM-1 activates neutrophils and monocytes and induces the secretion of inflammatory cytokines, adhesion molecules, myeloperoxidase (neutrophils) and monocyte chemoattractant protein (MCP-1, monocytes).	p(HGNC:TREM1)	directlyIncreases	act(p(HGNC:MPO))
6696d1f2-b88a-468e-9bc7-3f6b38b134b9	1.0	23436478	TREM-1 engagement promotes upregulation of T-cell costimulatory molecules and homing chemokine receptors, typical of mature DCs, and increases the production of proinflammatory, Th1 and Th17 priming cytokines and chemokines, resulting in increased T-cell responses.	p(HGNC:TREM1)	directlyIncreases	act(p(HGNC:NELFCD))
62ae6994-f3cb-47d6-b9d9-78f9621b28fa	1.0	25642940	Inactivation of DAP12 in PMN Inhibits TREM1 Mediated Activation in Rheumatoid Arthritis.	p(HGNC:TREM1)	directlyIncreases	act(p(PFAM:PF00788))
15a43075-4721-4232-be9e-a91a7a0e265b	1.0	27017522	However, TREM-1 siRNA transfection significantly decreased the expression of MMP-1 (A, p < 0.01) and MMP-9 (, p < 0.001) and increased COL1A1 (C) mRNA transcripts in VSMCs from S. Treatment with TNF-alpha further increased the MMP-1 and MMP-9 mRNA transcripts (A and B) and decreased the expression of COL1A1 and COL3A1 (C and D) mRNA transcripts in VSMCs from S.To investigate the role of TREM-1 in the TNF-alpha induced change, VSMCs were treated with TREM-1 antibody and the changes in MMP-1, MMP-9, COL1A1 and COL3A1 were studied.	p(HGNC:TREM1)	directlyIncreases	act(p(HGNC:TNF))
a719ae39-e5cb-49f9-9bab-98ca7a74623b	1.0	23861562	Firstly, TREM-1 induces secretion of tumor necrosis factor (TNF-alpha) and interleukin-1alpha, interleukin-6, which may result in cardiac impairment.	p(HGNC:TREM1)	directlyIncreases	act(p(FPLX:TNF))
bfac64ac-414f-46ea-91e9-3c330b2c2a14	1.0	19230638	Correspondingly, TREM-1 surface levels were increased in these same cultures, demonstrating reduced cleavage of membrane bound TREM-1 in the presence of metalloproteinase inhibitors.	p(HGNC:TREM1)	directlyIncreases	act(p(HGNC:TREM1))
bfac64ac-414f-46ea-91e9-3c330b2c2a14	1.0	19230638	Correspondingly, TREM-1 surface levels were increased in these same cultures, demonstrating reduced cleavage of membrane bound TREM-1 in the presence of metalloproteinase inhibitors.	p(HGNC:TREM1)	directlyIncreases	act(p(HGNC:TREM1))
8ee49f38-742c-4fcb-9bab-061b7b7e8f91	1.0	15351648	Thus, TREMs may work synergistically with the Toll like receptors to sense and respond to microbial infections.Upon LPS stimulation, TREM-1 activates neutrophils and monocytes and induces the secretion of inflammatory cytokines, adhesion molecules, myeloperoxidase (neutrophils) and monocyte chemoattractant protein (MCP-1, monocytes).	p(HGNC:TREM1)	directlyIncreases	act(bp(GO:"GO:0007155"))
28e08859-428e-4667-88b9-91fbcf24cf4f	1.0	19591072	Activation of TREM-1 with DAP12 induces calcium mobilization, tyrosine phosphorylation and activation of transcription factors such as ELK1, nuclear factor of activated T cells (NFAT), activator protein 1 (AP1) and nuclear factor kappaB (NF -kappaB), which are associated with transcription of genes encoding for pro inflammatory cytokines and chemokines as well as cell-surface molecules.	p(HGNC:TREM1)	directlyIncreases	act(a(CHEBI:29108))
