INDRA UUID	Confidence	PMID	Evidence	Subject	Predicate	Object
4f2c800a-f329-499c-9338-d7a7db87a0fe	1.0	19335651	AEA (anandamide) also activates the vanilloid receptor 1, a transient receptor potential cation channel.	a(PUBCHEM:5281969)	directlyIncreases	act(p(HGNC:TRPV1))
db5d4e9e-e48b-401d-9ace-6d1d36aceb50	1.0	18701070	In summary, the experiments in show that expression of AKAP79 promotes activation of TRPV1 by both capsaicin and membrane potential, and moreover that this action depends mainly on the binding of PKC to AKAP79.We next investigated whether AKAP79/150 mediates the sensitization of TRPV1 caused by proinflammatory mediators.	p(HGNC:AKAP5)	directlyIncreases	act(p(HGNC:TRPV1))
4fda1a41-8b2c-4f66-948f-3b5ab3064b38	1.0	21076424	To test this hypothesis, we isolated the TRPV1 triggered LTD by application of AM251 and inhibited the anandamide degrading enzyme fatty acid amide hydrolase (FAAH) by applying URB597 (1 muM).	a(PUBCHEM:2125)	directlyIncreases	act(p(HGNC:TRPV1))
c422d6b5-8b27-4ea4-99e5-cd3de4d808b4	1.0	17567713	Using Ca (2+) imaging on TRPV1 receptors heterologously expressed in the human embryonic kidney (HEK) 293 cells and on dissociated primary sensory neurons, we find that in both systems, AS activate TRPV1 receptors, and, moreover, they sensitize these channels to acid and heat.	p(UP:Q38710)	directlyIncreases	act(p(HGNC:TRPV1))
c635b3b1-4089-4b43-931e-7b5faee6c156	1.0	23458684	Since TRPV1 channel is activated by extracellular ATP, the activation of TRPV1 channel might play a role in DNA damage response downstream of ATP release.	a(CHEBI:15422)	directlyIncreases	act(p(HGNC:TRPV1))
7f59c8b2-09ec-47d5-95ef-7a08d5a0ff20	1.0	7203393	Anandamide also activates vanilloid VR1 receptors on sensory nerves and releases the vasoactive peptide, calcitonin gene related peptide (CGRP), which brings about vasodilatation through its action on CGRP receptors.	a(PUBCHEM:5281969)	directlyIncreases	act(p(HGNC:TRPV1))
d87ddc13-957f-4e99-b06c-3e01eff97940	1.0	6388646	In this study, we examined how BK modulates the activity of VR1.	a(PUBCHEM:439201)	directlyIncreases	act(p(HGNC:TRPV1))
0f486d87-d4e5-4994-90b0-7a6493d79a37	1.0	25481381	Moreover, recently TRPV1 has been demonstrated to be either inhibited or activated by PIP 2 [XREF_BIBR].	a(CHEBI:28765)	directlyIncreases	act(p(HGNC:TRPV1))
b74b432a-f2ce-482c-bbbc-fea64d1e9d22	1.0	7121764	Furthermore, increasing the calmodulin concentration in our patches by coexpression of wild-type calmodulin with TRPV1 produced inhibition by Ca2+ alone.	p(FPLX:CALM)	directlyIncreases	act(p(HGNC:TRPV1))
4aded63a-dd1f-463e-83dc-39fce170e39d	1.0	16842630	Morphine inhibits FSK stimulated cAMP production in stable FLAG-MOP and TRPV1 HEK293 cell lines.	a(CHEBI:17489)	directlyIncreases	act(p(HGNC:TRPV1))
79d5d969-1857-47d2-9527-a28914aade05	1.0	24084605	These inhibitory effects indicate that CB1 induced TRPV1 channel activation by WIN is one of the mechanisms eliciting Ca influx in these cells.	p(HGNC:CNR1)	directlyIncreases	act(p(HGNC:TRPV1))
323ce363-9c0f-4dfb-bb7e-5270c954b265	1.0	24190005	In BMS patients there was increased TRPV1, decreased CB1 and increased CB2 expression in tongue epithelial cells also associated with a change in their distribution.	p(HGNC:CNR2)	directlyIncreases	act(p(HGNC:TRPV1))
734782c1-3be8-42d6-8e81-95a99b76c17c	1.0	25210497	Blockage of TRPV1 by TRPV1 antagonist CPZ or SB366791 abrogated 14,15-EET-induced Ca 2+ influx in TRPV1 overexpressed HEK293 cells.	p(HGNC:CPZ)	directlyIncreases	act(p(HGNC:TRPV1))
2d0e73c5-9fae-44b6-bd43-0e6a231a4b39	1.0	6994847	Capsaicin activates vanilloid receptor 1, a multi-functional receptor for pain sensation.	a(PUBCHEM:1548943)	directlyIncreases	act(p(HGNC:TRPV1))
f805f7e1-c622-48b8-906c-ac288b11a100	1.0	22750002	In addition, high concentrations of Cu stimulate TRPV1 and TRPA1 channels, suggesting that the overall effect of Cu on intracellular Ca level may vary, which depends on the local concentration of Cu and the expression of individual Ca channels.We have not examined the molecular targets of Cu in this study, however, Cu may bind directly to amino acids against most likely cysteine or the hydrophilic charged amino acids (histidine, lysine, arginine, aspartate, and glutamate) to alter protein function.	a(PUBCHEM:27099)	directlyIncreases	act(p(HGNC:TRPV1))
60467afc-7605-4d16-9bc5-6c52f59a68db	1.0	23074220	However, it is not clear if DAG promoted TRPV1 activation occurs independently from classic TRPV1 activation modes induced by heat and protons.	a(CHEBI:85682)	directlyIncreases	act(p(HGNC:TRPV1))
6b362aef-7022-4a12-94ee-3e8820f071b4	1.0	26420335	Noticeably, spider toxins VaTx XREF_BIBR and DkTx XREF_BIBR are found to activate nociceptor TRPV1 ion channel, hence representing a unique defence mechanism.	p(UP:P0CH43)	directlyIncreases	act(p(HGNC:TRPV1))
0c27efa4-fdf5-4fde-954e-9f3708ea258f	1.0	19155296	Results showed a marked difference in phosphorylation of various kinases and transcription factors involved in EGFR signaling in TRPV1 +/+ MEFs compared to TRPV1 -/- MEFs (XREF_FIG).	p(HGNC:EGFR)	directlyIncreases	act(p(HGNC:TRPV1))
3efcb2e5-903c-4592-b140-89e3b19b7fe0	1.0	6313873	Ethanol potentiated the response of VR1 to capsaicin, protons and heat and lowered the threshold for heat activation of VR1 from approximately 42 degrees C to approximately 34 degrees C.	a(PUBCHEM:702)	directlyIncreases	act(p(HGNC:TRPV1))
190d460f-7fe2-476d-a4e9-ce6c9b5075ee	1.0	16793902	PAR2 induced thermal hyperalgesia depends on sensitization of transient receptor potential vanilloid receptor 1 (TRPV1), which is gated by capsaicin, protons and noxious heat.	p(HGNC:F2RL1)	directlyIncreases	act(p(HGNC:TRPV1))
d0ae0e1c-8397-452f-8806-0030fb2173e2	1.0	26058077	Our observation that VEGFR1 modulates TRPV1 function via Src and promotes its trafficking in peripheral nerves is interesting because TRPV1 senses local acidosis and algogens, such as eicosanoids and lipids, which are abundant in the tumor environment (XREF_BIBR).	p(HGNC:FLT1)	directlyIncreases	act(p(HGNC:TRPV1))
1cecb95d-179a-450a-b4a4-c654e63eccf5	1.0	20060270	Thus, TRPV1 activation by GA may induce a proliferative response in vivo.Our results suggest that chemical peeling by GA involves physiological responses via receptors and signaling molecules.	a(CHEBI:30778)	directlyIncreases	act(p(HGNC:TRPV1))
1af018b8-270a-4156-aad5-0712d1ef1737	1.0	20117132	The molecular targets of PEA and OEA, which have been identified in the GI tract, include TRPV1, activated by OEA, the nuclear receptor PPARalpha (activated by OEA and, to a lesser extent, by PEA) and the orphan G coupled receptors GPR119 (activated by OEA) and GPR55 (activated by PEA and, with lower potency, by OEA) ().	p(HGNC:GPR55)	directlyIncreases	act(p(HGNC:TRPV1))
19573b82-735f-425e-a3ba-31222e3e72bb	1.0	23458684	Further, post-treatment of gamma irradiated cells with TRPV1 activator CAP at 0.5 min after irradiation facilitated the formation of gammaH2AX foci, although the treatment of non irradiated cells with CAP did not induce the focus formation (C).	p(HGNC:HACD1)	directlyIncreases	act(p(HGNC:TRPV1))
46e20d55-5fd7-4c4a-88df-b3f0b57b7c9e	1.0	17184838	We previously showed that TRPV1 and TRPV4 provide Ca entry pathways in hepatoblastoma HepG2 cells, and that at least TRPV1 is modulated by HGF.	p(HGNC:HGF)	directlyIncreases	act(p(HGNC:TRPV1))
842d4bad-450f-4ac5-bffb-3ffa277c2aa0	1.0	22935106	On the one hand, EGFR is described as a TrkA receptor that is expressed in HBE16 cells after HNE treatment, which enhances TRPV1 sensitization through triggering the PI3K and Akt or PKC pathway.	a(PUBCHEM:5283344)	directlyIncreases	act(p(HGNC:TRPV1))
1a25ca64-961b-4f66-af9d-aa5c28ae4d8b	1.0	26752109	No difference in mRNA expression of HRH1, HRH2, TRPV1, or the pan-neuronal marker PGP9.5 was found between IBS and HVs in rectal biopsy specimens, further supporting TRPV1 sensitization rather than up-regulation of TRPV1 in IBS.	p(HGNC:HRH1)	directlyIncreases	act(p(HGNC:TRPV1))
f187284f-04eb-4471-8d52-b898c9adc5b2	1.0	26752109	No difference in mRNA expression of HRH1, HRH2, TRPV1, or the pan-neuronal marker PGP9.5 was found between IBS and HVs in rectal biopsy specimens, further supporting TRPV1 sensitization rather than up-regulation of TRPV1 in IBS.	p(HGNC:HRH2)	directlyIncreases	act(p(HGNC:TRPV1))
7a9725b2-c537-40ab-a691-4a33e1d259bf	1.0	6853311	HS intake activates VR1, which plays a counter-regulatory role in preventing salt induced increases in arterial pressure via stimulation of release of CGRP from sensory nerves.	a(PUBCHEM:6992830)	directlyIncreases	act(p(HGNC:TRPV1))
