INDRA UUID	Belief	PMID	Evidence	API	Subject	Predicate	Object
45da9f5f-330b-41db-bf66-1a97272bf7b7	0.92	10320054	Results generated in the in vivo studies indicate that, like insulin, AII stimulates tyrosine phosphorylation of the insulin receptor substrates IRS-1 and IRS-2.	sparser	p(HGNC:NLRP3)	directlyIncreases	p(HGNC:IRS1, pmod(Ph))
f3f40ea2-74b8-4d82-a455-c66c35ce615d	0.95	10509866	In summary, AII activates PKC which inhibits rat aortic endothelial cells ET and PGI2 formation, and this inhibition can be overcome by pretreatment with PKC inhibitors.	sparser	p(HGNC:NLRP3)	directlyIncreases	act(p(FPLX:PKC))
2f784bf7-fa9e-49af-8048-5620bd5f4991	0.86	11150863	Dominant-negative p21Rac1 mutant partially blocked the activation of the c-fos promoter by AII.	sparser	p(HGNC:NLRP3)	directlyIncreases	act(p(HGNC:FOS))
4f783251-cca7-46ab-b1f9-5d096fb56587	1.0	11150863	In this system AII activated ERK in 1 min and also increased the transcriptional activity of the c-fos promoter-luciferase reporter gene construct.	sparser	p(HGNC:NLRP3)	directlyIncreases	act(p(FPLX:ERK))
6b369863-168c-4ff8-b8f5-b4e34bf9cdb7	0.86	11483651	The p38 kinase inhibitor SB203580 (20 microM, 30 min) abolished Ser31 and Ser19 phosphorylation on TOH and partially inhibited ERK2 phosphorylation produced by AII.	sparser	p(HGNC:NLRP3)	directlyIncreases	p(HGNC:MAPK1, pmod(Ph))
0380cf02-976d-4075-a9c7-fd43ba74c621	0.88	12029370	AII directly activated Src, as well as the proximal (Raf) and distal (ERK) elements of the classic MAPK module, and the activation of Src was prevented by AT1 receptor antagonism.	sparser	p(HGNC:NLRP3)	directlyIncreases	act(p(HGNC:SRC))
9ca79546-f75a-4189-8f7b-6547ecd14e40	0.86	12704649	AII also activates the inflammatory p38 kinase in endothelial cells, an effect inhibited by exposure to either NAC or asp.	sparser	p(HGNC:NLRP3)	directlyIncreases	act(p(FPLX:p38))
99d909d8-ebd4-4a7e-997f-1acc9bab7d87	0.92	12935502	Further, we have investigated the relationship between the AII-induced p130(cas) tyrosine phosphorylation and a Ca(2+) and calmodulin dependent protein phosphatase calcineurin which is known to be involved in the signaling pathway of cardiac hypertrophy.	sparser	p(HGNC:NLRP3)	directlyIncreases	p(HGNC:BCAR1, pmod(Ph))
99d909d8-ebd4-4a7e-997f-1acc9bab7d87	0.92	12935502	Specific inhibition of Src-family tyrosine kinases attenuated the AII-induced p130(cas) tyrosine phosphorylation.	sparser	p(HGNC:NLRP3)	directlyIncreases	p(HGNC:BCAR1, pmod(Ph))
99d909d8-ebd4-4a7e-997f-1acc9bab7d87	0.92	12935502	These findings strongly suggest that the AII-induced p130(cas) tyrosine phosphorylation might be associated with the signaling pathways of Src-family tyrosine kinases, protein kinase C and calcineurin in rat cardiac muscle.	sparser	p(HGNC:NLRP3)	directlyIncreases	p(HGNC:BCAR1, pmod(Ph))
4f17387b-e895-4267-b482-234f8d676125	0.98	1334976	Although AII activates phospholipase C (PLC) in other tissues, AII coupling to PLC on either apical or basolateral surfaces of proximal tubule cells is unclear.	sparser	p(HGNC:NLRP3)	directlyIncreases	act(p(FPLX:PLC))
af465ea7-e78f-4ce2-aee0-03fefd9a2a04	0.95	14662828	Transfection of full-length CIAS1 or either of two shorter, naturally occurring isoforms dramatically inhibited TNF-alpha-induced activation of NF-kappaB reporter activity.	reach	p(HGNC:NLRP3)	directlyDecreases	act(p(FPLX:NFkappaB))
10190f1e-defc-4bab-8bf9-b5a451bea658	0.92	15020601	All cryopyrin mutant proteins tested were found to induce potent NF-kappaB activity when compared with the wild-type protein.	reach	p(HGNC:NLRP3, var("p.?"))	directlyIncreases	act(p(FPLX:NFkappaB))
f3f40ea2-74b8-4d82-a455-c66c35ce615d	0.95	1505459	Further, both AII and 12-HETE could activate PKC by translocating it from the cytosol to the membrane fraction, as determined by Western immunoblotting.	sparser	p(HGNC:NLRP3)	directlyIncreases	act(p(FPLX:PKC))
4f17387b-e895-4267-b482-234f8d676125	0.98	1516268	Stimulation of this exchanger may also occur due to AII-receptor activation of phospholipase C to release diacyl glycerol, or by local transduction in the brush-border membrane involving phospholipase A2.	sparser	p(HGNC:NLRP3)	directlyIncreases	act(p(FPLX:PLC))
af465ea7-e78f-4ce2-aee0-03fefd9a2a04	0.95	15353551	Moreover, hereditary mutations found in Cryopyrin also show enhanced NF-kappaB activation in collaboration with ASC compared with wild-type Cryopyrin, whereas Cryopyrin expressed in the absence of ASC blocks activation of NF-kappaB.	reach	p(HGNC:NLRP3)	directlyDecreases	act(p(FPLX:NFkappaB))
f3f40ea2-74b8-4d82-a455-c66c35ce615d	0.95	1547736	Activation of PKC by AII is probably due to formation of diacylglycerol via receptor-mediated activation of phosphoinositide-specific phospholipase-C. Stimulation with K+ caused a moderate accumulation of [3H]inositol phosphate in a concentration-dependent manner.	sparser	p(HGNC:NLRP3)	directlyIncreases	act(p(FPLX:PKC))
4f17387b-e895-4267-b482-234f8d676125	0.98	1548835	Since AII activates phospholipase C in VSMCs, we examined whether AII would increase Na+/H+ exchange by activation of protein kinase C. An inhibitor of protein kinase C, 1-(5-isoquinolinesulfonyl)-2-methylpiperazine (H-7), partially inhibited the alkalization induced by AII.	sparser	p(HGNC:NLRP3)	directlyIncreases	act(p(FPLX:PLC))
