INDRA UUID	Belief	PMID	Evidence	API	Subject	Predicate	Object
77513169-8579-48fa-90ad-9fcefc3b0c48	0.86	16715133	Although previous work has suggested that TMS1 and ASC may be directly regulated by p53, we found that whereas treatment of breast epithelial cells or normal diploid fibroblasts with DNA damaging agents resulted in the stabilization of endogenous p53 and a concomitant increase in p21, it had little impact on the expression of TMS1 and ASC mRNA or protein.	reach	p(HGNC:TP53)	directlyIncreases	act(p(HGNC:PYCARD))
ddec8be1-88e3-46dd-b547-5a24b29b71b8	0.86	18701507	Downregulation of hMOF also had no impact on TMS1 CpG island methylation in IMR90 cells (data not shown).	sparser	p(HGNC:CXXC1)	directlyIncreases	p(HGNC:PYCARD, pmod(Me))
0fc3fefd-a954-4d1b-8ee1-91372cfa2a9e	0.92	19670348	In similar studies, XREF_BIBR found that inhibition of endogenous bFGF reduced the rate of hASC proliferation.	reach	p(HGNC:FGF2)	directlyIncreases	act(p(HGNC:PYCARD))
0fc3fefd-a954-4d1b-8ee1-91372cfa2a9e	0.92	19670348	Recently, we observed that EGF and bFGF induced hASC secretion of the hepatic growth factor (HGF).	reach	p(HGNC:FGF2)	directlyIncreases	act(p(HGNC:PYCARD))
1359effe-315b-4946-a8a9-72244e57c09e	0.86	19776740	Recently, a DNA receptor AIM2 was found to be important for ASC (also known as PYCARD)-dependent inflammasome mediated production of IL1beta, but was not required for type I IFN production XREF_BIBR - XREF_BIBR.	reach	p(HGNC:PYCARD)	directlyIncreases	act(p(HGNC:IL1B))
3a6ba09c-deb4-43c4-8ab7-8aa645ee3762	0.95	21451545	These results suggest that TNF-α-activated ASCs accelerate cutaneous wound healing through paracrine mechanisms involving IL-6 and IL-8.	sparser	p(HGNC:TNF)	directlyIncreases	act(p(HGNC:PYCARD))
8d8620ab-221b-448c-a59b-90ea2d42d7d4	0.88	21656608	BMP-2 Inhibition Makes the Calvarial Defect " Dural-Injury-Like, " Whereas BMP-2 Supplementation " Rescues " hASC Mediated Calvarial Healing After DM Removal.	reach	p(HGNC:BMP2)	directlyDecreases	act(p(HGNC:PYCARD))
fa03a71b-4f7a-4c60-8452-6d1d2761ab97	0.94	21656608	Having demonstrated a likely role for BMP-2 signaling in DM stimulated hASC osteogenesis, we returned to in vivo calvarial defects to define the effect of DM removal on the early, postoperative osteogenic microenvironment.	reach	p(PFAM:PF00751)	directlyIncreases	act(p(HGNC:PYCARD))
ce440626-3677-4119-bb50-a2d37da4b272	0.86	21656608	More importantly from a clinical standpoint, the addition of recombinant BMP-2 should stimulate hASC mediated healing even in the absence of DM.	reach	p(HGNC:BMP2)	directlyIncreases	act(p(HGNC:PYCARD))
fa03a71b-4f7a-4c60-8452-6d1d2761ab97	0.94	21656608	Therefore, we first hypothesized that DM cells stimulate hASC proliferation via a paracrine interaction.	reach	p(PFAM:PF00751)	directlyIncreases	act(p(HGNC:PYCARD))
