INDRA UUID	Belief	PMID	Evidence	API	Subject	Predicate	Object
a7cd06fb-8c27-41dd-8530-d4b128ffcb68	0.95	10228165	Further downstream, JNK1 activation by TNFR1 involves Cdc42, whereas LMP1 signaling to JNK1 is independent of p21 Rho like GTPases.	reach	p(HGNC:TNFRSF1A)	directlyIncreases	act(p(HGNC:MAPK8))
a7cd06fb-8c27-41dd-8530-d4b128ffcb68	0.95	10228165	Further downstream, JNK1 activation by TNFR1 involves Cdc42, whereas LMP1 signaling to JNK1 is independent of p21 Rho-like GTPases.	sparser	p(HGNC:TNFRSF1A)	directlyIncreases	act(p(HGNC:MAPK8))
fc099817-4daa-47d5-9f00-2d8fe488cd5a	0.92	10551865	Transfection of COS-7 cells with CD120a (p55), wild-type p42(mapk/erk2), and constitutively active MEK-1 followed by metabolic labeling with [(32)P]orthophosphate indicated that p42(mapk/erk2) phosphorylated the cytoplasmic domain of CD120a (p55) in intact cells.	sparser	p(HGNC:CDK20)	directlyIncreases	p(HGNC:TNFRSF1A, pmod(Ph))
2168a760-ed50-433d-bac7-7ff3c0cf8e9e	0.92	10551865	Transfection of COS-7 cells with CD120a (p55), wild-type p42(mapk/erk2), and constitutively active MEK-1 followed by metabolic labeling with [(32)P]orthophosphate indicated that p42(mapk/erk2) phosphorylated the cytoplasmic domain of CD120a (p55) in intact cells.	sparser	p(HGNC:NUP43)	directlyIncreases	p(HGNC:TNFRSF1A, pmod(Ph))
203da6f6-361e-438b-8ead-49fa9fc43c51	0.86	10588860	The 15-kDa phosphoprotein enriched in astrocytes (PEA-15) inhibits Fas mediated apoptosis and increases tumor necrosis factor receptor-1 (TNF-R1)-mediated apoptosis in the same cell type in a ligand dependent manner.	reach	bp(GO:"GO:0006915")	directlyDecreases	act(p(HGNC:TNFRSF1A))
c351d820-8573-4676-a6e9-7647cc333dec	1.0	10626900	We show that in T cells, TNFR2 (TNFRSF1B) signaling is dramatically affected by the intracellular mediator RIP, a protein Ser/Thr kinase required for NF-kappaB activation by TNFR1 (TNFRSF1A).	sparser	p(HGNC:TNFRSF1A)	directlyIncreases	act(p(HGNC:NFKBIA))
3a14b4b1-1e3f-4b7c-88bf-cedd2eead899	0.95	10626900	We show that in T cells, TNFR2 (TNFRSF1B) signaling is dramatically affected by the intracellular mediator RIP, a protein Ser/Thr kinase required for NF-kappaB activation by TNFR1 (TNFRSF1A).	sparser	p(HGNC:TNFRSF1A)	directlyIncreases	act(p(HGNC:NPPA))
6d9aecad-9c3b-4e19-8496-503e596121d3	0.86	10880244	Recombinant EMAP-II upregulated TNF-R1 expression by approximately six-fold.	reach	p(HGNC:AIMP1)	directlyIncreases	p(HGNC:TNFRSF1A)
6d9aecad-9c3b-4e19-8496-503e596121d3	0.86	10880244	These results suggest that EMAP-II upregulates TNF-R1 expression by endothelial cells both in vitro and in vivo.	reach	p(HGNC:AIMP1)	directlyIncreases	p(HGNC:TNFRSF1A)
f8a370bb-4c18-4c67-8b2b-7b1dc8aa8f20	0.86	10946317	These results demonstrate that pancreatic IL-10 promotes diabetes independent of Fas, perforin, TNFR-1, and TNFR-2 molecules.	reach	p(HGNC:IL10)	directlyIncreases	act(p(HGNC:TNFRSF1A))
3a14b4b1-1e3f-4b7c-88bf-cedd2eead899	0.95	10950109	Overexpressed TNFR1(-DD) did not activate NF-kappaB but acted as a ligand-specific dominant negative inhibitor of TNF actions.	sparser	p(HGNC:TNFRSF1A)	directlyIncreases	act(p(HGNC:NPPA))
674556a8-0924-4e93-8285-50c15df91114	0.92	10975909	In vitro astrocytes constitutively express TNF-R1 and TNF-alpha stimulation induces expression of NOS-2.	reach	p(HGNC:TNFRSF1A)	directlyIncreases	p(HGNC:NOS2)
ea1d17fd-02b7-4baf-a7bc-71d04de39984	0.86	11226577	These findings suggest that the HCV core protein modulates TNFR1 signaling and may, thus, play a role in chronic infection of HCV patients.	reach	p(UP:Q64897)	directlyIncreases	act(p(HGNC:TNFRSF1A))
cfe87dc7-5430-4f48-8584-479abc0b56fa	0.98	11255263	In this report, we demonstrate that Fas receptor, not TNFR1, mediated UV induced activation of ASMase.	reach	p(HGNC:TNFRSF1A)	directlyIncreases	act(p(HGNC:SMPD1))
76849c2e-6a69-4aa9-9d8a-939863465263	0.95	11466381	These results suggest that TNFR1 independent activation of RelA is essential in cells of nonhemopoietic origin during the initiation of an innate immune response.	reach	p(HGNC:TNFRSF1A)	directlyIncreases	act(p(HGNC:RELA))
3b159484-b561-4d49-b5c7-3c02a38e4a9a	0.86	11583827	Tumour necrosis factor receptor-1-associated periodic syndrome (TRAPS) is caused by mutations in the TNFRSF1A gene.	reach	p(HGNC:TNFRSF1A)	directlyIncreases	act(p(IP:IPR006053))
fc099817-4daa-47d5-9f00-2d8fe488cd5a	0.92	11606045	Additionally, we demonstrated that (i) the p42(mapk/erk2)-dependent phosphorylation of CD120a and DR3 occurred on Ser and Thr residues, (ii) p42(mapk/erk2) phosphorylated residues located in the membrane proximal regions but not the death domains of CD120a and DR3, (iii) Ser 253 is a preferred site of phosphorylation on CD120a, and (iv) the p42(mapk/erk2)-dependent phosphorylation of the DR3 cytoplasmic domain occurred exclusively at non-p42/44(mapk/erk2/1) consensus sites.	sparser	p(HGNC:CDK20)	directlyIncreases	p(HGNC:TNFRSF1A, pmod(Ph))
2168a760-ed50-433d-bac7-7ff3c0cf8e9e	0.92	11606045	Additionally, we demonstrated that (i) the p42(mapk/erk2)-dependent phosphorylation of CD120a and DR3 occurred on Ser and Thr residues, (ii) p42(mapk/erk2) phosphorylated residues located in the membrane proximal regions but not the death domains of CD120a and DR3, (iii) Ser 253 is a preferred site of phosphorylation on CD120a, and (iv) the p42(mapk/erk2)-dependent phosphorylation of the DR3 cytoplasmic domain occurred exclusively at non-p42/44(mapk/erk2/1) consensus sites.	sparser	p(HGNC:NUP43)	directlyIncreases	p(HGNC:TNFRSF1A, pmod(Ph))
fc099817-4daa-47d5-9f00-2d8fe488cd5a	0.92	11606045	These studies showed that CD120a and DR3 are significantly phosphorylated by p42(mapk/erk2) but Fas, DR4 and DR5 are not.	sparser	p(HGNC:CDK20)	directlyIncreases	p(HGNC:TNFRSF1A, pmod(Ph))
2168a760-ed50-433d-bac7-7ff3c0cf8e9e	0.92	11606045	These studies showed that CD120a and DR3 are significantly phosphorylated by p42(mapk/erk2) but Fas, DR4 and DR5 are not.	sparser	p(HGNC:NUP43)	directlyIncreases	p(HGNC:TNFRSF1A, pmod(Ph))
cfe87dc7-5430-4f48-8584-479abc0b56fa	0.98	11667965	A better understanding of TNFR1 signaling in ASM cells may offer new insight into the mechanisms that regulate both airway inflammation and bronchial hyper-responsiveness in asthma.	reach	p(HGNC:TNFRSF1A)	directlyIncreases	act(p(HGNC:SMPD1))
76849c2e-6a69-4aa9-9d8a-939863465263	0.95	11805150	This demonstrates a significant defect in the T cell dependent antibody responses of TNFR1 and RelA deficient mice, and suggests that this defect is due to the loss of RelA dependent transcription that is not induced by TNFR1.	reach	p(HGNC:TNFRSF1A)	directlyIncreases	act(p(HGNC:RELA))
35e7b6a9-f187-4a90-8122-42f80474db07	0.95	11917000	Surprisingly, TNF deficiency did not affect overall cell loss, yet absence of TNF-R1 led to a strong reduction of neurodegeneration and lack of TNF-R2 led to an enhancement of neurodegeneration, indicative of TNF independent and TNF dependent processes in the retina, with TNF-R1 augmenting neuronal death and TNF-R2 promoting neuroprotection.	reach	p(HGNC:TNFRSF1A)	directlyIncreases	act(p(HGNC:TNFRSF1B))
