INDRA UUID	Belief	PMID	Evidence	API	Subject	Predicate	Object
c1f943dc-90c5-4612-83a1-89c0d5b32521	1.0	10782991	We found that human protein S may indeed activate human Sky but only above physiological plasma concentrations.	reach	p(UP:P27392)	directlyIncreases	act(p(HGNC:TYRO3))
7b61469c-11c7-497b-bd3a-f7567605d8bd	0.86	12684813	Finally, EMT is not necessary for the initiation of TGF-beta 1 induced TIF.	reach	p(HGNC:TGFB1)	directlyIncreases	act(p(HGNC:TYRO3))
7b61469c-11c7-497b-bd3a-f7567605d8bd	0.86	12684813	Furthermore, macrophages are not important combatants during the early course of TGF-beta 1 induced TIF.	reach	p(HGNC:TGFB1)	directlyIncreases	act(p(HGNC:TYRO3))
c5aeb517-6272-41c5-b17c-cef9bb3ee770	0.95	18393392	These observations suggest that Tyro3 RTKs play roles collaboratively in vaginal development, and Mer is more critical, Axl and Tyro3 support the function of Mer.	reach	p(HGNC:TYRO3)	directlyIncreases	act(p(HGNC:MERTK))
5dc527a0-1c48-48c5-af59-9361b379c026	0.86	18952193	This value indicates the TIF is dominant over the TDF, supporting an early, concerted TS.	reach	p(HGNC:TYRO3)	directlyIncreases	act(p(HGNC:TYMS))
6bd48ffa-3473-48e1-9952-e8882fdb919e	0.88	19843245	Furthermore, it remains to be determined if Sox10 is phosphorylated directly by TYRO3 or if Sox10 nuclear translocation and MITF-M transcription are influenced by other parallel pathways activated by TYRO3 .	sparser	p(HGNC:TYRO3)	directlyIncreases	p(HGNC:SOX10, pmod(Ph))
6bd48ffa-3473-48e1-9952-e8882fdb919e	0.88	19843245	Furthermore, it remains to be determined if Sox10 is phosphorylated directly by TYRO3 or if Sox10 nuclear translocation and MITF-M transcription are influenced by other parallel pathways activated by TYRO3.	reach	p(HGNC:TYRO3)	directlyIncreases	p(HGNC:SOX10, pmod(Ph))
84a4cbae-52d0-447b-85f5-ed1e22d7140f	0.86	20363878	Here we demonstrate that Tyro3 subfamily of receptor tyrosine kinases, Tyro3, Axl, and Mer (TAM), negatively regulate TLR3 signaling in Sertoli cells.	reach	p(HGNC:TYRO3)	directlyDecreases	act(p(HGNC:TLR3))
a7f168f5-7e0a-4a5e-a278-fa45ecec73ad	1.0	21030229	In these studies, Gas6 has been found to activate all three receptors, albeit with differing potency (Axl> Tyro3>>> Mer) [XREF_BIBR], while ProS has been found to activate both Tyro3 and Mer [XREF_BIBR, XREF_BIBR].	reach	p(HGNC:PROS1)	directlyIncreases	act(p(HGNC:TYRO3))
9ac94282-316a-4542-9b66-b490a6c90715	0.97	21291561	Our data suggests that PS blocks the extrinsic apoptotic cascade through Tyro3 dependent phosphorylation of FKHRL1 which in turn inhibits FasL dependent caspase-8 activation and controls tPA induced neuronal toxicity associated with pathologic activation of NMDA receptors.	reach	p(HGNC:TYRO3)	directlyIncreases	p(HGNC:FOXO3, pmod(Ph))
9ac94282-316a-4542-9b66-b490a6c90715	0.97	21291561	Our data suggests that PS blocks the extrinsic apoptotic cascade through Tyro3-dependent phosphorylation of FKHRL1 which in turn inhibits FasL-dependent caspase-8 activation and controls tPA-induced neuronal toxicity associated with pathologic activation of NMDA receptors.	sparser	p(HGNC:TYRO3)	directlyIncreases	p(HGNC:FOXO3, pmod(Ph))
dbc3366e-1ffe-4550-901a-90c5560c13d5	0.86	21291561	Specifically, it has been shown that PS acts on Tyro3 which activates the PI3K and Akt pathway in NMDA treated neurons resulting in phosphorylation of Bad and Mdm2 which in turn increases the levels of antiapoptotic Bcl-2 and Bcl-X L proteins and reduces the levels of proapoptotic p53 and Bax, respectively, thus inhibiting the intrinsic apoptotic cascade initiated by NMDA [XREF_BIBR].	reach	p(HGNC:TYRO3)	directlyIncreases	act(p(FPLX:PI3K))
9ac94282-316a-4542-9b66-b490a6c90715	0.97	21291561	Tyro3 mediates PS neuroprotection and FKHRL1 phosphorylation.	reach	p(HGNC:TYRO3)	directlyIncreases	p(HGNC:FOXO3, pmod(Ph))
9ac94282-316a-4542-9b66-b490a6c90715	0.97	21291561	We also show that inhibition of the extrinsic apoptotic cascade by PS requires Tyro3 mediated phosphorylation of FKHRL1 which in turn inhibits FasL production and FasL dependent caspase-8 activation in the extrinsic pathway.	reach	p(HGNC:TYRO3)	directlyIncreases	p(HGNC:FOXO3, pmod(Ph))
b80d186a-bcdb-4559-879e-11718bbdc815	0.95	21396997	RSE also significantly increased the activation of GR/ER, PI3K-Akt-eNOS cascades and Erk1/2 signaling in rat heart.	reach	p(HGNC:TYRO3)	directlyIncreases	act(p(FPLX:ERK))
ca535d7e-8bdb-4d00-934c-9e4288dca3ac	0.86	21760879	We demonstrated that the suppression of the shelterin subunit TRF2 using siRNA pools induced a robust TIF response, and we subsequently screened a candidate set of 386 genes, which were known to play roles in DNA damage signaling XREF_BIBR for TIF induction.	reach	p(HGNC:TBPL1)	directlyDecreases	act(p(HGNC:TYRO3))
43c16799-e16f-4c35-93a1-ef34d4773f95	0.88	21769913	However, it is clear that RSE inhibition of Upf1 must occur before the NMD cleavage step to protect the RSV unspliced RNA from degradation.	sparser	p(HGNC:TYRO3)	directlyDecreases	act(p(HGNC:UPF1))
43c16799-e16f-4c35-93a1-ef34d4773f95	0.88	21769913	However, it is clear that RSE inhibition of Upf1 must occur before the NMD cleavage step to protect the RSV unspliced RNA from degradation.	reach	p(HGNC:TYRO3)	directlyDecreases	act(p(HGNC:UPF1))
ee6deac9-04e8-4954-8ebc-57783cf31c10	1.0	21769913	Perhaps the mechanism of NMD inhibition by the RSE may be conserved in other cellular messages that possess traits of NMD targets yet are immune to decay, such as those with long 3 ' UTRs.	reach	p(HGNC:TYRO3)	directlyDecreases	act(p(HGNC:PLA1A))
ee6deac9-04e8-4954-8ebc-57783cf31c10	1.0	21769913	Perhaps the mechanism of NMD inhibition by the RSE may be conserved in other cellular messages that possess traits of NMD targets yet are immune to decay, such as those with long 3′ UTRs.	sparser	p(HGNC:TYRO3)	directlyDecreases	act(p(HGNC:PLA1A))
c1f943dc-90c5-4612-83a1-89c0d5b32521	1.0	22290807	Tyro3 receptor is significantly activated by protein S but not by Gas6 and the combined addition of Gas6 and protein S does not alter the activation level of Tyro3 by protein S (XREF_FIG F- XREF_FIG H).	reach	p(UP:P27392)	directlyIncreases	act(p(HGNC:TYRO3))
ec117312-faed-4bf4-80d2-0042643c7898	0.88	22606290	In a reciprocal experiment, the overexpression of Axl resulted in the phosphorylation of kdTyro3 indicating that Axl can directly or indirectly phosphorylate Tyro3.	sparser	p(HGNC:AXL)	directlyIncreases	p(HGNC:TYRO3, pmod(Ph))
