,Correct,Error,Error but other statement was identified,Modified by curator,Not curated,Total
ADAMTS1,3,1,0,6,55,65
AGO2,18,6,5,36,99,164
ALOX5,3,0,0,7,77,87
ANXA1,3,4,0,4,72,83
APBA1,3,3,0,5,0,11
APBA2,5,1,0,2,1,9
APBA3,6,1,0,3,9,19
APBB1,4,1,0,5,29,39
APBB2,6,0,0,3,0,9
APLP1,3,4,0,8,10,25
ARG1,21,0,19,16,4,60
AXL,13,0,22,17,499,551
BACE1,4,0,0,6,41,51
BLMH,0,8,0,3,72,83
CADPS2,0,0,0,6,0,6
CASP1,16,2,10,21,1905,1954
CASP2,4,1,0,5,76,86
CASP4,4,2,0,4,54,64
CASP9,4,0,0,6,78,88
CASR,5,0,0,5,71,81
CD274,4,14,9,42,201,270
CHI3L2,5,1,4,2,1,13
CHRM3,3,0,0,1,0,4
CKB,2,0,0,12,37,51
COL3A1,4,0,0,7,14,25
CRHR1,116,10,0,149,2,277
CSF1,3,2,0,11,63,79
CTTN,4,2,4,44,0,54
DAB2,5,1,0,5,63,74
DDIT3,6,1,0,10,67,84
DDX39B,4,4,0,3,0,11
DEFB1,38,5,22,25,26,116
DHCR24,5,0,0,8,21,34
FPR1,7,6,0,9,67,89
FPR2,6,3,0,8,53,70
FRMD4A,6,0,0,4,3,13
GABBR1,2,31,0,13,0,46
GABRE,1,2,0,0,0,3
GABRG1,0,1,0,0,1,2
GABRG2,3,5,0,2,8,18
GABRG3,1,0,0,0,1,2
GABRP,5,0,0,0,1,6
GABRQ,1,1,0,0,1,3
GATA6,6,3,0,1,80,90
GFAP,5,5,0,0,72,82
GRB2,6,5,0,0,78,89
GRK2,15,4,0,41,341,401
HAMP,5,5,0,1,69,80
HDLBP,4,1,2,5,0,12
HLA-DQB1,1,3,0,0,0,4
HSD17B10,5,5,0,1,10,21
IGFL1,4,1,0,0,1,6
IKBKG,5,6,0,0,64,75
IL23A,9,2,0,0,51,62
IL2RA,14,5,4,41,423,487
IL4R,50,44,12,35,1,142
INA,6,26,1,8,0,41
IRAK2,8,1,0,2,40,51
KCNB1,5,5,0,0,11,21
KEAP1,18,3,2,40,210,273
LAMB2,4,2,0,0,1,7
LAMC2,3,4,0,2,22,31
LAMP1,3,5,0,0,55,63
LAMTOR1,3,1,3,14,0,21
LRP1,4,4,0,0,69,77
LRP8,5,4,0,0,44,53
MAPK8IP1,6,3,0,0,32,41
MIF,26,3,1,21,1277,1328
MIR155,5,3,0,1,74,83
MRC1,5,51,1,3,109,169
MYH9,2,7,0,0,20,29
NAE1,5,5,0,0,24,34
NDUFV2,2,2,0,0,1,5
NECAB3,5,5,0,1,2,13
NEUROG3,5,2,0,4,57,68
NFE2L1,15,16,5,29,138,203
NGFR,3,3,0,4,46,56
NLRP3,11,5,2,25,2580,2623
NOD2,0,5,0,5,73,83
NRGN,0,8,0,2,64,74
NTRK1,4,3,0,3,75,85
NUMB,16,17,1,36,98,168
PIGR,1,8,0,1,54,64
PLA2G4A,7,2,0,1,62,72
PLA2G7,1,2,0,7,44,54
PLSCR1,3,4,0,5,38,50
PPARA,4,0,0,6,69,79
PTGER2,1,0,2,5,0,8
PTGS1,4,1,0,5,72,82
PTX3,2,1,0,7,75,85
PYCARD,7,40,1,3,43,94
SCARB1,2,5,0,3,64,74
SHC1,2,3,0,5,72,82
SLC1A2,2,2,0,6,61,71
SLC39A1,6,8,0,4,2,20
SLC5A7,0,9,0,1,48,58
SORL1,3,2,0,5,34,44
SPP1,20,15,3,34,735,807
STMN1,3,2,0,5,79,89
THBS3,0,0,0,1,0,1
TIMP1,0,5,0,5,74,84
TMSB4X,57,40,74,67,0,238
TNF,7,1,0,2,67,77
TNFRSF1A,13,8,9,19,636,685
TNFRSF1B,19,3,0,22,475,519
TPM1,8,10,0,12,0,30
TRAF6,15,11,0,43,0,69
TREM1,3,2,0,5,53,63
TRPV1,4,4,0,2,70,80
TXNIP,2,1,0,7,78,88
TYRO3,20,14,10,8,102,154
USF2,29,15,5,42,2,93
VIM,18,5,0,36,953,1012
