INDRA UUID	Confidence	Citation Source	Citation Reference	Evidence	Subject	Predicate	Object
52cd6dc4-461e-4e1d-9cd0-ac8265e4751f	1	PubMed	26475020	Using HeLa cells, we demonstrate that miR-132 interacts with the AGO2 mRNA 3 ' UTR and suppresses AGO2 expression and AGO2 dependent small RNA mediated silencing.	complex(p(HGNC:AGO2))	directlyDecreases	act(p(HGNC:AGO2))
c86253e9-a262-402f-9f2c-99a7d5e0ad01	1	PubMed	17382880	previously demonstrated that AGO2 interacts with TTP and miR16-1 to induce decay of a TNFalpha 3 '-UTR reporter mRNA.	complex(p(HGNC:AGO2))	directlyIncreases	act(p(HGNC:TNF))
651e5a2c-5818-409a-aef4-0541aeb5697b	1	PubMed	17382880	previously demonstrated that AGO2 interacts with TTP and miR16-1 to induce decay of a TNFalpha 3 '-UTR reporter mRNA.	complex(p(HGNC:AGO2), p(HGNC:ZFP36))	directlyIncreases	act(p(HGNC:TNF))
4f69631c-bad8-4ed3-aa8e-a9a5e2995159	1	PubMed	26018492	eIF1A forms a complex with Ago2 and promotes Ago2 cleavage activity in RNAi, and enhances Ago2 activity in miR-451 production in human cells and the developing zebrafish.	complex(p(HGNC:EIF1AX), p(HGNC:AGO2))	directlyIncreases	act(p(HGNC:AGO2))
0ef30a95-7701-4737-bfe7-dca3c4b74f86	1	PubMed	23603119	We observed no differences in CXCR4 siRNA or endogenous let-7a or miR-21 loading onto Ago2 (XREF_SUPPLEMENTARY), suggesting that the observed responses genuinely reflect Akt modulation of Ago2 mediated repression.	p(FPLX:AKT)	directlyIncreases	act(p(HGNC:AGO2))
6b060987-6cac-4124-a0dc-cfdd0b8efca6	1	PubMed	23603119	In contrast we observed that, in vitro, Ago2 phosphorylation by Akt does not affect RISC loading as measured by passenger strand cleavage (XREF_SUPPLEMENTARY).	p(FPLX:AKT)	directlyIncreases	p(HGNC:AGO2, pmod(Ph))
d69aaa3a-b77a-4fc4-9a67-5bc0b47a07c9	1	PubMed	23603119	Ectopic re-expression of WT Ago2 modestly restored repression of FLuc as expected while the Ago2 S387A mutant, which can not be phosphorylated by Akt, robustly de-repressed the FLuc repression reporter (XREF_FIG).	p(FPLX:AKT)	directlyIncreases	p(HGNC:AGO2, pmod(Ph), var(p.Ser387Ala))
2821bac9-4e2b-4a5c-9786-cf835a6a5ce7	1	PubMed	26854235	Also, phosphorylation of AGO2 by MAPK and PI3K pathway activators has been shown to alter its microRNA related function through different mechanisms (), portending a broader, direct interface between intracellular signaling and RNA silencing mechanisms ().	p(FPLX:ERK)	directlyIncreases	p(HGNC:AGO2, pmod(Ph))
ed407cb6-14ae-4cf8-bce9-7a67b2c6ccc9	1	PubMed	23741051	In summary, we identified a subset of Hsp90 cochaperones involved in activating hAgo2 and discussed their previously described regulatory roles in the context of Hsp90 mediated maturation of hAgo2.	p(FPLX:HSP90)	directlyIncreases	act(p(HGNC:AGO2))
01af0b82-40be-4acd-a6a0-b73f580ae5c8	1	PubMed	26854235	Also, phosphorylation of AGO2 by MAPK and PI3K pathway activators has been shown to alter its microRNA related function through different mechanisms (), portending a broader, direct interface between intracellular signaling and RNA silencing mechanisms ().	p(FPLX:PI3K)	directlyIncreases	p(HGNC:AGO2, pmod(Ph))
72d848af-2934-4783-8690-13fbab3d4fb1	1	PubMed	26459601	"mTORC1 has been shown to induce the degradation of Ago2 in T cells (XREF_BIBR), a pivotal factor exhibiting preference for miRNA "" star "" strand selection in Drosophila (XREF_BIBR)."	p(FPLX:mTORC1)	directlyDecreases	act(p(HGNC:AGO2))
2bf19772-097a-4635-b459-70c30b8fa7d5	1	PubMed	23746446	Given that the PIWI domain of hAgo1 H deactivates hAgo2 slicing we conducted the reciprocal experiment and created an active hAgo1 chimera by substituting the active PIWI domain of hAgo2 into the non slicer hAgo1.	p(HGNC:AGO1)	directlyDecreases	act(p(HGNC:AGO2))
2b3588ce-a2d1-42de-a184-9aea95a065b6	1	PubMed	26242502	Our finding that knockdown of AGO1 enhances AGO2 expression, and vice versa, suggests that cells may have mechanisms to compensate for changes related to the two most highly expressed AGO variants.	p(HGNC:AGO1)	directlyDecreases	p(HGNC:AGO2)
f05ab0ee-0e0b-428c-8602-ffa2c7a0c1f2	1	PubMed	23746446	Both hAgo1 linkers L1 and L2 can support slicing in hAgo2 as well (data not shown).	p(HGNC:AGO1)	directlyIncreases	act(p(HGNC:AGO2))
1fea0734-5b42-4265-bf5a-3049348d9cd9	1	PubMed	24886719	AGO2 knockdown suppressed HUVEC growth and tube formation, suggesting that AGO2 also modulates angiogenesis [XREF_BIBR, XREF_BIBR].	p(HGNC:AGO2)	directlyDecreases	"act(bp(GO:""GO:0001525""))"
9c8fd0d5-23f8-4933-b134-1407b5dce0c7	1	PubMed	24805183	Downregulation of AGO2 repressed migration, invasion, EMT and stemness of prostate cancer cells, and reversed the effects seen with miR-100 downregulation.	p(HGNC:AGO2)	directlyDecreases	"act(bp(GO:""GO:0001837""))"
f2a24481-ba3a-42c1-a7fd-6327c1fc0551	1	PubMed	17524464	We propose that Ago2 represses the initiation of mRNA translation by binding to the mG cap of mRNA targets, thus likely precluding the recruitment of eIF4E.We undertook a bioinformatics approach to study the primary structure of Argonaute proteins.	p(HGNC:AGO2)	directlyDecreases	"act(bp(GO:""GO:0006412""))"
844697a6-3d7f-4ad8-aff4-5927a5382c57	1	PubMed	26446993	Our results showed that at least ~ 2-fold increase of Ago2 protein inhibited the nuclear transport of TNRC6A in HeLa cells.	p(HGNC:AGO2)	directlyDecreases	"act(bp(GO:""GO:0006810""))"
e832ab2e-abc5-4b85-9e02-daf59ba0372f	1	PubMed	24886719	Zhou et al. [XREF_BIBR] reported that in MM patients, increased AGO2 expression was DNA copy number dependent and that AGO2 silencing could inhibit cell proliferation and promote apoptosis in myeloma cell lines.	p(HGNC:AGO2)	directlyDecreases	"act(bp(GO:""GO:0006915""))"
adc875eb-1e58-4358-bfe1-8f7c6c3dce35	1	PubMed	25135428	In vitro, silencing Dicer or Ago2 inhibited cell proliferation and induced apoptosis in LNCaP, PC-3, and DU145, as well as arrested the cell cycle at the G2/M phase in androgen dependent LNCaP, or at S phase in the androgen independent PC-3 and DU145.	p(HGNC:AGO2)	directlyDecreases	"act(bp(GO:""GO:0008283""))"
b460ab01-a7e8-4f32-89b4-5f0789f2e2c0	1	PubMed	24608802	miR-376 down-regulates Ago2 and CDK2 which inhibit progenitor cell growth and differentiation (XREF_BIBR).	p(HGNC:AGO2)	directlyDecreases	"act(bp(GO:""GO:0016049""))"
810a3562-858e-4077-96c7-83674fe2e316	1	PubMed	19723326	AGO2 enhances cell proliferation, reduces cell-cell adhesion, and increases cell migratory ability, which contribute to the tumor phenotype transformation from ER + to ER - through overexpression of Ago2.	p(HGNC:AGO2)	directlyDecreases	"act(bp(GO:""GO:0016337""))"
627207c9-a874-4a1a-ad71-940f81f7b7e4	1	PubMed	24608802	miR-376 down-regulates Ago2 and CDK2 which inhibit progenitor cell growth and differentiation (XREF_BIBR).	p(HGNC:AGO2)	directlyDecreases	"act(bp(GO:""GO:0030154""))"
752888d4-ea3f-4c8f-a28f-b8be732bf9fe	1	PubMed	25175024	To test this hypothesis, first we compensated for the potential inactivating tyrosine phosphorylation of AGO2 by overexpressing AGO2 in H-RAS V12 -expressing primary fibroblasts; we observed that overexpression of AGO2 inhibited p21 expression (XREF_FIG) and senescence (XREF_FIG).	p(HGNC:AGO2)	directlyDecreases	"act(bp(GO:""GO:0090398""))"
