INDRA UUID	Confidence	Citation Source	Citation Reference	Evidence	Subject	Predicate	Object
eab4828d-896f-4fcb-8ade-5ccbd96f89a0	1.0	PubMed	25348003	We show that microRNA-200 (miR-200), a cell-autonomous suppressor of EMT and metastasis, targets PD-L1.	"bp(GO:""GO:0001837"")"	directlyDecreases	act(p(HGNC:CD274))
7d8b7eff-0ff8-45ac-8c04-d10752f3fe5c	1.0	PubMed	25348003	Moreover, ZEB1, an EMT activator and transcriptional repressor of miR-200, relieves miR-200 repression of PD-L1 on tumor cells, leading to CD8 + T cell immunosuppression and metastasis.	"bp(GO:""GO:0001837"")"	directlyIncreases	act(p(HGNC:CD274))
bbb8d757-6d53-4d73-91d9-f62fc5d564f2	1.0	PubMed	26245467	In this study we have demonstrated that the pro metastatic process EMT induces the expression of PD-L1.	"bp(GO:""GO:0001837"")"	directlyIncreases	p(HGNC:CD274)
2924fef9-df9c-48f5-acfc-3342783cef93	1.0	PubMed	22271878	In cHL Reed Sternberg cells, which exhibit constitutive AP-1 activation, the PD-L1 enhancer binds AP-1 components and increases PD-L1 promoter activity.	complex(p(HGNC:CD274))	directlyIncreases	act(p(HGNC:CD274))
090d8f96-6937-4b26-ae2e-fd87095d0f3f	1.0	PubMed	25093496	Once activated PD-1 + CD8 + T cells migrate into tumour, the binding of PD-1 with PD-L1 inhibit cytokine production and the cytolytic activity of CD8 + T cells, leading to exhaustion or dysfunction of T cells.	complex(p(HGNC:CD274), p(HGNC:RPL17))	directlyDecreases	"act(bp(GO:""GO:0001816""))"
8185afd8-3f19-4922-bae9-a5e7b4939569	1.0	PubMed	25211350	The blockade of PD-1 and PD-L1 interactions restores the immune response during HIV infection XREF_BIBR, XREF_BIBR.	complex(p(HGNC:CD274), p(HGNC:RPL17))	directlyDecreases	"act(bp(GO:""GO:0006955""))"
c9134985-2f16-4028-9fd0-3d3f00777528	1.0	PubMed	21659460	Importantly, blocking PD-1 and PD-L1 interactions augment proliferation of MiHA specific CD8 (+) memory T cells from relapsed patients.	complex(p(HGNC:CD274), p(HGNC:RPL17))	directlyDecreases	"act(bp(GO:""GO:0008283""))"
65015ea2-ca86-41ed-8f6d-17040eda7395	1.0	PubMed	25343703	Studies in mice deficient in PD-1 or its ligands report increased numbers of Tfh cells, suggesting that PD-1 and PD-L1 interactions downregulate Tfh generation and/or differentiation XREF_BIBR.	complex(p(HGNC:CD274), p(HGNC:RPL17))	directlyDecreases	"act(bp(GO:""GO:0030154""))"
654efd90-8f7d-4c1d-bf2d-b07d24193891	1.0	PubMed	25093496	Once activated PD-1 + CD8 + T cells migrate into tumour, the binding of PD-1 with PD-L1 inhibit cytokine production and the cytolytic activity of CD8 + T cells, leading to exhaustion or dysfunction of T cells.	complex(p(HGNC:CD274), p(HGNC:RPL17))	directlyDecreases	act(p(FPLX:CD8))
9b3dfe58-5d4d-4397-aa2c-35d0d2d617fd	1.0	PubMed	7178822	The results suggested that GST-PD-1 could competently block the interaction between PD-L1 and PD-1 and increase the production of IL-2 and IFN-gamma of phytohemagglutinin activated T cells.	complex(p(HGNC:CD274), p(HGNC:RPL17))	directlyDecreases	act(p(HGNC:IFNG))
