INDRA UUID	Confidence	Citation Source	Citation Reference	Evidence	Subject	Predicate	Object
2f73e2f6-bfbc-495d-970b-8c60dcf546e6	1.0	PubMed	24561205	Furthermore, overexpression of CTCF resists the loading of vigilin onto the satellite 2 locus.	p(HGNC:CTCF)	directlyDecreases	act(p(HGNC:HDLBP))
dc6556ab-e908-4577-b1ba-b7e68347ae86	1.0	PubMed	20974809	Furthermore, vigilin inhibited c-fms translation.	p(HGNC:HDLBP)	directlyDecreases	act(bp(GO:"GO:0006412"))
fc52f1d8-dea5-46c4-9679-abb285f6099d	1.0	PubMed	19950580	In addition, the knock-down of VIGILIN expression by transfecting HepG2 cells with shRNA expression plasmid pSIREN-VIG inhibited the expression of human VIGILIN, which led to the expression of H19 mRNA decrease by 12.08%, and IGF2 mRNA increase by 30.13%.	p(HGNC:HDLBP)	directlyDecreases	act(p(HGNC:IGF2))
5c6621b2-6c90-4690-bb28-dea649e84195	1.0	PubMed	20974809	Posttranscriptional suppression of proto-oncogene c-fms expression by vigilin in breast cancer.	p(HGNC:HDLBP)	directlyDecreases	p(HGNC:CSF1R)
98da3045-1d23-4137-95c1-6ff0bf15d6f5	1.0	PubMed	19950580	In addition, the knock-down of VIGILIN expression by transfecting HepG2 cells with shRNA expression plasmid pSIREN-VIG inhibited the expression of human VIGILIN, which led to the expression of H19 mRNA decrease by 12.08%, and IGF2 mRNA increase by 30.13%.	p(HGNC:HDLBP)	directlyDecreases	p(HGNC:HDLBP)
f80e8244-f725-461f-89de-88557de41245	1.0	PubMed	28356383	We demonstrated that vigilin binds and negatively regulates MICB expression through its 5 ' UTR.	p(HGNC:HDLBP)	directlyDecreases	p(HGNC:MICB)
1eb27480-d8c8-4c76-af8f-014b0836ecf9	1.0	PubMed	14500828	RNAi mediated depletion of the 15 KH domain protein, vigilin, induces death of dividing and non dividing human cells but does not initially inhibit protein synthesis.	p(HGNC:HDLBP)	directlyIncreases	act(bp(GO:"GO:0008219"))
796d9332-adcf-47c0-a084-670c0288eb9b	1.0	PubMed	24676454	Taken together, these results suggest that progressively upregulated vigilin may serve as a molecular risk marker for HCC development, and targeting vigilin may help to inhibit HCC cell growth, survival and migration.	p(HGNC:HDLBP)	directlyIncreases	act(bp(GO:"GO:0016049"))
1ddbebed-67a5-4710-8c25-80715cd6d19a	1.0	PubMed	24725430	Furthermore, ectopic expression of vigilin significantly downregulated Igf2 and upregulated H19, whereas depletion of vigilin upregulated Igf2 and downregulated H19, in HepG2, CNE1 and HeLa cells.	p(HGNC:HDLBP)	directlyIncreases	act(p(HGNC:IGF2))
8dbcc767-4783-4d47-aba1-a49a9186d431	1.0	PubMed	20974809	Posttranscriptional suppression of proto-oncogene c-fms expression by vigilin in breast cancer.	p(HGNC:HDLBP)	directlyIncreases	p(HGNC:CSF1R)
