INDRA UUID	Confidence	Citation Source	Citation Reference	Evidence	Subject	Predicate	Object
b47b2147-11d4-478c-970e-add1593841fe	1.0	PubMed	4959705	Activation of either PKC or PKA increased TTX-R INa.	p(FPLX:PKA)	directlyIncreases	act(p(HGNC:INA))
9af511d8-1bfd-49a9-852e-4ff360195e96	1.0	PubMed	4420237	Recent molecular studies have demonstrated a PKC phosphorylation site on the rat cardiac Na+ channel isoform and have also shown that PKC activation can slow inactivation of INa.	p(FPLX:PKC)	directlyDecreases	act(p(HGNC:INA))
43261603-b247-42f8-ac31-24f66d03d5d2	1.0	PubMed	4959705	Activation of either PKC or PKA increased TTX-R INa.	p(FPLX:PKC)	directlyIncreases	act(p(HGNC:INA))
6ef97917-3685-412d-b597-27dff473fc75	1.0	PubMed	3589405	Angiotensin II reversibly reduced the peak INa in a dose dependent fashion.	p(HGNC:AGT)	directlyDecreases	act(p(HGNC:INA))
b91c0724-c8c4-448f-9dbf-0b2c316ec813	1.0	PubMed	4375926	Synaptically and agonist evoked INa, M were not affected in ganglia treated with 0.5-1 microgram ml-1 pertussis toxin (PTX) for 7-24 h at 37 degrees C. Control experiments showed that this treatment severely reduced the PTX sensitive inhibition of N-type calcium currents induced by carbachol (CCh) and noradrenaline.	p(HGNC:ATP8A2)	directlyIncreases	act(p(HGNC:INA))
77b69bab-b409-4ad1-ab89-f4719e4c9f5a	1.0	PubMed	2893278	Lentil lectin and fava bean lectin, which have binding sites for mannose or glucose, inhibited the INA of both bacteria.	p(HGNC:BEAN1)	directlyDecreases	act(p(HGNC:INA))
fcbb9f53-8b78-446b-9123-3e399ca534f8	1.0	PubMed	5078009	The Ca2 +-dependent agonists histamine, bradykinin, serosal UTP, and thapsigargin similarly induced sustained inhibition (62-84%) of INa.	p(HGNC:CA2)	directlyDecreases	act(p(HGNC:INA))
80ba9fdd-7c6f-49ec-88dd-d30d1e6f3b98	1.0	PubMed	PMC3224746	The voltage-dependent inhibition of INa was associated with the shift of the INa availability curve to more negative potentials.	p(HGNC:CACNA1A)	directlyDecreases	act(p(HGNC:INA))
2afbaa41-36f2-4cd0-ba0c-a6bc70252a69	1.0	PubMed	27364017	Whole-cell patch clamp showed that CASK silencing increases INa in vitro.	p(HGNC:CASK)	directlyDecreases	act(p(HGNC:INA))
3148282a-cc32-492a-8943-3e74cd56e2a0	1.0	PubMed	5978328	INa is inhibited at higher concentrations by EMD 66430 and EMD 60417.	p(HGNC:EMD)	directlyDecreases	act(p(HGNC:INA))
52676673-6d9f-4f09-bb9a-4a405209f290	1.0	PubMed	3853744	AP-A slows the rate of recovery of INa from inactivation which is probably the basis for a use dependent decrease in peak amplitude.	p(HGNC:ENPEP)	directlyDecreases	act(p(HGNC:INA))
068065a2-97cd-4317-a984-2c45c674fd90	1.0	PubMed	3853744	AP-A (50-100 nM) markedly slowed the rate of decay of Na+ current (INa) and increased peak INa conductance (gNa) by 38 +/- 5.5% (mean +/- SEM, P < 0.001, n = 12) with little change in slope factor (n = 12) or voltage midpoint of the gNa/V relationship after correction for spontaneous shifts.	p(HGNC:ENPEP)	directlyIncreases	act(p(HGNC:INA))
e9544aaa-dbc6-4378-9cd8-b6bbd10c2896	1.0	PubMed	4681035	ATX II, a toxin derived from Anemonia sulcata, selectively inhibited INa fast inactivation in dissociated neurones.	p(HGNC:ENPP2)	directlyDecreases	act(p(HGNC:INA))
3c9e645e-ee06-4843-9f08-bae93ef5524c	1.0	PubMed	PMC4624046	Inclusion of papain in the patch electrode removed the fast inactivation of INa and induced a current with voltage-dependence (V1/2 = -56.92) and activation parameters similar to those of INaP.	p(HGNC:FOXH1)	directlyDecreases	act(p(HGNC:INA))
e249cb72-8469-495f-b70a-324001f40860	1.0	PubMed	3373834	Because intracellular acidosis is an early consequence of ischemia, we hypothesized that lowering intracellular pH (pHi) would reduce or kinetically modulate INa and thus affect cardiac conduction.	p(HGNC:GPI)	directlyIncreases	act(p(HGNC:INA))
b0a529d1-963d-4ff8-b827-c2d333410c63	1.0	PubMed	3871220	"Phenobarbital (PB) increased the excretion of both pyrrolic metabolites and INA with a corresponding decrease in the excretion of RET and N-oxides; the retronecine levels remained unaltered."	p(HGNC:HTN3)	directlyIncreases	act(p(HGNC:INA))
