INDRA UUID	Confidence	Citation Source	Citation Reference	Evidence	Subject	Predicate	Object
f9f7a101-0370-4e27-95e9-5ca4cdcfbc5d	1.0	PubMed	22513874	Therefore, LAMTOR1 depletion induces p53 dependent cell cycle inhibition and apoptosis.	p(HGNC:LAMTOR1)	directlyDecreases	act(bp(GO:"GO:0007049"))
08f59159-5e04-4fa5-adc9-c5d30239c703	1.0	PubMed	19654316	Down-regulation of p27RF-Rho prevents both redistribution of actin into the punctate structures and tumor cell invasion.	p(HGNC:LAMTOR1)	directlyDecreases	act(p(FPLX:Actin))
6334aef0-ddac-4c45-baad-a033403f416a	1.0	PubMed	22513874	LAMTOR1 depletion abrogates mTORC1 activation.	p(HGNC:LAMTOR1)	directlyDecreases	act(p(FPLX:mTORC1))
722636fb-b0ca-4272-aba6-c82947a98e5f	1.0	PubMed	22513874	Compared with control siRNA treated cells, LAMTOR1 depleted cells displayed increased levels of LC3-I and to a lesser extent of LC3-II, and decreased levels of p62 (XREF_FIG).	p(HGNC:LAMTOR1)	directlyDecreases	p(HGNC:SQSTM1)
d4844b15-7d77-42a5-8c2b-d0d97589942e	1.0	PubMed	21087931	p27RF-Rho regulated the activation of RhoA and RhoC and thereby modulated cellular adhesion and motility, in addition to pericellular proteolysis.	p(HGNC:LAMTOR1)	directlyIncreases	act(bp(GO:"GO:0006508"))
26f4cb4d-563f-442e-b36e-8a229fbf0ee5	1.0	PubMed	22513874	LAMTOR1 depletion induces p53 dependent apoptosis via aberrant lysosomal activation.	p(HGNC:LAMTOR1)	directlyIncreases	act(bp(GO:"GO:0006915"))
76ad5ca9-3448-431a-a203-ab8d784564d5	1.0	PubMed	21087931	p27RF-Rho regulated the activation of RhoA and RhoC and thereby modulated cellular adhesion and motility, in addition to pericellular proteolysis.	p(HGNC:LAMTOR1)	directlyIncreases	act(bp(GO:"GO:0007155"))
7476cd38-33a9-4845-9dbe-dfe712f1c6b6	1.0	PubMed	22513874	This CQ concentration substantially reduced LAMTOR1 depletion induced apoptosis (XREF_FIG), and p53 +/+ HCT116 cell death (XREF_SUPPLEMENTARY).	p(HGNC:LAMTOR1)	directlyIncreases	act(bp(GO:"GO:0008219"))
e44982a3-c99b-4667-bd53-98baa95ce8be	1.0	PubMed	24337580	Loss or depletion of p18 and LAMTOR1 eliminates raptor and Rag localization to the lysosome and prevents amino acid activation of mTORC1, emphasizing the importance of late endosomal/lysosomal localization for the amino acid regulation of mTORC1.	p(HGNC:LAMTOR1)	directlyIncreases	act(bp(GO:"GO:0051179"))
f10f32c5-640d-4a2a-b596-1409f2865127	1.0	PubMed	21087931	A p27 (kip1)-binding protein, p27RF-Rho, promotes cancer metastasis via activation of RhoA and RhoC.	p(HGNC:LAMTOR1)	directlyIncreases	act(bp(MESH:D009362))
d8d1d87d-4aaa-4f7c-b5dd-e12f9806462f	1.0	PubMed	24337580	Loss or depletion of p18 and LAMTOR1 eliminates raptor and Rag localization to the lysosome and prevents amino acid activation of mTORC1, emphasizing the importance of late endosomal/lysosomal localization for the amino acid regulation of mTORC1.	p(HGNC:LAMTOR1)	directlyIncreases	act(p(FPLX:mTORC1))
ad32bfa1-2653-4e91-9296-40fea27d00ce	1.0	PubMed	21087931	The Rho activities enhanced by p27RF-Rho had a marked effect upon efficiency of lodging of F10 cells in the lung, which represents an early step of metastasis.	p(HGNC:LAMTOR1)	directlyIncreases	act(p(HGNC:RHOA))
185c9469-28ba-47ed-8bc5-ea6236e05c63	1.0	PubMed	22513874	In these cells that display a reduced lysosomal degradative capacity, LAMTOR1 depletion could no longer trigger ROS production (XREF_FIG).	p(HGNC:LAMTOR1)	directlyIncreases	act(p(HGNC:ROS1))
a6f20ab6-107d-4d1a-adf3-906793217149	1.0	PubMed	24337580	Loss or depletion of p18 and LAMTOR1 eliminates raptor and Rag localization to the lysosome and prevents amino acid activation of mTORC1, emphasizing the importance of late endosomal/lysosomal localization for the amino acid regulation of mTORC1.	p(HGNC:LAMTOR1)	directlyIncreases	act(p(HGNC:RPTOR))
0c07547f-8a9e-4d4d-8188-fdee1f5a4bc9	1.0	PubMed	22513874	LAMTOR1 depletion induces p53 dependent apoptosis via aberrant lysosomal activation.	p(HGNC:LAMTOR1)	directlyIncreases	act(p(HGNC:TP53))
dca2fba6-b759-4602-8403-f103f556d0dc	1.0	PubMed	24337580	Loss or depletion of p18 and LAMTOR1 eliminates raptor and Rag localization to the lysosome and prevents amino acid activation of mTORC1, emphasizing the importance of late endosomal/lysosomal localization for the amino acid regulation of mTORC1.	p(HGNC:LAMTOR1)	directlyIncreases	act(p(UP:Q40704))
7dc1bd42-4b99-4776-a7e1-e077e9cdf8de	1.0	PubMed	22513874	In the different shRNA expressing cells, LAMTOR1 depletion could still increase p53 and p21 expressions (XREF_FIG, right panel).	p(HGNC:LAMTOR1)	directlyIncreases	p(HGNC:CDKN1A)
aa2a7204-5e89-47d6-b427-7e37563c8ae1	1.0	PubMed	22513874	In the different shRNA expressing cells, LAMTOR1 depletion could still increase p53 and p21 expressions (XREF_FIG, right panel).	p(HGNC:LAMTOR1)	directlyIncreases	p(HGNC:TP53)
