INDRA UUID	Confidence	Citation Source	Citation Reference	Evidence	Subject	Predicate	Object
d28c7358-b182-4450-9a97-d2b96cb1a0d3	1.0	PubMed	22116621	Pharmacological inhibition of NFAT or targeting of NFATc3 with small interfering RNA (siRNA) lowers the AIF-1 and IRT-1 ratio and favours an anti-proliferative outcome.	p(FPLX:NFAT)	directlyIncreases	act(p(HGNC:SLC39A1))
d2ee97e6-2fd0-479e-beb9-0bcd0f62046e	1.0	PubMed	19026724	Stimulation of NF-kappaB with TNF-alpha did not produce increased expression of hZip1, and the NF-kappaB inhibitor BAY-1185 also had no effect on hZip1 expression (data not shown).	p(FPLX:NFkappaB)	directlyIncreases	p(HGNC:SLC39A1)
d04571f0-c13a-4c8f-89a9-dd8bcd4a7e24	1.0	PubMed	20471814	In HepG2 cells, IL-6 induced a marked increase in the expression of MT1X, MT2A, ZIP14 and ZIP1 (A), concomitantly increasing intracellular zinc levels to 150% of untreated cells (B).	p(HGNC:IL6)	directlyIncreases	p(HGNC:SLC39A1)
ebfa3ea7-c45d-4993-ae13-4d7a56065a5c	1.0	PubMed	20471814	In conditions of zinc excess (B), EGCG reverted the zinc induced up-regulation of MT and ZnT1 genes and the zinc induced down-regulation of ZIP1 and ZIP4, concomitantly slowing down the associated accumulation of intracellular zinc.	p(HGNC:MCAT)	directlyIncreases	act(p(HGNC:SLC39A1))
b6f7db6d-7167-45bf-911a-61529c29d416	1.0	PubMed	22116621	Pharmacological inhibition of NFAT or targeting of NFATc3 with small interfering RNA (siRNA) lowers the AIF-1 and IRT-1 ratio and favours an anti-proliferative outcome.	p(HGNC:NFATC3)	directlyIncreases	act(p(HGNC:SLC39A1))
d0798a28-e884-4491-8409-91e0ad58206a	1.0	PubMed	19802870	Ras Responsive Element Binding Protein-1 (RREB-1) Down-Regulates hZIP1 Expression in Prostate Cancer Cells.	p(HGNC:RREB1)	directlyDecreases	p(HGNC:SLC39A1)
5905dbc2-f544-4433-ad23-a3c77dce8051	1.0	PubMed	21360563	We showed previously that RREB-1 knock-down by RNAi increased the transcriptional activity of the hZIP1 promoter in a luciferase assay [XREF_BIBR].	p(HGNC:RREB1)	directlyIncreases	act(p(HGNC:SLC39A1))
5d240b29-409d-41a2-b9ce-6130da7bc2a3	1.0	PubMed	20471814	In conditions of zinc excess (B), EGCG reverted the zinc induced up-regulation of MT and ZnT1 genes and the zinc induced down-regulation of ZIP1 and ZIP4, concomitantly slowing down the associated accumulation of intracellular zinc.	p(HGNC:SLC30A1)	directlyIncreases	act(p(HGNC:SLC39A1))
b5bdf336-0ba4-426d-8168-8423b39d1584	1.0	PubMed	22209006	By contrast, the higher increments of intracellular free zinc and Zip-1 in young subjects could limit the proinflammatory cytokine production because Zip-1 overexpression has an inhibitory effect on NF-kappaB-dependent pathways.	p(HGNC:SLC39A1)	directlyDecreases	act(bp(GO:"GO:0001816"))
e0b75f29-78c8-4680-aabd-cd5ae7ca8e96	1.0	PubMed	16153295	Consequently, the expression of hZIP1 that sustains zinc accumulation in prostate cells will prevent the malignant activities and proliferation of the neoplastic cells.	p(HGNC:SLC39A1)	directlyDecreases	act(bp(GO:"GO:0008283"))
