INDRA UUID	Confidence	Citation Source	Citation Reference	Evidence	Subject	Predicate	Object
80015312-d210-4f00-a929-fb5189d579e6	1.0	PubMed	19369144	These results imply that ICAM-1 and LFA-1 interaction could be a mediator of Tbeta4 enhanced NK cell cytotoxicity through NK cell-NK cell or NK cell-target cell adhesion.Next, we examined whether Tbeta4 enhances NK cell cytotoxicity in primary human NK cells as well as the human NK cell line.	complex(p(HGNC:ICAM1), p(UP:P24063))	directlyIncreases	act(p(HGNC:TMSB4X))
f63969ce-4413-430d-8604-443b1799d036	1.0	PubMed	20062929	However, it is not clear whether blocking of FX activation by TF and FVIIa complex is capable of achieving similar effects.	complex(p(HGNC:TF))	directlyDecreases	act(p(HGNC:TMSB4X))
19a2d472-54be-4d1c-8826-1b0da39ac1c7	1.0	PubMed	3937014	TF binds to FVIIa and promotes the rapid activation of the zymogen substrates Factors IX and X (FIX and FX) to the respective serine proteinases.	complex(p(HGNC:TF))	directlyIncreases	act(p(HGNC:TMSB4X))
f96fbe75-3c6d-4124-a2a3-c9e6ab1a466d	1.0	PubMed	20062929	In this report, we describe the generation and identification of a high-affinity anti-human TF monoclonal antibody (mAb) that blocks the binding of FX and FIX to the TF and FVIIa complex, thereby preventing FX and FIX activation.	complex(p(HGNC:TMSB4X))	directlyIncreases	act(p(HGNC:TMSB4X))
0a34b44c-257b-48cb-9403-721c42912562	1.0	PubMed	25218472	An interaction between Tbeta4 and ILK may be required to promote cell invasion and migration.	complex(p(HGNC:TMSB4X), p(HGNC:ILK))	directlyIncreases	act(bp(MESH:D009361))
a3b3e463-e2eb-456a-a64f-06ea1c663557	1.0	PubMed	25218472	Tbeta4 and ILK complex induced AKT activation, which promoted cell migration and survival, as described previously.	complex(p(HGNC:TMSB4X), p(HGNC:ILK))	directlyIncreases	act(p(FPLX:AKT))
ee2bf4b8-82bd-4b68-9bd7-2152bc8fe22c	1.0	PubMed	21149441	Mutagenesis of the FVIIa 4-carboxyglutamic acid domain and dose titrations with FX showed that EPCR interacted primarily with FX to attenuate FX activation in lipid-free assay systems.	complex(p(HGNC:TMSB4X), p(HGNC:PROCR))	directlyDecreases	act(p(HGNC:TMSB4X))
9170ed43-95bf-4dae-943e-368df95c627c	1.0	PubMed	1698100	Although little is known so far on the activity and the functional role of the clotting factors in early human ontogenic development, these studies suggest an activation of FX via the FVII and tissue factor activity rather than the FIXa and FVIIIa phospholipid complex in human embryonic and early fetal life.	complex(p(UP:P26482))	directlyIncreases	act(p(HGNC:TMSB4X))
51a23a40-8a54-478a-85a5-914ee7297e05	1.0	PubMed	21742406	It was also reported that Tbeta4 induces synthesis of plasminogen activator inhibitor-1 (PAI-1) via an AP-1 dependent mechanism in endothelial cells and that Tbeta4 expression is inhibited by NF-kappaB suppression in melanoma cell lines ().	p(FPLX:NFkappaB)	directlyIncreases	p(HGNC:TMSB4X)
5c109848-9ef9-438c-8803-c4e65d2c5fa9	1.0	PubMed	19691479	Thus, the primary function of N linked carbohydrates in the activation peptide of FX is to restrict the specificity of free FIXa toward the zymogen, thereby preventing the un regulated activation of FX by the protease independent of its cofactor.	p(FPLX:Protease)	directlyDecreases	act(p(HGNC:TMSB4X))
49ad8e69-28e6-49c1-adfd-8c8681e25888	1.0	PubMed	15913649	The N-terminal light chain (residues 1-145) of FIXa contains the gamma-carboxyglutamic acid (Gla) domain followed by two epidermal growth factor like domains (EGF1 and EGF2), whereas the C-terminal heavy chain (residues 181-415) contains the serine protease domain.FIXa activates FX to FXa in the coagulation cascade, which requires three known cofactors for physiologic hemostasis, namely, Ca, phospholipid (PL) provided by platelets, and FVIIIa.	p(FPLX:Protease)	directlyIncreases	act(p(HGNC:TMSB4X))
35b997a9-25a6-4880-baf1-85f3cce11636	1.0	PubMed	22224589	This FX dependent inhibition of proteolytic cleavage by APC may contribute to the persistence of FVIIIa and subsequent FXase activity during the propagation phase of coagulation.	p(HGNC:APC)	directlyDecreases	act(p(HGNC:TMSB4X))
a5819c48-a1df-4f18-9f9f-adaad3ebe700	1.0	PubMed	23677006	RVV-X activated the FX variant with ~ 5-fold elevated K m, however, k cat for the activation of the variant was increased ~ 2-fold (XREF_FIG legend).	p(HGNC:CAT)	directlyIncreases	act(p(HGNC:TMSB4X))
cad390bc-68fd-4232-a872-07e194446c9b	1.0	PubMed	6128305	Previous reports suggest that the second epidermal growth factor (EGF)-like domain of FIXa mediates assembly of the FX activating complex (Ahmad, S. S., Rawala, R., Cheung, W. F., Stafford, D. W., and Walsh, P. N. (1995) Biochem.	p(HGNC:EGF)	directlyIncreases	act(p(HGNC:TMSB4X))
dc70429d-fe29-4544-949a-b878064bf8ac	1.0	PubMed	PMC4646898	hVII-B101/B1 also inhibited the activation of FX by the complex of FVIIa and tissue factor in the presence of Ca2+.	p(HGNC:F3)	directlyIncreases	act(p(HGNC:TMSB4X))
4e58caf1-23b9-4db6-8086-a63905d44941	1.0	PubMed	5609054	Q333N fX is activated normally by factor VIIa and tissue factor, factors IXa and VIIIa, and Russell 's viper venom.	p(HGNC:F3)	directlyIncreases	act(p(HGNC:TMSB4X, var(p.Gln333Asn)))
e97015b4-5774-4c3c-a406-3506ce73e13d	1.0	PubMed	15543320	FX activation on gC-competent HSV1 was inhibited 20% by a gC specific antibody, inhibited 40% by a TF specific antibody, inhibited 65% by combining the gC- and TF specific antibodies, and nearly completely inhibited by the TF antibody alone on gC deficient HSV-1.	p(HGNC:GC)	directlyDecreases	act(p(HGNC:TMSB4X))
66c69b1b-a039-4db5-a892-b585d75cbd4c	1.0	PubMed	19135706	For instance, swapping the Gla domain of FX for that of protein C or FIX impairs FX activation by the TF and FVIIa complex yet has little influence on FVa binding.	p(HGNC:GLA)	directlyDecreases	act(p(HGNC:TMSB4X))
c027ee22-a81d-469f-b309-3c8d5a23697c	1.0	PubMed	25218472	This indicates that GSK3beta is a negative mediator of Tbeta4 induced cell invasion and migration.	p(HGNC:GSK3B)	directlyIncreases	act(p(HGNC:TMSB4X))
