INDRA UUID	Confidence	Citation Source	Citation Reference	Evidence	Subject	Predicate	Object
38682018-fd81-4008-b016-d29bb253637f	1.0	PubMed	8895512	Our results suggest that PEA3 specifically transactivates vimentin promoter through PEA3 site. Among members of the ETS transcription factor family only Erg showed ability to transactivate vimentin promoter besides PEA3.	act(p(HGNC:ERG), ma(tscript))	directlyIncreases	p(HGNC:VIM)
d1d5853d-b2b3-4342-baca-b3e98c9284f7	1.0	PubMed	8895512	Our results suggest that PEA3 specifically transactivates vimentin promoter through PEA3 site. Among members of the ETS transcription factor family only Erg showed ability to transactivate vimentin promoter besides PEA3.	act(p(HGNC:ETV4), ma(tscript))	directlyIncreases	p(HGNC:VIM)
559c14e1-28eb-437f-a73a-20e698daa27f	1.0	PubMed	27922697	Serial examination of EMT markers (loss of E-cadherin and upregulation of N-cadherin, vimentin, and Snail) at 48 and 72 h showed that TGF-beta1 treatment resulted in EMT in OSC-20 cells (XREF_FIG).	bp(GO:"GO:0001837")	directlyDecreases	act(p(HGNC:VIM))
b489d7a4-322f-4e15-8910-194094d93f70	1.0	PubMed	19088723	Inhibition of the JAK2 and STAT3 pathway does not affect EGF induced morphology but blocks cell motility, EMT induced N-cadherin and vimentin expression and IL-6 production.	bp(GO:"GO:0001837")	directlyDecreases	p(HGNC:VIM)
2f9f5965-ad7d-4428-b1fa-c3733922a308	1.0	PubMed	25194810	The cell-cell interaction was decreased and the molecular events of EMT were induced : downregulation of E-cadherin and upregulation of vimentin.	bp(GO:"GO:0001837")	directlyIncreases	act(p(HGNC:VIM))
0b8dd5c9-20af-47b3-bd8f-dc1d266cea83	1.0	PubMed	26711928	The typical characteristics of EMT phenotype is down-regulated E-cadherin and up-regulated vimentin or ZEB-1 expression.	bp(GO:"GO:0001837")	directlyIncreases	p(HGNC:VIM)
da268b0b-8f02-48b3-b580-68795ffb1928	1.0	PubMed	25717187	Therefore vimentin filament transport is not mediated by the interaction between vimentin and APC or by microtubule dynamics.	complex(p(HGNC:APC), p(HGNC:VIM))	directlyIncreases	act(p(HGNC:VIM))
5f62d749-6262-4bc0-ad62-cd79d2e67f29	1.0	PubMed	26160837	AOC4P binds to vimentin and enhances vimentin degradation.	complex(p(HGNC:VIM))	directlyDecreases	act(p(HGNC:VIM))
0ae33398-d2d3-4483-8e2a-c0b6da9e0576	1.0	PubMed	4782225	CSF-1 induced the de novo recruitment of Cbl, STAT3, STAT5a, STAT5b, p85, SHP-1, Shc, vimentin, and Grb2 to complexes and caused pre-existing complexes involving Vav, elongation factor-1alpha, and F-actin to increase in size.	complex(p(HGNC:VIM))	directlyIncreases	act(p(FPLX:"F_actin"))
4d0d375d-594e-483e-981d-5964f4674330	1.0	PubMed	4782225	CSF-1 induced the de novo recruitment of Cbl, STAT3, STAT5a, STAT5b, p85, SHP-1, Shc, vimentin, and Grb2 to complexes and caused pre-existing complexes involving Vav, elongation factor-1alpha, and F-actin to increase in size.	complex(p(HGNC:VIM))	directlyIncreases	act(p(FPLX:VAV))
3489f61c-8a97-4247-9a1c-14c35008a945	1.0	PubMed	26031447	We previously showed that cyPG bind covalently to vimentin at its single cysteine residue (C328) and cause a rearrangement of the vimentin network XREF_BIBR XREF_BIBR.	complex(p(HGNC:VIM))	directlyIncreases	act(p(HGNC:VIM))
5e882359-0dd5-4d0e-8336-6c5584bafa2c	1.0	PubMed	4782225	CSF-1 induced the de novo recruitment of Cbl, STAT3, STAT5a, STAT5b, p85, SHP-1, Shc, vimentin, and Grb2 to complexes and caused pre-existing complexes involving Vav, elongation factor-1alpha, and F-actin to increase in size.	complex(p(HGNC:VIM))	directlyIncreases	act(p(UP:P85915))
aa95de32-7336-4cc4-bf42-473ff665a784	1.0	PubMed	4782225	CSF-1 induced the de novo recruitment of Cbl, STAT3, STAT5a, STAT5b, p85, SHP-1, Shc, vimentin, and Grb2 to complexes and caused pre-existing complexes involving Vav, elongation factor-1alpha, and F-actin to increase in size.	complex(p(HGNC:VIM), p(HGNC:CBL))	directlyIncreases	act(p(FPLX:"F_actin"))
b416804d-fe93-44bd-ae02-f75e89252051	1.0	PubMed	4782225	CSF-1 induced the de novo recruitment of Cbl, STAT3, STAT5a, STAT5b, p85, SHP-1, Shc, vimentin, and Grb2 to complexes and caused pre-existing complexes involving Vav, elongation factor-1alpha, and F-actin to increase in size.	complex(p(HGNC:VIM), p(HGNC:CBL))	directlyIncreases	act(p(FPLX:VAV))
3d8fd850-fd9b-4b53-8d30-086689f26244	1.0	PubMed	4782225	CSF-1 induced the de novo recruitment of Cbl, STAT3, STAT5a, STAT5b, p85, SHP-1, Shc, vimentin, and Grb2 to complexes and caused pre-existing complexes involving Vav, elongation factor-1alpha, and F-actin to increase in size.	complex(p(HGNC:VIM), p(HGNC:CBL))	directlyIncreases	act(p(UP:P85915))
4ceec067-461a-479f-8866-b25a0fe587a2	1.0	PubMed	4782225	CSF-1 induced the de novo recruitment of Cbl, STAT3, STAT5a, STAT5b, p85, SHP-1, Shc, vimentin, and Grb2 to complexes and caused pre-existing complexes involving Vav, elongation factor-1alpha, and F-actin to increase in size.	complex(p(HGNC:VIM), p(HGNC:SHC1))	directlyIncreases	act(p(FPLX:"F_actin"))
f5d1b3c9-a6e1-4d76-8de0-d7e62a9f6282	1.0	PubMed	4782225	CSF-1 induced the de novo recruitment of Cbl, STAT3, STAT5a, STAT5b, p85, SHP-1, Shc, vimentin, and Grb2 to complexes and caused pre-existing complexes involving Vav, elongation factor-1alpha, and F-actin to increase in size.	complex(p(HGNC:VIM), p(HGNC:SHC1))	directlyIncreases	act(p(FPLX:VAV))
6b772272-2597-4c27-9cb2-a1861c2e375f	1.0	PubMed	4782225	CSF-1 induced the de novo recruitment of Cbl, STAT3, STAT5a, STAT5b, p85, SHP-1, Shc, vimentin, and Grb2 to complexes and caused pre-existing complexes involving Vav, elongation factor-1alpha, and F-actin to increase in size.	complex(p(HGNC:VIM), p(HGNC:SHC1))	directlyIncreases	act(p(UP:P85915))
63c3a82d-d953-4a6d-b76b-85f013e1c131	1.0	PubMed	4782225	CSF-1 induced the de novo recruitment of Cbl, STAT3, STAT5a, STAT5b, p85, SHP-1, Shc, vimentin, and Grb2 to complexes and caused pre-existing complexes involving Vav, elongation factor-1alpha, and F-actin to increase in size.	complex(p(HGNC:VIM), p(HGNC:STAT3))	directlyIncreases	act(p(FPLX:"F_actin"))
f0fedc68-a402-42b6-8dcf-ff2d2382676e	1.0	PubMed	4782225	CSF-1 induced the de novo recruitment of Cbl, STAT3, STAT5a, STAT5b, p85, SHP-1, Shc, vimentin, and Grb2 to complexes and caused pre-existing complexes involving Vav, elongation factor-1alpha, and F-actin to increase in size.	complex(p(HGNC:VIM), p(HGNC:STAT3))	directlyIncreases	act(p(FPLX:VAV))
70934d9c-1f7d-4f9c-a798-64841cdd2739	1.0	PubMed	4782225	CSF-1 induced the de novo recruitment of Cbl, STAT3, STAT5a, STAT5b, p85, SHP-1, Shc, vimentin, and Grb2 to complexes and caused pre-existing complexes involving Vav, elongation factor-1alpha, and F-actin to increase in size.	complex(p(HGNC:VIM), p(HGNC:STAT3))	directlyIncreases	act(p(UP:P85915))
7ab4b74e-73e9-4947-a098-e564873b393d	1.0	PubMed	4782225	CSF-1 induced the de novo recruitment of Cbl, STAT3, STAT5a, STAT5b, p85, SHP-1, Shc, vimentin, and Grb2 to complexes and caused pre-existing complexes involving Vav, elongation factor-1alpha, and F-actin to increase in size.	complex(p(HGNC:VIM), p(HGNC:STAT5A))	directlyIncreases	act(p(FPLX:"F_actin"))
c10a7bf8-d443-4b6b-b559-be902cfbc2e8	1.0	PubMed	4782225	CSF-1 induced the de novo recruitment of Cbl, STAT3, STAT5a, STAT5b, p85, SHP-1, Shc, vimentin, and Grb2 to complexes and caused pre-existing complexes involving Vav, elongation factor-1alpha, and F-actin to increase in size.	complex(p(HGNC:VIM), p(HGNC:STAT5A))	directlyIncreases	act(p(FPLX:VAV))
4748b921-e31e-4c8a-abda-5a0b7a2b8183	1.0	PubMed	4782225	CSF-1 induced the de novo recruitment of Cbl, STAT3, STAT5a, STAT5b, p85, SHP-1, Shc, vimentin, and Grb2 to complexes and caused pre-existing complexes involving Vav, elongation factor-1alpha, and F-actin to increase in size.	complex(p(HGNC:VIM), p(HGNC:STAT5A))	directlyIncreases	act(p(UP:P85915))
5cf1365f-37e8-4f7d-9d31-51e9e07acfa1	1.0	PubMed	4782225	CSF-1 induced the de novo recruitment of Cbl, STAT3, STAT5a, STAT5b, p85, SHP-1, Shc, vimentin, and Grb2 to complexes and caused pre-existing complexes involving Vav, elongation factor-1alpha, and F-actin to increase in size.	complex(p(HGNC:VIM), p(HGNC:STAT5B))	directlyIncreases	act(p(FPLX:"F_actin"))
12b35ded-b306-4044-83aa-930dd5a13410	1.0	PubMed	4782225	CSF-1 induced the de novo recruitment of Cbl, STAT3, STAT5a, STAT5b, p85, SHP-1, Shc, vimentin, and Grb2 to complexes and caused pre-existing complexes involving Vav, elongation factor-1alpha, and F-actin to increase in size.	complex(p(HGNC:VIM), p(HGNC:STAT5B))	directlyIncreases	act(p(FPLX:VAV))
