INDRA UUID	Confidence	PMID	Evidence	Subject	Predicate	Object
f55b0dec-3432-46d2-8da1-7edc70461dc0	1.0	22267734	We recently reported that nascent BACE1 is transiently acetylated in the lumen of the endoplasmic reticulum (ER) (XREF_BIBR) by two ER based acetyl-CoA : lysine acetyltransferases, which we named ATase1 (also known as camello like 2 and N-acetyltransferase 8B) and ATase2 (also known as camello like 1 and N-acetyltransferase 8) (XREF_BIBR).	p(HGNC:ESR1)	directlyIncreases	p(HGNC:BACE1, pmod(Ac))
ea9dd9b0-6c84-418c-b378-3c76d53b819a	1.0	24556617	ATase1 and ATase2 were previously shown to acetylate BACE1 both in vitro and in vivo (XREF_BIBR).	p(HGNC:NAT8B)	directlyIncreases	p(HGNC:BACE1, pmod(Ac))
fa985366-e7fa-4700-9f84-ab6bcb1af59d	1.0	24556617	ATase1 and ATase2 were previously shown to acetylate BACE1 both in vitro and in vivo (XREF_BIBR).	p(HGNC:NAT8)	directlyIncreases	p(HGNC:BACE1, pmod(Ac))
5fb49f23-7499-4774-9eb8-e7d4464a7770	1.0	19011241	Both proteins display acetyl-CoA : lysine acetyltransferase activity, can interact with and acetylate BACE1, and display an ER/ERGIC localization with the catalytic site facing the lumen of the organelle.	a(PUBCHEM:444493)	directlyIncreases	p(HGNC:BACE1, pmod(Ac))
2a42eebc-f923-495f-9cae-9c24d88467f5	1.0	20704561	ABCA2 expression increases BACE1 cleavage of the APP holoprotein, not at the common Asp1 site of Abeta in APP that generates beta-CTF and C99 fragment and Abeta 1-40/42 peptides but at the Glu11 site to generate a N-terminal truncated beta '-CTF/C89 fragment and N-terminal truncated secreted Abeta 11-40 peptides.	p(HGNC:ABCA2)	directlyIncreases	act(p(HGNC:BACE1))
1d6b0ec4-825b-4b65-a760-82639d109dc0	1.0	19564338	However, expression of ADAM9 or ADAM10 enhanced the release of shed BACE1 (sBACE1) into the conditioned medium (2.3- and 7.8-fold, respectively) (XREF_FIG, A and B).	p(HGNC:ADAM10)	directlyIncreases	act(p(HGNC:BACE1))
be92d759-e206-4eaa-86b2-58dd854f8e9f	1.0	19564338	However, expression of ADAM9 or ADAM10 enhanced the release of shed BACE1 (sBACE1) into the conditioned medium (2.3- and 7.8-fold, respectively) (XREF_FIG, A and B).	p(HGNC:ADAM9)	directlyIncreases	act(p(HGNC:BACE1))
4c68350f-326a-4650-a479-1b1216484211	1.0	24646365	Moreover, cleavage at the identified cleavage site appears to be very efficient that exactly matches the sequence of the Swedish mutation of APP, which is known to dramatically increase BACE1 mediated cleavage (XREF_BIBR).	p(HGNC:APP, var("p.?"))	directlyIncreases	act(p(HGNC:BACE1))
df7bea3c-2004-4f2a-b33f-566e07e58a89	1.0	21500352	However, until now, beta '-cleavage of human APP is considered as a minor processing event in cells expressing endogenous levels of BACE1, and has been mainly documented in cells overexpressing BACE1 (Creemers et al, XREF_BIBR; Huse et al, XREF_BIBR; Liu et al, XREF_BIBR; Qahwash et al, XREF_BIBR).	p(HGNC:APP)	directlyIncreases	act(p(HGNC:BACE1))
32b532a5-3966-4ee3-aded-adbb312655b0	1.0	23386614	Therefore, we explored whether the binding of the Abeta oligomers to PrP C and their subsequent internalization would disrupt the PrP C -mediated inhibition of BACE1.	complex(p(HGNC:PRNP))	directlyIncreases	act(p(HGNC:BACE1))
