INDRA UUID	Confidence	PMID	Evidence	Subject	Predicate	Object
0bc45390-12f2-466d-b8e2-2a6537e8312a	1.0	7020870	ABC allowed reproducible BH, and enabled better delineation of tumor and normal structures, as well as reduction in PTV, V (20), and spinal cord dose.	a(PUBCHEM:441300)	directlyIncreases	act(p(HGNC:BLMH))
d914dcd6-3060-4f6d-87f1-34ca6d10a0a5	1.0	18502672	In contrast, however, in peripheral organs the salvage pathway leads to BH production and, besides, BH can be synthesized by AKR1C3 and AR.	p(HGNC:AKR1C3)	directlyIncreases	act(p(HGNC:BLMH))
a4cf0e9c-e05b-4a3a-9527-19b472e9512d	1.0	18502672	In contrast, however, in peripheral organs the salvage pathway leads to BH production and, besides, BH can be synthesized by AKR1C3 and AR.	p(HGNC:AR)	directlyIncreases	act(p(HGNC:BLMH))
b4dde8f5-b1dd-42aa-80e6-53e1dd3a4120	1.0	5677717	The relaxations induced by Ach in E degrees xLDLR degrees mice in the presence of L-arginine and BH (4) were not different from those observed in control mice.	a(PUBCHEM:187)	directlyIncreases	act(p(HGNC:BLMH))
2d366d1d-a62f-48aa-9c72-aef89915b914	1.0	23454662	Similarly, the BH mutant of Itk, which abolishes its ability to interact with Galpha13, was also unable to enhance SRF transcriptional activity.	p(HGNC:BLMH, var("p.?"))	directlyIncreases	act(p(HGNC:SRF))
c5f80a3d-9250-405e-8787-a047ab6502c3	1.0	23079506	The BMH crosslinker caused HA-SAHH to shift toward the dimeric, tetrameric, and even hexameric states ().	p(HGNC:BLMH)	directlyIncreases	act(p(HGNC:AHCY))
596447a0-6fca-4399-9372-329a95968202	1.0	5344532	Diamide, DTDP, and BMH but not tert-butylhydroperoxide or arsenite cause the oxidation of a critical cysteine residue (Cys 56) of ANT.	p(HGNC:BLMH)	directlyIncreases	act(p(PFAM:PF03374))
a9e495dd-a7dc-4707-aa8c-5fa3de528e59	1.0	24036252	These data show that hypoxic BMH induce CSC 's autocrine TNF-alpha loop via TGF-beta1.	p(HGNC:BLMH)	directlyIncreases	act(bp(MESH:D014411))
df4ee7f3-1dea-4bc0-ab2c-3d07aaa8309f	1.0	17606867	Next, to reveal the oligomeric state of mitochondria associated Drp1, aliquots of the HM fractions were also treated with BMH (XREF_FIG).	p(HGNC:BLMH)	directlyIncreases	act(p(HGNC:DNM1L))
16db16e3-ae12-45c7-bb9c-2619eca295f0	1.0	17606867	Next, to reveal the oligomeric state of mitochondria associated Drp1, aliquots of the HM fractions were also treated with BMH (XREF_FIG).	p(HGNC:BLMH)	directlyIncreases	act(a(PUBCHEM:7408104))
6fd1357c-ba4e-4ab2-a7d2-97a45b255385	1.0	21310951	Cysteine proteases bleomycin hydrolase and cathepsin Z mediate N-terminal proteolysis and toxicity of mutant huntingtin.	p(HGNC:BLMH)	directlyIncreases	act(p(HGNC:HTT, var("p.?")))
2d726127-5e9b-49bd-ad21-c45ee9e9bcef	1.0	5979579	One month after surgery, in peripheral arterial pressure, the mean diastolic (P (MD)) and minimal diastolic (P (min)) pressures of BMH supported heart cycles differed significantly from unsupported ones (P (MD) = +2.9 +/-1.1 mm Hg [P < 0.04], P (min) = -2.4 +/-0.9 mm Hg [P < 0.04]).	p(HGNC:BLMH)	directlyIncreases	act(a(PUBCHEM:101179))
af8242fb-eb01-4f7c-94e9-984a80aa8e1d	1.0	24144882	All three DRD genes participate in DA biosynthesis (A) : and act sequentially to synthesize tetrahydrobiopterin (BH), and BH is subsequently required for to synthesize L-DOPA from tyrosine.	p(HGNC:BLMH)	directlyIncreases	act(a(PUBCHEM:6047))
c584f342-c482-452f-899d-a8e35ad4f24f	1.0	PMC5427911	However, since 6R-BH(4) did not activate mitogen activated protein kinase, it did not support neuronal differentiation.	p(HGNC:BLMH)	directlyIncreases	act(p(FPLX:MAPK))
e48503bd-ae3b-40cc-b198-f192805d07b9	1.0	3951336	The patients with CA have high incidence of MI and of peripheral artery disease (PAD), in MI could be studied by ST. Age, smoke, BH, contribute substantially to the development of CA.	p(HGNC:BLMH)	directlyIncreases	act(a(PUBCHEM:892))
2be9956d-8ba7-437c-8e52-534f161cebe1	1.0	23059057	In chick embryos, the inhibition of BH 4 biosynthesis reduces MS activity and leads to defects in neural tube closure [XREF_BIBR, XREF_BIBR].	p(HGNC:BLMH)	directlyIncreases	act(p(HGNC:MTR))
2622f07e-6fe0-4342-97c4-9b25245baae4	1.0	5742132	Elevation of intracellular BH (4) during serum withdrawal increased c-Myc (and especially Myc S) expression earlier than serum withdrawal alone.	p(HGNC:BLMH)	directlyIncreases	act(p(HGNC:MYC))
8dbfde5e-0f72-4834-811b-2493ddf7c18c	1.0	5861057	Both nitrocatecholamines antagonized the dimerization of nNOS induced by BH (4) and by L-arginine, the effect being reversed by BH (4) (more than 10 microM) and L-arginine (e.g. 100 microM).	p(HGNC:BLMH)	directlyIncreases	act(p(HGNC:NOS1))
d6642c05-15cd-4df9-afd3-a99b78938cb6	1.0	19268941	These findings are consistent with our previous report, where we showed significant reduction in GTPCH1 protein and mRNA with CRP treatment and that sepiapterin, a BH 4 analog, rescues the uncoupling of eNOS by CRP in-vitro (XREF_BIBR).	p(HGNC:BLMH)	directlyIncreases	act(p(HGNC:NOS3))
055daa09-491c-47af-b908-d761895e9a77	1.0	5685488	In contrast, in three of 10 placental homogenates both physiological and 50 microm BH (4) concentrations stimulated NOS III to levels similar to that of normal placentae (BH (4) responsive group).	p(HGNC:BLMH)	directlyIncreases	act(p(FPLX:NOS))
