INDRA UUID	Confidence	PMID	Evidence	Subject	Predicate	Object
43de6dad-5885-4360-98e7-643267983a2d	1.0	17942194	To sum up our data, the familial AD linked PS1 mutation accelerates the cleavage of caspase-4 under the ER stress and results in the activation of caspase-9 and caspase-3, apoptosis signal, without releasing cytochrome-c.	p(PFAM:PF09793)	directlyIncreases	act(p(HGNC:CASP4))
aa994bb9-8dae-4eef-9419-f61f4c75cbf6	1.0	20463975	Abeta treatment increased caspase-4 activity by 1.4-fold, whereas pre-treatment with Sal reduced the caspase-4 activity to half of those in cells treated with Abeta only (XREF_FIG).	p(HGNC:APP)	directlyIncreases	act(p(HGNC:CASP4))
1dd10f95-ab8f-4b43-95e7-0246769fdc39	1.0	23459183	To determine whether the HSM extract may affect caspase-4 gene expression in macrophages treated with LPS and ATP, we performed RT-PCR and quantitative real-time PCR assays using caspase-4 specific primers.	a(CHEBI:15422)	directlyIncreases	act(p(HGNC:CASP4))
b983fa67-8343-4787-bb56-903acd5d90ab	1.0	16920334	In this study, we demonstrate that Cop mediated inhibition of cell death is associated with inhibition not only of caspase-1 but also of caspase-4 ().	p(HGNC:CARD16)	directlyIncreases	act(p(HGNC:CASP4))
aa1e9eaa-e63f-4d3f-b89f-4792f8df8b6c	1.0	20514521	This seemed to be necessary for activation of caspase-4, as activation of caspase-3 by agents that did not trigger ER stress did not cause activation of caspase-4.	p(HGNC:CASP3)	directlyIncreases	act(p(HGNC:CASP4))
e5bf329a-c95a-40d0-b7d4-5e52d897a510	1.0	24670806	Mouse caspase-11, an ortholog of human caspase-4, is induced in hematopoietic cells by LPS and IFNs, and activates caspase-1 and caspase-3 (XREF_BIBR, XREF_BIBR).	p(HGNC:CASP4)	directlyIncreases	act(p(HGNC:CASP1))
6cbd9c35-c833-4fb4-8459-af7a9845afd7	1.0	20514521	Importantly, inhibition of caspase-4 also partially blocked caspase-3 activation, suggesting that activation of caspase-4 may be positive feed-back mechanism to further enhance caspase-3 activation.	p(HGNC:CASP4)	directlyIncreases	act(p(HGNC:CASP3))
02fb9c8b-9bcf-409f-a7a1-1b96bbeb66fd	1.0	21338643	It has been well established that the activation of caspase-4 activates caspase-9, which induces cell death ().	p(HGNC:CASP4)	directlyIncreases	act(p(HGNC:CASP9))
950829df-0c0d-4789-87af-bf9eeabe049c	1.0	PMC6636655	We demonstrated further that EGFRs, PKC, Src kinase and MMPs are involved in ERK activation by TX.	p(HGNC:CASP4)	directlyIncreases	act(p(FPLX:ERK))
c9f1ca18-e0da-4df5-bc48-eb10820c7c8f	1.0	17942194	In the previous reports, we showed that the familial Alzheimer 's disease (AD)-linked presenilin-1 (PS1) mutation induced the fragility to the endoplasmic reticulum (ER) stress and that caspase-4 mediates ER stress induced- and beta-amyloid induced-apoptotic signaling in human cells.	p(HGNC:CASP4)	directlyIncreases	act(p(HGNC:ESR1))
ba391096-38a3-445d-aa50-ded82b44a7bc	1.0	24879791	Using bone marrow derived macrophages (BMDMs), we then observed that caspase-4 can support activation of caspase-1 and secretion of IL-1beta and IL-18 in response to priming signals (LPS or Pam3CSK4) alone, without the need for second signals to stimulate the assembly of the inflammasome.	p(HGNC:CASP4)	directlyIncreases	act(p(HGNC:IL18))
e06eeb37-2a16-4e64-99a6-cd76d599b1e0	1.0	25964352	Instead, caspase-4 mediates IL-1alpha release and cell death.	p(HGNC:CASP4)	directlyIncreases	act(p(HGNC:IL1A))
