INDRA UUID	Confidence	PMID	Evidence	Subject	Predicate	Object
50100a04-4365-4ed6-b0a1-03cf7b885ee2	1.0	25482561	A recent study reported that IFN-gamma + M-CSF treatment of primary human monocytes for 24 hours led to increased histone acetylation and STAT1 recruitment at the promoters and distal sites upstream of the IL6, IL12B, and TNF genes as compared to M-CSF treatment alone, and also reported that subsequent LPS activation after IFN-gamma + M-CSF pre-treatment led to enhanced H3K27ac enrichment at the promoters and distal sites upstream of the IL6, IL12B, and TNF genes.	p(HGNC:CSF1)	directlyIncreases	p(FPLX:Histone, pmod(Ac))
ad46a2ae-73ee-4d7b-b6da-5decc131f2ba	1.0	25482561	A recent study reported that IFN-gamma + M-CSF treatment of primary human monocytes for 24 hours led to increased histone acetylation and STAT1 recruitment at the promoters and distal sites upstream of the IL6, IL12B, and TNF genes as compared to M-CSF treatment alone, and also reported that subsequent LPS activation after IFN-gamma + M-CSF pre-treatment led to enhanced H3K27ac enrichment at the promoters and distal sites upstream of the IL6, IL12B, and TNF genes.	p(HGNC:CSF1)	directlyIncreases	p(HGNC:STAT1, pmod(Ac))
5a0b096e-32c2-438d-80d7-d48d923fcc76	1.0	23418320	A unique aspect of this study is the finding that the ABL1 pathway mediates the heightened CSF1 transcription induced by irradiation.	p(HGNC:ABL1)	directlyIncreases	act(p(HGNC:CSF1))
f58b11e3-d68e-4f16-95f9-1ee94182fb6e	1.0	5998699	Data are presented showing a potential mechanism for Abeta activation of microglia that could be mediated by RAGE and macrophage colony stimulating factor (M-CSF).	p(HGNC:AGER)	directlyIncreases	act(p(HGNC:CSF1))
ebf0ed43-86f3-41bd-aad3-4a2dd20c9208	1.0	21481789	In summary, conditional p120ctn loss in the esophagus, oral cavity and forestomach leads to invasive squamous cell cancers, involving NFkappaB, Akt, Stat-3 activation, increased proliferation, and production of GM-CSF, M-CSF, MCP-1 and TNFalpha from tumor derived cells.	p(FPLX:AKT)	directlyIncreases	act(p(HGNC:CSF1))
465938b3-e7a9-4487-84a4-c79380a8cca9	1.0	5998699	In each case, the Abeta stimulation of M-CSF secretion was significantly blocked by treatment of cultures with anti-RAGE F (ab ') 2.	p(HGNC:APP)	directlyIncreases	act(p(HGNC:CSF1))
59f9c0f1-9736-4790-9848-5bacf6624c60	1.0	17393431	Our results showed that nuclear actin stimulates the activity of CSF1 promoter, and the role in augmenting CSF1 gene transcription requires the formation of chromatin and Z-DNA structure.	p(FPLX:Actin)	directlyIncreases	act(p(HGNC:CSF1))
b2d5318b-ef4e-43bc-bbb2-b307dcaf2ad4	1.0	19331827	Independently, BCAR1 was discovered to be important in osteoclastic cytoskeletal organization [XREF_BIBR], and later that BCAR1 mediates CSF-1 and adhesion related signals in osteoclasts [XREF_BIBR].	p(HGNC:BCAR1)	directlyIncreases	act(p(HGNC:CSF1))
dc708b9e-0aee-4a8e-a183-1400ef74cca4	1.0	7083340	Overexpression of a degradation resistant lysine free Bim mutant in bim-/- cells abrogated the anti-apoptotic effect of M-CSF, while wild-type Bim did not.	p(HGNC:BCL2L11, var("p.?"))	directlyIncreases	act(p(HGNC:CSF1))
70c79dc3-9b0b-485f-944f-c44e4c97ed3d	1.0	3460754	Benzene, as well as its metabolites, markedly increased the sensitivity of the cells to both GM-CSF and M-CSF.	a(PUBCHEM:241)	directlyIncreases	act(p(HGNC:CSF1))
98b199f9-92f7-4a02-a5b4-03379f3e7f5e	1.0	22837201	Studies have demonstrated that the level of caspase 3 and 8 activities in monocytes may mediate the delicate balance between apoptosis and macrophage colony stimulating factor (M-CSF)-induced myeloid differentiation.	p(HGNC:CASP3)	directlyIncreases	act(p(HGNC:CSF1))
02707ccc-8cd6-47a2-a769-01c10b0c0d7e	1.0	23924795	CD14 + monocytes from different blood donors were allowed to differentiate in the presence of both GM-CSF and CSF-1, known to induce macrophage differentiation toward M1- and M2 polarized populations, respectively.	p(HGNC:CD14)	directlyIncreases	act(p(HGNC:CSF1))
faf28fbf-ab6a-4251-8e24-f8b8e2c2f986	1.0	5174632	Both the soluble form of CD40 ligand (sCD40L) and TNF increased the level of M-CSF and G-CSF mRNA.	p(HGNC:CD40LG)	directlyIncreases	act(p(HGNC:CSF1))
b9e2c2d4-93d2-4353-9cd8-e55d565b9fe0	1.0	12864971	Using adoptive transfer protection studies, demonstrated that protective immunity induced by the rejection of T9 cells expressing surface M-CSF was mediated by CD4 T cells.Because IL-2 has a direct effect on NK and T cells and the dramatic differences of glioma growth observed when T9.F/IL2/# 12 cells were implanted in two distinct anatomical locations, we analyzed the lymphocytic infiltrate of peripheral and intracerebral T9.F/IL2/# 12 and parental T9.F tumors.	p(HGNC:CD4)	directlyIncreases	act(p(HGNC:CSF1))
7a156e96-1177-416f-96d1-35a698e612fa	1.0	PMC4766105	We have shown that AML1 and C/EBPalpha activate the M-CSF receptor promoter in a synergistic manner.	p(HGNC:CEBPA)	directlyIncreases	act(p(HGNC:CSF1))
4138e0cf-a4b2-4502-acb4-dc945a64976e	1.0	8622667	Further transfection studies show that C/EBP and AML1 in concert with the AML1 heterodimer partner CBF beta synergistically activate M-CSF receptor by more then 60 fold.	p(FPLX:CEBP)	directlyIncreases	act(p(HGNC:CSF1))
db785e03-65c2-4880-9327-6a7236ae9b72	1.0	23285029	Because acute phase levels of CRP have been shown to induce M-CSF release via upregulation of NF-kappaB XREF_BIBR we evaluated the effects of CRP on monocyte expression of CD16, CD163 and HO-1.	p(HGNC:CRP)	directlyIncreases	act(p(HGNC:CSF1))
0c89be26-a4a5-4746-a1f0-a2f7fa2d4cbc	1.0	19711348	CSF-1R siRNA treatment abrogated the CSF-1 response, consistent with the proliferative effect of CSF-1 being mediated by the CSF-1R.	p(HGNC:CSF1R)	directlyIncreases	act(p(HGNC:CSF1))
6d47c18c-d307-477b-9209-e8d8f8a4f5fa	1.0	19816883	Treatment of PBMC with SCC14a cell CM at a 20% concentration in the presence of M-CSF (10 ng/ml) significantly increased (190 +/-23) TRAP positive multinucleated cell formation compared to control cultures treated with M-CSF alone (8 +/-2) in the absence of RANKL.	p(HGNC:CSF1)	directlyIncreases	act(p(HGNC:ACP5))
1305aa87-fba2-440f-8828-58c9ef9fa13c	1.0	15794931	Whereas lysates from human MN-Oc maintained for 26 h in the absence of survival signals demonstrated high expression of Bim protein (normalized to beta-actin), MN-Oc treated with either SDF-1 or M-CSF + RANKL exhibited markedly lower (by up to 70%) levels of Bim protein (D).	p(HGNC:CSF1)	directlyIncreases	act(p(HGNC:ACTB))
7e3f0e17-8f10-453a-9bef-3f328abc8552	1.0	5490397	M-CSF augments the capacity of SAC to ingest and kill blastoconidia and may therefore have a role in the treatment and prevention of hematogenously disseminated candidiasis.	p(HGNC:CSF1)	directlyIncreases	act(bp(GO:"GO:0033316"))
af95b5c2-8409-4d35-9ae6-6fb75d6b1196	1.0	4219798	These data suggest that M-CSF promotes AM differentiation into Type 1 MGC, whereas GM-CSF stimulates the formation of Type 2 and that M-CSF and GM-CSF may selectively regulate in an autocrine fashion AM differentiation into distinct MGC.	p(HGNC:CSF1)	directlyIncreases	act(bp(MESH:D000650))
f909f433-d405-461d-9505-afee9c561d8a	1.0	7118261	RIP is stimulated by granulocyte-macrophage-CSF, CSF-1, interleukin-2 (IL-2), IL-4, lipopolysaccharide, and PMA and may provide the CSF-1 receptor with an additional mechanism for signal transduction.	p(HGNC:CSF1)	directlyIncreases	act(p(HGNC:AGFG1))
c7ea9ca4-7b4b-4c70-88fa-f36c0ea5a85f	1.0	4013722	This work reports that M-CSF and GM-CSF stimulated AHA production by human blood monocyte derived macrophages in a time- and dose dependent manner.	p(HGNC:CSF1)	directlyIncreases	act(a(PUBCHEM:1990))
faff415c-391f-4e19-be99-076df396dad4	1.0	5238257	In normal human monocytes, M-CSF increased the levels of tyrosine phosphorylated proteins and induced Akt activation in a PI3K dependent manner.	p(HGNC:CSF1)	directlyIncreases	act(p(FPLX:AKT))
ba0fd450-ccaa-4ced-a981-09f7f65e1011	1.0	5613489	M-CSF is increased in the brain in AD and dramatically augments the effects of Abeta on cultured microglia.	p(HGNC:CSF1)	directlyIncreases	act(p(HGNC:APP))
3a72df94-b230-45b6-9a91-468381ffe1ee	1.0	22028782	R cells that CSF-1 activated MEK-Erk using both an A-Raf-dependent and an A-Raf independent pathway that did not involve c-Raf-1 XREF_BIBR.	p(HGNC:CSF1)	directlyIncreases	act(p(HGNC:ARAF))
b77d8b26-43e3-4eaf-8b10-2b3c2e6c7490	1.0	4358515	CSF-1 rapidly induced actin reorganization in Bac1 cells : it stimulated the formation of filopodia, lamellipodia and membrane ruffles at the plasma membrane, as well as the appearance of fine actin cables within the cell interior.	p(HGNC:CSF1)	directlyIncreases	act(p(FPLX:Actin))
4c6b3e1b-1e25-4165-8b8d-78e56692ec84	1.0	6947982	Our data suggest that activin A enhances osteoclastogenesis treated with RANKL and M-CSF via stimulation of RANK, thereby increasing the RANKL stimulation.	p(HGNC:CSF1)	directlyIncreases	act(p(FPLX:"Activin_A"))
8dafda69-ece9-4989-8901-5ef8400ce014	1.0	6441924	Administration of M-CSF or IFN-alpha augmented the clearance activity of Yac-1 cells in lung, and coadministration of these agents further augmented this effect.	p(HGNC:CSF1)	directlyIncreases	act(p(UP:Q60935))
66505dcf-b038-4202-be8c-0bf1e84983ff	1.0	17907802	Apoptosis of B cells by TRAIL is inhibited by the Epstein-Barr virus encoded BHRF1 protein, which functions in the apoptotic pathway similarly to the host protein Bfl-1 that is induced by M-CSF in HIV-1-infected macrophages [XREF_BIBR, XREF_BIBR].	p(HGNC:CSF1)	directlyIncreases	act(p(HGNC:BCL2A1))
c4d5cc17-1457-4fdf-bce2-a140493565f5	1.0	15794931	Whereas lysates from human MN-Oc maintained for 26 h in the absence of survival signals demonstrated high expression of Bim protein (normalized to beta-actin), MN-Oc treated with either SDF-1 or M-CSF + RANKL exhibited markedly lower (by up to 70%) levels of Bim protein (D).	p(HGNC:CSF1)	directlyIncreases	act(p(HGNC:BCL2L11))
8e7cddfb-ef50-4170-b7d9-949a7d9c9347	1.0	15794931	In particular, M-CSF strongly suppresses Bim and increases Bcl-x together with cell survival in murine pre-Oc or Oc, while RANKL reduces Bim in murine Oc and stimulates dendritic cell survival via upregulating Bcl-x.	p(HGNC:CSF1)	directlyIncreases	act(p(HGNC:BCL2L1))
f1b2a678-7e50-4bcd-af20-c1b53c8b0f82	1.0	15794931	Human MN-Oc expressed little or no Bcl-2 mRNA detectable by RPA under any of the conditions tested, although Bcl-2 protects rabbit Oc from apoptosis and is upregulated by M-CSF in murine Oc.	p(HGNC:CSF1)	directlyIncreases	act(p(HGNC:BCL2))
2b24039b-e197-470f-81de-91b329fbecfb	1.0	24769444	The autocrine pathway also stimulates BrCa cell invasion and this is mediated by the CSF1 receptor, a transmembrane tyrosine kinase receptor in BrCa cells (XREF_BIBR).	p(HGNC:CSF1)	directlyIncreases	act(p(FPLX:BRCA))
f821ce31-ebd4-41ca-a210-7a28073bcbb1	1.0	25144241	One day after transfection, cells were serum starved for 24 hours before treatment with recombinant human macrophage colony stimulating factor (M-CSF; R&D Systems, Minneapolis, MN) and harvested.The 293T cells and A549 cells were treated with M-CSF in the media for 20 minutes before the cells were harvested with 200 mul of RIPA lysis buffer (25 mM Tris-HCl pH 7.6, 150 mM NaCl, 1% NP-40, 1% sodium deoxycholate, and 0.1% SDS), supplemented with protease inhibitor (Sigma, St. Louis, MO); 293T cells without M-CSF treatment were collected as controls.	p(HGNC:CSF1)	directlyIncreases	act(p(HGNC:CA9))
3b739a5d-0508-4812-b995-f785cc5f96a0	1.0	7187982	In addition, cystatin C inhibited M-CSF and RANKL induction of calcitonin receptor mRNA in spleen cell cultures.	p(HGNC:CSF1)	directlyIncreases	act(p(HGNC:CALCR))
c4a1ea05-7ef6-4a7e-a217-81ddd4fb9d85	1.0	23313128	Our data also revealed that the removal of RANKL and M-CSF increased the activity of caspase-9.	p(HGNC:CSF1)	directlyIncreases	act(p(HGNC:CASP9))
2ca4879a-1412-4d3a-a15e-32639774c213	1.0	6763557	In vitro MCSF induced monocyte chemoattractant protein-1 synthesis in canine venous endothelial cells.	p(HGNC:CSF1)	directlyIncreases	act(p(HGNC:CCL2))
4307020e-d934-48f3-ac09-f77c72433f40	1.0	5457515	We show that macrophage infection with measles virus or respiratory syncytial virus, in contrast to HIV-1, results in production of MIP-1alpha, but not M-CSF.	p(HGNC:CSF1)	directlyIncreases	act(p(HGNC:CCL3))
51a93186-4532-4155-9154-9461e44010ce	1.0	4691420	M-CSF increased the IL-10 response of macrophages to LPS by enhancing both the expression of membrane bound CD14, the protein that serves as LPS receptor, and the sensibility of CD14 expressing cells to LPS stimulation.	p(HGNC:CSF1)	directlyIncreases	act(p(HGNC:CD14))
22667b86-26f8-4e4d-917e-e241768407f1	1.0	25461761	Results showed that IL-8 statistically significantly enhanced the number of the CD163 positive cells induced by M-CSF (XREF_FIG).	p(HGNC:CSF1)	directlyIncreases	act(p(HGNC:CD163))
