INDRA UUID	Confidence	PMID	Evidence	Subject	Predicate	Object
1013ed5a-6820-4a92-b1d0-64e69bde3e63	1.0	20088845	We propose that AMN directs internalization of the IF-vitamin B 12 receptor complex, cubam, by engaging ARH and/or Dab2.	p(HGNC:AMN)	directlyIncreases	act(p(HGNC:DAB2))
e7576d44-6f45-4a48-b7c0-66f4c7b41966	1.0	22898784	In the absence of DAB2, the amount of BMPRII on the surface was significantly increased in both un stimulated and BMP6 stimulated DAB2 siRNA treated HUVECs (XREF_FIG).	p(HGNC:BMP6)	directlyIncreases	act(p(HGNC:DAB2))
367e4869-12f9-4b40-b959-a974c3b4a98f	1.0	25879443	In contrast, Dab2 depleted cells treated with weak base, co-localization is not seen, suggesting that the Dab2 depletion has compromised rDeltaF508 CFTR delivery to the late endosome, and consistent with the increase in rDeltaF508 CFTR half-life measurements.	p(HGNC:BPIFA4P)	directlyIncreases	act(p(HGNC:DAB2))
cf4c8da8-753c-4d02-b6c1-488f860fdfa3	1.0	22491013	Silencing of CK2 also inhibits the ability of Dab2 to inhibit tumourigenesis (XREF_FIG).	p(FPLX:CK2)	directlyIncreases	act(p(HGNC:DAB2))
3082d7e6-c480-4a64-9033-6c0327e7e57a	1.0	5922242	Expression of wild-type Dab2 in a TGFbeta signaling mutant restores TGFbeta mediated Smad2 phosphorylation, Smad translocation to the nucleus and Smad dependent transcriptional responses.	p(HGNC:DAB2)	directlyIncreases	act(p(FPLX:SMAD))
d0c4554a-75e6-4451-86a6-59dc64f5db1f	1.0	22898784	Here, we report that Disabled homolog 2 (Dab2), a cargo specific adaptor protein for Clathrin, is essential to mediate the pro angiogenic function of BMP2 signaling.	p(HGNC:DAB2)	directlyIncreases	act(p(HGNC:BMP2))
fbffeca5-0264-4626-ae1d-5ab91330e18c	1.0	22898784	Considering the expression pattern of dab2 in zebrafish and the mild phenotype of dab2 MO injected embryos (XREF_SUPPLEMENTARY), Dab2 is likely to mediate Bmp2b signaling in a spatiotemporally restricted manner.	p(HGNC:DAB2)	directlyIncreases	act(p(HGNC:BMP4))
455cd4b6-c779-4bbe-b6ef-6b94705e7e41	1.0	22898784	We find that inhibition of Dab2 attenuates internalization of BMP receptors and abrogates the pro angiogenic effects of BMP signaling in endothelial cells.	p(HGNC:DAB2)	directlyIncreases	act(p(FPLX:BMP))
055409c5-e8c7-4593-84b8-de15d5fe64ba	1.0	3979031	These results indicate that Doc2 enhances Ca2 +-dependent exocytosis of dense core vesicles from PC12 cells.	p(HGNC:DAB2)	directlyIncreases	act(p(HGNC:CA2))
25eb6037-0223-47b6-86d8-9ee3b2384c94	1.0	24648493	Three major observations led to the model proposed in XREF_FIG for the regulation of TGF-beta signaling to JNK and c-Jun : 1) localization of Dab2 and cholesterol in distinct plasma membrane domains (CCPs and clathrin platforms vs. cholesterol rich domains); 2) the here identified regulation of TbetaRI dynamics and CCP mediated endocytosis by Dab2; and 3) the negative regulation by Dab2 of the cholesterol dependent activation of JNK and c-Jun by TGF-beta.	p(HGNC:DAB2)	directlyIncreases	act(p(HGNC:CALCA))
