INDRA UUID	Confidence	PMID	Evidence	Subject	Predicate	Object
2ca8eafc-dbe6-4308-81ed-c316236ca502	1.0	22242125	In support of this view, CHOP associated with upstream regulatory region of the MyoD gene and its activity reduced histone acetylation at the enhancer region of MyoD.	p(HGNC:DDIT3)	directlyIncreases	p(FPLX:Histone, pmod(Ac))
c3488f21-60fd-46e2-ad7a-4f3786ce7e44	1.0	22564437	In addition, the ACF and radiation treatment combination induced endoplasmic reticulum (ER) stress responses mediated by IRE1alpha (inositol requiring transmembrane kinase and endonuclease 1alpha), eIF-2alpha (eukaryotic initiation factor 2alpha), caspase-2/12, and CHOP (C/EBP homologous protein).	p(HGNC:A1CF)	directlyIncreases	act(p(HGNC:DDIT3))
34bd9df4-ea72-4c90-ad91-6ae7436bd00d	1.0	6467192	Enzyme inhibitors were used to identify pathways mediating the ROS dependent effects of fenretinide : inhibitors of phospholipase A (2) and lypoxygenases (LOX), and specific inhibitors of 12-LOX, but not 5-LOX or 15-LOX, inhibited the induction of ROS, apoptosis, and GADD153 in response to fenretinide.	p(HGNC:ALOX15)	directlyIncreases	act(p(HGNC:DDIT3))
7dcfff9d-37fa-42ab-b1e3-ce94569fac18	1.0	21803450	To further dissect the molecular mechanisms of the potentiating effect of AICD on ER stress triggered cell death, we analyzed whether concomitant induction of AICD and Fe65 modulated the expression of the 2 unfolded protein response (UPR) target genes Bip and Grp78 and CHOP and GADD153 ().	p(HGNC:APBB1)	directlyIncreases	act(p(HGNC:DDIT3))
df936049-20df-46c2-b755-7a3530d9b336	1.0	17113167	In comparison to the PC12 vector control, most UPR target genes implicated in alleviation of ER stress (molecular chaperones such as BiP, grp58, grp94, Erp70, calreticulin and calnexin) were induced to a comparable extent in PC12 APP cells.In contrast to chaperones, expression of the stress responsive pro apoptotic kinase NIPK and the transcription factor CHOP was notably enhanced by overexpressed APP.	p(HGNC:APP)	directlyIncreases	act(p(HGNC:DDIT3))
38330b70-e236-4ff7-ab5e-ad19656df07b	1.0	14630918	We show that inhibition of ATF2 or ATF4 expression impairs the transcriptional activation of CHOP by amino acid starvation.	p(HGNC:ATF2)	directlyIncreases	act(p(HGNC:DDIT3))
34a95bd2-941c-4941-8528-3521bb694829	1.0	19855386	TLR engagement did not suppress phosphorylation of PERK or eIF-2alpha, which are upstream of CHOP, but phospho-eIF-2alpha failed to promote translation of the CHOP activator ATF4.	p(HGNC:ATF4)	directlyIncreases	act(p(HGNC:DDIT3))
399b9428-6c12-461e-acec-29958497092c	1.0	25754093	As ATF4 remained unchanged in DN, we speculated that ATF6 mediates transcriptional activation of CHOP in DN XREF_BIBR XREF_BIBR.	p(HGNC:ATF6)	directlyIncreases	act(p(HGNC:DDIT3))
b74d9252-4f65-4332-a48f-7fe431d97bbb	1.0	4300336	Here we report that ATP also greatly enhanced the mitogenic effects of ChoP (0.1-1 mM) both in the absence and presence of insulin; maximal potentiating effects required 50-100 microM ATP.	a(CHEBI:15422)	directlyIncreases	act(p(HGNC:DDIT3))
1f54d2eb-acf5-4b64-8515-b6dfeed62ea5	1.0	15308577	All-trans retinoic acid (ATRA) induced a biphasic expression of CHOP mRNA in the NB4 and HL60 AML cell lines.	a(CHEBI:15367)	directlyIncreases	act(p(HGNC:DDIT3))
95cf16d9-49ed-4047-ac7c-5608a625d6e5	1.0	7066313	Bak expression was also induced in cells overexpressing the stress induced transcription factor GADD153, but Bak expression was inhibited in cells expressing an antisense GADD153 construct.	p(HGNC:BAK1)	directlyIncreases	act(p(HGNC:DDIT3))
e31db33b-5ec4-45a6-9b58-f11e7dc43c65	1.0	24030155	Being a pro apoptosis factor, Bim is activated via the JNK and p38 kinase pathways and CHOP during endoplasmic reticulum (ER) stress, XREF_BIBR, XREF_BIBR which can be stimulated by viral infection, XREF_BIBR, XREF_BIBR and has been reported to directly link ER stress to mitochondrial apoptosis in cells expressing mSOD1.	p(HGNC:BCL2L11)	directlyIncreases	act(p(HGNC:DDIT3))
592a366d-7265-4932-a3c0-0737e480ee1e	1.0	27977682	Expression of mutant Braf triggered increased p-eIF2alpha and elevated CHOP (XREF_FIG).	p(HGNC:BRAF, var("p.?"))	directlyIncreases	act(p(HGNC:DDIT3))
3d78067d-99b7-457c-aacc-20b29c6a24f0	1.0	21700680	Furthermore, we show that BRCA1 targets GADD153 promoter to increase its transcription in response to DNA damage.	p(HGNC:BRCA1)	directlyIncreases	act(p(HGNC:DDIT3))
8f096849-0662-40e2-86f7-79b44f593f5b	1.0	22393418	Bortezomib induced a dose dependent accumulation of CHOP protein (XREF_FIG), the levels of which were not associated with the sensitivity of bortezomib induced cell death (XREF_FIG and XREF_FIG).	a(PUBCHEM:387447)	directlyIncreases	act(p(HGNC:DDIT3))
