INDRA UUID	Confidence	PMID	Evidence	Subject	Predicate	Object
020e3985-33ca-4a77-bd6e-452560b5e749	1.0	26288822	Also, this augmentation of DHCR24 expression by HCV suppresses p53 activity by blocking nuclear p53 acetylation and increasing the interaction between p53 and MDM2 in the cytoplasm, potentially mediated by inhibition of p53 degradation (XREF_BIBR).	p(HGNC:DHCR24)	directlyIncreases	p(HGNC:TP53, pmod(Ac))
982accdf-bf68-475f-a00c-97e503104661	1.0	19861417	Persistent DHCR24 overexpression did not alter the phosphorylation status of p53 but resulted in decreased acetylation of p53 at lysine residues 373 and 382 in the nucleus after treatment with hydrogen peroxide.	p(HGNC:DHCR24)	directlyIncreases	p(HGNC:TP53, pmod(Ac, Lys, 373))
da24586b-0ca0-4b80-b115-d1fceb1e6f80	1.0	19861417	Taken together, these results suggest that DHCR24 is elevated in response to HCV infection and inhibits the p53 stress response by stimulating the accumulation of the MDM2 and p53 complex in the cytoplasm and by inhibiting the acetylation of p53 in the nucleus.	p(HGNC:DHCR24)	directlyIncreases	p(HGNC:TP53, pmod(Ac))
0cd43354-8646-45ec-882f-b66b5a03205c	1.0	15001630	In the adrenal cancer cell line H295R and in primary cultures from adrenocortical cells, ACTH (1 nM) and forskolin (10 micro M) effectively increased seladin-1 and DHCR24 expression, confirming that seladin-1 and DHCR24 is modulated by the ACTH and cAMP driven pathway.	a(CHEBI:17489)	directlyIncreases	act(p(HGNC:DHCR24))
819f7286-c789-4276-a20b-e7f8a73df69f	1.0	24489783	Western blot analysis was performed to evaluate the activation of Akt induced by overexpression of DHCR24.	p(HGNC:DHCR24)	directlyIncreases	act(p(FPLX:AKT))
2816679f-2e15-453b-898a-bf4888244f87	1.0	25637936	Conversely, overexpression of DHCR24 enhances DHCR7 activity, but only when a functional form of DHCR24 is used.	p(HGNC:DHCR24)	directlyIncreases	act(p(HGNC:DHCR7))
26aba427-48e9-41c6-a893-01dae00ec83f	1.0	23123430	Lipid-free apoA-I and (A-I) rHDL inhibit inflammation by increasing DHCR24 expression, which, in turn, activates phosphatidylinositol 3-kinase/Akt and induces HO-1.	p(HGNC:DHCR24)	directlyIncreases	act(p(HGNC:HMOX1))
87e8a14b-b014-4342-851e-c23f4669a243	1.0	24489783	Furthermore, DHCR24 also interacts with and induces the accumulation of p53 XREF_BIBR.	p(HGNC:DHCR24)	directlyIncreases	act(p(HGNC:TP53))
35e427a9-29ae-4967-aaba-17155b7dcff1	1.0	15688385	DHCR24 gene expression is upregulated in melanoma metastases and associated to resistance to oxidative stress induced apoptosis.	p(HGNC:DHCR24)	directlyIncreases	act(bp(GO:"GO:0006915"))
bf47a9b7-0875-40cd-b115-374cf5d78900	1.0	24489783	DHCR24 catalyzes the final step of cholesterol biosynthesis, which is the conversion of desmosterol to cholesterol XREF_BIBR.	p(HGNC:DHCR24)	directlyIncreases	act(bp(GO:"GO:0009058"))
8d6ccba3-7d6e-4a80-b759-f2462f43e1be	1.0	22910610	Seladin-1 catalyses the conversion of desmosterol to cholesterol, but also has other relevant biological effects, including neuroprotective and anti-apoptotic properties.	p(HGNC:DHCR24)	directlyIncreases	act(a(CHEBI:16113))
bdde24d1-6ffb-4cb2-a45e-335ba750ec65	1.0	22910610	Seladin-1 catalyses the conversion of desmosterol to cholesterol, but also has other relevant biological effects, including neuroprotective and anti-apoptotic properties.	p(HGNC:DHCR24)	directlyIncreases	act(a(PUBCHEM:439577))
39ff0dff-d50b-454d-a649-899483f70433	1.0	20166102	Inhibition of DHCR24 and seladin -1 impairs cellular homeostasis in prostate cancer.	p(HGNC:DHCR24)	directlyIncreases	act(bp(GO:"GO:0042592"))
5b334c0a-46e7-4d83-97b8-523fb5f214ef	1.0	22178193	It is tempting to speculate that 24,25 EC can substitute for 24,25-dihydrolanosterol as a degradation signal of HMGR, since this oxysterol should also inhibit the DHCR24 catalyzed conversion of lanosterol to 24,25-dihydrolanosterol.	p(HGNC:DHCR24)	directlyIncreases	act(a(PUBCHEM:246983))
689f3b43-57a8-46c7-b4e3-32892f9970ef	1.0	23123430	Lipid-free apoA-I and (A-I) rHDL inhibit inflammation by increasing DHCR24 expression, which, in turn, activates phosphatidylinositol 3-kinase/Akt and induces HO-1.	p(HGNC:DHCR24)	directlyIncreases	act(a(PUBCHEM:53477912))
4c972bb5-be1b-4011-8b3a-5336b1d275bd	1.0	24562935	Enforced expression of DHCR24 caused proliferation, adhesion, and migration, while DHCR24 loss resulted in slower proliferation and a reduction in cell viabilities compared with control cells.	p(HGNC:DHCR24)	directlyIncreases	act(bp(GO:"GO:0008283"))
13765e95-4484-4f34-a97a-47faccdb2d98	1.0	23050906	However, DHT was unable to activate the DHCR24 proximal promoter, whereas KLF5 did, indicating that this mechanism is not involved in the androgen induced stimulation of DHCR24 expression.	a(CHEBI:2150)	directlyIncreases	act(p(HGNC:DHCR24))
db8985ec-cb91-4267-9b53-dce6c5d21e2b	1.0	18194465	Our recent studies demonstrate an hormonal regulation of seladin-1 expression [XREF_BIBR, XREF_BIBR]; oestrogens and selective estrogen receptor modulators (SERMS) up-regulate seladin-1 in a long-term neuroblast cell culture from human foetal olfactory epithelium.	p(HGNC:ESR1)	directlyIncreases	act(p(HGNC:DHCR24))
506a7c6a-9538-4faa-83d6-10ed2f03aced	1.0	25595970	We previously demonstrated that HSP cells express the neuroprotective factor Seladin-1, which is up-regulated by FGF2 treatment and has been shown to mediate the anti-apoptotic action of FGF2 in nutrient deprived HSP cells ().	p(HGNC:FGF2)	directlyIncreases	act(p(HGNC:DHCR24))
1fb1957b-9bc6-45f7-851c-e0b86a066aaf	1.0	15001630	In the adrenal cancer cell line H295R and in primary cultures from adrenocortical cells, ACTH (1 nM) and forskolin (10 micro M) effectively increased seladin-1 and DHCR24 expression, confirming that seladin-1 and DHCR24 is modulated by the ACTH and cAMP driven pathway.	p(HGNC:POMC)	directlyIncreases	act(p(HGNC:DHCR24))
ce9cadca-129a-4997-a555-8e20ef36d867	1.0	21987590	Simvastatin modulates the Alzheimer 's disease related gene seladin-1.	a(PUBCHEM:54454)	directlyIncreases	act(p(HGNC:DHCR24))
16db59ad-64b3-4bba-86cd-be5d47bed05b	1.0	23416078	In the current study, we revealed that both TR and LXR up-regulate the human Seladin-1 gene promoter at the transcriptional levels.	p(HGNC:TFRC)	directlyIncreases	act(p(HGNC:DHCR24))
ad03f4af-1972-459f-a093-d53a7aa89c72	1.0	18194465	We found by confocal microscopy and Congo red assay that the binding rate of the Abeta42 assemblies to the plasma membranes of Abeta42 exposed cells was significantly faster and increased in cholesterol-poor cells treated with Delta22 and beta-CD than in cholesterol enriched cells overexpressing seladin-1 or treated with PEG-cholesterol.	a(CHEBI:16113)	directlyIncreases	act(p(HGNC:DHCR24))
a8432cf9-8a6c-4b3f-8d56-41d853f106b0	1.0	16762343	Accordingly, we have recently demonstrated in long-term cell cultures from human fetal olfactory epithelium that seladin-1, which is up-regulated by estrogen and Selective Estrogen Receptor Modulators, confers resistance to both beta-amyloid-induced toxicity and oxidative stress.	a(CHEBI:50114)	directlyIncreases	act(p(HGNC:DHCR24))
4ca8befe-9016-4841-bc7a-93abd048b6f4	1.0	21987590	This work describes a novel mechanism of neuroprotection by simvastatin : the modulation of seladin-1, an enzyme involved in Alzheimer 's disease.	a(CHEBI:9150)	directlyIncreases	act(p(HGNC:DHCR24))
7e2c35cf-7289-44be-a5ee-5c378320df6e	1.0	20568014	Furthermore, sodium butyrate (a well-known HDAC inhibitor) increased DHCR24 expression in SH-SY5Y cells by recruiting acetylated core histones H3 and H4 to the enhancer region, as demonstrated by transient transfection and chromatin immunoprecipitation assays.	a(PUBCHEM:10460379)	directlyDecreases	p(HGNC:DHCR24)
f49a9f21-7947-4db2-ba26-1f55b74ef695	1.0	19815556	Down-regulation of seladin-1 increases BACE1 levels and activity through enhanced GGA3 depletion during apoptosis.	p(HGNC:DHCR24)	directlyIncreases	p(HGNC:BACE1)
14c54f55-b367-43a8-9eb3-3a5e3ab446eb	1.0	23050906	In the present study we described four CACCC-boxes in the proximal promoter of DHCR24 and the ability of KLF5 to stimulate mRNA expression and promoter activity of DHCR24.	p(HGNC:DHCR24)	directlyIncreases	p(HGNC:DHCR24)
14c54f55-b367-43a8-9eb3-3a5e3ab446eb	1.0	23050906	In the present study we described four CACCC-boxes in the proximal promoter of DHCR24 and the ability of KLF5 to stimulate mRNA expression and promoter activity of DHCR24.	p(HGNC:DHCR24)	directlyIncreases	p(HGNC:DHCR24)
4d5f7046-bf34-4a18-99b5-3943560a0192	1.0	23050906	DHT (dihydrotestosterone) increased DHCR24 expression synergistically with lovastatin.	a(CHEBI:2150)	directlyIncreases	p(HGNC:DHCR24)
64cdec65-f859-43e1-b142-9ed8b3255bca	1.0	25595970	FGF2 exposure not only significantly increased Seladin-1 expression in normoxic conditions at each time point (< 0.01, B), as expected (), but also counteracted the hypoxia related reduction of Seladin-1 at 72h (C).	p(HGNC:FGF2)	directlyIncreases	p(HGNC:DHCR24)
a8b81bb7-c48c-40ce-96a0-0c4a99ec717c	1.0	16762343	In order to clarify whether the reduction of seladin-1 expression might be related to the oxidative status of the cells, as shown by Wu et al. in immortalized fibroblasts, in which HO increased seladin-1 expression, hMSC were exposed to HO as well as to BME, which possesses anti-oxidant activity.	p(HGNC:HMOX1)	directlyIncreases	p(HGNC:DHCR24)
c7be9758-1b65-41e0-8b4c-6d8b7e0f090b	1.0	21901424	This may happen via IGF1, as estradiol increases IGF1 release, which binds to IGF1 receptors and stimulates the expression of DHCR24.	p(HGNC:IGF1)	directlyIncreases	p(HGNC:DHCR24)
b351a46e-c796-42cd-bc1c-6f7ee10e6824	1.0	23050906	In the present study we described four CACCC-boxes in the proximal promoter of DHCR24 and the ability of KLF5 to stimulate mRNA expression and promoter activity of DHCR24.	p(HGNC:KLF5)	directlyIncreases	p(HGNC:DHCR24)
