INDRA UUID	Confidence	PMID	Evidence	Subject	Predicate	Object
774049ff-b165-40b7-85fb-7db71cc46f8b	1.0	23643932	In contrast, several peptides known to activate FPR2 and ALX, including SHAAG and PACAP activated FPR2 and ALX and Fpr2, with a similar efficacy as WKYMVM ().	p(HGNC:ADCYAP1)	directlyIncreases	act(p(HGNC:FPR2))
720acc6f-d502-4882-a83f-6ac6c9f299fd	1.0	22056994	If the latter possibility is correct, there is the possibility that FPR2 is responsible for ANXA1 mediated suppression of MIP-2 production, because ANXA1 activates FPR2 to promote phagocytosis.	p(HGNC:ANXA1)	directlyIncreases	act(p(HGNC:FPR2))
ef5a04ac-7ca3-4d01-aa8b-e51808fe7830	1.0	24491917	ATP was also able to reactivate desensitized FPR2 in a similar manner; addition of ATP-gammaS to neutrophils desensitized with the FPR2 selective peptide agonist WKYMVM resulted in superoxide production (data not shown).	a(CHEBI:15422)	directlyIncreases	act(p(HGNC:FPR2))
f4d87b3d-1fce-4d64-b8a5-dfcc58f9671d	1.0	11015447	Ll-37 may contribute to innate and adaptive immunity by recruiting neutrophils, monocytes, and t cells to sites of microbial invasion by interacting with fprl1.	p(HGNC:CAMP)	directlyIncreases	act(p(HGNC:FPR2))
dbf3929b-fe07-4183-b486-93bcd95873c5	1.0	20140902	Cathelicidin modulates apoptosis via the receptors FPRL1 [XREF_BIBR] and P2X7 [XREF_BIBR], while different methodology revealed induction of secondary apoptosis [XREF_BIBR].	p(PFAM:PF00666)	directlyIncreases	act(p(HGNC:FPR2))
9c5f259e-44ec-4538-a1d4-c54d54ab0b42	1.0	PMC5671999	Both fMLF and F peptide, a synthetic peptide domain of HIV-1 envelope protein which specifically activates FPRL1, increased secretion of IL-6 by astrocytoma cells.	p(UP:C1JJY3)	directlyIncreases	act(p(HGNC:FPR2))
c16b71b0-f9c4-4386-813c-7b776c3714b5	1.0	24259417	Our results indicate that ALX and FPR2 is expressed in mSMG and is able to elicit intracellular Ca2+ responses and phosphorylation of Erk1/2, as well as Akt.	p(HGNC:FPR2)	directlyIncreases	act(p(FPLX:AKT))
9d4e59e1-f07d-4c41-9a2d-913e7739be09	1.0	25490767	This result confirms that the antagonist Boc2 blocks the antiproliferative FPR2 mediated activity of ANXA1.	p(HGNC:FPR2)	directlyIncreases	act(p(HGNC:ANXA1))
ceb4866f-fc4f-4b32-a2ca-e6e7a161bbc1	1.0	19167353	The knockdown of FPRL1 by siRNA nearly completely inhibited CCL2 production induced by SAA (B).	p(HGNC:FPR2)	directlyIncreases	act(p(HGNC:CCL2))
e2c4f3d3-8aba-4073-93d6-d08896ef7f89	1.0	19282028	We and others have shown that both FPR1 and FPR2 can mediate an inhibitory signal (as illustrated by the lack of responsiveness to IL-8 induced by a FPR1 and FPR2 agonist) as well as a direct activating signal in neutrophils.	p(HGNC:FPR2)	directlyIncreases	act(p(HGNC:CXCL8))
64152a2d-f29d-491c-880d-c18944df8b02	1.0	23562731	Stimulation of cells over-expressing FPR2 with F2Pal induced a robust and transient increase in intracellular Ca with a potency and a time-course of the response similar to that induced by the specific FPR2 agonist WKYMVM (A).	p(HGNC:FPR2)	directlyIncreases	act(a(CHEBI:29108))
41c0f69d-d9d5-446d-b86e-22dbc4d951dc	1.0	22610094	Calcium Mobilization Induced by FPR1 and FPR2 and ALX Agonists.	p(HGNC:FPR2)	directlyIncreases	act(a(PUBCHEM:5460341))
eca8e702-a6df-4b8f-b2fe-bdaa57707dfd	1.0	23100468	Nevertheless, the specific antagonist WRW4 failed to reverse the action of LL-37 (XREF_FIG), suggesting that a non FPR2 G i -coupled GPCR was responsible for the activation of p53-Bcl-2/Bax/Bak axis by LL-37 to induce caspase independent apoptosis.	p(HGNC:FPR2)	directlyIncreases	act(p(FPLX:Caspase))
9935ed31-8351-4213-9e20-67f765b5765e	1.0	26374165	GPR32 and ALX and FPR2 mediate resolvin regulation of Del-1.	p(HGNC:FPR2)	directlyIncreases	act(p(HGNC:EDIL3))
96d0d08b-9b39-4ab1-90b4-3e581b7e810f	1.0	15809093	SAA, an endogenous ligand of FPRL1, was found to stimulate MMP-9 upregulation in THP-1 cells by activating ERK and NF-kappaB.	p(HGNC:FPR2)	directlyIncreases	act(p(FPLX:ERK))
0a074877-33df-4841-874f-84944dfb54a8	1.0	19381066	Keeping in mind that phagocytes migration and IL-1beta production by FPRL1 are important for the induction of inflammatory response, our data suggest that LPG can be regarded as a useful material for the modulation of inflammatory response induced by FPRL1 activation.	p(HGNC:FPR2)	directlyIncreases	act(p(HGNC:IL1B))
71382310-c1e3-48e9-8fb2-3e90024d9cc0	1.0	15809093	Summarizing, it appears reasonable to presume that FPRL1 mediates SAA induced cellular signals and MMP-9 upregulation by SAA.	p(HGNC:FPR2)	directlyIncreases	act(p(HGNC:MMP9))
bb6937d9-7fde-4da0-8e5a-207f2c8eb561	1.0	25612650	It is known that FPR-2 activation induces NADPH dependent superoxide generation in neutrophils [XREF_BIBR].	p(HGNC:FPR2)	directlyIncreases	act(a(CHEBI:16474))
eace795e-bb3a-4dc7-9913-9076c0b04085	1.0	15809093	SAA, an endogenous ligand of FPRL1, was found to stimulate MMP-9 upregulation in THP-1 cells by activating ERK and NF-kappaB.	p(HGNC:FPR2)	directlyIncreases	act(p(FPLX:NFkappaB))
e2bf8c80-b315-4a85-bd54-00b19ab6737a	1.0	27006946	In order to confirm the sequence of the signaling molecules, we blocked FPR2 with WRW 4 and FPR2 siRNA, and both ERK1/2 and PPAR-gamma were evidently inhibited, while activation of FPR2 with WKYMVm significantly activated ERK1/2 and PPAR-gamma, which suggested that FPR2 was the upstream of ERK1/2 and PPAR-gamma pathway.	p(HGNC:FPR2)	directlyIncreases	act(p(HGNC:PPARG))
c4685123-21ec-4c99-91cb-4c3f640a1ea7	1.0	25462815	, B), displayed receptor selective inhibition of cellular responses, such as production of ROS and degranulation induced in neutrophils by FPR2 specific agonists, with a potency comparable to that of the most potent known FPR2 inhibitor PBP10.	p(HGNC:FPR2)	directlyIncreases	act(p(HGNC:ROS1))
54dc50dd-5d0f-41a2-87eb-43ed23a9da12	1.0	26374165	To determine whether GPR32 and/or ALX and FPR2 mediate RvD1 regulation of Del-1 in HUVEC, we knocked down the expression of these receptors with specific siRNAs (XREF_FIG) and determined the impact of these treatments on Akt phosphorylation and Del-1 expression.	p(HGNC:FPR2)	directlyIncreases	act(a(PUBCHEM:16061135))
0859d8f0-d6df-4f7a-b5ef-f073657f0911	1.0	15809093	Summarizing, it appears reasonable to presume that FPRL1 mediates SAA induced cellular signals and MMP-9 upregulation by SAA.	p(HGNC:FPR2)	directlyIncreases	act(p(FPLX:SAA))
10712288-121d-4f41-8755-3b645a14a3c1	1.0	18652801	As the expressions of FPRL1 and SOC have highly differentiated features in various cell types, the process of FPRL1 mediates SOC may be also slightly different.	p(HGNC:FPR2)	directlyIncreases	act(p(HGNC:UBXN11))
