INDRA UUID	Confidence	PMID	Evidence	Subject	Predicate	Object
ff5b534b-ee7d-4d79-8c4e-fea46a86ddef	1.0	23826164	Unfortunately, the GFAP promoter difference in histone acetylation and methylation between inbred strains has not yet been investigated.	p(HGNC:GFAP)	directlyIncreases	p(FPLX:Histone, pmod(Ac))
3713e3f7-c1b3-4a4a-a336-b03d8032ad94	1.0	4692264	Soman (pinacolymethylphosphonofluoridate), a highly potent irreversible inhibitor of acetylcholinesterase (AChE), causes seizures and rapidly increases Fos and glial fibrillary acidic protein (GFAP) staining in piriform cortex (PC).	p(HGNC:ACHE)	directlyIncreases	act(p(HGNC:GFAP))
38264ebd-3a2f-4d9f-8831-fff3df88383a	1.0	3659172	All three AMPs increased core temperature and caused large (> 75%) decreases in striatal dopamine and large (> 300%) increases in striatal glial fibrillary acidic protein 72 hr after the last injection.	p(HGNC:ADSL)	directlyIncreases	act(p(HGNC:GFAP))
7bfb8401-8610-4753-8d4b-04e787fdb0dd	1.0	24625976	Moreover, the blockade of RAGE also inhibited ribosylation induced GFAP elevation.	p(HGNC:AGER)	directlyIncreases	act(p(HGNC:GFAP))
124ff5e3-7020-4943-b0b4-71a79f8d67e2	1.0	9883272	because at this pH value, which resulted in inhibition of GFAP assembly, the annexin II,-SlOOAlO, hetero- tetramer and, to a much smaller extent, monomeric annexin II were observed to rescue the ability of GFAP to assemble into typical IFS [18,38].	p(HGNC:ANXA2)	directlyIncreases	act(p(HGNC:GFAP))
7ad39841-8fb1-438c-afef-8c88505eab54	1.0	5001930	The findings extend the established age related increases in GFAP (glial fibrillary acidic protein) to other glial mRNAs : two lipoprotein mRNAs that are predominantly expressed in striatal astrocytes, apoE (apolipoprotein E) and apoJ (apolipoprotein J, clusterin, CLI, or SGP-2), and two mRNAs expressed in striatal microglia, TGF-beta1 and complement C1qB.	p(HGNC:APOE)	directlyIncreases	act(p(HGNC:GFAP))
2f4b8c56-d8f7-4fca-8172-fa256e96de19	1.0	26759118	We also carried out immunostaining for GFAP and Iba1 to analyze the potential astrocytic (GFAP) and microglial (Iba1) responses induced by amyloid APP processing.	p(HGNC:APP)	directlyIncreases	act(p(HGNC:GFAP))
1bfdd319-9855-4fe3-95e8-29a009770677	1.0	26837784	IBS-D FSN mediated visceral hypersensitivity mice over-expressed colonic BDNF, GFAP, TrkB and SP, which were inhibited by BDNF knockdown in BDNF +/- mice.	p(HGNC:BDNF)	directlyIncreases	act(p(HGNC:GFAP))
adf0f8ba-901e-4102-a067-b5ced57af51a	1.0	21947029	We found that addition of either serum or BMP-4 after FACS induced rapid GFAP + astrocytic differentiation.	p(HGNC:BMP4)	directlyIncreases	act(p(HGNC:GFAP))
6b91c661-7b1c-4685-909b-579597984e5d	1.0	20599619	The result shows that TLX abolishes LIF- and BMP6 induced GFAP promoter activity (A).	p(HGNC:BMP6)	directlyIncreases	act(p(HGNC:GFAP))
